Date,DENMARK SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,168.167
1994-06-30,168.528
1994-07-29,176.134
1994-08-31,163.383
1994-09-30,164.562
1994-10-31,170.209
1994-11-30,164.983
1994-12-30,170.118
1995-01-31,177.924
1995-02-28,185.628
1995-03-31,189.207
1995-04-28,191.412
1995-05-31,195.327
1995-06-30,196.57
1995-07-31,207.667
1995-08-31,192.003
1995-09-29,193.208
1995-10-31,191.038
1995-11-30,187.497
1995-12-29,189.828
1996-01-31,191.986
1996-02-29,195.018
1996-03-29,198.333
1996-04-30,195.519
1996-05-31,192.513
1996-06-28,196.366
1996-07-31,201.11
1996-08-30,210.089
1996-09-30,213.543
1996-10-31,221.427
1996-11-29,222.896
1996-12-31,227.472
1997-01-31,228.068
1997-02-28,228.336
1997-03-31,229.365
1997-04-30,222.059
1997-05-30,231.272
1997-06-30,231.514
1997-07-31,225.985
1997-08-29,217.988
1997-09-30,228.052
1997-10-31,225.068
1997-11-28,218.487
1997-12-31,219.473
1998-01-30,225.963
1998-02-27,231.891
1998-03-31,245.198
1998-04-30,248.107
1998-05-29,249.723
1998-06-30,255.985
1998-07-31,263.524
1998-08-31,241.072
1998-09-30,242.039
1998-10-30,238.431
1998-11-30,231.219
1998-12-31,235.483
1999-01-29,237.63
1999-02-26,219.356
1999-03-31,217.612
1999-04-30,215.212
1999-05-31,211.632
1999-06-30,219.582
1999-07-30,228.301
1999-08-31,231.006
1999-09-30,225.556
1999-10-29,220.23
1999-11-30,231.111
1999-12-31,242.253
2000-01-31,268.737
2000-02-29,283.789
2000-03-31,300.333
2000-04-28,283.799
2000-05-31,278.896
2000-06-30,293.065
2000-07-31,310.733
2000-08-31,324.146
2000-09-29,329.005
2000-10-31,315.323
2000-11-30,289.401
2000-12-29,327.361
2001-01-31,350.365
2001-02-28,318.733
2001-03-30,270.96
2001-04-30,286.577
2001-05-31,293.512
2001-06-29,279.661
2001-07-31,285.08
2001-08-31,262.934
2001-09-28,226.653
2001-10-31,234.997
2001-11-30,248.377
2001-12-31,236.012
2002-01-31,223.206
2002-02-28,239.147
2002-03-29,252.813
2002-04-30,244.885
2002-05-31,259.23
2002-06-28,257.761
2002-07-31,225.838
2002-08-30,218.056
2002-09-30,185.247
2002-10-31,187.04
2002-11-29,180.05
2002-12-31,189.596
2003-01-31,175.496
2003-02-28,161.121
2003-03-31,170.823
2003-04-30,192.513
2003-05-30,210.785
2003-06-30,215.125
2003-07-31,221.095
2003-08-29,247.346
2003-09-30,258.219
2003-10-31,279.867
2003-11-28,266.761
2003-12-31,288.657
2004-01-30,310.448
2004-02-27,326.37
2004-03-31,315.264
2004-04-30,314.778
2004-05-31,316.965
2004-06-30,332.935
2004-07-30,323.453
2004-08-31,322.865
2004-09-30,342.238
2004-10-29,343.641
2004-11-30,369.098
2004-12-31,390.105
2005-01-31,386.977
2005-02-28,406.825
2005-03-31,422.597
2005-04-29,415.093
2005-05-31,425.283
2005-06-30,439.776
2005-07-29,457.229
2005-08-31,483.007
2005-09-30,505.217
2005-10-31,485.215
2005-11-30,473.526
2005-12-30,518.29
2006-01-31,563.737
2006-02-28,583.976
2006-03-31,638.771
2006-04-28,698.805
2006-05-31,672.339
2006-06-30,654.284
2006-07-31,658.661
2006-08-31,679.103
2006-09-29,704.756
2006-10-31,732.935
2006-11-30,805.245
2006-12-29,850.09
2007-01-31,855.782
2007-02-28,844.466
2007-03-30,889.389
2007-04-30,968.976
2007-05-31,1000.0
2007-06-29,965.886
2007-07-31,1009.09
2007-08-31,992.452
2007-09-28,1051.028
2007-10-31,1097.909
2007-11-30,1041.76
2007-12-31,1060.558
2008-01-31,893.951
2008-02-29,963.798
2008-03-31,1002.989
2008-04-30,1029.02
2008-05-30,1136.912
2008-06-30,1014.115
2008-07-31,983.305
2008-08-29,904.241
2008-09-30,720.384
2008-10-31,538.203
2008-11-28,486.188
2008-12-31,503.178
2009-01-30,488.11
2009-02-27,431.456
2009-03-31,433.268
2009-04-30,511.908
2009-05-29,572.359
2009-06-30,558.726
2009-07-31,627.052
2009-08-31,664.565
2009-09-30,715.666
2009-10-30,687.918
2009-11-30,718.17
2009-12-31,734.472
2010-01-29,735.173
2010-02-26,710.257
2010-03-31,752.142
2010-04-30,784.505
2010-05-31,677.547
2010-06-30,663.868
2010-07-30,750.66
2010-08-31,676.447
2010-09-30,786.05
2010-10-29,807.093
2010-11-30,796.029
2010-12-31,874.095
2011-01-31,888.151
2011-02-28,898.804
2011-03-31,952.987
2011-04-29,967.543
2011-05-31,909.607
2011-06-30,868.174
2011-07-29,837.818
2011-08-31,745.043
2011-09-30,671.687
2011-10-31,723.822
2011-11-30,720.873
2011-12-30,684.857
2012-01-31,715.92
2012-02-29,763.952
2012-03-30,754.073
2012-04-30,748.377
2012-05-31,680.481
2012-06-29,688.884
2012-07-31,709.507
2012-08-31,746.494
2012-09-28,775.303
2012-10-31,785.913
2012-11-30,793.56
2012-12-31,826.12
2013-01-31,893.267
2013-02-28,916.218
2013-03-29,917.571
2013-04-30,937.952
2013-05-31,943.325
2013-06-28,911.954
2013-07-31,972.065
2013-08-30,967.836
2013-09-30,1034.014
2013-10-31,1088.531
2013-11-29,1107.74
2013-12-31,1161.817
2014-01-31,1190.462
2014-02-28,1287.903
2014-03-31,1282.363
2014-04-30,1334.912
2014-05-30,1412.758
2014-06-30,1421.613
2014-07-31,1338.198
2014-08-29,1304.287
2014-09-30,1257.446
2014-10-31,1284.563
2014-11-28,1301.45
2014-12-31,1288.808
2015-01-30,1297.867
2015-02-27,1419.443
2015-03-31,1407.112
2015-04-30,1496.411
2015-05-29,1533.27
2015-06-30,1519.746
2015-07-31,1623.336
2015-08-31,1560.105
2015-09-30,1568.928
2015-10-30,1653.486
2015-11-30,1743.181
2015-12-31,1809.514
2016-01-29,1725.624
2016-02-29,1735.428
2016-03-31,1855.826
2016-04-29,1866.356
2016-05-31,1991.19
2016-06-30,1887.766
2016-07-29,1918.68
2016-08-31,1948.765
2016-09-30,1966.32
2016-10-31,1901.206
2016-11-30,1733.78
2016-12-30,1764.883
2017-01-31,1897.017
2017-02-28,1908.363
2017-03-31,1977.125
2017-04-28,2087.387
2017-05-31,2166.187
2017-06-30,2172.228
2017-07-31,2332.605
2017-08-31,2377.389
2017-09-29,2359.408
2017-10-31,2375.917
2017-11-30,2240.188
2017-12-29,2282.608
2018-01-31,2316.449
2018-02-28,2338.365
2018-03-30,2373.646
2018-04-30,2363.315
2018-05-31,2325.198
2018-06-29,2336.821
2018-07-31,2490.129
2018-08-31,2496.789
2018-09-28,2394.245
2018-10-31,2155.902
2018-11-30,2077.116
2018-12-31,2007.999
2019-01-31,2141.849
2019-02-28,2267.321
2019-03-29,2256.467
2019-04-30,2354.748
2019-05-31,2235.274
2019-06-28,2295.151
2019-07-31,2237.903
2019-08-30,2188.696
2019-09-30,2150.613
2019-10-31,2215.309
2019-11-29,2393.659
2019-12-31,2474.695
2020-01-31,2493.322
2020-02-28,2368.522
2020-03-31,2101.065
2020-04-30,2356.653
2020-05-29,2693.592
2020-06-30,2763.813
2020-07-31,3085.943
2020-08-31,3352.033
2020-09-30,3391.677
2020-10-30,3297.653
2020-11-30,3694.568
2020-12-31,3951.236
2021-01-29,3791.72
2021-02-26,3711.585
2021-03-31,3776.544
2021-04-30,4157.519
2021-05-31,4281.126
2021-06-30,4312.161
2021-07-30,4499.92
2021-08-31,4453.662
2021-09-30,4069.202
2021-10-29,4156.713
2021-11-30,3835.054
2021-12-31,4006.335
2022-01-31,3466.066
2022-02-28,3319.414
2022-03-31,3364.687
2022-04-29,3180.036
2022-05-31,3018.8
2022-06-30,2813.868
2022-07-29,3005.825
2022-08-31,2773.073
2022-09-30,2379.662
2022-10-31,2659.693
2022-11-30,3007.045
2022-12-30,3040.93
2023-01-31,3092.844
2023-02-28,3015.537
2023-03-31,3136.424
2023-04-28,3329.474
2023-05-31,3178.168
2023-06-30,3256.101
2023-07-31,3289.132
2023-08-31,3114.396
2023-09-29,2983.04
2023-10-31,3002.43
2023-11-30,3452.332
2023-12-29,3655.001
2024-01-31,3716.104
2024-02-29,4084.165
2024-03-29,4139.8
2024-04-30,4045.617
2024-05-31,4377.913
2024-06-28,4263.057
2024-07-31,4372.277
2024-08-30,4561.476
2024-09-30,4438.357
2024-10-31,4178.112
2024-11-29,4045.775
2024-12-31,4060.426
2025-01-31,4219.449
2025-02-28,4099.018
2025-03-31,3852.644
2025-04-30,4055.017
2025-05-30,4365.054
2025-06-30,4313.587
2025-07-31,4427.749
2025-08-29,4516.825
