Date,CANADA MID CAP Mid Cap
1994-05-31,126.358
1994-06-30,118.509
1994-07-29,122.206
1994-08-31,126.277
1994-09-30,130.607
1994-10-31,128.5
1994-11-30,119.268
1994-12-30,120.375
1995-01-31,115.309
1995-02-28,119.902
1995-03-31,125.208
1995-04-28,128.512
1995-05-31,132.724
1995-06-30,133.628
1995-07-31,139.22
1995-08-31,138.047
1995-09-29,136.928
1995-10-31,134.577
1995-11-30,134.415
1995-12-29,134.634
1996-01-31,140.528
1996-02-29,141.48
1996-03-29,144.093
1996-04-30,148.896
1996-05-31,149.821
1996-06-28,145.958
1996-07-31,142.022
1996-08-30,150.21
1996-09-30,155.541
1996-10-31,167.866
1996-11-29,176.864
1996-12-31,175.897
1997-01-31,184.694
1997-02-28,188.791
1997-03-31,179.585
1997-04-30,182.374
1997-05-30,195.397
1997-06-30,198.488
1997-07-31,208.35
1997-08-29,204.624
1997-09-30,220.538
1997-10-31,208.076
1997-11-28,191.504
1997-12-31,197.237
1998-01-30,193.384
1998-02-27,213.964
1998-03-31,227.708
1998-04-30,226.061
1998-05-29,220.303
1998-06-30,214.54
1998-07-31,195.764
1998-08-31,154.064
1998-09-30,162.61
1998-10-30,171.859
1998-11-30,176.751
1998-12-31,179.894
1999-01-29,191.834
1999-02-26,184.569
1999-03-31,199.748
1999-04-30,226.306
1999-05-31,216.738
1999-06-30,222.181
1999-07-30,222.256
1999-08-31,224.601
1999-09-30,222.937
1999-10-29,222.682
1999-11-30,229.577
1999-12-31,257.949
2000-01-31,264.477
2000-02-29,293.475
2000-03-31,278.7
2000-04-28,277.028
2000-05-31,271.905
2000-06-30,281.022
2000-07-31,274.956
2000-08-31,302.076
2000-09-29,296.694
2000-10-31,282.131
2000-11-30,262.952
2000-12-29,281.014
2001-01-31,287.503
2001-02-28,272.567
2001-03-30,252.706
2001-04-30,274.567
2001-05-31,283.949
2001-06-29,281.834
2001-07-31,275.846
2001-08-31,267.578
2001-09-28,243.993
2001-10-31,247.506
2001-11-30,269.771
2001-12-31,280.463
2002-01-31,279.63
2002-02-28,279.59
2002-03-29,293.398
2002-04-30,291.782
2002-05-31,303.842
2002-06-28,285.452
2002-07-31,250.235
2002-08-30,257.69
2002-09-30,240.128
2002-10-31,244.751
2002-11-29,260.13
2002-12-31,260.345
2003-01-31,264.181
2003-02-28,263.574
2003-03-31,259.367
2003-04-30,274.705
2003-05-30,296.818
2003-06-30,304.714
2003-07-31,310.277
2003-08-29,330.168
2003-09-30,332.951
2003-10-31,359.24
2003-11-28,369.163
2003-12-31,399.121
2004-01-30,390.877
2004-02-27,400.128
2004-03-31,401.992
2004-04-30,375.544
2004-05-31,404.976
2004-06-30,422.5
2004-07-30,414.229
2004-08-31,417.893
2004-09-30,453.195
2004-10-29,477.821
2004-11-30,516.208
2004-12-31,525.418
2005-01-31,505.32
2005-02-28,545.858
2005-03-31,547.356
2005-04-29,506.592
2005-05-31,513.265
2005-06-30,535.346
2005-07-29,573.549
2005-08-31,600.663
2005-09-30,649.745
2005-10-31,609.748
2005-11-30,655.078
2005-12-30,691.15
2006-01-31,767.84
2006-02-28,749.963
2006-03-31,766.463
2006-04-28,826.045
2006-05-31,807.039
2006-06-30,788.88
2006-07-31,794.474
2006-08-31,825.204
2006-09-29,785.97
2006-10-31,825.254
2006-11-30,830.907
2006-12-29,828.382
2007-01-31,838.119
2007-02-28,851.09
2007-03-30,877.873
2007-04-30,931.221
2007-05-31,1000.0
2007-06-29,995.799
2007-07-31,982.599
2007-08-31,963.708
2007-09-28,1071.729
2007-10-31,1159.496
2007-11-30,1023.982
2007-12-31,1051.272
2008-01-31,979.172
2008-02-29,1059.256
2008-03-31,990.254
2008-04-30,1041.426
2008-05-30,1121.559
2008-06-30,1125.112
2008-07-31,1017.978
2008-08-29,1001.198
2008-09-30,807.16
2008-10-31,595.401
2008-11-28,567.67
2008-12-31,582.823
2009-01-30,567.804
2009-02-27,534.739
2009-03-31,574.694
2009-04-30,660.517
2009-05-29,778.173
2009-06-30,751.902
2009-07-31,850.323
2009-08-31,858.759
2009-09-30,935.733
2009-10-30,904.771
2009-11-30,997.239
2009-12-31,1037.576
2010-01-29,977.764
2010-02-26,1034.312
2010-03-31,1094.052
2010-04-30,1116.691
2010-05-31,1049.818
2010-06-30,1014.202
2010-07-30,1086.012
2010-08-31,1103.77
2010-09-30,1204.535
2010-10-29,1268.515
2010-11-30,1282.677
2010-12-31,1400.289
2011-01-31,1400.371
2011-02-28,1473.929
2011-03-31,1489.955
2011-04-29,1516.931
2011-05-31,1493.771
2011-06-30,1447.02
2011-07-29,1455.578
2011-08-31,1382.345
2011-09-30,1178.867
2011-10-31,1334.236
2011-11-30,1301.185
2011-12-30,1253.47
2012-01-31,1329.703
2012-02-29,1375.817
2012-03-30,1309.177
2012-04-30,1321.644
2012-05-31,1182.161
2012-06-29,1213.274
2012-07-31,1249.957
2012-08-31,1305.466
2012-09-28,1370.212
2012-10-31,1365.986
2012-11-30,1341.507
2012-12-31,1358.612
2013-01-31,1349.475
2013-02-28,1320.253
2013-03-29,1357.252
2013-04-30,1352.595
2013-05-31,1340.323
2013-06-28,1253.345
2013-07-31,1320.891
2013-08-30,1297.165
2013-09-30,1344.07
2013-10-31,1366.337
2013-11-29,1327.619
2013-12-31,1344.978
2014-01-31,1316.105
2014-02-28,1375.945
2014-03-31,1381.441
2014-04-30,1432.36
2014-05-30,1436.11
2014-06-30,1536.93
2014-07-31,1513.901
2014-08-29,1564.72
2014-09-30,1434.955
2014-10-31,1343.761
2014-11-28,1334.201
2014-12-31,1309.962
2015-01-30,1214.909
2015-02-27,1285.283
2015-03-31,1227.08
2015-04-30,1330.38
2015-05-29,1255.124
2015-06-30,1207.687
2015-07-31,1105.355
2015-08-31,1045.401
2015-09-30,996.834
2015-10-30,1071.04
2015-11-30,1037.071
2015-12-31,973.665
2016-01-29,935.029
2016-02-29,1023.374
2016-03-31,1139.607
2016-04-29,1260.706
2016-05-31,1216.631
2016-06-30,1264.76
2016-07-29,1328.063
2016-08-31,1305.105
2016-09-30,1332.0
2016-10-31,1300.54
2016-11-30,1311.798
2016-12-30,1304.576
2017-01-31,1370.507
2017-02-28,1322.231
2017-03-31,1344.636
2017-04-28,1335.926
2017-05-31,1341.302
2017-06-30,1364.984
2017-07-31,1412.552
2017-08-31,1420.537
2017-09-29,1456.522
2017-10-31,1444.918
2017-11-30,1468.59
2017-12-29,1532.281
2018-01-31,1560.577
2018-02-28,1452.357
2018-03-30,1450.05
2018-04-30,1496.107
2018-05-31,1535.427
2018-06-29,1528.314
2018-07-31,1520.873
2018-08-31,1457.157
2018-09-28,1456.22
2018-10-31,1304.199
2018-11-30,1271.966
2018-12-31,1190.355
2019-01-31,1341.991
2019-02-28,1395.067
2019-03-29,1411.219
2019-04-30,1416.073
2019-05-31,1380.153
2019-06-28,1501.074
2019-07-31,1487.396
2019-08-30,1477.121
2019-09-30,1460.869
2019-10-31,1469.199
2019-11-29,1502.242
2019-12-31,1553.017
2020-01-31,1509.432
2020-02-28,1365.518
2020-03-31,1019.955
2020-04-30,1226.623
2020-05-29,1260.582
2020-06-30,1288.42
2020-07-31,1401.15
2020-08-31,1454.305
2020-09-30,1394.098
2020-10-30,1371.416
2020-11-30,1544.266
2020-12-31,1625.88
2021-01-29,1620.235
2021-02-26,1679.019
2021-03-31,1732.216
2021-04-30,1821.624
2021-05-31,1883.813
2021-06-30,1862.407
2021-07-30,1863.724
2021-08-31,1876.431
2021-09-30,1811.491
2021-10-29,1933.56
2021-11-30,1792.672
2021-12-31,1876.494
2022-01-31,1819.555
2022-02-28,1847.038
2022-03-31,1978.487
2022-04-29,1829.52
2022-05-31,1839.546
2022-06-30,1633.276
2022-07-29,1743.259
2022-08-31,1691.741
2022-09-30,1541.666
2022-10-31,1595.023
2022-11-30,1674.887
2022-12-30,1602.74
2023-01-31,1734.889
2023-02-28,1693.123
2023-03-31,1723.652
2023-04-28,1781.406
2023-05-31,1689.771
2023-06-30,1817.5
2023-07-31,1894.412
2023-08-31,1823.437
2023-09-29,1773.968
2023-10-31,1657.399
2023-11-30,1780.07
2023-12-29,1857.363
2024-01-31,1866.355
2024-02-29,1878.174
2024-03-29,1951.721
2024-04-30,1926.209
2024-05-31,2013.039
2024-06-28,2004.368
2024-07-31,2073.985
2024-08-30,2120.513
2024-09-30,2189.615
2024-10-31,2163.697
2024-11-29,2310.866
2024-12-31,2170.66
2025-01-31,2173.397
2025-02-28,2173.682
2025-03-31,2141.803
2025-04-30,2241.534
2025-05-30,2395.785
2025-06-30,2560.458
2025-07-31,2576.368
2025-08-29,2703.684
2025-09-30,2866.549
