Date,CANADA MID CAP Mid Cap
2001-01-01,281.066
2001-01-02,278.569
2001-01-03,279.13
2001-01-04,275.883
2001-01-05,272.952
2001-01-08,275.385
2001-01-09,274.871
2001-01-10,276.657
2001-01-11,281.022
2001-01-12,280.531
2001-01-15,281.621
2001-01-16,281.46
2001-01-17,280.759
2001-01-18,278.372
2001-01-19,280.405
2001-01-22,280.663
2001-01-23,282.752
2001-01-24,282.632
2001-01-25,282.184
2001-01-26,282.526
2001-01-29,283.96
2001-01-30,286.622
2001-01-31,287.503
2001-02-01,291.015
2001-02-02,290.731
2001-02-05,289.857
2001-02-06,289.307
2001-02-07,287.573
2001-02-08,288.752
2001-02-09,288.826
2001-02-12,287.647
2001-02-13,287.529
2001-02-14,285.19
2001-02-15,287.065
2001-02-16,282.053
2001-02-19,281.535
2001-02-20,277.193
2001-02-21,270.31
2001-02-22,271.325
2001-02-23,270.38
2001-02-26,274.499
2001-02-27,274.401
2001-02-28,272.567
2001-03-01,269.806
2001-03-02,269.062
2001-03-05,270.816
2001-03-06,274.629
2001-03-07,276.261
2001-03-08,275.639
2001-03-09,274.203
2001-03-12,269.175
2001-03-13,268.384
2001-03-14,265.183
2001-03-15,262.635
2001-03-16,256.901
2001-03-19,260.894
2001-03-20,259.109
2001-03-21,253.262
2001-03-22,248.881
2001-03-23,250.791
2001-03-26,255.26
2001-03-27,256.189
2001-03-28,251.194
2001-03-29,249.594
2001-03-30,252.706
2001-04-02,251.862
2001-04-03,245.126
2001-04-04,246.995
2001-04-05,250.663
2001-04-06,251.272
2001-04-09,254.515
2001-04-10,260.457
2001-04-11,259.711
2001-04-12,261.485
2001-04-13,261.485
2001-04-16,261.38
2001-04-17,264.807
2001-04-18,269.112
2001-04-19,273.324
2001-04-20,271.858
2001-04-23,268.475
2001-04-24,266.813
2001-04-25,270.383
2001-04-26,272.717
2001-04-27,273.382
2001-04-30,274.567
2001-05-01,274.701
2001-05-02,276.164
2001-05-03,273.942
2001-05-04,275.218
2001-05-07,274.859
2001-05-08,274.154
2001-05-09,275.886
2001-05-10,278.709
2001-05-11,275.57
2001-05-14,275.616
2001-05-15,278.067
2001-05-16,282.372
2001-05-17,286.261
2001-05-18,288.324
2001-05-21,288.703
2001-05-22,290.512
2001-05-23,287.885
2001-05-24,286.248
2001-05-25,284.92
2001-05-28,285.775
2001-05-29,288.228
2001-05-30,283.602
2001-05-31,283.949
2001-06-01,289.767
2001-06-04,289.472
2001-06-05,288.81
2001-06-06,288.173
2001-06-07,288.452
2001-06-08,286.154
2001-06-11,285.904
2001-06-12,286.114
2001-06-13,285.058
2001-06-14,282.117
2001-06-15,277.632
2001-06-18,274.29
2001-06-19,273.538
2001-06-20,273.843
2001-06-21,275.06
2001-06-22,273.205
2001-06-25,273.142
2001-06-26,272.804
2001-06-27,273.169
2001-06-28,275.556
2001-06-29,281.834
2001-07-02,282.266
2001-07-03,282.925
2001-07-04,282.111
2001-07-05,279.925
2001-07-06,276.988
2001-07-09,276.264
2001-07-10,274.462
2001-07-11,273.32
2001-07-12,276.078
2001-07-13,277.041
2001-07-16,274.713
2001-07-17,276.697
2001-07-18,275.608
2001-07-19,274.658
2001-07-20,273.893
2001-07-23,271.518
2001-07-24,271.613
2001-07-25,273.301
2001-07-26,271.924
2001-07-27,274.415
2001-07-30,274.644
2001-07-31,275.846
2001-08-01,277.764
2001-08-02,280.439
2001-08-03,280.362
2001-08-06,281.861
2001-08-07,280.242
2001-08-08,278.189
2001-08-09,279.297
2001-08-10,276.677
2001-08-13,276.669
2001-08-14,275.765
2001-08-15,275.361
2001-08-16,276.36
2001-08-17,273.441
2001-08-20,272.304
2001-08-21,272.328
2001-08-22,273.234
2001-08-23,273.198
2001-08-24,276.53
2001-08-27,275.99
2001-08-28,273.809
2001-08-29,271.796
2001-08-30,268.099
2001-08-31,267.578
2001-09-03,267.319
2001-09-04,270.421
2001-09-05,269.258
2001-09-06,265.875
2001-09-07,262.399
2001-09-10,261.578
2001-09-11,247.538
2001-09-12,249.602
2001-09-13,251.583
2001-09-14,241.353
2001-09-17,245.677
2001-09-18,243.597
2001-09-19,239.401
2001-09-20,233.922
2001-09-21,233.271
2001-09-24,238.913
2001-09-25,238.648
2001-09-26,237.882
2001-09-27,238.398
2001-09-28,243.993
2001-10-01,244.165
2001-10-02,245.05
2001-10-03,246.288
2001-10-04,247.299
2001-10-05,248.645
2001-10-08,249.001
2001-10-09,247.202
2001-10-10,248.116
2001-10-11,253.903
2001-10-12,253.09
2001-10-15,251.687
2001-10-16,255.12
2001-10-17,252.022
2001-10-18,249.171
2001-10-19,249.838
2001-10-22,249.039
2001-10-23,251.358
2001-10-24,251.855
2001-10-25,253.646
2001-10-26,253.656
2001-10-29,249.858
2001-10-30,246.747
2001-10-31,247.506
2001-11-01,248.518
2001-11-02,248.999
2001-11-05,252.094
2001-11-06,253.242
2001-11-07,255.608
2001-11-08,253.914
2001-11-09,253.969
2001-11-12,254.84
2001-11-13,258.924
2001-11-14,260.772
2001-11-15,261.369
2001-11-16,263.37
2001-11-19,267.033
2001-11-20,264.167
2001-11-21,261.713
2001-11-22,262.842
2001-11-23,264.871
2001-11-26,266.883
2001-11-27,267.784
2001-11-28,265.704
2001-11-29,268.305
2001-11-30,269.771
2001-12-03,268.014
2001-12-04,270.149
2001-12-05,277.079
2001-12-06,275.555
2001-12-07,277.552
2001-12-10,274.854
2001-12-11,273.607
2001-12-12,277.642
2001-12-13,274.121
2001-12-14,273.81
2001-12-17,277.362
2001-12-18,278.322
2001-12-19,274.022
2001-12-20,273.479
2001-12-21,275.195
2001-12-24,273.902
2001-12-25,273.902
2001-12-26,273.822
2001-12-27,278.561
2001-12-28,279.409
2001-12-31,280.463
2002-01-01,280.463
2002-01-02,279.083
2002-01-03,283.911
2002-01-04,286.074
2002-01-07,286.759
2002-01-08,285.089
2002-01-09,285.824
2002-01-10,283.502
2002-01-11,282.905
2002-01-14,278.721
2002-01-15,281.553
2002-01-16,280.088
2002-01-17,278.39
2002-01-18,276.471
2002-01-21,274.578
2002-01-22,274.989
2002-01-23,275.812
2002-01-24,279.055
2002-01-25,276.762
2002-01-28,275.757
2002-01-29,278.269
2002-01-30,276.569
2002-01-31,279.63
2002-02-01,282.609
2002-02-04,278.624
2002-02-05,276.037
2002-02-06,273.425
2002-02-07,271.729
2002-02-08,274.004
2002-02-11,277.347
2002-02-12,275.664
2002-02-13,278.264
2002-02-14,278.667
2002-02-15,277.213
2002-02-18,277.203
2002-02-19,275.667
2002-02-20,273.818
2002-02-21,273.39
2002-02-22,273.236
2002-02-25,276.12
2002-02-26,276.346
2002-02-27,278.472
2002-02-28,279.59
2002-03-01,283.63
2002-03-04,291.888
2002-03-05,291.958
2002-03-06,296.129
2002-03-07,297.083
2002-03-08,295.948
2002-03-11,295.526
2002-03-12,294.832
2002-03-13,292.58
2002-03-14,292.071
2002-03-15,294.09
2002-03-18,295.786
2002-03-19,298.138
2002-03-20,298.744
2002-03-21,295.431
2002-03-22,297.463
2002-03-25,291.37
2002-03-26,291.878
2002-03-27,295.052
2002-03-28,293.398
2002-03-29,293.398
2002-04-01,292.587
2002-04-02,293.752
2002-04-03,292.667
2002-04-04,291.203
2002-04-05,292.581
2002-04-08,291.741
2002-04-09,291.342
2002-04-10,293.518
2002-04-11,290.734
2002-04-12,293.38
2002-04-15,294.143
2002-04-16,300.291
2002-04-17,302.136
2002-04-18,299.083
2002-04-19,300.693
2002-04-22,297.994
2002-04-23,295.063
2002-04-24,294.94
2002-04-25,293.45
2002-04-26,292.448
2002-04-29,289.752
2002-04-30,291.782
