Date,PORTUGAL SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,101.18
2001-01-03,99.933
2001-01-04,99.907
2001-01-05,102.374
2001-01-08,102.179
2001-01-09,100.451
2001-01-10,101.312
2001-01-11,102.936
2001-01-12,104.473
2001-01-15,104.076
2001-01-16,103.153
2001-01-17,104.152
2001-01-18,106.973
2001-01-19,107.255
2001-01-22,106.927
2001-01-23,107.605
2001-01-24,104.563
2001-01-25,104.545
2001-01-26,104.482
2001-01-29,103.602
2001-01-30,104.548
2001-01-31,108.02
2001-02-01,110.646
2001-02-02,107.701
2001-02-05,108.664
2001-02-06,107.733
2001-02-07,106.906
2001-02-08,105.023
2001-02-09,103.894
2001-02-12,104.507
2001-02-13,103.829
2001-02-14,103.155
2001-02-15,101.581
2001-02-16,102.502
2001-02-19,102.71
2001-02-20,101.755
2001-02-21,102.129
2001-02-22,101.515
2001-02-23,100.731
2001-02-26,101.555
2001-02-27,102.56
2001-02-28,102.19
2001-03-01,102.703
2001-03-02,103.818
2001-03-05,102.885
2001-03-06,104.402
2001-03-07,104.216
2001-03-08,104.09
2001-03-09,102.901
2001-03-12,101.589
2001-03-13,100.826
2001-03-14,99.68
2001-03-15,98.44
2001-03-16,95.884
2001-03-19,93.387
2001-03-20,96.171
2001-03-21,94.061
2001-03-22,90.399
2001-03-23,93.689
2001-03-26,94.138
2001-03-27,93.097
2001-03-28,91.199
2001-03-29,90.564
2001-03-30,91.048
2001-04-02,90.194
2001-04-03,86.772
2001-04-04,87.236
2001-04-05,91.54
2001-04-06,90.917
2001-04-09,92.171
2001-04-10,91.442
2001-04-11,90.515
2001-04-12,91.674
2001-04-13,91.674
2001-04-16,90.735
2001-04-17,89.501
2001-04-18,88.674
2001-04-19,89.448
2001-04-20,90.149
2001-04-23,89.548
2001-04-24,89.442
2001-04-25,89.772
2001-04-26,91.537
2001-04-27,90.052
2001-04-30,90.562
2001-05-01,91.042
2001-05-02,90.74
2001-05-03,92.447
2001-05-04,93.253
2001-05-07,93.013
2001-05-08,91.072
2001-05-09,91.054
2001-05-10,90.602
2001-05-11,89.69
2001-05-14,89.457
2001-05-15,92.276
2001-05-16,91.652
2001-05-17,92.067
2001-05-18,90.535
2001-05-21,89.707
2001-05-22,88.57
2001-05-23,87.082
2001-05-24,86.693
2001-05-25,87.075
2001-05-28,86.934
2001-05-29,85.716
2001-05-30,85.912
2001-05-31,85.372
2001-06-01,85.27
2001-06-04,84.904
2001-06-05,84.286
2001-06-06,83.977
2001-06-07,83.819
2001-06-08,84.718
2001-06-11,82.474
2001-06-12,79.056
2001-06-13,78.63
2001-06-14,79.304
2001-06-15,80.371
2001-06-18,79.176
2001-06-19,78.261
2001-06-20,76.329
2001-06-21,75.769
2001-06-22,76.994
2001-06-25,76.283
2001-06-26,77.798
2001-06-27,76.536
2001-06-28,76.282
2001-06-29,76.021
2001-07-02,75.289
2001-07-03,75.989
2001-07-04,75.868
2001-07-05,75.085
2001-07-06,75.047
2001-07-09,75.009
2001-07-10,75.665
2001-07-11,75.876
2001-07-12,75.046
2001-07-13,75.553
2001-07-16,75.623
2001-07-17,75.666
2001-07-18,78.614
2001-07-19,78.96
