Date,FRANCE SMALL GROWTH Small Cap
2001-01-01,499.09
2001-01-02,499.207
2001-01-03,484.875
2001-01-04,492.209
2001-01-05,487.155
2001-01-08,479.7
2001-01-09,473.4
2001-01-10,472.931
2001-01-11,483.61
2001-01-12,495.001
2001-01-15,497.021
2001-01-16,493.764
2001-01-17,496.257
2001-01-18,505.552
2001-01-19,510.11
2001-01-22,511.086
2001-01-23,509.826
2001-01-24,506.068
2001-01-25,502.372
2001-01-26,501.972
2001-01-29,499.93
2001-01-30,503.011
2001-01-31,509.546
2001-02-01,512.305
2001-02-02,509.99
2001-02-05,509.182
2001-02-06,507.283
2001-02-07,502.87
2001-02-08,498.315
2001-02-09,495.765
2001-02-12,498.864
2001-02-13,494.162
2001-02-14,485.504
2001-02-15,482.915
2001-02-16,481.549
2001-02-19,482.479
2001-02-20,473.012
2001-02-21,469.645
2001-02-22,462.042
2001-02-23,459.98
2001-02-26,463.489
2001-02-27,467.923
2001-02-28,460.708
2001-03-01,457.521
2001-03-02,456.394
2001-03-05,455.967
2001-03-06,469.096
2001-03-07,469.048
2001-03-08,472.247
2001-03-09,467.676
2001-03-12,456.359
2001-03-13,443.882
2001-03-14,434.195
2001-03-15,431.774
2001-03-16,420.537
2001-03-19,417.601
2001-03-20,423.803
2001-03-21,411.76
2001-03-22,392.637
2001-03-23,403.613
2001-03-26,410.592
2001-03-27,416.128
2001-03-28,412.053
2001-03-29,402.718
2001-03-30,404.939
2001-04-02,404.922
2001-04-03,395.438
2001-04-04,400.78
2001-04-05,405.166
2001-04-06,404.414
2001-04-09,404.108
2001-04-10,402.846
2001-04-11,404.572
2001-04-12,409.506
2001-04-13,409.506
2001-04-16,405.312
2001-04-17,400.989
2001-04-18,405.394
2001-04-19,413.736
2001-04-20,418.668
2001-04-23,415.938
2001-04-24,415.491
2001-04-25,419.977
2001-04-26,428.996
2001-04-27,428.071
2001-04-30,429.537
2001-05-01,431.835
2001-05-02,437.265
2001-05-03,435.191
2001-05-04,433.131
2001-05-07,434.309
2001-05-08,432.87
2001-05-09,429.609
2001-05-10,430.439
2001-05-11,428.105
2001-05-14,425.277
2001-05-15,427.738
2001-05-16,429.81
2001-05-17,433.015
2001-05-18,431.483
2001-05-21,432.417
2001-05-22,429.445
2001-05-23,426.471
2001-05-24,425.702
2001-05-25,425.268
2001-05-28,431.833
2001-05-29,424.526
2001-05-30,422.614
2001-05-31,417.161
2001-06-01,416.896
2001-06-04,417.515
2001-06-05,421.003
2001-06-06,417.375
2001-06-07,419.194
2001-06-08,419.881
2001-06-11,414.194
2001-06-12,408.33
2001-06-13,409.808
2001-06-14,408.575
2001-06-15,406.835
2001-06-18,400.329
2001-06-19,396.055
2001-06-20,386.422
2001-06-21,385.334
2001-06-22,385.867
2001-06-25,385.981
2001-06-26,382.643
2001-06-27,379.331
2001-06-28,376.03
2001-06-29,376.527
2001-07-02,378.699
2001-07-03,378.381
2001-07-04,375.27
2001-07-05,367.864
2001-07-06,366.968
2001-07-09,368.212
2001-07-10,371.809
2001-07-11,371.334
2001-07-12,369.797
2001-07-13,369.359
2001-07-16,371.104
2001-07-17,368.244
2001-07-18,375.528
2001-07-19,374.033
2001-07-20,373.109
2001-07-23,369.877
2001-07-24,370.455
2001-07-25,369.383
2001-07-26,367.983
2001-07-27,368.328
2001-07-30,369.45
2001-07-31,372.189
2001-08-01,375.316
2001-08-02,378.163
2001-08-03,377.441
2001-08-06,375.968
2001-08-07,373.828
2001-08-08,369.669
2001-08-09,369.154
2001-08-10,371.713
2001-08-13,374.173
2001-08-14,375.999
2001-08-15,381.635
2001-08-16,380.319
2001-08-17,378.366
2001-08-20,374.012
2001-08-21,374.502
2001-08-22,377.306
2001-08-23,374.634
2001-08-24,376.776
2001-08-27,375.951
2001-08-28,374.824
2001-08-29,375.071
2001-08-30,370.427
2001-08-31,369.078
2001-09-03,362.542
2001-09-04,354.35
2001-09-05,348.828
2001-09-06,340.077
2001-09-07,342.088
2001-09-10,332.504
2001-09-11,319.798
2001-09-12,311.373
2001-09-13,312.037
2001-09-14,304.241
2001-09-17,297.459
2001-09-18,296.991
2001-09-19,297.89
2001-09-20,287.403
2001-09-21,272.921
2001-09-24,280.379
2001-09-25,289.833
2001-09-26,296.933
2001-09-27,294.068
2001-09-28,297.366
2001-10-01,298.904
2001-10-02,298.139
2001-10-03,296.245
2001-10-04,302.534
2001-10-05,306.494
2001-10-08,305.615
2001-10-09,307.303
2001-10-10,305.553
2001-10-11,309.514
2001-10-12,312.825
2001-10-15,307.902
2001-10-16,310.859
2001-10-17,316.175
2001-10-18,311.973
2001-10-19,310.484
2001-10-22,310.397
2001-10-23,315.074
2001-10-24,318.569
2001-10-25,317.765
2001-10-26,322.807
2001-10-29,325.693
2001-10-30,321.735
2001-10-31,319.186
2001-11-01,320.548
2001-11-02,319.633
2001-11-05,319.242
2001-11-06,320.638
2001-11-07,320.562
2001-11-08,320.366
2001-11-09,320.91
2001-11-12,319.589
2001-11-13,322.119
2001-11-14,325.129
2001-11-15,326.897
2001-11-16,330.229
2001-11-19,335.555
2001-11-20,334.593
2001-11-21,329.98
2001-11-22,332.202
2001-11-23,331.534
2001-11-26,335.768
2001-11-27,338.503
2001-11-28,337.928
2001-11-29,338.38
2001-11-30,341.667
2001-12-03,338.723
2001-12-04,340.606
2001-12-05,345.564
2001-12-06,347.824
2001-12-07,348.535
2001-12-10,346.358
2001-12-11,347.475
2001-12-12,349.23
2001-12-13,344.571
2001-12-14,344.904
2001-12-17,347.438
2001-12-18,345.898
2001-12-19,342.665
2001-12-20,339.985
2001-12-21,336.344
2001-12-24,334.061
2001-12-25,334.061
2001-12-26,334.346
2001-12-27,339.629
2001-12-28,339.213
2001-12-31,342.522
2002-01-01,342.522
2002-01-02,351.196
2002-01-03,354.824
2002-01-04,355.04
2002-01-07,355.579
2002-01-08,354.946
2002-01-09,356.371
2002-01-10,357.723
2002-01-11,358.009
2002-01-14,356.76
2002-01-15,356.7
2002-01-16,351.219
2002-01-17,349.54
2002-01-18,350.062
2002-01-21,348.875
2002-01-22,348.924
2002-01-23,348.755
2002-01-24,349.201
2002-01-25,342.463
2002-01-28,341.845
2002-01-29,342.163
2002-01-30,339.864
2002-01-31,341.52
2002-02-01,342.694
2002-02-04,343.715
2002-02-05,341.393
2002-02-06,341.31
2002-02-07,340.522
2002-02-08,340.157
2002-02-11,343.455
2002-02-12,341.833
2002-02-13,340.0
2002-02-14,341.31
2002-02-15,341.029
2002-02-18,339.119
2002-02-19,337.339
2002-02-20,335.819
2002-02-21,336.004
2002-02-22,337.303
2002-02-25,337.609
2002-02-26,338.472
2002-02-27,339.351
2002-02-28,340.207
2002-03-01,342.322
2002-03-04,349.154
2002-03-05,347.798
2002-03-06,351.766
2002-03-07,355.987
2002-03-08,354.716
2002-03-11,355.324
2002-03-12,351.14
2002-03-13,353.984
2002-03-14,356.495
2002-03-15,357.252
2002-03-18,356.892
2002-03-19,357.926
2002-03-20,359.228
2002-03-21,359.239
2002-03-22,359.347
2002-03-25,358.476
2002-03-26,358.554
2002-03-27,357.874
2002-03-28,360.884
2002-03-29,360.884
2002-04-01,363.842
2002-04-02,364.048
2002-04-03,362.134
2002-04-04,361.504
2002-04-05,360.868
2002-04-08,355.368
2002-04-09,358.6
2002-04-10,360.253
2002-04-11,360.209
2002-04-12,358.879
2002-04-15,360.172
2002-04-16,362.974
2002-04-17,365.528
2002-04-18,367.429
2002-04-19,364.813
2002-04-22,362.527
2002-04-23,361.874
2002-04-24,362.394
2002-04-25,363.212
2002-04-26,364.215
2002-04-29,363.69
2002-04-30,363.702
2002-05-01,365.76
2002-05-02,362.623
2002-05-03,365.05
2002-05-06,366.537
2002-05-07,362.137
2002-05-08,363.907
2002-05-09,365.648
2002-05-10,367.636
2002-05-13,365.571
2002-05-14,363.914
2002-05-15,365.792
2002-05-16,365.191
2002-05-17,369.103
2002-05-20,370.11
2002-05-21,368.2
2002-05-22,367.066
2002-05-23,362.59
2002-05-24,360.816
2002-05-27,359.408
2002-05-28,361.626
2002-05-29,362.968
2002-05-30,362.548
2002-05-31,362.52
2002-06-03,361.772
2002-06-04,356.249
2002-06-05,353.042
2002-06-06,354.081
2002-06-07,347.295
2002-06-10,349.627
2002-06-11,347.95
2002-06-12,342.236
2002-06-13,336.935
2002-06-14,329.128
2002-06-17,338.313
2002-06-18,342.3
2002-06-19,340.601
2002-06-20,336.645
2002-06-21,335.938
2002-06-24,326.345
2002-06-25,331.007
2002-06-26,329.415
2002-06-27,336.006
2002-06-28,348.706
2002-07-01,352.094
2002-07-02,340.611
2002-07-03,329.322
2002-07-04,330.749
2002-07-05,339.888
2002-07-08,344.084
2002-07-09,343.979
2002-07-10,334.386
2002-07-11,325.312
2002-07-12,327.245
2002-07-15,322.912
2002-07-16,320.978
2002-07-17,328.069
2002-07-18,331.515
2002-07-19,326.828
2002-07-22,315.021
2002-07-23,305.496
2002-07-24,292.854
2002-07-25,302.47
2002-07-26,294.205
2002-07-29,299.285
2002-07-30,303.442
2002-07-31,299.205
2002-08-01,297.397
2002-08-02,292.331
2002-08-05,287.427
2002-08-06,278.238
2002-08-07,281.181
2002-08-08,280.934
2002-08-09,287.546
2002-08-12,284.369
2002-08-13,284.905
2002-08-14,282.353
2002-08-15,278.928
2002-08-16,278.673
2002-08-19,280.633
2002-08-20,282.97
2002-08-21,290.177
2002-08-22,297.3
2002-08-23,296.004
2002-08-26,295.527
2002-08-27,301.759
2002-08-28,298.789
2002-08-29,295.739
2002-08-30,294.894
2002-09-02,293.536
2002-09-03,288.78
2002-09-04,288.178
2002-09-05,284.261
2002-09-06,284.177
2002-09-09,278.949
2002-09-10,278.792
2002-09-11,281.736
2002-09-12,278.794
2002-09-13,274.689
2002-09-16,268.402
2002-09-17,266.224
2002-09-18,258.896
2002-09-19,251.09
2002-09-20,251.793
2002-09-23,243.877
2002-09-24,236.709
2002-09-25,240.132
2002-09-26,246.384
2002-09-27,245.754
2002-09-30,237.165
2002-10-01,234.811
2002-10-02,237.265
2002-10-03,234.441
2002-10-04,230.623
2002-10-07,226.54
2002-10-08,222.767
2002-10-09,220.198
2002-10-10,221.989
2002-10-11,233.869
2002-10-14,232.308
2002-10-15,243.531
2002-10-16,242.339
2002-10-17,252.488
2002-10-18,252.987
2002-10-21,256.626
2002-10-22,254.409
2002-10-23,245.748
2002-10-24,246.514
2002-10-25,245.933
2002-10-28,250.189
2002-10-29,245.491
2002-10-30,249.904
2002-10-31,259.167
2002-11-01,260.555
2002-11-04,272.548
2002-11-05,268.961
2002-11-06,268.804
2002-11-07,264.735
2002-11-08,262.504
2002-11-11,259.809
2002-11-12,259.572
2002-11-13,258.746
2002-11-14,263.59
2002-11-15,264.991
2002-11-18,268.742
2002-11-19,267.594
2002-11-20,265.471
2002-11-21,275.98
2002-11-22,278.36
2002-11-25,277.323
2002-11-26,275.833
2002-11-27,276.531
2002-11-28,283.648
2002-11-29,284.32
2002-12-02,284.821
2002-12-03,278.64
2002-12-04,274.026
2002-12-05,274.501
2002-12-06,272.957
2002-12-09,267.14
2002-12-10,266.402
2002-12-11,266.824
2002-12-12,266.531
2002-12-13,264.115
2002-12-16,265.72
2002-12-17,267.019
2002-12-18,259.254
2002-12-19,256.253
2002-12-20,258.479
2002-12-23,255.918
2002-12-24,258.63
2002-12-25,258.63
2002-12-26,259.283
2002-12-27,259.255
2002-12-30,259.783
2002-12-31,264.95
2003-01-01,264.95
2003-01-02,268.842
2003-01-03,271.465
2003-01-06,275.312
2003-01-07,272.798
2003-01-08,263.413
2003-01-09,265.085
2003-01-10,269.047
2003-01-13,270.87
2003-01-14,274.2
2003-01-15,274.722
2003-01-16,274.023
2003-01-17,269.667
2003-01-20,267.811
2003-01-21,266.157
2003-01-22,260.625
2003-01-23,264.078
2003-01-24,263.979
2003-01-27,256.617
2003-01-28,259.738
2003-01-29,258.952
2003-01-30,259.2
2003-01-31,256.576
2003-02-03,260.094
2003-02-04,259.34
2003-02-05,257.362
2003-02-06,257.221
2003-02-07,255.244
2003-02-10,249.836
2003-02-11,250.585
2003-02-12,248.59
2003-02-13,249.491
2003-02-14,249.012
2003-02-17,249.873
2003-02-18,249.51
2003-02-19,248.211
2003-02-20,248.066
2003-02-21,244.803
2003-02-24,243.068
2003-02-25,236.319
2003-02-26,233.487
2003-02-27,230.053
2003-02-28,234.94
2003-03-03,236.654
2003-03-04,232.574
2003-03-05,231.192
2003-03-06,229.879
2003-03-07,226.863
2003-03-10,222.537
2003-03-11,221.735
2003-03-12,213.977
2003-03-13,218.006
2003-03-14,224.694
2003-03-17,226.996
2003-03-18,228.972
2003-03-19,230.867
2003-03-20,229.67
2003-03-21,234.793
2003-03-24,227.953
2003-03-25,229.078
2003-03-26,229.92
2003-03-27,226.806
2003-03-28,227.594
2003-03-31,225.76
2003-04-01,227.143
2003-04-02,230.442
2003-04-03,231.476
2003-04-04,234.05
2003-04-07,241.363
2003-04-08,240.67
2003-04-09,240.885
2003-04-10,241.342
2003-04-11,242.498
2003-04-14,243.578
2003-04-15,246.276
2003-04-16,248.116
2003-04-17,249.834
2003-04-18,249.834
2003-04-21,248.758
2003-04-22,253.037
2003-04-23,258.086
2003-04-24,258.629
2003-04-25,258.781
2003-04-28,262.743
2003-04-29,265.257
2003-04-30,269.001
2003-05-01,271.471
2003-05-02,272.59
2003-05-05,279.625
2003-05-06,285.783
2003-05-07,289.999
2003-05-08,288.33
2003-05-09,285.844
2003-05-12,287.099
2003-05-13,286.831
2003-05-14,289.811
2003-05-15,289.397
2003-05-16,293.194
2003-05-19,289.202
2003-05-20,286.448
2003-05-21,286.004
2003-05-22,293.043
2003-05-23,296.405
2003-05-26,296.849
2003-05-27,298.877
2003-05-28,300.334
2003-05-29,304.487
2003-05-30,307.113
2003-06-02,309.05
2003-06-03,307.957
2003-06-04,312.138
2003-06-05,316.343
2003-06-06,318.58
2003-06-09,320.727
2003-06-10,318.765
2003-06-11,324.095
2003-06-12,324.179
2003-06-13,321.636
2003-06-16,325.945
2003-06-17,328.334
2003-06-18,323.687
2003-06-19,319.481
2003-06-20,315.706
2003-06-23,310.403
2003-06-24,306.113
2003-06-25,309.008
2003-06-26,306.334
2003-06-27,307.634
2003-06-30,308.255
2003-07-01,307.362
2003-07-02,309.569
2003-07-03,310.34
2003-07-04,309.093
2003-07-07,309.987
2003-07-08,309.934
2003-07-09,309.304
2003-07-10,307.562
2003-07-11,307.035
2003-07-14,309.48
2003-07-15,307.669
2003-07-16,307.916
2003-07-17,304.909
2003-07-18,305.756
2003-07-21,308.238
2003-07-22,310.822
2003-07-23,315.616
2003-07-24,317.021
2003-07-25,318.334
2003-07-28,320.62
2003-07-29,321.662
2003-07-30,320.349
2003-07-31,318.185
2003-08-01,319.654
2003-08-04,321.23
2003-08-05,325.445
2003-08-06,321.445
2003-08-07,318.014
2003-08-08,316.824
2003-08-11,317.822
2003-08-12,316.825
2003-08-13,318.602
2003-08-14,318.454
2003-08-15,318.5
2003-08-18,316.521
2003-08-19,316.693
2003-08-20,318.577
2003-08-21,315.709
2003-08-22,315.145
2003-08-25,314.637
2003-08-26,313.22
2003-08-27,315.448
2003-08-28,318.516
2003-08-29,323.55
2003-09-01,327.392
2003-09-02,326.402
2003-09-03,331.285
2003-09-04,334.679
2003-09-05,337.97
2003-09-08,341.53
2003-09-09,341.208
2003-09-10,338.677
2003-09-11,336.993
2003-09-12,342.962
2003-09-15,344.259
2003-09-16,344.68
2003-09-17,348.557
2003-09-18,348.556
2003-09-19,349.557
2003-09-22,349.801
2003-09-23,349.84
2003-09-24,349.036
2003-09-25,348.768
2003-09-26,344.298
2003-09-29,344.719
2003-09-30,343.916
2003-10-01,346.845
2003-10-02,349.701
2003-10-03,353.677
2003-10-06,355.735
2003-10-07,357.008
2003-10-08,360.062
2003-10-09,361.345
2003-10-10,360.959
2003-10-13,359.683
2003-10-14,357.759
2003-10-15,359.155
2003-10-16,360.088
2003-10-17,358.107
2003-10-20,358.883
2003-10-21,360.994
2003-10-22,362.749
2003-10-23,360.811
2003-10-24,365.793
2003-10-27,365.945
2003-10-28,366.306
2003-10-29,368.876
2003-10-30,369.694
2003-10-31,367.616
2003-11-03,369.887
2003-11-04,370.699
2003-11-05,369.652
2003-11-06,365.938
2003-11-07,369.168
2003-11-10,369.614
2003-11-11,369.151
2003-11-12,374.784
2003-11-13,376.911
2003-11-14,376.715
2003-11-17,370.419
2003-11-18,372.98
2003-11-19,372.013
2003-11-20,373.624
2003-11-21,375.628
2003-11-24,376.491
2003-11-25,379.981
2003-11-26,382.707
2003-11-27,381.621
2003-11-28,384.631
2003-12-01,388.824
2003-12-02,392.159
2003-12-03,392.576
2003-12-04,390.102
2003-12-05,391.98
2003-12-08,391.357
2003-12-09,392.393
2003-12-10,389.945
2003-12-11,385.463
2003-12-12,388.739
2003-12-15,390.315
2003-12-16,385.238
2003-12-17,384.698
2003-12-18,386.074
2003-12-19,383.989
2003-12-22,384.326
2003-12-23,383.655
2003-12-24,385.578
2003-12-25,385.578
2003-12-26,385.423
2003-12-29,387.727
2003-12-30,392.552
2003-12-31,396.483
2004-01-01,396.483
2004-01-02,402.224
2004-01-05,409.963
2004-01-06,414.606
2004-01-07,412.479
2004-01-08,418.969
2004-01-09,422.741
