Date,EUROPE MID VALUE Mid Cap
1994-05-31,162.525
1994-06-30,160.819
1994-07-29,168.114
1994-08-31,171.288
1994-09-30,164.671
1994-10-31,168.01
1994-11-30,161.715
1994-12-30,162.791
1995-01-31,161.458
1995-02-28,163.962
1995-03-31,168.304
1995-04-28,173.973
1995-05-31,177.689
1995-06-30,178.846
1995-07-31,188.281
1995-08-31,180.041
1995-09-29,182.62
1995-10-31,179.399
1995-11-30,176.805
1995-12-29,182.337
1996-01-31,184.525
1996-02-29,189.664
1996-03-29,189.996
1996-04-30,192.187
1996-05-31,195.327
1996-06-28,197.295
1996-07-31,195.123
1996-08-30,197.792
1996-09-30,197.193
1996-10-31,199.883
1996-11-29,207.245
1996-12-31,214.617
1997-01-31,213.533
1997-02-28,214.669
1997-03-31,218.733
1997-04-30,214.166
1997-05-30,224.154
1997-06-30,230.436
1997-07-31,231.77
1997-08-29,228.626
1997-09-30,246.128
1997-10-31,244.03
1997-11-28,242.35
1997-12-31,247.115
1998-01-30,253.345
1998-02-27,272.491
1998-03-31,298.58
1998-04-30,308.472
1998-05-29,317.193
1998-06-30,304.192
1998-07-31,307.937
1998-08-31,272.895
1998-09-30,260.784
1998-10-30,278.481
1998-11-30,285.722
1998-12-31,290.136
1999-01-29,286.193
1999-02-26,282.313
1999-03-31,285.395
1999-04-30,298.005
1999-05-31,290.483
1999-06-30,292.518
1999-07-30,302.142
1999-08-31,305.203
1999-09-30,302.233
1999-10-29,294.923
1999-11-30,289.879
1999-12-31,310.816
2000-01-31,289.391
2000-02-29,296.716
2000-03-31,300.45
2000-04-28,290.507
2000-05-31,294.066
2000-06-30,308.126
2000-07-31,307.364
2000-08-31,305.266
2000-09-29,295.081
2000-10-31,291.722
2000-11-30,297.467
2000-12-29,320.836
2001-01-31,325.325
2001-02-28,325.056
2001-03-30,299.495
2001-04-30,311.313
2001-05-31,308.386
2001-06-29,299.283
2001-07-31,302.061
2001-08-31,305.214
2001-09-28,261.363
2001-10-31,271.947
2001-11-30,284.753
2001-12-31,290.357
2002-01-31,286.759
2002-02-28,289.449
2002-03-29,309.756
2002-04-30,319.475
2002-05-31,326.345
2002-06-28,318.004
2002-07-31,286.988
2002-08-30,284.052
2002-09-30,252.348
2002-10-31,266.554
2002-11-29,278.047
2002-12-31,269.067
2003-01-31,256.931
2003-02-28,248.201
2003-03-31,244.591
2003-04-30,279.378
2003-05-30,301.597
2003-06-30,305.601
2003-07-31,318.449
2003-08-29,322.45
2003-09-30,327.783
2003-10-31,353.611
2003-11-28,368.024
2003-12-31,392.009
2004-01-30,402.263
2004-02-27,420.812
2004-03-31,409.074
2004-04-30,405.613
2004-05-31,415.637
2004-06-30,428.2
2004-07-30,420.081
2004-08-31,422.762
2004-09-30,439.786
2004-10-29,457.409
2004-11-30,496.688
2004-12-31,523.288
2005-01-31,522.962
2005-02-28,547.969
2005-03-31,531.8
2005-04-29,515.112
2005-05-31,524.372
2005-06-30,531.13
2005-07-29,546.915
2005-08-31,559.269
2005-09-30,572.564
2005-10-31,550.957
2005-11-30,570.231
2005-12-30,599.61
2006-01-31,645.575
2006-02-28,654.152
2006-03-31,686.152
2006-04-28,719.107
2006-05-31,704.238
2006-06-30,709.373
2006-07-31,717.49
2006-08-31,750.0
2006-09-29,770.19
2006-10-31,806.697
2006-11-30,844.759
2006-12-29,877.749
2007-01-31,887.066
2007-02-28,888.151
2007-03-30,928.401
2007-04-30,981.909
2007-05-31,1000.0
2007-06-29,968.06
2007-07-31,942.969
2007-08-31,929.899
2007-09-28,919.782
2007-10-31,961.024
2007-11-30,886.93
2007-12-31,848.557
2008-01-31,781.758
2008-02-29,789.35
2008-03-31,805.228
2008-04-30,825.29
2008-05-30,820.732
2008-06-30,710.956
2008-07-31,678.963
2008-08-29,677.708
2008-09-30,569.833
2008-10-31,434.288
2008-11-28,408.831
2008-12-31,422.79
2009-01-30,383.946
2009-02-27,342.546
2009-03-31,369.431
2009-04-30,449.025
2009-05-29,498.622
2009-06-30,482.819
2009-07-31,540.374
2009-08-31,590.906
2009-09-30,626.092
2009-10-30,609.859
2009-11-30,616.603
2009-12-31,622.725
2010-01-29,597.563
2010-02-26,577.995
2010-03-31,625.586
2010-04-30,615.159
2010-05-31,532.858
2010-06-30,528.814
2010-07-30,608.671
2010-08-31,573.996
2010-09-30,646.38
2010-10-29,673.219
2010-11-30,605.435
2010-12-31,659.626
2011-01-31,701.265
2011-02-28,724.476
2011-03-31,715.136
2011-04-29,767.923
2011-05-31,742.656
2011-06-30,714.464
2011-07-29,670.512
2011-08-31,595.529
2011-09-30,516.911
2011-10-31,567.651
2011-11-30,529.311
2011-12-30,515.554
2012-01-31,559.178
2012-02-29,592.577
2012-03-30,594.793
2012-04-30,566.048
2012-05-31,485.743
2012-06-29,532.645
2012-07-31,535.101
2012-08-31,564.597
2012-09-28,585.78
2012-10-31,596.988
2012-11-30,616.255
2012-12-31,647.845
2013-01-31,684.129
2013-02-28,662.961
2013-03-29,652.367
2013-04-30,696.335
2013-05-31,707.56
2013-06-28,674.435
2013-07-31,743.005
2013-08-30,734.146
2013-09-30,792.183
2013-10-31,835.893
2013-11-29,839.081
2013-12-31,865.837
2014-01-31,851.646
2014-02-28,917.639
2014-03-31,909.426
2014-04-30,928.828
2014-05-30,937.966
2014-06-30,935.328
2014-07-31,895.839
2014-08-29,890.583
2014-09-30,851.988
2014-10-31,840.579
2014-11-28,873.49
2014-12-31,851.867
2015-01-30,861.38
2015-02-27,916.008
2015-03-31,895.209
2015-04-30,936.502
2015-05-29,934.04
2015-06-30,908.033
2015-07-31,932.734
2015-08-31,879.116
2015-09-30,837.664
2015-10-30,894.959
2015-11-30,875.711
2015-12-31,847.49
2016-01-29,791.353
2016-02-29,781.937
2016-03-31,852.769
2016-04-29,882.867
2016-05-31,863.574
2016-06-30,792.818
2016-07-29,841.693
2016-08-31,848.529
2016-09-30,868.301
2016-10-31,842.623
2016-11-30,835.861
2016-12-30,876.956
2017-01-31,890.26
2017-02-28,899.453
2017-03-31,938.043
2017-04-28,987.725
2017-05-31,1029.854
2017-06-30,1021.134
2017-07-31,1068.645
2017-08-31,1072.292
2017-09-29,1094.325
2017-10-31,1106.528
2017-11-30,1111.687
2017-12-29,1136.745
2018-01-31,1195.642
2018-02-28,1147.162
2018-03-30,1129.93
2018-04-30,1175.471
2018-05-31,1137.091
2018-06-29,1115.556
2018-07-31,1142.645
2018-08-31,1123.327
2018-09-28,1128.675
2018-10-31,1046.344
2018-11-30,1032.01
2018-12-31,972.467
2019-01-31,1061.241
2019-02-28,1090.557
2019-03-29,1070.291
2019-04-30,1115.514
2019-05-31,1029.096
2019-06-28,1087.582
2019-07-31,1062.449
2019-08-30,1030.14
2019-09-30,1088.406
2019-10-31,1147.57
2019-11-29,1159.951
2019-12-31,1215.417
2020-01-31,1158.154
2020-02-28,1041.437
2020-03-31,793.736
2020-04-30,861.55
2020-05-29,888.435
2020-06-30,925.874
2020-07-31,962.735
2020-08-31,1032.521
2020-09-30,987.209
2020-10-30,943.299
2020-11-30,1157.726
2020-12-31,1227.187
2021-01-29,1219.752
2021-02-26,1272.84
2021-03-31,1308.407
2021-04-30,1354.501
2021-05-31,1400.59
2021-06-30,1352.894
2021-07-30,1376.464
2021-08-31,1386.924
2021-09-30,1321.864
2021-10-29,1353.406
2021-11-30,1285.326
2021-12-31,1374.875
2022-01-31,1339.574
2022-02-28,1297.426
2022-03-31,1275.792
2022-04-29,1213.41
2022-05-31,1225.606
2022-06-30,1064.032
2022-07-29,1106.375
2022-08-31,1032.222
2022-09-30,920.229
2022-10-31,1007.646
2022-11-30,1120.643
2022-12-30,1138.894
2023-01-31,1264.716
2023-02-28,1264.21
2023-03-31,1233.362
2023-04-28,1281.555
2023-05-31,1188.522
2023-06-30,1239.369
2023-07-31,1319.403
2023-08-31,1266.226
2023-09-29,1219.432
2023-10-31,1167.478
2023-11-30,1285.705
2023-12-29,1360.303
2024-01-31,1337.429
2024-02-29,1324.886
2024-03-29,1381.868
2024-04-30,1374.316
2024-05-31,1471.792
2024-06-28,1405.781
2024-07-31,1471.819
2024-08-30,1516.85
2024-09-30,1553.922
2024-10-31,1471.905
2024-11-29,1464.054
2024-12-31,1425.647
2025-01-31,1502.115
2025-02-28,1550.771
2025-03-31,1583.897
2025-04-30,1691.227
2025-05-30,1810.111
2025-06-30,1863.618
2025-07-31,1846.232
2025-08-29,1921.279
2025-09-30,1935.967
2025-10-31,1952.424
