Date,EUROPE MID VALUE Mid Cap
2001-01-01,330.511
2001-01-02,332.722
2001-01-03,329.916
2001-01-04,332.39
2001-01-05,334.762
2001-01-08,334.587
2001-01-09,331.71
2001-01-10,331.141
2001-01-11,334.429
2001-01-12,333.298
2001-01-15,331.849
2001-01-16,329.723
2001-01-17,330.11
2001-01-18,333.462
2001-01-19,330.706
2001-01-22,329.406
2001-01-23,331.271
2001-01-24,327.221
2001-01-25,328.484
2001-01-26,329.041
2001-01-29,329.235
2001-01-30,332.341
2001-01-31,335.099
2001-02-01,339.188
2001-02-02,336.107
2001-02-05,337.662
2001-02-06,336.881
2001-02-07,336.888
2001-02-08,333.555
2001-02-09,333.962
2001-02-12,336.691
2001-02-13,335.522
2001-02-14,334.983
2001-02-15,332.149
2001-02-16,334.391
2001-02-19,335.608
2001-02-20,332.491
2001-02-21,332.734
2001-02-22,331.559
2001-02-23,330.702
2001-02-26,331.146
2001-02-27,334.739
2001-02-28,334.815
2001-03-01,336.389
2001-03-02,338.759
2001-03-05,337.308
2001-03-06,339.023
2001-03-07,338.506
2001-03-08,340.044
2001-03-09,339.029
2001-03-12,335.322
2001-03-13,326.883
2001-03-14,319.97
2001-03-15,320.686
2001-03-16,313.363
2001-03-19,312.354
2001-03-20,313.609
2001-03-21,307.437
2001-03-22,295.104
2001-03-23,300.81
2001-03-26,305.861
2001-03-27,310.2
2001-03-28,307.649
2001-03-29,306.606
2001-03-30,308.393
2001-04-02,307.065
2001-04-03,305.013
2001-04-04,308.565
2001-04-05,310.092
2001-04-06,311.53
2001-04-09,313.636
2001-04-10,313.098
2001-04-11,311.945
2001-04-12,314.876
2001-04-13,314.876
2001-04-16,312.212
2001-04-17,311.267
2001-04-18,310.843
2001-04-19,315.275
2001-04-20,319.011
2001-04-23,317.276
2001-04-24,316.569
2001-04-25,317.466
2001-04-26,319.686
2001-04-27,319.095
2001-04-30,320.167
2001-05-01,321.419
2001-05-02,321.498
2001-05-03,319.659
2001-05-04,320.809
2001-05-07,320.994
2001-05-08,319.783
2001-05-09,318.002
2001-05-10,319.601
2001-05-11,318.589
2001-05-14,316.998
2001-05-15,319.546
2001-05-16,321.549
2001-05-17,323.523
2001-05-18,324.481
2001-05-21,324.652
2001-05-22,323.638
2001-05-23,321.084
2001-05-24,319.45
2001-05-25,319.074
2001-05-28,320.181
2001-05-29,318.169
2001-05-30,318.284
2001-05-31,316.678
2001-06-01,316.618
2001-06-04,317.506
2001-06-05,318.46
2001-06-06,317.172
2001-06-07,318.326
2001-06-08,317.592
2001-06-11,313.313
2001-06-12,312.827
2001-06-13,313.584
2001-06-14,313.318
2001-06-15,311.84
2001-06-18,311.661
2001-06-19,310.73
2001-06-20,306.607
2001-06-21,307.757
2001-06-22,308.154
2001-06-25,309.746
2001-06-26,308.073
2001-06-27,307.745
2001-06-28,306.161
2001-06-29,307.086
2001-07-02,308.104
2001-07-03,308.091
2001-07-04,307.431
2001-07-05,303.228
2001-07-06,302.677
2001-07-09,303.261
2001-07-10,304.947
2001-07-11,304.569
2001-07-12,303.17
2001-07-13,303.217
2001-07-16,302.74
2001-07-17,300.868
2001-07-18,305.569
2001-07-19,307.461
2001-07-20,308.138
2001-07-23,306.935
2001-07-24,306.662
2001-07-25,305.88
2001-07-26,305.993
2001-07-27,306.937
2001-07-30,308.729
2001-07-31,309.853
2001-08-01,313.354
2001-08-02,315.895
2001-08-03,316.201
2001-08-06,314.027
2001-08-07,312.421
2001-08-08,310.462
2001-08-09,311.704
2001-08-10,313.84
2001-08-13,315.411
2001-08-14,315.551
2001-08-15,319.378
2001-08-16,318.472
2001-08-17,317.647
2001-08-20,315.749
2001-08-21,317.005
2001-08-22,319.315
2001-08-23,317.198
2001-08-24,318.946
2001-08-27,317.954
2001-08-28,317.545
2001-08-29,316.828
2001-08-30,313.349
2001-08-31,313.063
2001-09-03,310.39
2001-09-04,307.473
2001-09-05,305.352
2001-09-06,302.674
2001-09-07,302.379
2001-09-10,296.877
2001-09-11,286.436
2001-09-12,283.816
2001-09-13,285.535
2001-09-14,280.541
2001-09-17,276.89
2001-09-18,272.781
2001-09-19,272.358
2001-09-20,261.447
2001-09-21,249.743
2001-09-24,257.121
2001-09-25,262.708
2001-09-26,264.864
2001-09-27,265.312
2001-09-28,268.05
2001-10-01,268.502
2001-10-02,267.661
2001-10-03,269.889
2001-10-04,273.884
2001-10-05,275.852
2001-10-08,274.025
2001-10-09,274.96
2001-10-10,274.141
2001-10-11,276.266
2001-10-12,278.959
2001-10-15,277.367
2001-10-16,279.527
2001-10-17,282.236
2001-10-18,278.987
2001-10-19,275.579
2001-10-22,273.446
2001-10-23,275.343
2001-10-24,276.792
2001-10-25,276.771
2001-10-26,279.21
2001-10-29,280.716
2001-10-30,278.135
2001-10-31,278.892
2001-11-01,281.215
2001-11-02,281.46
2001-11-05,282.266
2001-11-06,283.05
2001-11-07,285.244
2001-11-08,286.956
2001-11-09,286.953
2001-11-12,284.371
2001-11-13,284.88
2001-11-14,287.715
2001-11-15,288.217
2001-11-16,290.003
2001-11-19,291.218
2001-11-20,290.317
2001-11-21,288.052
2001-11-22,289.74
2001-11-23,288.703
2001-11-26,290.103
2001-11-27,289.673
2001-11-28,289.121
2001-11-29,288.795
2001-11-30,291.993
2001-12-03,289.595
2001-12-04,292.432
2001-12-05,296.395
2001-12-06,299.573
2001-12-07,299.02
2001-12-10,295.765
2001-12-11,294.668
2001-12-12,294.462
2001-12-13,291.588
2001-12-14,292.251
2001-12-17,295.905
2001-12-18,295.976
2001-12-19,293.373
2001-12-20,291.613
2001-12-21,290.376
2001-12-24,288.941
2001-12-25,288.941
2001-12-26,289.656
2001-12-27,294.475
2001-12-28,295.435
2001-12-31,297.729
2002-01-01,297.729
2002-01-02,300.387
2002-01-03,303.958
2002-01-04,305.456
2002-01-07,304.927
2002-01-08,303.596
2002-01-09,303.337
2002-01-10,303.049
2002-01-11,303.048
2002-01-14,302.045
2002-01-15,301.262
2002-01-16,297.429
2002-01-17,298.564
2002-01-18,299.602
2002-01-21,299.466
2002-01-22,299.172
2002-01-23,299.745
2002-01-24,299.157
2002-01-25,294.363
2002-01-28,294.601
2002-01-29,293.535
2002-01-30,291.937
2002-01-31,293.996
2002-02-01,294.448
2002-02-04,294.884
2002-02-05,293.276
2002-02-06,291.989
2002-02-07,292.109
2002-02-08,293.578
2002-02-11,295.68
2002-02-12,296.391
2002-02-13,296.233
2002-02-14,296.819
2002-02-15,297.997
2002-02-18,296.378
2002-02-19,294.407
2002-02-20,292.952
2002-02-21,294.448
2002-02-22,294.659
2002-02-25,294.816
2002-02-26,296.236
2002-02-27,296.955
2002-02-28,296.746
2002-03-01,299.172
2002-03-04,304.797
2002-03-05,304.321
2002-03-06,306.949
2002-03-07,311.784
2002-03-08,312.21
2002-03-11,312.712
2002-03-12,309.692
2002-03-13,311.02
2002-03-14,313.799
2002-03-15,315.323
2002-03-18,316.869
2002-03-19,318.251
2002-03-20,318.269
2002-03-21,317.751
2002-03-22,317.795
2002-03-25,316.203
2002-03-26,316.549
2002-03-27,315.598
2002-03-28,317.497
2002-03-29,317.497
2002-04-01,320.387
2002-04-02,320.429
2002-04-03,319.835
2002-04-04,318.733
2002-04-05,318.933
2002-04-08,315.053
2002-04-09,316.263
2002-04-10,319.223
2002-04-11,319.297
2002-04-12,319.148
2002-04-15,320.01
2002-04-16,322.028
2002-04-17,324.72
2002-04-18,325.405
2002-04-19,325.78
2002-04-22,325.695
2002-04-23,325.698
2002-04-24,326.468
2002-04-25,325.135
2002-04-26,324.805
2002-04-29,325.996
2002-04-30,327.167
2002-05-01,328.802
2002-05-02,329.632
2002-05-03,332.718
2002-05-06,332.873
2002-05-07,329.793
2002-05-08,331.734
2002-05-09,331.041
2002-05-10,332.115
2002-05-13,332.384
2002-05-14,330.307
2002-05-15,332.091
2002-05-16,333.078
2002-05-17,336.628
2002-05-20,335.842
2002-05-21,334.349
2002-05-22,334.735
2002-05-23,332.447
2002-05-24,332.709
2002-05-27,331.788
2002-05-28,333.753
2002-05-29,333.423
2002-05-30,333.593
2002-05-31,333.738
2002-06-03,333.884
2002-06-04,332.424
2002-06-05,328.994
2002-06-06,329.907
2002-06-07,327.503
2002-06-10,328.116
2002-06-11,329.433
2002-06-12,327.42
2002-06-13,324.923
2002-06-14,316.418
2002-06-17,321.2
2002-06-18,321.788
2002-06-19,321.397
2002-06-20,317.203
2002-06-21,317.285
2002-06-24,314.159
2002-06-25,316.444
2002-06-26,316.911
2002-06-27,317.828
2002-06-28,325.021
2002-07-01,325.715
2002-07-02,319.739
2002-07-03,311.015
2002-07-04,313.358
2002-07-05,318.753
2002-07-08,322.46
2002-07-09,322.504
2002-07-10,315.396
2002-07-11,305.974
2002-07-12,304.655
2002-07-15,297.493
2002-07-16,296.471
2002-07-17,302.82
2002-07-18,307.746
2002-07-19,300.415
2002-07-22,287.803
2002-07-23,280.019
2002-07-24,273.888
2002-07-25,282.894
2002-07-26,278.135
2002-07-29,288.058
2002-07-30,291.611
2002-07-31,293.3
2002-08-01,284.126
2002-08-02,284.71
2002-08-05,276.128
2002-08-06,276.659
2002-08-07,275.651
2002-08-08,280.269
2002-08-09,283.691
2002-08-12,282.623
2002-08-13,284.896
2002-08-14,283.798
2002-08-15,287.979
2002-08-16,288.26
2002-08-19,291.693
2002-08-20,289.301
2002-08-21,294.683
2002-08-22,298.378
2002-08-23,295.79
2002-08-26,295.213
2002-08-27,299.666
2002-08-28,292.309
2002-08-29,289.378
2002-08-30,290.299
