Date,JAPAN SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,99.742
2001-01-03,99.838
2001-01-04,97.268
2001-01-05,96.111
2001-01-08,96.09
2001-01-09,94.192
2001-01-10,92.979
2001-01-11,89.879
2001-01-12,90.441
2001-01-15,91.235
2001-01-16,93.862
2001-01-17,93.973
2001-01-18,95.445
2001-01-19,96.92
2001-01-22,96.933
2001-01-23,96.944
2001-01-24,95.611
2001-01-25,97.05
2001-01-26,96.286
2001-01-29,97.353
2001-01-30,97.786
2001-01-31,98.976
2001-02-01,99.955
2001-02-02,99.973
2001-02-05,99.648
2001-02-06,99.186
2001-02-07,98.579
2001-02-08,97.57
2001-02-09,97.667
2001-02-12,97.667
2001-02-13,98.634
2001-02-14,99.967
2001-02-15,101.051
2001-02-16,101.092
2001-02-19,100.044
2001-02-20,101.149
2001-02-21,99.972
2001-02-22,98.611
2001-02-23,100.66
2001-02-26,101.282
2001-02-27,102.376
2001-02-28,100.755
2001-03-01,99.981
2001-03-02,96.459
2001-03-05,95.631
2001-03-06,97.389
2001-03-07,96.92
2001-03-08,97.093
2001-03-09,98.1
2001-03-12,95.266
2001-03-13,93.405
2001-03-14,92.667
2001-03-15,91.91
2001-03-16,91.309
2001-03-19,92.368
2001-03-20,92.052
2001-03-21,96.04
2001-03-22,94.927
2001-03-23,97.676
2001-03-26,101.264
2001-03-27,101.115
2001-03-28,102.737
2001-03-29,100.581
2001-03-30,97.454
2001-04-02,96.99
2001-04-03,99.068
2001-04-04,100.6
2001-04-05,102.238
2001-04-06,102.583
2001-04-09,100.872
2001-04-10,101.549
2001-04-11,102.505
2001-04-12,104.125
2001-04-13,104.882
2001-04-16,104.756
2001-04-17,105.092
2001-04-18,107.602
2001-04-19,108.799
2001-04-20,108.246
2001-04-23,109.103
2001-04-24,109.628
2001-04-25,110.53
2001-04-26,111.548
2001-04-27,110.363
2001-04-30,110.587
2001-05-01,114.841
2001-05-02,114.807
2001-05-03,115.708
2001-05-04,115.727
2001-05-07,115.084
2001-05-08,112.795
2001-05-09,111.392
2001-05-10,110.77
2001-05-11,111.112
2001-05-14,108.843
2001-05-15,108.761
2001-05-16,107.657
2001-05-17,108.988
2001-05-18,108.541
2001-05-21,110.155
2001-05-22,110.505
2001-05-23,112.854
2001-05-24,112.71
2001-05-25,111.78
2001-05-28,110.801
2001-05-29,111.512
2001-05-30,109.637
2001-05-31,109.781
2001-06-01,110.098
2001-06-04,109.746
2001-06-05,108.501
2001-06-06,108.512
2001-06-07,109.508
2001-06-08,110.074
2001-06-11,109.473
2001-06-12,106.864
2001-06-13,107.269
2001-06-14,107.43
2001-06-15,105.39
2001-06-18,104.851
