Date,USA MID GROWTH Mid Cap
2001-01-01,764.278
2001-01-02,702.677
2001-01-03,759.369
2001-01-04,736.272
2001-01-05,698.947
2001-01-08,690.017
2001-01-09,704.266
2001-01-10,734.811
2001-01-11,763.922
2001-01-12,768.723
2001-01-15,768.723
2001-01-16,766.555
2001-01-17,777.185
2001-01-18,782.924
2001-01-19,779.021
2001-01-22,783.58
2001-01-23,812.301
2001-01-24,815.091
2001-01-25,800.003
2001-01-26,808.591
2001-01-29,830.123
2001-01-30,828.89
2001-01-31,817.715
2001-02-01,811.456
2001-02-02,787.96
2001-02-05,783.729
2001-02-06,795.758
2001-02-07,782.938
2001-02-08,775.327
2001-02-09,760.852
2001-02-12,758.984
2001-02-13,747.158
2001-02-14,757.847
2001-02-15,772.203
2001-02-16,750.13
2001-02-19,750.096
2001-02-20,722.591
2001-02-21,707.769
2001-02-22,697.451
2001-02-23,703.167
2001-02-26,725.417
2001-02-27,700.5
2001-02-28,684.723
2001-03-01,685.359
2001-03-02,676.716
2001-03-05,674.837
2001-03-06,688.595
2001-03-07,692.373
2001-03-08,675.97
2001-03-09,650.744
2001-03-12,613.43
2001-03-13,626.645
2001-03-14,617.252
2001-03-15,605.884
2001-03-16,586.016
2001-03-19,608.338
2001-03-20,588.636
2001-03-21,572.46
2001-03-22,575.737
2001-03-23,596.032
2001-03-26,604.099
2001-03-27,613.427
2001-03-28,586.121
2001-03-29,578.667
2001-03-30,585.602
2001-04-02,564.467
2001-04-03,530.71
2001-04-04,525.57
2001-04-05,569.771
2001-04-06,556.356
2001-04-09,567.696
2001-04-10,599.486
2001-04-11,599.74
2001-04-12,620.908
2001-04-13,620.908
2001-04-16,611.974
2001-04-17,621.714
2001-04-18,664.51
2001-04-19,683.107
2001-04-20,674.991
2001-04-23,649.097
2001-04-24,641.737
2001-04-25,661.307
2001-04-26,666.405
2001-04-27,678.883
2001-04-30,693.588
2001-05-01,703.628
2001-05-02,711.481
2001-05-03,689.195
2001-05-04,703.482
2001-05-07,695.806
2001-05-08,696.878
2001-05-09,689.942
2001-05-10,683.093
2001-05-11,675.639
2001-05-14,669.883
2001-05-15,671.415
2001-05-16,700.619
2001-05-17,718.82
2001-05-18,719.412
2001-05-21,750.599
2001-05-22,751.869
2001-05-23,726.646
2001-05-24,735.599
2001-05-25,731.582
2001-05-28,731.582
2001-05-29,708.283
2001-05-30,682.081
2001-05-31,694.888
2001-06-01,707.224
2001-06-04,708.61
2001-06-05,732.052
2001-06-06,724.144
2001-06-07,730.971
2001-06-08,720.05
2001-06-11,700.456
2001-06-12,699.123
2001-06-13,689.143
2001-06-14,664.002
2001-06-15,666.348
2001-06-18,654.167
2001-06-19,654.794
2001-06-20,668.225
2001-06-21,671.074
2001-06-22,660.055
2001-06-25,659.896
2001-06-26,663.434
2001-06-27,664.887
2001-06-28,677.042
