Date,USA MID GROWTH Mid Cap
1994-05-31,269.424
1994-06-30,260.072
1994-07-29,267.042
1994-08-31,285.673
1994-09-30,282.321
1994-10-31,285.485
1994-11-30,273.822
1994-12-30,278.047
1995-01-31,280.026
1995-02-28,293.91
1995-03-31,304.785
1995-04-28,307.573
1995-05-31,311.564
1995-06-30,329.434
1995-07-31,353.168
1995-08-31,357.473
1995-09-29,367.335
1995-10-31,356.685
1995-11-30,371.422
1995-12-29,372.326
1996-01-31,379.328
1996-02-29,391.754
1996-03-29,397.06
1996-04-30,419.168
1996-05-31,427.88
1996-06-28,407.549
1996-07-31,375.617
1996-08-30,399.298
1996-09-30,421.032
1996-10-31,412.901
1996-11-29,434.317
1996-12-31,427.526
1997-01-31,443.41
1997-02-28,430.076
1997-03-31,405.215
1997-04-30,409.287
1997-05-30,448.625
1997-06-30,461.574
1997-07-31,502.859
1997-08-29,506.287
1997-09-30,530.906
1997-10-31,497.224
1997-11-28,495.091
1997-12-31,493.767
1998-01-30,487.002
1998-02-27,532.704
1998-03-31,555.208
1998-04-30,567.569
1998-05-29,535.604
1998-06-30,553.758
1998-07-31,523.402
1998-08-31,404.989
1998-09-30,442.918
1998-10-30,481.737
1998-11-30,512.761
1998-12-31,572.839
1999-01-29,604.337
1999-02-26,559.771
1999-03-31,588.218
1999-04-30,628.318
1999-05-31,634.538
1999-06-30,685.371
1999-07-30,664.317
1999-08-31,672.822
1999-09-30,669.69
1999-10-29,729.988
1999-11-30,836.623
1999-12-31,1036.096
2000-01-31,1009.567
2000-02-29,1315.125
2000-03-31,1220.879
2000-04-28,1033.707
2000-05-31,927.846
2000-06-30,1072.288
2000-07-31,1012.225
2000-08-31,1146.497
2000-09-29,1078.056
2000-10-31,974.214
2000-11-30,734.712
2000-12-29,764.278
2001-01-31,817.715
2001-02-28,684.723
2001-03-30,585.602
2001-04-30,693.588
2001-05-31,694.888
2001-06-29,691.056
2001-07-31,641.103
2001-08-31,581.603
2001-09-28,477.003
2001-10-31,526.685
2001-11-30,579.045
2001-12-31,600.754
2002-01-31,583.016
2002-02-28,548.208
2002-03-29,591.472
2002-04-30,562.694
2002-05-31,547.171
2002-06-28,495.932
2002-07-31,442.746
2002-08-30,436.815
2002-09-30,403.595
2002-10-31,438.898
2002-11-29,471.219
2002-12-31,438.081
2003-01-31,435.102
2003-02-28,432.279
2003-03-31,442.855
2003-04-30,472.368
2003-05-30,522.43
2003-06-30,523.447
2003-07-31,538.461
2003-08-29,569.723
2003-09-30,554.458
2003-10-31,600.89
2003-11-28,616.286
2003-12-31,623.933
2004-01-30,643.517
2004-02-27,649.867
2004-03-31,646.049
2004-04-30,625.205
2004-05-31,639.558
2004-06-30,649.377
2004-07-30,604.144
2004-08-31,596.026
2004-09-30,625.451
2004-10-29,649.675
2004-11-30,688.476
2004-12-31,718.151
2005-01-31,693.586
2005-02-28,711.999
