Date,EM (EMERGING MARKETS) LARGE CAP Large Cap
2012-04-30,1149.091
2012-05-31,1016.92
2012-06-29,1057.74
2012-07-31,1080.503
2012-08-31,1073.841
2012-09-28,1139.198
2012-10-31,1133.456
2012-11-30,1147.42
2012-12-31,1202.673
2013-01-31,1220.869
2013-02-28,1202.773
2013-03-29,1182.841
2013-04-30,1191.226
2013-05-31,1159.608
2013-06-28,1086.626
2013-07-31,1097.533
2013-08-30,1080.884
2013-09-30,1151.549
2013-10-31,1208.321
2013-11-29,1190.334
2013-12-31,1172.011
2014-01-31,1095.43
2014-02-28,1130.253
2014-03-31,1164.615
2014-04-30,1168.017
2014-05-30,1211.212
2014-06-30,1243.391
2014-07-31,1269.427
2014-08-29,1297.264
2014-09-30,1198.614
2014-10-31,1216.132
2014-11-28,1203.732
2014-12-31,1147.269
2015-01-30,1152.475
2015-02-27,1189.654
2015-03-31,1171.768
2015-04-30,1260.719
2015-05-29,1209.074
2015-06-30,1180.562
2015-07-31,1095.171
2015-08-31,996.033
2015-09-30,964.904
2015-10-30,1035.641
2015-11-30,994.642
2015-12-31,972.5
2016-01-29,908.264
2016-02-29,907.873
2016-03-31,1028.99
2016-04-29,1033.265
2016-05-31,995.814
2016-06-30,1037.344
2016-07-29,1087.419
2016-08-31,1118.682
2016-09-30,1134.59
2016-10-31,1138.734
2016-11-30,1089.39
2016-12-30,1093.724
2017-01-31,1153.53
2017-02-28,1187.082
2017-03-31,1216.363
2017-04-28,1243.037
2017-05-31,1280.741
2017-06-30,1295.785
2017-07-31,1375.352
2017-08-31,1406.914
2017-09-29,1402.0
2017-10-31,1456.579
2017-11-30,1459.084
2017-12-29,1506.07
2018-01-31,1636.318
2018-02-28,1560.7
2018-03-30,1526.677
2018-04-30,1518.951
2018-05-31,1461.197
2018-06-29,1403.863
2018-07-31,1437.39
2018-08-31,1397.147
2018-09-28,1391.9
2018-10-31,1271.101
2018-11-30,1320.657
2018-12-31,1282.367
2019-01-31,1397.56
2019-02-28,1402.423
2019-03-29,1415.281
2019-04-30,1446.967
2019-05-31,1337.63
2019-06-28,1422.449
2019-07-31,1404.945
2019-08-30,1338.256
2019-09-30,1365.426
2019-10-31,1423.513
2019-11-29,1422.837
2019-12-31,1529.651
2020-01-31,1456.715
2020-02-28,1388.224
2020-03-31,1187.136
2020-04-30,1288.703
2020-05-29,1294.147
2020-06-30,1390.328
2020-07-31,1517.144
2020-08-31,1551.917
2020-09-30,1527.927
2020-10-30,1568.464
2020-11-30,1706.895
2020-12-31,1829.552
2021-01-29,1896.781
2021-02-26,1906.497
2021-03-31,1867.846
2021-04-30,1906.402
2021-05-31,1947.345
2021-06-30,1947.891
2021-07-30,1807.999
2021-08-31,1852.439
2021-09-30,1778.056
2021-10-29,1799.481
2021-11-30,1723.089
2021-12-31,1754.44
2022-01-31,1728.153
2022-02-28,1668.283
2022-03-31,1623.885
2022-04-29,1535.483
2022-05-31,1541.271
2022-06-30,1444.826
2022-07-29,1438.033
2022-08-31,1442.639
2022-09-30,1272.015
2022-10-31,1220.215
2022-11-30,1410.868
2022-12-30,1389.2
2023-01-31,1505.889
2023-02-28,1399.043
2023-03-31,1446.942
2023-04-28,1423.971
2023-05-31,1401.112
2023-06-30,1453.924
2023-07-31,1543.545
2023-08-31,1445.005
2023-09-29,1405.678
2023-10-31,1352.446
2023-11-30,1456.74
2023-12-29,1512.371
2024-01-31,1441.526
2024-02-29,1510.599
2024-03-29,1556.889
2024-04-30,1565.679
2024-05-31,1574.976
2024-06-28,1644.975
2024-07-31,1646.268
2024-08-30,1671.736
2024-09-30,1787.932
2024-10-31,1712.322
2024-11-29,1647.724
2024-12-31,1648.451
2025-01-31,1678.207
2025-02-28,1689.02
2025-03-31,1700.787
2025-04-30,1711.285
2025-05-30,1779.533
2025-06-30,1883.23
2025-07-31,1922.481
2025-08-29,1944.57
2025-09-30,2102.285
