Date,EM (EMERGING MARKETS) LARGE CAP Large Cap
2001-01-01,307.539
2001-01-02,308.482
2001-01-03,310.607
2001-01-04,323.94
2001-01-05,325.331
2001-01-08,324.664
2001-01-09,329.083
2001-01-10,326.759
2001-01-11,325.547
2001-01-12,328.597
2001-01-15,330.86
2001-01-16,333.164
2001-01-17,336.8
2001-01-18,342.69
2001-01-19,349.122
2001-01-22,348.543
2001-01-23,350.214
2001-01-24,350.178
2001-01-25,350.176
2001-01-26,348.186
2001-01-29,347.231
2001-01-30,350.068
2001-01-31,354.08
2001-02-01,352.552
2001-02-02,352.973
2001-02-05,345.97
2001-02-06,347.146
2001-02-07,341.105
2001-02-08,343.282
2001-02-09,342.726
2001-02-12,343.262
2001-02-13,346.303
2001-02-14,345.24
2001-02-15,349.466
2001-02-16,345.958
2001-02-19,340.97
2001-02-20,341.224
2001-02-21,331.8
2001-02-22,324.994
2001-02-23,322.736
2001-02-26,325.554
2001-02-27,324.054
2001-02-28,322.408
2001-03-01,320.12
2001-03-02,316.248
2001-03-05,318.862
2001-03-06,321.673
2001-03-07,323.589
2001-03-08,323.854
2001-03-09,319.485
2001-03-12,308.988
2001-03-13,306.849
2001-03-14,304.266
2001-03-15,304.28
2001-03-16,301.963
2001-03-19,298.697
2001-03-20,298.205
2001-03-21,298.642
2001-03-22,290.953
2001-03-23,292.944
2001-03-26,298.352
2001-03-27,297.725
2001-03-28,295.761
2001-03-29,289.839
2001-03-30,289.046
2001-04-02,283.64
2001-04-03,276.724
2001-04-04,272.257
2001-04-05,277.427
2001-04-06,281.341
2001-04-09,280.469
2001-04-10,284.02
2001-04-11,288.973
2001-04-12,290.047
2001-04-13,289.948
2001-04-16,287.73
2001-04-17,287.147
2001-04-18,296.397
2001-04-19,301.609
2001-04-20,295.86
2001-04-23,294.657
2001-04-24,295.742
2001-04-25,296.292
2001-04-26,299.681
2001-04-27,301.603
2001-04-30,305.434
2001-05-01,305.209
2001-05-02,308.459
2001-05-03,309.59
2001-05-04,307.826
2001-05-07,309.214
2001-05-08,307.607
2001-05-09,307.454
2001-05-10,307.311
2001-05-11,305.575
2001-05-14,301.966
2001-05-15,300.987
2001-05-16,303.142
2001-05-17,311.908
2001-05-18,312.481
2001-05-21,313.809
2001-05-22,315.618
2001-05-23,316.605
2001-05-24,314.719
2001-05-25,312.774
2001-05-28,312.433
2001-05-29,311.972
2001-05-30,308.233
2001-05-31,307.365
2001-06-01,306.296
2001-06-04,307.541
2001-06-05,306.925
2001-06-06,309.124
2001-06-07,309.328
2001-06-08,312.429
2001-06-11,310.468
2001-06-12,309.783
2001-06-13,309.191
2001-06-14,307.411
2001-06-15,305.396
2001-06-18,298.679
2001-06-19,299.125
2001-06-20,298.128
2001-06-21,300.655
2001-06-22,301.586
2001-06-25,300.815
2001-06-26,299.322
2001-06-27,299.775
2001-06-28,298.034
2001-06-29,301.607
2001-07-02,302.594
2001-07-03,300.09
2001-07-04,297.211
2001-07-05,295.185
2001-07-06,290.273
2001-07-09,288.127
2001-07-10,286.048
2001-07-11,280.027
2001-07-12,283.182
2001-07-13,281.008
2001-07-16,278.247
2001-07-17,278.11
2001-07-18,276.306
2001-07-19,276.109
2001-07-20,276.491
2001-07-23,276.622
2001-07-24,274.685
2001-07-25,274.767
2001-07-26,277.632
2001-07-27,279.074
2001-07-30,279.925
2001-07-31,281.348
2001-08-01,283.098
2001-08-02,286.579
2001-08-03,285.703
2001-08-06,283.587
2001-08-07,281.137
2001-08-08,280.781
2001-08-09,278.016
2001-08-10,278.879
2001-08-13,279.505
