Date,EM (EMERGING MARKETS) LARGE CAP Large Cap
2001-01-01,313.289
2001-01-02,314.248
2001-01-03,316.413
2001-01-04,329.996
2001-01-05,331.412
2001-01-08,330.732
2001-01-09,335.234
2001-01-10,332.866
2001-01-11,331.631
2001-01-12,334.739
2001-01-15,337.044
2001-01-16,339.391
2001-01-17,343.095
2001-01-18,349.094
2001-01-19,355.626
2001-01-22,355.036
2001-01-23,356.738
2001-01-24,356.701
2001-01-25,356.699
2001-01-26,354.673
2001-01-29,353.699
2001-01-30,356.59
2001-01-31,360.676
2001-02-01,359.119
2001-02-02,359.549
2001-02-05,352.415
2001-02-06,353.613
2001-02-07,347.46
2001-02-08,349.677
2001-02-09,349.111
2001-02-12,349.657
2001-02-13,352.755
2001-02-14,351.642
2001-02-15,355.946
2001-02-16,352.373
2001-02-19,347.293
2001-02-20,347.551
2001-02-21,337.953
2001-02-22,331.021
2001-02-23,328.721
2001-02-26,331.591
2001-02-27,330.063
2001-02-28,328.393
2001-03-01,326.062
2001-03-02,322.118
2001-03-05,324.78
2001-03-06,327.643
2001-03-07,329.595
2001-03-08,329.865
2001-03-09,325.403
2001-03-12,314.71
2001-03-13,312.523
2001-03-14,309.893
2001-03-15,309.906
2001-03-16,307.547
2001-03-19,304.206
2001-03-20,303.694
2001-03-21,304.101
2001-03-22,296.271
2001-03-23,298.299
2001-03-26,303.799
2001-03-27,303.161
2001-03-28,301.161
2001-03-29,295.13
2001-03-30,294.323
2001-04-02,288.818
2001-04-03,281.773
2001-04-04,277.225
2001-04-05,282.49
2001-04-06,286.475
2001-04-09,285.587
2001-04-10,289.202
2001-04-11,294.246
2001-04-12,295.34
2001-04-13,295.239
2001-04-16,292.981
2001-04-17,292.387
2001-04-18,301.805
2001-04-19,307.103
2001-04-20,301.25
2001-04-23,300.025
2001-04-24,301.13
2001-04-25,301.689
2001-04-26,305.137
2001-04-27,307.09
2001-04-30,310.99
2001-05-01,310.751
2001-05-02,314.06
2001-05-03,315.211
2001-05-04,313.409
2001-05-07,314.812
2001-05-08,313.175
2001-05-09,313.012
2001-05-10,312.867
2001-05-11,311.099
2001-05-14,307.426
2001-05-15,306.417
2001-05-16,308.611
2001-05-17,317.534
2001-05-18,318.117
2001-05-21,319.467
2001-05-22,321.307
2001-05-23,322.312
2001-05-24,320.392
2001-05-25,318.412
2001-05-28,318.058
2001-05-29,317.589
2001-05-30,313.777
2001-05-31,312.894
2001-06-01,311.803
2001-06-04,313.07
2001-06-05,312.435
2001-06-06,314.674
2001-06-07,314.871
2001-06-08,318.027
2001-06-11,316.031
2001-06-12,315.327
2001-06-13,314.717
2001-06-14,312.881
2001-06-15,310.83
2001-06-18,303.992
2001-06-19,304.441
2001-06-20,303.415
2001-06-21,305.987
2001-06-22,306.935
2001-06-25,306.15
2001-06-26,304.63
2001-06-27,305.091
2001-06-28,303.318
2001-06-29,306.947
2001-07-02,307.936
2001-07-03,305.382
2001-07-04,302.453
2001-07-05,300.391
2001-07-06,295.393
2001-07-09,293.209
2001-07-10,291.055
2001-07-11,284.923
2001-07-12,288.133
2001-07-13,285.92
2001-07-16,283.109
2001-07-17,282.964
2001-07-18,281.12
2001-07-19,280.919
2001-07-20,281.308
2001-07-23,281.441
2001-07-24,279.456
2001-07-25,279.527
2001-07-26,282.441
2001-07-27,283.908
2001-07-30,284.774
2001-07-31,286.222
2001-08-01,288.001
2001-08-02,291.53
2001-08-03,290.639
2001-08-06,288.479
2001-08-07,285.987
2001-08-08,285.625
2001-08-09,282.812
2001-08-10,283.69
2001-08-13,284.304
2001-08-14,287.532
2001-08-15,287.516
2001-08-16,286.012
2001-08-17,280.753
2001-08-20,277.69
2001-08-21,277.921
2001-08-22,278.408
2001-08-23,278.212
2001-08-24,277.992
2001-08-27,281.317
2001-08-28,280.297
2001-08-29,280.793
2001-08-30,279.209
2001-08-31,277.634
2001-09-03,274.517
2001-09-04,276.36
2001-09-05,274.014
2001-09-06,269.628
2001-09-07,268.282
2001-09-10,265.773
2001-09-11,256.409
2001-09-12,249.286
2001-09-13,245.481
2001-09-14,239.822
2001-09-17,237.044
2001-09-18,238.781
2001-09-19,239.974
2001-09-20,233.018
2001-09-21,226.418
2001-09-24,229.695
2001-09-25,228.442
2001-09-26,229.122
2001-09-27,228.812
2001-09-28,233.45
2001-10-01,232.678
2001-10-02,230.755
2001-10-03,228.913
2001-10-04,233.758
2001-10-05,234.594
2001-10-08,231.942
2001-10-09,236.644
2001-10-10,239.827
2001-10-11,247.391
2001-10-12,245.74
2001-10-15,244.313
2001-10-16,246.614
2001-10-17,248.339
2001-10-18,244.833
2001-10-19,245.246
2001-10-22,246.669
2001-10-23,249.129
2001-10-24,251.915
2001-10-25,251.907
2001-10-26,253.537
2001-10-29,252.687
2001-10-30,247.468
2001-10-31,249.001
2001-11-01,249.805
2001-11-02,251.775
2001-11-05,257.031
2001-11-06,257.858
2001-11-07,257.742
2001-11-08,261.488
2001-11-09,262.913
2001-11-12,262.595
2001-11-13,266.49
2001-11-14,270.899
2001-11-15,274.415
2001-11-16,274.256
2001-11-19,279.935
2001-11-20,275.746
2001-11-21,275.885
2001-11-22,277.145
2001-11-23,281.159
2001-11-26,286.092
2001-11-27,284.629
2001-11-28,277.463
2001-11-29,275.103
2001-11-30,276.865
2001-12-03,281.031
2001-12-04,284.877
2001-12-05,293.769
2001-12-06,298.809
2001-12-07,300.811
2001-12-10,297.506
2001-12-11,296.207
2001-12-12,300.716
2001-12-13,295.191
2001-12-14,293.782
2001-12-17,293.363
2001-12-18,293.522
2001-12-19,293.184
2001-12-20,293.269
2001-12-21,290.178
2001-12-24,292.068
2001-12-25,294.201
2001-12-26,294.706
2001-12-27,296.873
2001-12-28,300.553
2001-12-31,302.724
2002-01-01,302.659
2002-01-02,306.912
2002-01-03,310.405
2002-01-04,315.888
2002-01-07,319.046
2002-01-08,317.049
2002-01-09,315.65
2002-01-10,310.172
