Date,EM (EMERGING MARKETS) LARGE CAP Large Cap
1994-05-31,443.11
1994-06-30,434.979
1994-07-29,462.845
1994-08-31,529.257
1994-09-30,533.021
1994-10-31,531.435
1994-11-30,495.761
1994-12-30,474.771
1995-01-31,438.828
1995-02-28,434.683
1995-03-31,433.797
1995-04-28,448.836
1995-05-31,476.142
1995-06-30,472.993
1995-07-31,479.23
1995-08-31,466.519
1995-09-29,465.897
1995-10-31,452.717
1995-11-30,441.056
1995-12-29,462.576
1996-01-31,499.306
1996-02-29,489.594
1996-03-29,489.74
1996-04-30,505.687
1996-05-31,502.882
1996-06-28,503.386
1996-07-31,467.628
1996-08-30,481.444
1996-09-30,483.832
1996-10-31,470.319
1996-11-29,479.245
1996-12-31,481.202
1997-01-31,513.709
1997-02-28,535.315
1997-03-31,521.502
1997-04-30,515.162
1997-05-30,526.406
1997-06-30,559.463
1997-07-31,566.703
1997-08-29,491.427
1997-09-30,502.105
1997-10-31,413.842
1997-11-28,401.622
1997-12-31,410.377
1998-01-30,382.495
1998-02-27,420.781
1998-03-31,434.205
1998-04-30,432.314
1998-05-29,370.057
1998-06-30,328.712
1998-07-31,338.671
1998-08-31,235.661
1998-09-30,248.114
1998-10-30,275.153
1998-11-30,291.805
1998-12-31,277.407
1999-01-29,263.055
1999-02-26,268.968
1999-03-31,305.836
1999-04-30,343.063
1999-05-31,337.809
1999-06-30,377.614
1999-07-30,366.848
1999-08-31,364.609
1999-09-30,349.226
1999-10-29,359.923
1999-11-30,399.177
1999-12-31,472.32
2000-01-31,464.795
2000-02-29,465.512
2000-03-31,470.395
2000-04-28,417.608
2000-05-31,398.572
2000-06-30,418.565
2000-07-31,393.335
2000-08-31,397.613
2000-09-29,358.27
2000-10-31,332.376
2000-11-30,301.523
2000-12-29,307.959
2001-01-31,354.08
2001-02-28,322.408
2001-03-30,289.046
2001-04-30,305.434
2001-05-31,307.365
2001-06-29,301.607
2001-07-31,281.348
2001-08-31,272.964
2001-09-28,229.555
2001-10-31,244.853
2001-11-30,272.267
2001-12-31,297.708
2002-01-31,302.731
2002-02-28,307.032
2002-03-29,324.937
2002-04-30,326.712
2002-05-31,319.605
2002-06-28,294.876
2002-07-31,268.477
2002-08-30,274.301
2002-09-30,245.234
2002-10-31,261.605
2002-11-29,278.797
2002-12-31,268.375
2003-01-31,265.026
2003-02-28,256.754
2003-03-31,249.171
2003-04-30,271.467
2003-05-30,289.342
2003-06-30,305.988
2003-07-31,324.245
2003-08-29,347.696
2003-09-30,348.175
2003-10-31,374.89
2003-11-28,378.592
2003-12-31,404.194
2004-01-30,420.528
2004-02-27,440.104
2004-03-31,445.897
2004-04-30,408.357
2004-05-31,403.455
2004-06-30,402.848
2004-07-30,394.417
2004-08-31,412.05
2004-09-30,434.812
2004-10-29,444.946
2004-11-30,484.297
2004-12-31,507.114
2005-01-31,509.089
2005-02-28,555.338
2005-03-31,519.148
2005-04-29,505.859
2005-05-31,526.126
2005-06-30,545.671
2005-07-29,585.104
2005-08-31,591.692
2005-09-30,647.53
2005-10-31,604.791
2005-11-30,652.507
2005-12-30,691.961
2006-01-31,772.414
2006-02-28,769.011
2006-03-31,772.85
2006-04-28,828.239
2006-05-31,744.394
2006-06-30,747.127
2006-07-31,758.274
2006-08-31,777.172
2006-09-29,779.96
2006-10-31,812.976
2006-11-30,873.431
2006-12-29,912.987
2007-01-31,901.553
2007-02-28,891.824
2007-03-30,926.741
2007-04-30,963.987
2007-05-31,1000.0
2007-06-29,1049.858
2007-07-31,1105.27
2007-08-31,1084.87
2007-09-28,1208.377
2007-10-31,1346.352
2007-11-30,1260.472
2007-12-31,1262.252
2008-01-31,1107.306
2008-02-29,1190.553
2008-03-31,1129.233
2008-04-30,1225.09
2008-05-30,1255.099
2008-06-30,1135.511
2008-07-31,1086.979
2008-08-29,999.867
2008-09-30,827.726
2008-10-31,602.462
2008-11-28,558.659
2008-12-31,598.425
2009-01-30,560.059
2009-02-27,529.665
2009-03-31,604.541
2009-04-30,700.634
2009-05-29,820.9
2009-06-30,808.144
2009-07-31,897.387
2009-08-31,894.496
2009-09-30,976.66
2009-10-30,978.54
2009-11-30,1019.394
2009-12-31,1055.907
2010-01-29,997.305
2010-02-26,1000.105
2010-03-31,1081.737
2010-04-30,1094.455
2010-05-31,999.092
2010-06-30,988.079
2010-07-30,1070.218
2010-08-31,1047.049
2010-09-30,1161.749
2010-10-29,1195.996
2010-11-30,1165.406
2010-12-31,1253.105
2011-01-31,1220.936
2011-02-28,1214.795
2011-03-31,1284.911
2011-04-29,1322.522
2011-05-31,1286.793
2011-06-30,1267.307
2011-07-29,1260.771
2011-08-31,1148.638
2011-09-30,987.077
2011-10-31,1120.185
2011-11-30,1048.426
2011-12-30,1035.166
2012-01-31,1152.351
2012-02-29,1218.168
2012-03-30,1177.465
2012-04-30,1165.896
2012-05-31,1032.443
2012-06-29,1074.394
2012-07-31,1098.295
2012-08-31,1091.988
2012-09-28,1158.674
2012-10-31,1152.956
