Date,SPAIN MID CAP Mid Cap
1994-05-31,126.063
1994-06-30,120.836
1994-07-29,126.045
1994-08-31,127.454
1994-09-30,120.716
1994-10-31,120.86
1994-11-30,117.857
1994-12-30,111.67
1995-01-31,107.231
1995-02-28,108.534
1995-03-31,106.06
1995-04-28,119.347
1995-05-31,125.206
1995-06-30,128.168
1995-07-31,138.257
1995-08-31,132.574
1995-09-29,131.421
1995-10-31,127.194
1995-11-30,132.474
1995-12-29,138.155
1996-01-31,134.843
1996-02-29,142.128
1996-03-29,141.51
1996-04-30,144.841
1996-05-31,145.208
1996-06-28,153.547
1996-07-31,144.979
1996-08-30,146.802
1996-09-30,148.817
1996-10-31,153.534
1996-11-29,158.729
1996-12-31,182.55
1997-01-31,170.746
1997-02-28,162.684
1997-03-31,167.424
1997-04-30,169.467
1997-05-30,184.252
1997-06-30,199.43
1997-07-31,187.278
1997-08-29,184.17
1997-09-30,204.2
1997-10-31,192.283
1997-11-28,202.387
1997-12-31,201.592
1998-01-30,209.143
1998-02-27,225.258
1998-03-31,257.336
1998-04-30,259.354
1998-05-29,256.836
1998-06-30,254.088
1998-07-31,254.735
1998-08-31,227.146
1998-09-30,233.061
1998-10-30,254.185
1998-11-30,269.141
1998-12-31,297.444
1999-01-29,283.174
1999-02-26,276.849
1999-03-31,251.066
1999-04-30,243.121
1999-05-31,239.747
1999-06-30,237.184
1999-07-30,232.113
1999-08-31,244.709
1999-09-30,239.5
1999-10-29,231.322
1999-11-30,232.728
1999-12-31,269.96
2000-01-31,238.052
2000-02-29,278.234
2000-03-31,262.078
2000-04-28,241.175
2000-05-31,227.186
2000-06-30,226.805
2000-07-31,215.292
2000-08-31,214.652
2000-09-29,205.862
2000-10-31,195.087
2000-11-30,183.715
2000-12-29,189.372
2001-01-31,206.936
2001-02-28,204.679
2001-03-30,188.969
2001-04-30,199.969
2001-05-31,193.885
2001-06-29,191.266
2001-07-31,194.828
2001-08-31,201.596
2001-09-28,172.844
2001-10-31,182.978
2001-11-30,189.358
2001-12-31,189.776
2002-01-31,188.406
2002-02-28,193.072
2002-03-29,202.979
2002-04-30,213.243
2002-05-31,224.854
2002-06-28,224.86
2002-07-31,208.375
2002-08-30,207.464
2002-09-30,198.808
2002-10-31,200.846
2002-11-29,209.786
2002-12-31,210.02
2003-01-31,214.185
2003-02-28,216.127
2003-03-31,217.164
2003-04-30,239.732
2003-05-30,263.512
2003-06-30,258.383
2003-07-31,251.564
2003-08-29,241.336
2003-09-30,258.767
2003-10-31,263.85
2003-11-28,276.126
2003-12-31,301.954
2004-01-30,309.681
2004-02-27,324.387
2004-03-31,323.799
2004-04-30,318.28
2004-05-31,326.121
2004-06-30,334.676
2004-07-30,331.129
2004-08-31,340.151
2004-09-30,357.902
2004-10-29,375.199
2004-11-30,407.767
2004-12-31,439.822
2005-01-31,460.821
2005-02-28,476.043
2005-03-31,467.357
2005-04-29,465.335
2005-05-31,486.894
2005-06-30,510.928
2005-07-29,522.434
2005-08-31,539.592
2005-09-30,566.564
2005-10-31,541.764
2005-11-30,545.59
2005-12-30,548.227
2006-01-31,591.631
2006-02-28,614.576
2006-03-31,654.153
2006-04-28,695.427
2006-05-31,678.626
2006-06-30,672.075
2006-07-31,691.172
2006-08-31,710.169
2006-09-29,745.659
2006-10-31,792.332
2006-11-30,846.757
2006-12-29,874.579
2007-01-31,880.614
2007-02-28,898.701
2007-03-30,948.573
2007-04-30,944.974
2007-05-31,1000.0
2007-06-29,966.219
2007-07-31,955.945
2007-08-31,925.909
2007-09-28,935.838
2007-10-31,1016.232
2007-11-30,993.558
2007-12-31,936.401
2008-01-31,822.67
2008-02-29,856.906
2008-03-31,921.136
2008-04-30,929.763
2008-05-30,935.634
