Date,SPAIN MID CAP Mid Cap
1994-05-31,118.285
1994-06-30,113.411
1994-07-29,118.619
1994-08-31,119.945
1994-09-30,113.613
1994-10-31,113.859
1994-11-30,111.054
1994-12-30,105.225
1995-01-31,101.309
1995-02-28,102.54
1995-03-31,100.273
1995-04-28,112.853
1995-05-31,118.429
1995-06-30,121.317
1995-07-31,131.231
1995-08-31,125.837
1995-09-29,124.757
1995-10-31,120.875
1995-11-30,125.922
1995-12-29,131.345
1996-01-31,128.52
1996-02-29,135.463
1996-03-29,134.913
1996-04-30,138.153
1996-05-31,138.526
1996-06-28,146.651
1996-07-31,138.8
1996-08-30,140.545
1996-09-30,142.506
1996-10-31,147.158
1996-11-29,152.146
1996-12-31,175.038
1997-01-31,164.031
1997-02-28,156.287
1997-03-31,160.871
1997-04-30,162.893
1997-05-30,177.139
1997-06-30,191.874
1997-07-31,180.527
1997-08-29,177.531
1997-09-30,196.855
1997-10-31,185.483
1997-11-28,195.237
1997-12-31,194.498
1998-01-30,202.084
1998-02-27,217.655
1998-03-31,248.68
1998-04-30,250.689
1998-05-29,248.319
1998-06-30,245.929
1998-07-31,246.88
1998-08-31,220.142
1998-09-30,225.875
1998-10-30,246.347
1998-11-30,260.841
1998-12-31,288.272
1999-01-29,274.582
1999-02-26,268.449
1999-03-31,243.462
1999-04-30,235.775
1999-05-31,232.518
1999-06-30,230.125
1999-07-30,225.34
1999-08-31,237.569
1999-09-30,232.526
1999-10-29,224.674
1999-11-30,226.044
1999-12-31,262.236
2000-01-31,231.333
2000-02-29,270.381
2000-03-31,254.758
2000-04-28,234.455
2000-05-31,220.867
2000-06-30,220.567
2000-07-31,209.576
2000-08-31,208.953
2000-09-29,200.419
2000-10-31,190.116
2000-11-30,179.05
2000-12-29,184.588
2001-01-31,201.892
2001-02-28,199.691
2001-03-30,184.387
2001-04-30,195.139
2001-05-31,189.235
2001-06-29,186.887
2001-07-31,190.624
2001-08-31,197.245
2001-09-28,169.123
2001-10-31,179.129
2001-11-30,185.415
2001-12-31,185.833
2002-01-31,184.601
2002-02-28,189.181
2002-03-29,198.941
2002-04-30,209.073
2002-05-31,220.49
2002-06-28,220.653
2002-07-31,204.721
2002-08-30,203.826
2002-09-30,195.322
2002-10-31,197.428
2002-11-29,206.216
2002-12-31,206.446
2003-01-31,210.763
2003-02-28,212.674
2003-03-31,213.833
2003-04-30,236.167
2003-05-30,259.593
2003-06-30,254.698
2003-07-31,248.242
2003-08-29,238.149
2003-09-30,255.349
2003-10-31,260.491
2003-11-28,272.749
2003-12-31,298.261
2004-01-30,306.155
2004-02-27,320.771
2004-03-31,320.356
2004-04-30,314.896
2004-05-31,322.775
2004-06-30,331.527
2004-07-30,328.277
2004-08-31,337.222
2004-09-30,354.82
2004-10-29,372.073
2004-11-30,404.522
2004-12-31,436.353
