Date,SPAIN MID CAP Mid Cap
2001-01-01,184.588
2001-01-02,188.706
2001-01-03,190.348
2001-01-04,193.368
2001-01-05,193.446
2001-01-08,192.818
2001-01-09,189.731
2001-01-10,189.762
2001-01-11,193.692
2001-01-12,194.808
2001-01-15,192.502
2001-01-16,192.143
2001-01-17,192.544
2001-01-18,195.679
2001-01-19,192.606
2001-01-22,193.888
2001-01-23,196.745
2001-01-24,194.052
2001-01-25,196.072
2001-01-26,197.658
2001-01-29,195.368
2001-01-30,199.973
2001-01-31,201.892
2001-02-01,205.574
2001-02-02,199.818
2001-02-05,200.175
2001-02-06,198.985
2001-02-07,198.949
2001-02-08,199.312
2001-02-09,200.837
2001-02-12,206.203
2001-02-13,203.677
2001-02-14,199.843
2001-02-15,198.224
2001-02-16,199.923
2001-02-19,202.036
2001-02-20,199.135
2001-02-21,198.726
2001-02-22,196.474
2001-02-23,195.239
2001-02-26,195.588
2001-02-27,198.037
2001-02-28,199.691
2001-03-01,198.112
2001-03-02,200.517
2001-03-05,200.859
2001-03-06,204.29
2001-03-07,204.671
2001-03-08,204.624
2001-03-09,204.956
2001-03-12,201.207
2001-03-13,197.463
2001-03-14,193.926
2001-03-15,193.225
2001-03-16,188.355
2001-03-19,189.127
2001-03-20,191.78
2001-03-21,185.196
2001-03-22,174.903
2001-03-23,181.537
2001-03-26,185.276
2001-03-27,186.368
2001-03-28,183.197
2001-03-29,182.285
2001-03-30,184.387
2001-04-02,184.22
2001-04-03,180.829
2001-04-04,187.218
2001-04-05,188.222
2001-04-06,187.734
2001-04-09,190.241
2001-04-10,188.286
2001-04-11,187.119
2001-04-12,188.399
2001-04-13,188.399
2001-04-16,186.47
2001-04-17,185.464
2001-04-18,186.856
2001-04-19,190.117
2001-04-20,191.061
2001-04-23,189.104
2001-04-24,191.361
2001-04-25,192.945
2001-04-26,194.842
2001-04-27,194.098
2001-04-30,195.139
2001-05-01,196.174
2001-05-02,196.498
2001-05-03,195.712
2001-05-04,195.0
2001-05-07,194.628
2001-05-08,193.875
2001-05-09,194.5
2001-05-10,195.148
2001-05-11,193.898
2001-05-14,193.233
2001-05-15,193.96
2001-05-16,194.404
2001-05-17,195.388
2001-05-18,195.694
2001-05-21,194.692
2001-05-22,192.396
2001-05-23,191.146
2001-05-24,190.415
2001-05-25,188.71
2001-05-28,190.713
2001-05-29,188.593
2001-05-30,190.041
2001-05-31,189.235
2001-06-01,187.874
2001-06-04,190.37
2001-06-05,192.209
2001-06-06,191.31
2001-06-07,192.486
2001-06-08,193.561
2001-06-11,192.658
2001-06-12,191.235
2001-06-13,191.545
2001-06-14,192.925
2001-06-15,193.676
2001-06-18,190.392
2001-06-19,189.806
2001-06-20,188.35
2001-06-21,187.687
2001-06-22,187.323
2001-06-25,189.636
2001-06-26,188.636
2001-06-27,190.081
2001-06-28,187.61
2001-06-29,186.887
2001-07-02,187.693
2001-07-03,187.692
2001-07-04,187.863
2001-07-05,183.97
2001-07-06,181.82
2001-07-09,182.678
2001-07-10,185.06
2001-07-11,184.002
2001-07-12,179.965
2001-07-13,181.263
2001-07-16,181.795
2001-07-17,183.105
2001-07-18,185.749
2001-07-19,186.397
2001-07-20,186.849
2001-07-23,187.343
2001-07-24,188.864
2001-07-25,186.559
2001-07-26,187.283
2001-07-27,187.342
2001-07-30,191.163
2001-07-31,190.624
2001-08-01,192.702
2001-08-02,194.98
2001-08-03,196.256
2001-08-06,196.031
2001-08-07,195.04
2001-08-08,194.068
2001-08-09,195.898
2001-08-10,197.67
2001-08-13,199.541
2001-08-14,199.569
2001-08-15,202.616
2001-08-16,201.066
2001-08-17,200.077
2001-08-20,199.587
2001-08-21,200.007
2001-08-22,202.429
2001-08-23,200.887
2001-08-24,202.575
2001-08-27,200.291
2001-08-28,199.042
2001-08-29,199.94
2001-08-30,196.705
2001-08-31,197.245
2001-09-03,194.539
2001-09-04,191.345
2001-09-05,188.522
2001-09-06,187.854
2001-09-07,188.112
2001-09-10,184.556
2001-09-11,173.676
2001-09-12,173.372
2001-09-13,173.76
2001-09-14,169.746
2001-09-17,165.767
2001-09-18,166.151
