Date,BELGIUM SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,100.752
2001-01-03,101.321
2001-01-04,102.747
2001-01-05,105.72
2001-01-08,106.357
2001-01-09,102.704
2001-01-10,101.756
2001-01-11,103.155
2001-01-12,102.787
2001-01-15,101.298
2001-01-16,101.785
2001-01-17,101.243
2001-01-18,103.232
2001-01-19,104.678
2001-01-22,103.944
2001-01-23,104.321
2001-01-24,103.227
2001-01-25,102.567
2001-01-26,102.479
2001-01-29,101.962
2001-01-30,101.529
2001-01-31,101.364
2001-02-01,104.658
2001-02-02,104.511
2001-02-05,104.982
2001-02-06,104.391
2001-02-07,104.212
2001-02-08,102.289
2001-02-09,101.537
2001-02-12,100.797
2001-02-13,99.865
2001-02-14,98.504
2001-02-15,97.808
2001-02-16,98.599
2001-02-19,99.218
2001-02-20,99.236
2001-02-21,100.438
2001-02-22,99.589
2001-02-23,99.082
2001-02-26,101.292
2001-02-27,102.293
2001-02-28,103.008
2001-03-01,103.642
2001-03-02,104.846
2001-03-05,105.228
2001-03-06,105.383
2001-03-07,104.808
2001-03-08,105.727
2001-03-09,104.708
2001-03-12,102.999
2001-03-13,99.125
2001-03-14,98.109
2001-03-15,96.801
2001-03-16,95.097
2001-03-19,93.751
2001-03-20,95.438
2001-03-21,93.083
2001-03-22,91.518
2001-03-23,92.36
2001-03-26,93.191
2001-03-27,94.529
2001-03-28,93.932
2001-03-29,91.993
2001-03-30,92.408
2001-04-02,92.613
2001-04-03,91.577
2001-04-04,94.266
2001-04-05,93.432
2001-04-06,95.423
2001-04-09,96.297
2001-04-10,95.26
2001-04-11,94.611
2001-04-12,96.326
2001-04-13,96.326
2001-04-16,95.34
2001-04-17,95.121
2001-04-18,95.103
2001-04-19,97.043
2001-04-20,97.361
2001-04-23,97.308
2001-04-24,97.228
2001-04-25,96.571
2001-04-26,97.179
2001-04-27,96.401
2001-04-30,96.044
2001-05-01,96.553
2001-05-02,96.432
2001-05-03,98.023
2001-05-04,96.847
2001-05-07,96.961
2001-05-08,95.688
2001-05-09,95.953
2001-05-10,95.645
2001-05-11,91.709
2001-05-14,91.529
2001-05-15,91.787
2001-05-16,96.471
2001-05-17,96.047
2001-05-18,94.99
2001-05-21,95.623
2001-05-22,92.433
2001-05-23,91.08
2001-05-24,91.46
2001-05-25,90.737
2001-05-28,92.562
2001-05-29,92.658
2001-05-30,93.556
2001-05-31,93.062
2001-06-01,93.45
2001-06-04,93.577
2001-06-05,95.21
2001-06-06,94.461
2001-06-07,94.348
2001-06-08,94.715
2001-06-11,93.903
2001-06-12,93.934
2001-06-13,93.432
2001-06-14,93.874
2001-06-15,93.809
2001-06-18,93.127
2001-06-19,91.985
2001-06-20,89.813
2001-06-21,89.398
2001-06-22,90.082
2001-06-25,90.687
2001-06-26,90.436
2001-06-27,89.951
2001-06-28,88.674
2001-06-29,89.124
2001-07-02,89.573
2001-07-03,89.281
2001-07-04,89.502
2001-07-05,88.248
2001-07-06,88.799
2001-07-09,88.53
2001-07-10,89.698
2001-07-11,89.026
2001-07-12,88.181
2001-07-13,88.905
2001-07-16,90.677
2001-07-17,90.297
2001-07-18,91.579
2001-07-19,91.429
2001-07-20,90.891
2001-07-23,90.018
2001-07-24,90.312
2001-07-25,90.77
2001-07-26,90.436
2001-07-27,90.652
2001-07-30,91.797
2001-07-31,91.971
2001-08-01,91.968
2001-08-02,91.422
2001-08-03,90.843
2001-08-06,91.468
2001-08-07,91.242
2001-08-08,90.836
2001-08-09,91.614
2001-08-10,92.856
2001-08-13,92.681
2001-08-14,92.69
2001-08-15,94.371
2001-08-16,94.32
2001-08-17,94.161
