Date,BELGIUM SMALL GROWTH Small Cap
1994-05-31,192.503
1994-06-30,187.959
1994-07-29,196.481
1994-08-31,197.043
1994-09-30,191.347
1994-10-31,195.345
1994-11-30,186.471
1994-12-30,188.448
1995-01-31,186.325
1995-02-28,186.29
1995-03-31,197.954
1995-04-28,205.159
1995-05-31,211.008
1995-06-30,211.539
1995-07-31,219.626
1995-08-31,213.7
1995-09-29,224.19
1995-10-31,218.27
1995-11-30,219.655
1995-12-29,223.181
1996-01-31,238.153
1996-02-29,239.582
1996-03-29,250.919
1996-04-30,266.742
1996-05-31,272.662
1996-06-28,292.732
1996-07-31,285.805
1996-08-30,293.987
1996-09-30,296.932
1996-10-31,322.853
1996-11-29,351.118
1996-12-31,351.085
1997-01-31,350.398
1997-02-28,341.565
1997-03-31,348.936
1997-04-30,355.525
1997-05-30,386.577
1997-06-30,424.072
1997-07-31,434.768
1997-08-29,403.165
1997-09-30,420.81
1997-10-31,420.999
1997-11-28,406.381
1997-12-31,418.575
1998-01-30,448.0
1998-02-27,497.916
1998-03-31,524.045
1998-04-30,546.954
1998-05-29,585.727
1998-06-30,661.636
1998-07-31,715.655
1998-08-31,649.088
1998-09-30,656.426
1998-10-30,683.276
1998-11-30,705.347
1998-12-31,722.012
1999-01-29,733.184
1999-02-26,779.874
1999-03-31,708.917
1999-04-30,693.04
1999-05-31,662.469
1999-06-30,630.219
1999-07-30,625.834
1999-08-31,638.322
1999-09-30,602.195
1999-10-29,590.458
1999-11-30,574.239
1999-12-31,590.236
2000-01-31,534.795
2000-02-29,556.93
2000-03-31,544.059
2000-04-28,497.883
2000-05-31,500.706
2000-06-30,511.517
2000-07-31,489.384
2000-08-31,501.904
2000-09-29,455.41
2000-10-31,414.449
2000-11-30,407.468
2000-12-29,434.331
2001-01-31,427.996
2001-02-28,413.973
2001-03-30,354.408
2001-04-30,356.243
2001-05-31,347.618
2001-06-29,331.482
2001-07-31,334.885
2001-08-31,343.769
2001-09-28,303.838
2001-10-31,308.308
2001-11-30,329.136
2001-12-31,341.542
2002-01-31,337.807
2002-02-28,333.355
2002-03-29,338.84
2002-04-30,347.161
2002-05-31,351.423
2002-06-28,353.715
2002-07-31,334.308
2002-08-30,333.005
2002-09-30,310.969
2002-10-31,329.231
2002-11-29,332.453
2002-12-31,348.342
2003-01-31,353.495
2003-02-28,319.755
2003-03-31,324.308
2003-04-30,366.873
2003-05-30,404.792
2003-06-30,409.313
2003-07-31,408.675
2003-08-29,426.002
2003-09-30,469.54
2003-10-31,473.633
2003-11-28,490.308
2003-12-31,524.76
2004-01-30,564.885
2004-02-27,604.199
2004-03-31,570.149
2004-04-30,562.423
2004-05-31,570.081
2004-06-30,581.412
2004-07-30,565.829
2004-08-31,597.233
2004-09-30,617.755
2004-10-29,666.746
2004-11-30,681.42
2004-12-31,724.083
2005-01-31,722.198
2005-02-28,771.778
2005-03-31,761.244
2005-04-29,742.249
2005-05-31,683.716
2005-06-30,667.258
2005-07-29,687.799
2005-08-31,662.652
2005-09-30,659.824
2005-10-31,610.775
2005-11-30,563.83
2005-12-30,601.532
2006-01-31,659.767
2006-02-28,694.857
2006-03-31,710.754
2006-04-28,809.278
2006-05-31,764.524
2006-06-30,762.585
2006-07-31,724.166
2006-08-31,760.316
2006-09-29,759.758
2006-10-31,789.201
2006-11-30,788.202
2006-12-29,845.232
2007-01-31,879.344
2007-02-28,877.448
2007-03-30,900.377
2007-04-30,975.05
2007-05-31,1000.0
2007-06-29,1051.256
2007-07-31,1028.514
2007-08-31,1008.673
2007-09-28,1014.939
2007-10-31,976.679
2007-11-30,980.161
2007-12-31,959.696
2008-01-31,841.196
2008-02-29,857.92
2008-03-31,873.34
2008-04-30,872.924
2008-05-30,905.392
2008-06-30,827.26
2008-07-31,807.906
2008-08-29,802.508
2008-09-30,684.023
2008-10-31,499.178
2008-11-28,437.949
2008-12-31,444.589
2009-01-30,398.926
2009-02-27,406.825
2009-03-31,399.25
2009-04-30,487.316
2009-05-29,536.766
2009-06-30,542.718
2009-07-31,582.694
2009-08-31,627.113
2009-09-30,671.798
2009-10-30,673.96
2009-11-30,688.966
2009-12-31,669.269
2010-01-29,701.417
2010-02-26,674.799
2010-03-31,727.76
2010-04-30,698.203
2010-05-31,606.054
2010-06-30,590.998
2010-07-30,666.732
2010-08-31,652.926
2010-09-30,740.665
2010-10-29,811.813
2010-11-30,731.423
2010-12-31,818.464
2011-01-31,815.818
2011-02-28,869.526
2011-03-31,900.125
2011-04-29,946.001
2011-05-31,886.14
2011-06-30,886.141
2011-07-29,846.828
2011-08-31,797.999
2011-09-30,709.235
2011-10-31,769.764
2011-11-30,712.859
2011-12-30,717.117
2012-01-31,753.031
2012-02-29,799.408
