Date,BELGIUM SMALL GROWTH Small Cap
2001-01-01,444.871
2001-01-02,447.728
2001-01-03,442.729
2001-01-04,441.111
2001-01-05,443.565
2001-01-08,443.018
2001-01-09,436.102
2001-01-10,432.288
2001-01-11,435.426
2001-01-12,434.748
2001-01-15,432.2
2001-01-16,436.003
2001-01-17,434.153
2001-01-18,442.759
2001-01-19,445.525
2001-01-22,441.885
2001-01-23,441.075
2001-01-24,435.358
2001-01-25,433.169
2001-01-26,436.472
2001-01-29,434.922
2001-01-30,435.701
2001-01-31,438.382
2001-02-01,442.113
2001-02-02,442.591
2001-02-05,445.127
2001-02-06,438.2
2001-02-07,438.267
2001-02-08,431.469
2001-02-09,431.045
2001-02-12,434.624
2001-02-13,431.24
2001-02-14,426.555
2001-02-15,420.1
2001-02-16,426.391
2001-02-19,427.374
2001-02-20,423.602
2001-02-21,423.668
2001-02-22,419.013
2001-02-23,418.814
2001-02-26,423.304
2001-02-27,425.072
2001-02-28,424.019
2001-03-01,423.595
2001-03-02,426.531
2001-03-05,423.382
2001-03-06,424.853
2001-03-07,421.536
2001-03-08,421.763
2001-03-09,419.124
2001-03-12,412.865
2001-03-13,396.591
2001-03-14,390.564
2001-03-15,384.514
2001-03-16,382.939
2001-03-19,380.902
2001-03-20,383.788
2001-03-21,376.219
2001-03-22,363.409
2001-03-23,368.538
2001-03-26,372.395
2001-03-27,368.894
2001-03-28,365.846
2001-03-29,357.574
2001-03-30,363.008
2001-04-02,360.257
2001-04-03,359.361
2001-04-04,362.026
2001-04-05,363.119
2001-04-06,366.989
2001-04-09,368.261
2001-04-10,365.191
2001-04-11,365.283
2001-04-12,367.82
2001-04-13,367.82
2001-04-16,364.053
2001-04-17,361.265
2001-04-18,359.789
2001-04-19,368.067
2001-04-20,368.956
2001-04-23,367.007
2001-04-24,367.33
2001-04-25,367.348
2001-04-26,368.848
2001-04-27,365.287
2001-04-30,364.888
2001-05-01,366.579
2001-05-02,366.317
2001-05-03,370.381
2001-05-04,371.313
2001-05-07,369.289
2001-05-08,366.255
2001-05-09,366.057
2001-05-10,364.388
2001-05-11,365.748
2001-05-14,363.267
2001-05-15,365.417
2001-05-16,367.924
2001-05-17,366.425
2001-05-18,361.765
2001-05-21,362.812
2001-05-22,358.468
2001-05-23,356.126
2001-05-24,356.725
2001-05-25,355.644
2001-05-28,358.561
2001-05-29,360.024
2001-05-30,360.337
2001-05-31,355.739
2001-06-01,355.535
2001-06-04,355.815
2001-06-05,358.777
2001-06-06,360.497
2001-06-07,361.088
2001-06-08,358.423
2001-06-11,355.8
2001-06-12,356.766
2001-06-13,358.652
2001-06-14,358.725
2001-06-15,360.429
2001-06-18,358.399
2001-06-19,352.779
2001-06-20,346.168
2001-06-21,347.947
2001-06-22,345.534
2001-06-25,346.312
2001-06-26,344.675
2001-06-27,341.992
2001-06-28,337.478
2001-06-29,338.972
2001-07-02,340.093
2001-07-03,341.537
2001-07-04,333.881
2001-07-05,329.12
2001-07-06,333.187
2001-07-09,334.368
2001-07-10,338.445
2001-07-11,337.611
2001-07-12,335.74
2001-07-13,333.688
2001-07-16,336.679
2001-07-17,334.548
2001-07-18,339.832
2001-07-19,339.223
2001-07-20,341.995
2001-07-23,339.429
2001-07-24,340.349
2001-07-25,339.422
2001-07-26,337.531
2001-07-27,337.934
2001-07-30,340.506
2001-07-31,342.426
2001-08-01,349.4
2001-08-02,353.383
2001-08-03,355.595
2001-08-06,356.703
2001-08-07,356.51
2001-08-08,354.088
2001-08-09,355.649
2001-08-10,357.187
2001-08-13,357.206
2001-08-14,358.164
2001-08-15,363.999
2001-08-16,362.513
2001-08-17,361.869
2001-08-20,357.078
2001-08-21,353.723
2001-08-22,352.793
2001-08-23,352.174
2001-08-24,355.193
2001-08-27,353.832
2001-08-28,353.037
2001-08-29,352.91
2001-08-30,353.018
2001-08-31,351.511
2001-09-03,349.816
2001-09-04,344.852
2001-09-05,342.467
2001-09-06,338.271
2001-09-07,340.397
2001-09-10,332.286
2001-09-11,318.624
2001-09-12,314.933
2001-09-13,314.958
2001-09-14,310.657
2001-09-17,302.508
2001-09-18,301.979
2001-09-19,305.623
2001-09-20,298.224
2001-09-21,284.879
2001-09-24,294.266
2001-09-25,302.457
2001-09-26,312.248
2001-09-27,312.699
2001-09-28,310.654
2001-10-01,313.674
2001-10-02,310.061
2001-10-03,307.504
2001-10-04,307.974
2001-10-05,310.433
2001-10-08,311.038
2001-10-09,313.84
2001-10-10,310.202
2001-10-11,310.479
2001-10-12,311.741
2001-10-15,309.918
2001-10-16,307.88
2001-10-17,314.493
2001-10-18,312.67
2001-10-19,311.948
2001-10-22,311.989
2001-10-23,316.0
2001-10-24,318.906
2001-10-25,322.235
2001-10-26,320.61
2001-10-29,323.949
2001-10-30,318.827
2001-10-31,315.162
2001-11-01,318.466
2001-11-02,318.949
2001-11-05,319.286
2001-11-06,319.463
2001-11-07,323.312
2001-11-08,320.754
2001-11-09,321.935
2001-11-12,318.193
2001-11-13,319.321
2001-11-14,322.544
2001-11-15,323.851
2001-11-16,326.105
2001-11-19,327.381
2001-11-20,326.413
2001-11-21,325.278
2001-11-22,330.084
2001-11-23,329.456
2001-11-26,332.623
2001-11-27,330.411
2001-11-28,332.389
2001-11-29,333.38
2001-11-30,336.453
2001-12-03,333.444
2001-12-04,333.433
2001-12-05,335.05
2001-12-06,341.184
2001-12-07,342.535
2001-12-10,343.402
2001-12-11,341.984
2001-12-12,345.437
2001-12-13,343.888
2001-12-14,344.229
2001-12-17,345.658
2001-12-18,347.2
2001-12-19,346.566
2001-12-20,346.466
2001-12-21,342.493
2001-12-24,339.289
2001-12-25,339.289
2001-12-26,339.579
2001-12-27,346.369
2001-12-28,345.846
2001-12-31,348.98
2002-01-01,348.98
2002-01-02,358.881
2002-01-03,361.518
2002-01-04,363.211
2002-01-07,360.981
2002-01-08,360.512
2002-01-09,360.332
2002-01-10,357.895
2002-01-11,359.094
2002-01-14,358.25
2002-01-15,355.356
2002-01-16,351.556
2002-01-17,352.447
2002-01-18,355.762
2002-01-21,353.379
2002-01-22,352.725
2002-01-23,355.087
2002-01-24,355.694
2002-01-25,349.789
2002-01-28,348.091
2002-01-29,348.806
2002-01-30,347.848
2002-01-31,345.149
2002-02-01,343.376
2002-02-04,345.369
2002-02-05,343.809
2002-02-06,344.208
2002-02-07,343.491
2002-02-08,343.991
2002-02-11,345.521
2002-02-12,347.852
2002-02-13,343.563
2002-02-14,347.648
2002-02-15,348.534
2002-02-18,345.161
2002-02-19,345.727
2002-02-20,342.271
2002-02-21,342.524
2002-02-22,345.127
2002-02-25,340.003
2002-02-26,339.376
2002-02-27,339.07
2002-02-28,340.601
2002-03-01,341.312
2002-03-04,346.643
2002-03-05,346.592
2002-03-06,346.887
2002-03-07,350.361
2002-03-08,347.236
2002-03-11,347.634
2002-03-12,343.818
2002-03-13,346.933
