Date,BELGIUM SMALL GROWTH Small Cap
2001-01-01,434.331
2001-01-02,437.12
2001-01-03,432.24
2001-01-04,430.661
2001-01-05,433.056
2001-01-08,432.523
2001-01-09,425.77
2001-01-10,422.046
2001-01-11,425.11
2001-01-12,424.449
2001-01-15,421.961
2001-01-16,425.673
2001-01-17,423.868
2001-01-18,432.269
2001-01-19,434.97
2001-01-22,431.416
2001-01-23,430.626
2001-01-24,425.043
2001-01-25,422.907
2001-01-26,426.131
2001-01-29,424.618
2001-01-30,425.379
2001-01-31,427.996
2001-02-01,431.639
2001-02-02,432.106
2001-02-05,434.582
2001-02-06,427.818
2001-02-07,427.884
2001-02-08,421.247
2001-02-09,420.833
2001-02-12,424.327
2001-02-13,421.023
2001-02-14,416.449
2001-02-15,410.147
2001-02-16,416.289
2001-02-19,417.249
2001-02-20,413.566
2001-02-21,413.63
2001-02-22,409.086
2001-02-23,408.892
2001-02-26,413.276
2001-02-27,415.001
2001-02-28,413.973
2001-03-01,413.559
2001-03-02,416.426
2001-03-05,413.351
2001-03-06,414.788
2001-03-07,411.549
2001-03-08,411.771
2001-03-09,409.195
2001-03-12,403.084
2001-03-13,387.195
2001-03-14,381.311
2001-03-15,375.404
2001-03-16,373.867
2001-03-19,371.878
2001-03-20,374.696
2001-03-21,367.306
2001-03-22,354.799
2001-03-23,359.807
2001-03-26,363.572
2001-03-27,360.154
2001-03-28,357.178
2001-03-29,349.103
2001-03-30,354.408
2001-04-02,351.722
2001-04-03,350.847
2001-04-04,353.449
2001-04-05,354.516
2001-04-06,358.294
2001-04-09,359.536
2001-04-10,356.539
2001-04-11,356.629
2001-04-12,359.106
2001-04-13,359.106
2001-04-16,355.428
2001-04-17,352.706
2001-04-18,351.265
2001-04-19,359.347
2001-04-20,360.215
2001-04-23,358.312
2001-04-24,358.628
2001-04-25,358.645
2001-04-26,360.109
2001-04-27,356.633
2001-04-30,356.243
2001-05-01,357.894
2001-05-02,357.638
2001-05-03,361.606
2001-05-04,362.516
2001-05-07,360.54
2001-05-08,357.578
2001-05-09,357.384
2001-05-10,355.755
2001-05-11,357.083
2001-05-14,354.697
2001-05-15,356.796
2001-05-16,359.244
2001-05-17,357.78
2001-05-18,353.245
2001-05-21,354.267
2001-05-22,350.025
2001-05-23,347.739
2001-05-24,348.324
2001-05-25,347.357
2001-05-28,350.206
2001-05-29,351.804
2001-05-30,352.11
2001-05-31,347.618
2001-06-01,347.477
2001-06-04,347.751
2001-06-05,350.646
2001-06-06,352.326
2001-06-07,352.904
2001-06-08,350.3
2001-06-11,347.746
2001-06-12,348.69
2001-06-13,350.648
2001-06-14,350.72
2001-06-15,352.452
2001-06-18,350.477
2001-06-19,344.981
2001-06-20,338.516
2001-06-21,340.256
2001-06-22,337.897
2001-06-25,338.657
2001-06-26,337.059
2001-06-27,334.436
2001-06-28,330.022
2001-06-29,331.482
2001-07-02,332.59
2001-07-03,334.002
2001-07-04,326.515
2001-07-05,321.859
2001-07-06,325.849
2001-07-09,327.003
2001-07-10,330.991
2001-07-11,330.175
2001-07-12,328.346
2001-07-13,326.338
2001-07-16,329.264
2001-07-17,327.18
2001-07-18,332.347
2001-07-19,331.751
2001-07-20,334.462
2001-07-23,331.953
2001-07-24,332.853
2001-07-25,331.947
2001-07-26,330.097
2001-07-27,330.491
2001-07-30,333.006
2001-07-31,334.885
2001-08-01,341.705
2001-08-02,345.6
2001-08-03,347.763
2001-08-06,348.847
2001-08-07,348.658
2001-08-08,346.289
2001-08-09,347.816
2001-08-10,349.32
2001-08-13,349.339
2001-08-14,350.276
2001-08-15,355.982
2001-08-16,354.529
2001-08-17,353.899
2001-08-20,349.213
2001-08-21,345.932
2001-08-22,345.023
2001-08-23,344.417
2001-08-24,347.37
2001-08-27,346.039
2001-08-28,345.262
2001-08-29,345.137
2001-08-30,345.243
2001-08-31,343.769
2001-09-03,342.111
2001-09-04,337.257
2001-09-05,334.925
2001-09-06,330.821
2001-09-07,332.9
2001-09-10,324.968
2001-09-11,311.607
2001-09-12,307.997
2001-09-13,308.021
2001-09-14,303.815
2001-09-17,295.845
2001-09-18,295.328
2001-09-19,298.892
2001-09-20,291.656
2001-09-21,278.604
2001-09-24,287.809
2001-09-25,295.821
2001-09-26,305.396
2001-09-27,305.837
2001-09-28,303.838
2001-10-01,306.812
2001-10-02,303.318
2001-10-03,300.816
2001-10-04,301.276
2001-10-05,303.681
2001-10-08,304.274
2001-10-09,307.015
2001-10-10,303.455
2001-10-11,303.727
2001-10-12,304.961
2001-10-15,303.178
2001-10-16,301.184
2001-10-17,307.654
2001-10-18,305.869
2001-10-19,305.163
2001-10-22,305.204
2001-10-23,309.127
2001-10-24,311.97
2001-10-25,315.226
2001-10-26,313.637
2001-10-29,316.903
2001-10-30,311.893
2001-10-31,308.308
2001-11-01,311.54
2001-11-02,312.012
2001-11-05,312.342
2001-11-06,312.515
2001-11-07,316.281
2001-11-08,313.778
2001-11-09,314.933
2001-11-12,311.273
2001-11-13,312.376
2001-11-14,315.529
2001-11-15,316.808
2001-11-16,319.012
2001-11-19,320.261
2001-11-20,319.314
2001-11-21,318.203
2001-11-22,322.906
2001-11-23,322.291
2001-11-26,325.389
2001-11-27,323.225
2001-11-28,325.16
2001-11-29,326.13
2001-11-30,329.136
2001-12-03,326.192
2001-12-04,326.182
2001-12-05,327.763
2001-12-06,333.764
2001-12-07,335.085
2001-12-10,335.934
2001-12-11,334.546
2001-12-12,337.925
2001-12-13,336.409
2001-12-14,336.743
2001-12-17,338.14
2001-12-18,339.649
2001-12-19,339.029
2001-12-20,338.931
2001-12-21,335.044
2001-12-24,332.058
2001-12-25,332.058
2001-12-26,332.342
2001-12-27,338.987
2001-12-28,338.475
2001-12-31,341.542
2002-01-01,341.542
2002-01-02,351.246
2002-01-03,353.828
2002-01-04,355.484
2002-01-07,353.302
2002-01-08,352.843
2002-01-09,352.667
2002-01-10,350.281
2002-01-11,351.456
2002-01-14,350.629
2002-01-15,347.797
2002-01-16,344.077
2002-01-17,344.949
2002-01-18,348.194
2002-01-21,345.861
2002-01-22,345.221
2002-01-23,347.534
2002-01-24,348.127
2002-01-25,342.349
2002-01-28,340.687
2002-01-29,341.386
2002-01-30,340.449
2002-01-31,337.807
2002-02-01,336.072
2002-02-04,338.022
2002-02-05,336.495
2002-02-06,336.886
2002-02-07,336.184
2002-02-08,336.673
2002-02-11,338.171
2002-02-12,340.452
2002-02-13,336.255
2002-02-14,340.253
2002-02-15,341.12
2002-02-18,337.818
2002-02-19,338.372
2002-02-20,334.99
2002-02-21,335.237
2002-02-22,337.785
2002-02-25,332.771
2002-02-26,332.157
2002-02-27,331.858
2002-02-28,333.355
2002-03-01,334.052
2002-03-04,339.269
2002-03-05,339.22
2002-03-06,339.508
2002-03-07,342.908
