Date,IRELAND SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,207.866
2001-01-02,210.055
2001-01-03,200.361
2001-01-04,204.176
2001-01-05,202.759
2001-01-08,196.539
2001-01-09,195.336
2001-01-10,194.175
2001-01-11,198.372
2001-01-12,201.206
2001-01-15,199.494
2001-01-16,198.035
2001-01-17,199.588
2001-01-18,203.624
2001-01-19,200.806
2001-01-22,201.881
2001-01-23,201.648
2001-01-24,200.02
2001-01-25,204.74
2001-01-26,202.9
2001-01-29,205.573
2001-01-30,207.153
2001-01-31,207.905
2001-02-01,209.851
2001-02-02,209.027
2001-02-05,211.495
2001-02-06,206.774
2001-02-07,208.169
2001-02-08,206.945
2001-02-09,207.683
2001-02-12,208.757
2001-02-13,208.059
2001-02-14,206.122
2001-02-15,205.453
2001-02-16,209.377
2001-02-19,207.734
2001-02-20,206.727
2001-02-21,205.993
2001-02-22,206.336
2001-02-23,205.337
2001-02-26,203.148
2001-02-27,207.651
2001-02-28,202.18
2001-03-01,200.055
2001-03-02,195.88
2001-03-05,196.822
2001-03-06,198.293
2001-03-07,197.892
2001-03-08,197.563
2001-03-09,193.579
2001-03-12,189.527
2001-03-13,183.664
2001-03-14,180.456
2001-03-15,178.93
2001-03-16,174.39
2001-03-19,171.711
2001-03-20,173.436
2001-03-21,166.209
2001-03-22,155.424
2001-03-23,165.376
2001-03-26,171.195
2001-03-27,173.327
2001-03-28,173.593
2001-03-29,168.732
2001-03-30,170.184
2001-04-02,165.994
2001-04-03,160.587
2001-04-04,162.672
2001-04-05,168.38
2001-04-06,168.987
2001-04-09,170.162
2001-04-10,170.614
2001-04-11,170.453
2001-04-12,171.483
2001-04-13,171.483
2001-04-16,169.727
2001-04-17,170.855
2001-04-18,173.422
2001-04-19,181.395
2001-04-20,186.852
2001-04-23,183.148
2001-04-24,181.231
2001-04-25,180.375
2001-04-26,183.762
2001-04-27,182.912
2001-04-30,187.149
2001-05-01,187.7
2001-05-02,189.203
2001-05-03,188.111
2001-05-04,187.965
2001-05-07,187.199
2001-05-08,187.572
2001-05-09,187.514
2001-05-10,189.537
2001-05-11,186.73
2001-05-14,188.844
2001-05-15,184.939
2001-05-16,186.333
2001-05-17,185.663
2001-05-18,185.599
2001-05-21,187.212
2001-05-22,187.692
2001-05-23,194.051
2001-05-24,191.269
2001-05-25,187.109
2001-05-28,188.646
2001-05-29,186.717
2001-05-30,186.147
2001-05-31,184.306
2001-06-01,185.463
2001-06-04,185.715
2001-06-05,188.712
2001-06-06,189.249
2001-06-07,189.911
2001-06-08,188.115
2001-06-11,183.288
2001-06-12,180.691
2001-06-13,182.828
2001-06-14,182.046
2001-06-15,184.794
2001-06-18,185.075
2001-06-19,185.056
2001-06-20,183.795
2001-06-21,184.887
2001-06-22,184.378
2001-06-25,187.541
2001-06-26,184.13
2001-06-27,183.826
2001-06-28,183.329
2001-06-29,185.499
2001-07-02,182.612
2001-07-03,182.496
2001-07-04,180.956
2001-07-05,176.954
2001-07-06,175.575
2001-07-09,179.105
2001-07-10,181.074
2001-07-11,179.759
2001-07-12,179.162
2001-07-13,178.971
2001-07-16,181.659
2001-07-17,181.873
2001-07-18,186.205
2001-07-19,189.961
2001-07-20,189.794
2001-07-23,187.117
2001-07-24,186.908
2001-07-25,182.668
2001-07-26,179.31
2001-07-27,177.811
2001-07-30,178.432
2001-07-31,176.387
2001-08-01,177.615
2001-08-02,180.317
2001-08-03,180.685
2001-08-06,180.018
2001-08-07,176.489
2001-08-08,174.09
2001-08-09,171.009
2001-08-10,169.234
2001-08-13,170.213
2001-08-14,170.659
2001-08-15,172.499
2001-08-16,171.933
2001-08-17,171.903
2001-08-20,170.52
2001-08-21,172.581
2001-08-22,174.143
2001-08-23,173.325
2001-08-24,174.612
2001-08-27,175.251
2001-08-28,175.482
2001-08-29,176.455
2001-08-30,175.342
2001-08-31,173.936
2001-09-03,174.347
2001-09-04,171.484
2001-09-05,170.148
2001-09-06,170.049
2001-09-07,168.977
2001-09-10,166.479
2001-09-11,161.236
2001-09-12,150.201
2001-09-13,151.209
2001-09-14,149.068
2001-09-17,150.44
2001-09-18,151.836
2001-09-19,153.617
2001-09-20,146.55
2001-09-21,135.129
2001-09-24,138.679
2001-09-25,144.934
2001-09-26,145.358
2001-09-27,146.041
2001-09-28,148.806
2001-10-01,148.857
2001-10-02,147.643
2001-10-03,148.928
2001-10-04,151.081
2001-10-05,151.097
2001-10-08,148.853
2001-10-09,149.369
2001-10-10,150.007
2001-10-11,155.297
2001-10-12,154.867
2001-10-15,152.276
2001-10-16,155.476
2001-10-17,156.895
2001-10-18,156.447
2001-10-19,155.198
2001-10-22,154.314
2001-10-23,155.924
2001-10-24,158.789
2001-10-25,156.994
2001-10-26,157.865
2001-10-29,156.358
2001-10-30,156.306
2001-10-31,156.108
2001-11-01,156.432
2001-11-02,156.509
2001-11-05,162.56
2001-11-06,165.632
2001-11-07,165.852
2001-11-08,166.418
2001-11-09,168.259
2001-11-12,166.51
2001-11-13,169.274
2001-11-14,170.707
2001-11-15,169.396
2001-11-16,169.484
2001-11-19,170.127
2001-11-20,171.941
2001-11-21,170.448
2001-11-22,171.802
2001-11-23,170.776
2001-11-26,172.379
2001-11-27,171.798
2001-11-28,172.831
2001-11-29,171.711
2001-11-30,175.409
2001-12-03,174.063
2001-12-04,174.388
2001-12-05,177.073
2001-12-06,179.364
2001-12-07,179.897
2001-12-10,179.555
2001-12-11,179.746
2001-12-12,181.131
2001-12-13,181.158
2001-12-14,177.702
2001-12-17,178.993
