Date,KOKUSAI INDEX (WORLD ex JP) SMALL GROWTH Small Cap
1994-05-31,242.602
1994-06-30,234.952
1994-07-29,240.765
1994-08-31,253.045
1994-09-30,252.578
1994-10-31,256.593
1994-11-30,244.189
1994-12-30,247.746
1995-01-31,243.448
1995-02-28,251.627
1995-03-31,259.698
1995-04-28,262.933
1995-05-31,267.116
1995-06-30,279.291
1995-07-31,296.45
1995-08-31,295.236
1995-09-29,301.866
1995-10-31,291.577
1995-11-30,295.641
1995-12-29,301.93
1996-01-31,301.47
1996-02-29,313.408
1996-03-29,321.532
1996-04-30,339.867
1996-05-31,351.881
1996-06-28,340.57
1996-07-31,313.822
1996-08-30,329.372
1996-09-30,339.384
1996-10-31,336.086
1996-11-29,344.896
1996-12-31,350.536
1997-01-31,356.325
1997-02-28,344.763
1997-03-31,331.239
1997-04-30,323.072
1997-05-30,356.046
1997-06-30,369.247
1997-07-31,382.026
1997-08-29,387.578
1997-09-30,414.748
1997-10-31,392.24
1997-11-28,382.764
1997-12-31,380.279
1998-01-30,380.583
1998-02-27,414.467
1998-03-31,439.786
1998-04-30,447.449
1998-05-29,433.222
1998-06-30,427.971
1998-07-31,408.859
1998-08-31,329.559
1998-09-30,339.965
1998-10-30,356.494
1998-11-30,378.815
1998-12-31,400.508
1999-01-29,413.109
1999-02-26,390.539
1999-03-31,399.27
1999-04-30,423.498
1999-05-31,423.55
1999-06-30,449.198
1999-07-30,452.211
1999-08-31,454.527
1999-09-30,463.629
1999-10-29,476.618
1999-11-30,517.157
1999-12-31,582.783
2000-01-31,586.355
2000-02-29,687.152
2000-03-31,658.022
2000-04-28,585.354
2000-05-31,555.06
2000-06-30,615.467
2000-07-31,582.244
2000-08-31,620.02
2000-09-29,586.273
2000-10-31,541.477
2000-11-30,468.053
2000-12-29,497.714
2001-01-31,521.954
2001-02-28,463.987
2001-03-30,415.361
2001-04-30,452.096
2001-05-31,457.852
2001-06-29,451.405
2001-07-31,428.756
2001-08-31,410.636
2001-09-28,344.692
2001-10-31,374.005
2001-11-30,404.906
2001-12-31,425.379
2002-01-31,418.098
2002-02-28,402.543
2002-03-29,430.849
2002-04-30,426.815
2002-05-31,418.599
2002-06-28,387.044
2002-07-31,342.359
2002-08-30,340.432
2002-09-30,309.893
2002-10-31,326.28
2002-11-29,352.071
2002-12-31,335.293
2003-01-31,329.519
2003-02-28,321.537
2003-03-31,324.533
2003-04-30,356.497
2003-05-30,392.02
2003-06-30,400.345
2003-07-31,417.885
2003-08-29,438.077
2003-09-30,439.738
2003-10-31,477.173
2003-11-28,493.055
2003-12-31,505.559
2004-01-30,524.988
2004-02-27,538.12
2004-03-31,536.65
2004-04-30,517.185
2004-05-31,526.18
2004-06-30,541.341
2004-07-30,510.69
2004-08-31,504.053
2004-09-30,530.238
2004-10-29,545.885
2004-11-30,588.029
2004-12-31,614.217
2005-01-31,606.07
2005-02-28,627.77
2005-03-31,610.633
2005-04-29,582.234
2005-05-31,609.67
2005-06-30,628.4
2005-07-29,663.97
2005-08-31,667.001
2005-09-30,680.602
2005-10-31,650.598
2005-11-30,679.74
2005-12-30,694.348
2006-01-31,753.869
2006-02-28,753.627
2006-03-31,789.383
2006-04-28,815.209
2006-05-31,775.1
2006-06-30,766.16
2006-07-31,744.139
2006-08-31,762.831
2006-09-29,768.884
2006-10-31,808.828
2006-11-30,848.232
2006-12-29,861.448
2007-01-31,884.626
2007-02-28,890.418
2007-03-30,918.782
2007-04-30,960.408
2007-05-31,1000.0
2007-06-29,995.618
2007-07-31,969.675
2007-08-31,958.424
2007-09-28,998.694
2007-10-31,1056.788
2007-11-30,978.047
2007-12-31,971.496
2008-01-31,875.466
2008-02-29,890.684
2008-03-31,873.783
2008-04-30,923.399
2008-05-30,970.203
2008-06-30,912.201
2008-07-31,881.411
2008-08-29,875.587
2008-09-30,730.25
2008-10-31,547.749
2008-11-28,487.122
2008-12-31,512.543
2009-01-30,481.733
2009-02-27,443.258
2009-03-31,482.508
2009-04-30,560.808
2009-05-29,607.54
2009-06-30,612.737
2009-07-31,663.934
2009-08-31,689.121
2009-09-30,739.672
2009-10-30,715.237
2009-11-30,741.063
2009-12-31,783.333
2010-01-29,756.109
2010-02-26,775.508
2010-03-31,840.398
2010-04-30,874.042
2010-05-31,787.214
2010-06-30,748.36
2010-07-30,811.065
2010-08-31,773.059
2010-09-30,876.87
2010-10-29,920.027
2010-11-30,936.528
2010-12-31,1023.58
2011-01-31,1028.625
2011-02-28,1074.819
2011-03-31,1104.195
2011-04-29,1153.868
2011-05-31,1130.466
2011-06-30,1099.714
2011-07-29,1068.158
2011-08-31,976.375
2011-09-30,849.537
2011-10-31,973.016
2011-11-30,951.203
2011-12-30,930.683
2012-01-31,1008.391
2012-02-29,1060.723
2012-03-30,1064.988
2012-04-30,1060.297
2012-05-31,962.457
2012-06-29,992.395
2012-07-31,992.539
2012-08-31,1032.5
2012-09-28,1069.438
2012-10-31,1057.413
2012-11-30,1069.595
2012-12-31,1096.285
2013-01-31,1155.575
2013-02-28,1156.187
2013-03-29,1193.715
2013-04-30,1192.126
2013-05-31,1227.557
2013-06-28,1200.854
2013-07-31,1288.078
2013-08-30,1273.627
2013-09-30,1361.604
2013-10-31,1398.086
2013-11-29,1438.675
2013-12-31,1478.895
2014-01-31,1451.124
2014-02-28,1544.725
2014-03-31,1517.813
2014-04-30,1477.149
2014-05-30,1489.543
2014-06-30,1552.444
2014-07-31,1474.219
2014-08-29,1531.81
2014-09-30,1448.489
2014-10-31,1476.546
2014-11-28,1492.445
2014-12-31,1501.334
2015-01-30,1465.157
2015-02-27,1572.042
2015-03-31,1575.432
2015-04-30,1588.677
2015-05-29,1624.519
2015-06-30,1613.982
2015-07-31,1616.534
2015-08-31,1518.448
2015-09-30,1443.975
2015-10-30,1522.695
2015-11-30,1548.017
2015-12-31,1507.929
2016-01-29,1373.8
2016-02-29,1381.181
2016-03-31,1493.332
2016-04-29,1520.007
2016-05-31,1550.535
2016-06-30,1514.69
2016-07-29,1602.973
2016-08-31,1613.728
2016-09-30,1630.505
2016-10-31,1543.794
2016-11-30,1615.601
2016-12-30,1638.742
2017-01-31,1679.244
2017-02-28,1715.088
2017-03-31,1744.285
2017-04-28,1790.713
2017-05-31,1812.689
2017-06-30,1839.322
2017-07-31,1878.922
2017-08-31,1882.613
2017-09-29,1962.417
2017-10-31,2003.772
2017-11-30,2042.938
2017-12-29,2075.57
2018-01-31,2170.228
2018-02-28,2089.883
2018-03-30,2091.491
2018-04-30,2103.701
2018-05-31,2188.443
2018-06-29,2196.578
2018-07-31,2226.89
2018-08-31,2319.757
2018-09-28,2278.857
2018-10-31,2026.592
2018-11-30,2031.392
2018-12-31,1846.365
2019-01-31,2050.298
2019-02-28,2157.019
2019-03-29,2153.41
2019-04-30,2235.016
2019-05-31,2092.707
2019-06-28,2242.716
2019-07-31,2268.333
2019-08-30,2193.196
2019-09-30,2192.68
2019-10-31,2241.458
2019-11-29,2349.08
2019-12-31,2423.629
2020-01-31,2390.715
2020-02-28,2209.108
2020-03-31,1787.096
2020-04-30,2066.008
2020-05-29,2265.324
2020-06-30,2344.105
2020-07-31,2499.909
2020-08-31,2630.297
2020-09-30,2576.593
2020-10-30,2567.654
2020-11-30,2930.534
2020-12-31,3174.957
2021-01-29,3274.584
2021-02-26,3399.326
2021-03-31,3384.839
2021-04-30,3544.224
2021-05-31,3520.815
2021-06-30,3583.191
2021-07-30,3568.692
2021-08-31,3661.066
2021-09-30,3503.271
2021-10-29,3670.542
2021-11-30,3477.58
2021-12-31,3567.557
2022-01-31,3152.902
2022-02-28,3135.226
2022-03-31,3167.68
2022-04-29,2862.944
2022-05-31,2798.906
2022-06-30,2515.574
2022-07-29,2791.441
2022-08-31,2690.809
2022-09-30,2408.239
2022-10-31,2595.079
2022-11-30,2733.372
2022-12-30,2615.715
2023-01-31,2888.269
2023-02-28,2836.178
2023-03-31,2806.433
2023-04-28,2807.147
2023-05-31,2754.948
2023-06-30,2942.236
2023-07-31,3064.064
2023-08-31,2940.537
2023-09-29,2758.94
2023-10-31,2558.138
2023-11-30,2823.17
2023-12-29,3103.631
2024-01-31,3004.656
2024-02-29,3184.039
2024-03-29,3278.361
2024-04-30,3094.713
2024-05-31,3270.816
2024-06-28,3226.685
2024-07-31,3388.054
2024-08-30,3397.987
2024-09-30,3458.725
2024-10-31,3384.165
2024-11-29,3654.608
2024-12-31,3411.338
2025-01-31,3551.033
2025-02-28,3371.307
2025-03-31,3180.527
2025-04-30,3230.433
2025-05-30,3453.179
2025-06-30,3636.554
2025-07-31,3704.833
2025-08-29,3836.584
2025-09-30,3961.034
2025-10-31,4026.701
