Date,KOKUSAI INDEX (WORLD ex JP) SMALL GROWTH Small Cap
2001-01-01,497.721
2001-01-02,480.618
2001-01-03,492.213
2001-01-04,489.094
2001-01-05,478.293
2001-01-08,471.751
2001-01-09,471.444
2001-01-10,478.816
2001-01-11,491.675
2001-01-12,497.566
2001-01-15,496.794
2001-01-16,499.192
2001-01-17,503.358
2001-01-18,508.725
2001-01-19,507.349
2001-01-22,507.003
2001-01-23,514.993
2001-01-24,515.689
2001-01-25,511.926
2001-01-26,510.349
2001-01-29,516.997
2001-01-30,521.347
2001-01-31,521.954
2001-02-01,522.114
2001-02-02,513.321
2001-02-05,510.187
2001-02-06,513.262
2001-02-07,509.763
2001-02-08,505.126
2001-02-09,499.517
2001-02-12,503.405
2001-02-13,499.762
2001-02-14,497.9
2001-02-15,500.67
2001-02-16,493.238
2001-02-19,492.893
2001-02-20,483.806
2001-02-21,475.115
2001-02-22,468.722
2001-02-23,466.827
2001-02-26,475.962
2001-02-27,469.874
2001-02-28,463.987
2001-03-01,461.248
2001-03-02,463.495
2001-03-05,462.659
2001-03-06,469.928
2001-03-07,471.958
2001-03-08,469.136
2001-03-09,461.023
2001-03-12,445.04
2001-03-13,441.888
2001-03-14,432.325
2001-03-15,430.174
2001-03-16,419.487
2001-03-19,423.301
2001-03-20,421.342
2001-03-21,411.188
2001-03-22,402.397
2001-03-23,413.975
2001-03-26,418.899
2001-03-27,423.325
2001-03-28,414.047
2001-03-29,409.935
2001-03-30,415.361
2001-04-02,405.989
2001-04-03,391.555
2001-04-04,390.637
2001-04-05,405.828
2001-04-06,400.908
2001-04-09,404.125
2001-04-10,412.991
2001-04-11,414.473
2001-04-12,421.434
2001-04-13,421.392
2001-04-16,417.666
2001-04-17,418.868
2001-04-18,431.972
2001-04-19,441.03
2001-04-20,440.194
2001-04-23,433.068
2001-04-24,432.23
2001-04-25,439.122
2001-04-26,444.512
2001-04-27,447.836
2001-04-30,452.096
2001-05-01,456.273
2001-05-02,460.758
2001-05-03,455.774
2001-05-04,459.655
2001-05-07,458.486
2001-05-08,458.557
2001-05-09,457.266
2001-05-10,458.153
2001-05-11,454.919
2001-05-14,452.305
2001-05-15,454.834
2001-05-16,461.007
2001-05-17,469.126
2001-05-18,470.516
2001-05-21,479.501
2001-05-22,480.782
2001-05-23,473.042
2001-05-24,473.768
2001-05-25,473.502
2001-05-28,473.808
2001-05-29,466.486
2001-05-30,456.979
2001-05-31,457.852
2001-06-01,460.427
2001-06-04,463.063
2001-06-05,469.278
2001-06-06,466.512
2001-06-07,468.864
2001-06-08,466.734
2001-06-11,460.674
2001-06-12,458.645
2001-06-13,458.872
2001-06-14,450.499
2001-06-15,447.631
2001-06-18,441.644
2001-06-19,438.654
2001-06-20,438.837
2001-06-21,440.428
2001-06-22,436.39
2001-06-25,436.082
2001-06-26,436.809
2001-06-27,438.483
2001-06-28,440.668
2001-06-29,451.405
2001-07-02,445.227
2001-07-03,443.554
2001-07-04,442.666
2001-07-05,437.416
2001-07-06,429.817
2001-07-09,429.749
2001-07-10,426.245
2001-07-11,423.352
2001-07-12,431.578
2001-07-13,432.293
2001-07-16,428.117
2001-07-17,429.414
2001-07-18,427.804
2001-07-19,429.686
2001-07-20,429.452
2001-07-23,426.488
2001-07-24,420.849
2001-07-25,422.032
2001-07-26,426.628
2001-07-27,428.019
2001-07-30,428.035
2001-07-31,428.756
2001-08-01,432.622
2001-08-02,433.327
2001-08-03,431.813
2001-08-06,426.41
2001-08-07,423.87
2001-08-08,418.348
2001-08-09,417.914
2001-08-10,418.282
2001-08-13,419.988
2001-08-14,421.39
2001-08-15,422.13
2001-08-16,422.144
2001-08-17,418.468
2001-08-20,417.849
2001-08-21,414.621
2001-08-22,417.584
2001-08-23,415.24
2001-08-24,420.445
2001-08-27,420.168
2001-08-28,416.571
2001-08-29,415.528
2001-08-30,410.571
2001-08-31,410.636
2001-09-03,408.921
2001-09-04,405.333
2001-09-05,400.477
2001-09-06,393.242
2001-09-07,388.257
2001-09-10,381.801
2001-09-11,378.609
2001-09-12,375.432
2001-09-13,375.899
2001-09-14,373.255
2001-09-17,356.721
2001-09-18,351.285
2001-09-19,345.988
2001-09-20,333.717
2001-09-21,324.238
2001-09-24,335.503
2001-09-25,338.654
2001-09-26,335.773
2001-09-27,336.741
2001-09-28,344.692
2001-10-01,340.753
2001-10-02,343.527
2001-10-03,351.851
2001-10-04,356.788
2001-10-05,356.515
2001-10-08,354.066
2001-10-09,353.836
2001-10-10,360.846
2001-10-11,369.238
2001-10-12,368.435
2001-10-15,369.182
2001-10-16,373.478
2001-10-17,369.471
2001-10-18,365.614
2001-10-19,367.15
2001-10-22,370.335
2001-10-23,370.585
2001-10-24,372.058
2001-10-25,376.877
2001-10-26,380.28
2001-10-29,376.819
2001-10-30,370.677
2001-10-31,374.005
2001-11-01,378.278
2001-11-02,377.867
2001-11-05,380.987
2001-11-06,384.462
2001-11-07,386.138
2001-11-08,384.719
2001-11-09,384.343
2001-11-12,385.199
2001-11-13,390.886
2001-11-14,395.162
2001-11-15,393.45
2001-11-16,395.108
2001-11-19,400.398
2001-11-20,397.923
2001-11-21,395.811
2001-11-22,396.727
2001-11-23,399.743
2001-11-26,403.719
2001-11-27,404.211
2001-11-28,399.401
2001-11-29,403.715
2001-11-30,404.906
2001-12-03,400.995
2001-12-04,408.026
2001-12-05,418.042
2001-12-06,421.275
2001-12-07,421.117
2001-12-10,416.807
2001-12-11,416.908
2001-12-12,417.619
2001-12-13,412.004
2001-12-14,412.345
2001-12-17,416.709
2001-12-18,420.23
2001-12-19,418.363
2001-12-20,412.902
2001-12-21,416.934
2001-12-24,417.154
2001-12-25,417.138
2001-12-26,420.329
2001-12-27,424.33
2001-12-28,426.033
2001-12-31,425.379
2002-01-01,425.38
2002-01-02,425.948
2002-01-03,431.343
2002-01-04,434.925
2002-01-07,432.444
2002-01-08,433.688
2002-01-09,432.772
2002-01-10,433.465
2002-01-11,430.438
2002-01-14,424.988
2002-01-15,424.798
2002-01-16,417.408
2002-01-17,420.345
2002-01-18,416.549
2002-01-21,416.31
2002-01-22,413.016
2002-01-23,417.411
2002-01-24,419.663
2002-01-25,417.409
2002-01-28,417.437
2002-01-29,413.19
2002-01-30,414.261
2002-01-31,418.098
2002-02-01,417.169
2002-02-04,410.229
2002-02-05,406.891
2002-02-06,402.059
2002-02-07,399.352
2002-02-08,404.102
2002-02-11,409.031
2002-02-12,409.509
2002-02-13,411.411
2002-02-14,409.247
2002-02-15,407.009
2002-02-18,406.412
2002-02-19,399.81
2002-02-20,401.402
2002-02-21,397.638
2002-02-22,398.992
2002-02-25,401.084
2002-02-26,403.69
2002-02-27,404.551
2002-02-28,402.543
2002-03-01,408.48
2002-03-04,417.866
2002-03-05,417.965
2002-03-06,422.474
2002-03-07,425.2
2002-03-08,428.776
2002-03-11,430.08
2002-03-12,426.859
2002-03-13,424.565
2002-03-14,425.936
2002-03-15,426.997
2002-03-18,429.446
2002-03-19,430.435
2002-03-20,427.331
2002-03-21,430.232
2002-03-22,429.434
2002-03-25,425.101
2002-03-26,426.142
2002-03-27,428.321
2002-03-28,430.86
2002-03-29,430.849
2002-04-01,431.291
2002-04-02,427.785
2002-04-03,424.293
2002-04-04,424.504
2002-04-05,424.186
2002-04-08,424.692
2002-04-09,424.186
2002-04-10,427.906
2002-04-11,423.453
2002-04-12,427.341
2002-04-15,427.174
2002-04-16,434.45
2002-04-17,434.87
2002-04-18,434.9
2002-04-19,434.736
2002-04-22,430.553
2002-04-23,429.477
2002-04-24,428.133
2002-04-25,428.11
2002-04-26,424.549
2002-04-29,422.147
2002-04-30,426.815
2002-05-01,427.93
2002-05-02,427.615
2002-05-03,427.291
2002-05-06,422.153
2002-05-07,418.247
2002-05-08,426.521
2002-05-09,422.608
2002-05-10,419.044
2002-05-13,422.527
2002-05-14,428.767
2002-05-15,430.784
2002-05-16,429.31
2002-05-17,432.349
2002-05-20,428.977
2002-05-21,424.258
2002-05-22,422.997
2002-05-23,424.912
2002-05-24,421.631
2002-05-27,421.345
2002-05-28,421.244
2002-05-29,418.582
2002-05-30,417.903
2002-05-31,418.599
2002-06-03,410.699
2002-06-04,408.441
2002-06-05,408.761
2002-06-06,404.465
2002-06-07,404.578
2002-06-10,404.669
2002-06-11,399.973
2002-06-12,397.601
2002-06-13,393.233
2002-06-14,391.456
2002-06-17,399.849
2002-06-18,399.531
2002-06-19,394.718
2002-06-20,389.494
2002-06-21,386.899
2002-06-24,384.707
2002-06-25,379.594
2002-06-26,378.416
2002-06-27,383.053
2002-06-28,387.044
2002-07-01,379.011
2002-07-02,367.629
2002-07-03,364.18
2002-07-04,364.725
2002-07-05,375.069
2002-07-08,372.787
2002-07-09,367.747
2002-07-10,359.734
2002-07-11,356.179
2002-07-12,356.244
2002-07-15,352.803
2002-07-16,351.333
2002-07-17,353.769
2002-07-18,349.426
2002-07-19,342.363
2002-07-22,332.32
2002-07-23,322.805
2002-07-24,328.554
2002-07-25,328.873
2002-07-26,328.449
2002-07-29,342.622
2002-07-30,345.437
2002-07-31,342.359
2002-08-01,336.869
2002-08-02,328.944
2002-08-05,319.268
2002-08-06,324.689
2002-08-07,326.882
2002-08-08,332.856
2002-08-09,334.316
2002-08-12,333.799
2002-08-13,328.617
2002-08-14,335.097
2002-08-15,339.815
2002-08-16,342.785
2002-08-19,347.81
2002-08-20,345.714
2002-08-21,351.625
2002-08-22,354.834
2002-08-23,348.798
2002-08-26,351.584
2002-08-27,346.95
2002-08-28,340.3
2002-08-29,342.599
2002-08-30,340.432
2002-09-02,340.356
2002-09-03,331.714
2002-09-04,335.791
2002-09-05,330.264
2002-09-06,336.394
2002-09-09,337.136
2002-09-10,339.208
2002-09-11,340.041
2002-09-12,334.272
2002-09-13,334.406
2002-09-16,331.955
2002-09-17,326.933
2002-09-18,323.773
2002-09-19,316.824
2002-09-20,316.747
2002-09-23,310.245
2002-09-24,306.105
2002-09-25,312.349
2002-09-26,316.436
2002-09-27,312.448
2002-09-30,309.893
2002-10-01,312.686
2002-10-02,308.325
2002-10-03,305.001
2002-10-04,298.566
2002-10-07,292.021
2002-10-08,293.073
2002-10-09,287.136
2002-10-10,292.981
2002-10-11,301.904
2002-10-14,303.792
2002-10-15,315.52
2002-10-16,309.139
2002-10-17,318.029
2002-10-18,318.92
2002-10-21,323.511
2002-10-22,320.338
2002-10-23,322.974
2002-10-24,321.604
2002-10-25,325.017
2002-10-28,324.406
2002-10-29,320.776
2002-10-30,324.856
2002-10-31,326.28
2002-11-01,331.873
2002-11-04,336.515
2002-11-05,336.397
