Date,KOKUSAI INDEX (WORLD ex JP) SMALL GROWTH Small Cap
1994-05-31,239.109
1994-06-30,231.614
1994-07-29,237.383
1994-08-31,249.494
1994-09-30,249.043
1994-10-31,253.007
1994-11-30,240.779
1994-12-30,244.294
1995-01-31,240.058
1995-02-28,248.125
1995-03-31,256.091
1995-04-28,259.302
1995-05-31,263.481
1995-06-30,275.536
1995-07-31,292.511
1995-08-31,291.32
1995-09-29,297.87
1995-10-31,287.719
1995-11-30,291.733
1995-12-29,297.951
1996-01-31,297.502
1996-02-29,309.283
1996-03-29,317.31
1996-04-30,335.439
1996-05-31,347.348
1996-06-28,336.236
1996-07-31,309.858
1996-08-30,325.214
1996-09-30,335.108
1996-10-31,331.855
1996-11-29,340.562
1996-12-31,346.137
1997-01-31,351.855
1997-02-28,340.439
1997-03-31,327.099
1997-04-30,319.074
1997-05-30,351.699
1997-06-30,364.778
1997-07-31,377.428
1997-08-29,382.919
1997-09-30,409.792
1997-10-31,387.571
1997-11-28,378.214
1997-12-31,375.77
1998-01-30,376.076
1998-02-27,409.566
1998-03-31,434.623
1998-04-30,442.262
1998-05-29,428.267
1998-06-30,423.124
1998-07-31,404.261
1998-08-31,325.858
1998-09-30,336.169
1998-10-30,352.526
1998-11-30,374.605
1998-12-31,396.068
1999-01-29,408.537
1999-02-26,386.222
1999-03-31,394.89
1999-04-30,418.882
1999-05-31,418.957
1999-06-30,444.354
1999-07-30,447.346
1999-08-31,449.646
1999-09-30,458.672
1999-10-29,471.538
1999-11-30,511.652
1999-12-31,576.594
2000-01-31,580.133
2000-02-29,679.873
2000-03-31,651.08
2000-04-28,579.198
2000-05-31,549.264
2000-06-30,609.074
2000-07-31,576.21
2000-08-31,613.611
2000-09-29,580.246
2000-10-31,535.923
2000-11-30,463.265
2000-12-29,492.64
2001-01-31,516.641
2001-02-28,459.284
2001-03-30,411.187
2001-04-30,447.637
2001-05-31,453.434
2001-06-29,447.098
2001-07-31,424.686
2001-08-31,406.76
2001-09-28,341.465
2001-10-31,370.523
2001-11-30,401.151
2001-12-31,421.454
2002-01-31,414.25
2002-02-28,398.857
2002-03-29,426.951
2002-04-30,423.012
2002-05-31,414.934
2002-06-28,383.692
2002-07-31,339.414
2002-08-30,337.532
2002-09-30,307.291
2002-10-31,323.571
2002-11-29,349.179
2002-12-31,332.565
2003-01-31,326.865
2003-02-28,318.978
2003-03-31,322.053
2003-04-30,353.871
2003-05-30,389.247
2003-06-30,397.588
2003-07-31,415.046
2003-08-29,435.136
2003-09-30,436.853
2003-10-31,474.089
2003-11-28,489.909
2003-12-31,502.387
2004-01-30,521.722
2004-02-27,534.817
2004-03-31,533.52
2004-04-30,514.271
2004-05-31,523.351
2004-06-30,538.508
2004-07-30,508.056
2004-08-31,501.538
2004-09-30,527.682
2004-10-29,543.287
2004-11-30,585.295
2004-12-31,611.432
2005-01-31,603.36
2005-02-28,625.046
2005-03-31,608.138
2005-04-29,579.99
2005-05-31,607.5
2005-06-30,626.268
2005-07-29,661.773
2005-08-31,664.901
