Date,AUSTRALIA GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,117.674
1975-02-28,117.888
1975-03-31,115.311
1975-04-30,114.394
1975-05-30,128.309
1975-06-30,122.846
1975-07-31,121.083
1975-08-29,116.121
1975-09-30,124.473
1975-10-31,127.564
1975-11-28,138.227
1975-12-31,142.759
1976-01-30,142.406
1976-02-27,142.799
1976-03-31,144.058
1976-04-30,147.472
1976-05-31,148.637
1976-06-30,147.853
1976-07-30,166.018
1976-08-31,163.829
1976-09-30,151.575
1976-10-29,140.061
1976-11-30,111.776
1976-12-31,127.799
1977-01-31,130.511
1977-02-28,127.488
1977-03-31,136.18
1977-04-29,134.782
1977-05-31,137.751
1977-06-30,136.56
1977-07-29,127.065
1977-08-31,118.271
1977-09-30,117.706
1977-10-31,123.036
1977-11-30,119.301
1977-12-30,128.268
1978-01-31,121.574
1978-02-28,113.139
1978-03-31,119.416
1978-04-28,125.97
1978-05-31,132.236
1978-06-30,129.567
1978-07-31,138.49
1978-08-31,149.219
1978-09-29,152.791
1978-10-31,145.924
1978-11-30,136.779
1978-12-29,145.015
1979-01-31,151.136
1979-02-28,155.527
1979-03-30,157.582
1979-04-30,151.979
1979-05-31,156.364
1979-06-29,153.27
1979-07-31,161.24
1979-08-31,181.862
1979-09-28,200.574
1979-10-31,199.126
1979-11-30,190.217
1979-12-31,228.988
1980-01-31,281.924
1980-02-29,290.56
1980-03-31,218.654
1980-04-30,239.505
1980-05-30,278.014
1980-06-30,304.284
1980-07-31,298.492
1980-08-29,319.366
1980-09-30,350.593
1980-10-31,386.785
1980-11-28,363.267
1980-12-31,349.359
1981-01-30,302.15
1981-02-27,280.652
1981-03-31,313.606
1981-04-30,302.561
1981-05-29,299.669
1981-06-30,284.12
1981-07-31,246.826
1981-08-31,251.225
1981-09-30,224.863
1981-10-30,211.244
1981-11-30,231.121
1981-12-31,228.971
1982-01-29,203.612
1982-02-26,175.329
1982-03-31,164.476
1982-04-30,186.579
1982-05-31,184.05
1982-06-30,164.934
1982-07-30,156.935
1982-08-31,161.9
1982-09-30,164.463
1982-10-29,166.172
1982-11-30,164.3
1982-12-31,169.803
1983-01-31,190.184
1983-02-28,174.342
1983-03-31,163.058
1983-04-29,184.489
1983-05-31,195.413
1983-06-30,188.225
1983-07-29,207.031
1983-08-31,211.229
1983-09-30,213.609
1983-10-31,204.536
1983-11-30,224.179
1983-12-30,231.259
1984-01-31,231.55
1984-02-29,223.384
1984-03-30,226.416
1984-04-30,225.395
1984-05-31,190.751
1984-06-29,190.689
1984-07-31,190.233
1984-08-31,211.954
1984-09-28,211.403
1984-10-31,219.962
1984-11-30,220.155
1984-12-31,205.287
1985-01-31,221.272
1985-02-28,199.652
1985-03-29,204.78
1985-04-30,194.342
1985-05-31,197.145
1985-06-28,199.128
1985-07-31,233.896
1985-08-30,225.81
1985-09-30,236.792
1985-10-31,244.634
1985-11-29,229.407
1985-12-31,230.664
1986-01-31,264.115
1986-02-28,250.755
1986-03-31,285.366
1986-04-30,323.491
1986-05-30,318.995
1986-06-30,283.436
1986-07-31,240.583
1986-08-29,263.718
1986-09-30,285.846
1986-10-31,330.306
1986-11-28,338.036
1986-12-31,373.441
1987-01-30,379.463
1987-02-27,447.807
1987-03-31,476.301
1987-04-30,484.455
1987-05-29,492.393
1987-06-30,498.339
1987-07-31,577.467
1987-08-31,648.24
1987-09-30,670.374
1987-10-30,339.732
1987-11-30,381.598
1987-12-31,393.289
1988-01-29,361.712
1988-02-29,358.798
1988-03-31,420.61
1988-04-29,448.396
1988-05-31,514.088
1988-06-30,506.224
