Date,AUSTRALIA GROWTH Standard (Large+Mid Cap)
2001-01-01,688.724
2001-01-02,707.3
2001-01-03,705.894
2001-01-04,727.913
2001-01-05,740.93
2001-01-08,730.869
2001-01-09,720.376
2001-01-10,708.117
2001-01-11,704.638
2001-01-12,710.861
2001-01-15,717.07
2001-01-16,716.114
2001-01-17,710.815
2001-01-18,725.149
2001-01-19,731.798
2001-01-22,732.119
2001-01-23,719.546
2001-01-24,710.958
2001-01-25,714.931
2001-01-26,712.962
2001-01-29,712.977
2001-01-30,719.934
2001-01-31,725.487
2001-02-01,737.346
2001-02-02,730.195
2001-02-05,714.804
2001-02-06,718.814
2001-02-07,711.471
2001-02-08,707.979
2001-02-09,698.691
2001-02-12,708.048
2001-02-13,703.501
2001-02-14,697.719
2001-02-15,683.852
2001-02-16,697.095
2001-02-19,686.23
2001-02-20,678.151
2001-02-21,687.587
2001-02-22,681.187
2001-02-23,677.517
2001-02-26,679.928
2001-02-27,683.797
2001-02-28,682.951
2001-03-01,693.271
2001-03-02,695.154
2001-03-05,690.342
2001-03-06,687.397
2001-03-07,684.271
2001-03-08,679.327
2001-03-09,674.126
2001-03-12,675.078
2001-03-13,656.923
2001-03-14,652.52
2001-03-15,641.039
2001-03-16,644.351
2001-03-19,648.561
2001-03-20,651.311
2001-03-21,645.198
2001-03-22,642.136
2001-03-23,636.127
2001-03-26,644.172
2001-03-27,645.222
2001-03-28,640.013
2001-03-29,637.291
2001-03-30,627.427
2001-04-02,632.094
2001-04-03,633.839
2001-04-04,642.168
2001-04-05,648.333
2001-04-06,659.059
2001-04-09,657.15
2001-04-10,665.601
2001-04-11,681.265
2001-04-12,691.241
2001-04-13,691.241
2001-04-16,693.419
2001-04-17,683.794
2001-04-18,672.533
2001-04-19,692.799
2001-04-20,706.261
2001-04-23,683.655
2001-04-24,681.308
2001-04-25,682.931
2001-04-26,689.606
2001-04-27,683.73
2001-04-30,692.503
2001-05-01,700.816
2001-05-02,703.752
2001-05-03,708.504
2001-05-04,701.987
2001-05-07,703.676
2001-05-08,701.094
2001-05-09,709.031
2001-05-10,720.344
2001-05-11,712.693
2001-05-14,705.97
2001-05-15,709.53
2001-05-16,713.533
2001-05-17,732.547
2001-05-18,726.229
2001-05-21,737.962
2001-05-22,728.421
2001-05-23,721.648
2001-05-24,720.016
2001-05-25,721.905
2001-05-28,726.598
2001-05-29,715.779
2001-05-30,712.161
2001-05-31,699.554
2001-06-01,703.78
2001-06-04,708.942
2001-06-05,708.488
2001-06-06,713.031
2001-06-07,721.039
2001-06-08,729.9
2001-06-11,728.436
2001-06-12,710.01
2001-06-13,707.337
2001-06-14,718.485
2001-06-15,717.584
2001-06-18,702.839
2001-06-19,698.711
2001-06-20,700.472
2001-06-21,693.815
2001-06-22,696.887
2001-06-25,691.663
2001-06-26,698.866
2001-06-27,693.281
2001-06-28,688.478
2001-06-29,694.986
2001-07-02,690.814
2001-07-03,703.007
2001-07-04,701.181
2001-07-05,686.559
2001-07-06,665.469
2001-07-09,668.503
2001-07-10,676.533
2001-07-11,677.802
2001-07-12,679.894
2001-07-13,681.527
2001-07-16,685.634
2001-07-17,674.804
2001-07-18,683.034
2001-07-19,680.544
2001-07-20,671.228
2001-07-23,669.032
2001-07-24,660.043
2001-07-25,653.236
2001-07-26,647.942
2001-07-27,644.548
2001-07-30,650.08
2001-07-31,657.026
2001-08-01,678.926
2001-08-02,686.611
2001-08-03,684.402
2001-08-06,686.462
2001-08-07,684.989
2001-08-08,684.971
2001-08-09,677.335
2001-08-10,673.062
2001-08-13,672.731
2001-08-14,670.24
2001-08-15,684.17
2001-08-16,681.292
2001-08-17,691.205
2001-08-20,679.313
2001-08-21,683.073
2001-08-22,685.762
2001-08-23,684.172
2001-08-24,689.002
2001-08-27,693.98
2001-08-28,689.761
2001-08-29,690.505
2001-08-30,687.453
2001-08-31,671.334
2001-09-03,679.233
2001-09-04,673.292
2001-09-05,674.223
2001-09-06,675.177
2001-09-07,668.664
2001-09-10,659.802
2001-09-11,670.801
2001-09-12,641.896
2001-09-13,645.706
2001-09-14,645.432
2001-09-17,606.977
2001-09-18,610.229
2001-09-19,618.769
2001-09-20,609.481
2001-09-21,585.301
2001-09-24,585.828
2001-09-25,599.061
2001-09-26,600.291
2001-09-27,603.147
2001-09-28,619.905
2001-10-01,625.811
2001-10-02,631.871
2001-10-03,632.852
2001-10-04,632.463
2001-10-05,654.664
2001-10-08,646.763
2001-10-09,648.116
2001-10-10,641.082
2001-10-11,646.817
2001-10-12,651.185
2001-10-15,663.752
2001-10-16,666.816
2001-10-17,668.259
2001-10-18,655.884
2001-10-19,648.416
2001-10-22,646.941
2001-10-23,651.739
2001-10-24,655.474
2001-10-25,654.707
2001-10-26,654.401
2001-10-29,659.29
2001-10-30,659.994
2001-10-31,651.829
2001-11-01,656.799
2001-11-02,656.072
2001-11-05,653.632
2001-11-06,669.007
2001-11-07,666.008
2001-11-08,668.178
2001-11-09,668.085
2001-11-12,685.083
2001-11-13,679.093
2001-11-14,695.31
2001-11-15,698.895
2001-11-16,690.07
2001-11-19,693.82
2001-11-20,697.718
2001-11-21,692.823
2001-11-22,687.339
2001-11-23,692.416
2001-11-26,695.639
2001-11-27,709.87
2001-11-28,703.808
2001-11-29,699.354
2001-11-30,708.222
2001-12-03,706.666
2001-12-04,705.579
2001-12-05,708.955
2001-12-06,710.749
2001-12-07,709.428
2001-12-10,705.516
2001-12-11,704.894
2001-12-12,701.207
2001-12-13,699.442
2001-12-14,693.102
2001-12-17,692.968
2001-12-18,697.58
2001-12-19,698.292
