Date,AUSTRALIA GROWTH Standard (Large+Mid Cap)
2001-12-18,935.496
2001-12-19,936.45
2001-12-20,921.826
2001-12-21,931.472
2001-12-24,943.006
2001-12-25,943.006
2001-12-26,942.357
2001-12-27,951.57
2001-12-28,955.9
2001-12-31,959.625
2002-01-01,959.625
2002-01-02,969.987
2002-01-03,965.525
2002-01-04,978.808
2002-01-07,983.625
2002-01-08,982.929
2002-01-09,980.172
2002-01-10,973.997
2002-01-11,971.899
2002-01-14,967.112
2002-01-15,960.515
2002-01-16,959.598
2002-01-17,948.994
2002-01-18,950.276
2002-01-21,962.782
2002-01-22,973.383
2002-01-23,974.506
2002-01-24,978.397
2002-01-25,973.845
2002-01-28,971.113
2002-01-29,970.131
2002-01-30,950.958
2002-01-31,956.848
2002-02-01,958.342
2002-02-04,969.356
2002-02-05,969.36
2002-02-06,965.865
2002-02-07,961.435
2002-02-08,972.343
2002-02-11,983.404
2002-02-12,981.235
2002-02-13,982.468
2002-02-14,1001.823
2002-02-15,995.46
2002-02-18,994.072
2002-02-19,991.55
2002-02-20,984.066
2002-02-21,979.373
2002-02-22,974.322
2002-02-25,974.633
2002-02-26,977.312
2002-02-27,973.354
2002-02-28,973.849
2002-03-01,974.217
2002-03-04,986.025
2002-03-05,986.586
2002-03-06,990.662
2002-03-07,1015.189
2002-03-08,1004.623
2002-03-11,998.8
2002-03-12,995.326
2002-03-13,988.213
2002-03-14,991.522
2002-03-15,982.725
2002-03-18,993.252
2002-03-19,996.968
2002-03-20,1013.824
2002-03-21,1006.348
2002-03-22,1004.174
2002-03-25,994.803
2002-03-26,976.461
2002-03-27,987.755
2002-03-28,1002.994
2002-03-29,1002.994
2002-04-01,1004.779
2002-04-02,1001.214
2002-04-03,997.561
2002-04-04,1000.273
2002-04-05,999.71
2002-04-08,990.767
2002-04-09,988.082
2002-04-10,998.504
2002-04-11,1000.669
2002-04-12,997.732
2002-04-15,996.123
2002-04-16,1001.322
2002-04-17,1017.132
2002-04-18,1019.336
2002-04-19,1020.397
2002-04-22,1020.265
2002-04-23,1015.037
2002-04-24,1001.736
2002-04-25,1005.989
2002-04-26,999.124
2002-04-29,979.934
2002-04-30,982.083
2002-05-01,987.92
2002-05-02,972.997
2002-05-03,979.385
2002-05-06,975.381
2002-05-07,967.717
2002-05-08,978.067
2002-05-09,983.177
2002-05-10,982.834
2002-05-13,976.36
2002-05-14,977.529
2002-05-15,997.14
2002-05-16,1005.018
2002-05-17,1016.809
2002-05-20,1004.509
2002-05-21,1003.279
2002-05-22,1010.923
2002-05-23,1003.665
2002-05-24,1006.938
2002-05-27,1007.558
2002-05-28,1017.3
2002-05-29,1018.702
2002-05-30,1023.26
2002-05-31,1022.209
2002-06-03,1029.834
2002-06-04,1029.899
2002-06-05,1021.831
2002-06-06,1028.235
2002-06-07,1026.826
2002-06-10,1020.022
2002-06-11,1015.799
2002-06-12,1019.301
2002-06-13,1020.498
2002-06-14,994.477
2002-06-17,988.935
2002-06-18,1006.652
2002-06-19,1000.881
2002-06-20,1007.122
2002-06-21,1005.29
2002-06-24,1003.188
2002-06-25,998.224
2002-06-26,978.978
2002-06-27,993.127
2002-06-28,991.45
2002-07-01,992.229
2002-07-02,995.951
2002-07-03,988.657
2002-07-04,984.058
2002-07-05,986.133
2002-07-08,1005.074
2002-07-09,1016.305
2002-07-10,1001.058
2002-07-11,979.059
2002-07-12,982.655
2002-07-15,984.116
2002-07-16,967.457
2002-07-17,938.354
2002-07-18,953.366
2002-07-19,949.243
2002-07-22,942.239
2002-07-23,928.697
2002-07-24,891.464
2002-07-25,902.226
2002-07-26,880.158
2002-07-29,888.264
2002-07-30,913.734
2002-07-31,915.099
2002-08-01,901.37
2002-08-02,885.834
2002-08-05,862.792
2002-08-06,848.643
2002-08-07,885.359
2002-08-08,890.142
2002-08-09,900.912
2002-08-12,909.489
2002-08-13,904.478
2002-08-14,897.277
2002-08-15,914.574
2002-08-16,918.906
2002-08-19,917.183
2002-08-20,935.469
2002-08-21,930.657
2002-08-22,936.971
2002-08-23,935.72
2002-08-26,931.807
2002-08-27,943.188
2002-08-28,931.269
2002-08-29,928.741
2002-08-30,924.8
2002-09-02,932.181
2002-09-03,925.289
2002-09-04,905.07
2002-09-05,904.587
2002-09-06,906.801
2002-09-09,923.18
2002-09-10,921.205
2002-09-11,930.739
2002-09-12,938.451
2002-09-13,935.483
2002-09-16,934.213
2002-09-17,937.814
2002-09-18,925.827
2002-09-19,918.563
2002-09-20,910.068
2002-09-23,895.215
2002-09-24,890.667
2002-09-25,879.684
2002-09-26,876.48
2002-09-27,884.804
2002-09-30,872.044
2002-10-01,880.536
2002-10-02,886.517
2002-10-03,889.954
2002-10-04,888.285
2002-10-07,879.033
2002-10-08,876.121
2002-10-09,866.032
2002-10-10,859.116
2002-10-11,868.916
2002-10-14,879.312
2002-10-15,886.818
2002-10-16,892.152
2002-10-17,896.504
2002-10-18,901.769
2002-10-21,896.78
2002-10-22,896.209
2002-10-23,902.348
2002-10-24,908.49
2002-10-25,898.667
2002-10-28,914.412
2002-10-29,904.391
2002-10-30,893.537
