Date,PORTUGAL IMI IMI (Large+Mid+Small Cap)
2001-01-01,459.217
2001-01-02,463.743
2001-01-03,459.582
2001-01-04,468.306
2001-01-05,468.743
2001-01-08,464.098
2001-01-09,460.903
2001-01-10,465.346
2001-01-11,478.055
2001-01-12,484.824
2001-01-15,485.412
2001-01-16,476.277
2001-01-17,480.392
2001-01-18,487.707
2001-01-19,481.004
2001-01-22,479.853
2001-01-23,479.19
2001-01-24,476.561
2001-01-25,476.733
2001-01-26,478.869
2001-01-29,476.342
2001-01-30,483.272
2001-01-31,487.548
2001-02-01,491.935
2001-02-02,486.123
2001-02-05,483.822
2001-02-06,484.554
2001-02-07,481.534
2001-02-08,470.177
2001-02-09,464.747
2001-02-12,470.822
2001-02-13,467.048
2001-02-14,461.718
2001-02-15,455.231
2001-02-16,455.234
2001-02-19,453.545
2001-02-20,450.271
2001-02-21,449.21
2001-02-22,443.438
2001-02-23,441.214
2001-02-26,444.727
2001-02-27,449.127
2001-02-28,452.169
2001-03-01,455.913
2001-03-02,457.407
2001-03-05,459.709
2001-03-06,463.44
2001-03-07,464.008
2001-03-08,464.83
2001-03-09,457.782
2001-03-12,451.62
2001-03-13,448.267
2001-03-14,438.484
2001-03-15,436.876
2001-03-16,424.007
2001-03-19,421.582
2001-03-20,424.598
2001-03-21,415.35
2001-03-22,393.939
2001-03-23,408.378
2001-03-26,412.406
2001-03-27,412.28
2001-03-28,410.061
2001-03-29,408.22
2001-03-30,408.756
2001-04-02,404.867
2001-04-03,400.79
2001-04-04,414.501
2001-04-05,418.931
2001-04-06,418.458
2001-04-09,423.09
2001-04-10,422.036
2001-04-11,419.625
2001-04-12,421.638
2001-04-13,421.638
2001-04-16,417.32
2001-04-17,416.252
2001-04-18,417.879
2001-04-19,421.869
2001-04-20,422.508
2001-04-23,409.733
2001-04-24,407.662
2001-04-25,409.167
2001-04-26,412.725
2001-04-27,407.339
2001-04-30,410.636
2001-05-01,412.813
2001-05-02,412.108
2001-05-03,409.737
2001-05-04,413.633
2001-05-07,411.556
2001-05-08,407.503
2001-05-09,405.108
2001-05-10,407.225
2001-05-11,402.134
2001-05-14,399.199
2001-05-15,405.407
2001-05-16,406.0
2001-05-17,403.585
2001-05-18,398.456
2001-05-21,393.097
2001-05-22,383.369
2001-05-23,377.396
2001-05-24,375.03
2001-05-25,377.769
2001-05-28,380.996
2001-05-29,376.274
2001-05-30,377.511
2001-05-31,370.972
2001-06-01,369.562
2001-06-04,369.704
2001-06-05,369.864
2001-06-06,368.292
2001-06-07,366.309
2001-06-08,364.777
2001-06-11,356.816
2001-06-12,353.737
2001-06-13,358.67
2001-06-14,361.745
2001-06-15,356.075
2001-06-18,347.331
2001-06-19,343.585
2001-06-20,334.239
2001-06-21,334.805
2001-06-22,340.538
2001-06-25,347.531
2001-06-26,342.177
2001-06-27,339.47
2001-06-28,340.779
2001-06-29,341.395
2001-07-02,340.944
2001-07-03,345.55
2001-07-04,344.985
2001-07-05,340.472
2001-07-06,335.551
2001-07-09,334.4
2001-07-10,337.817
2001-07-11,333.362
2001-07-12,330.825
2001-07-13,331.131
2001-07-16,332.144
2001-07-17,329.8
2001-07-18,338.049
2001-07-19,343.701
2001-07-20,341.477
2001-07-23,338.432
2001-07-24,342.034
2001-07-25,342.944
2001-07-26,344.455
2001-07-27,346.317
2001-07-30,348.613
2001-07-31,349.777
2001-08-01,349.649
2001-08-02,348.986
2001-08-03,349.309
2001-08-06,348.514
2001-08-07,345.836
2001-08-08,342.567
2001-08-09,342.931
2001-08-10,344.563
2001-08-13,346.353
2001-08-14,349.974
2001-08-15,355.317
2001-08-16,351.554
2001-08-17,348.52
2001-08-20,345.448
2001-08-21,346.371
2001-08-22,345.059
2001-08-23,344.246
2001-08-24,345.075
2001-08-27,342.916
2001-08-28,338.44
2001-08-29,341.113
2001-08-30,337.922
2001-08-31,337.316
2001-09-03,333.256
2001-09-04,330.258
2001-09-05,330.279
2001-09-06,328.024
2001-09-07,327.579
2001-09-10,323.461
2001-09-11,312.198
2001-09-12,303.207
2001-09-13,306.217
2001-09-14,297.258
2001-09-17,296.817
2001-09-18,303.913
2001-09-19,311.712
2001-09-20,306.085
2001-09-21,306.016
2001-09-24,314.32
2001-09-25,324.181
2001-09-26,327.643
2001-09-27,329.615
2001-09-28,329.186
2001-10-01,330.399
2001-10-02,327.965
2001-10-03,328.078
2001-10-04,330.055
2001-10-05,332.061
2001-10-08,328.806
2001-10-09,332.419
2001-10-10,337.898
2001-10-11,334.717
2001-10-12,335.598
2001-10-15,333.169
2001-10-16,338.782
2001-10-17,343.694
2001-10-18,343.483
2001-10-19,337.276
2001-10-22,343.223
2001-10-23,348.634
