Date,PORTUGAL IMI IMI (Large+Mid+Small Cap)
2001-01-01,437.944
2001-01-02,442.26
2001-01-03,438.291
2001-01-04,446.612
2001-01-05,447.028
2001-01-08,442.598
2001-01-09,439.551
2001-01-10,443.788
2001-01-11,455.909
2001-01-12,462.364
2001-01-15,462.925
2001-01-16,454.213
2001-01-17,458.137
2001-01-18,465.113
2001-01-19,458.721
2001-01-22,457.623
2001-01-23,456.99
2001-01-24,454.483
2001-01-25,454.647
2001-01-26,456.685
2001-01-29,454.274
2001-01-30,460.884
2001-01-31,464.962
2001-02-01,469.145
2001-02-02,463.602
2001-02-05,461.408
2001-02-06,462.107
2001-02-07,459.226
2001-02-08,448.395
2001-02-09,443.217
2001-02-12,449.01
2001-02-13,445.411
2001-02-14,440.328
2001-02-15,434.142
2001-02-16,434.145
2001-02-19,432.534
2001-02-20,429.412
2001-02-21,428.399
2001-02-22,422.896
2001-02-23,420.774
2001-02-26,424.125
2001-02-27,428.321
2001-02-28,431.222
2001-03-01,434.792
2001-03-02,436.217
2001-03-05,438.412
2001-03-06,441.971
2001-03-07,442.512
2001-03-08,443.296
2001-03-09,436.575
2001-03-12,430.698
2001-03-13,427.501
2001-03-14,418.171
2001-03-15,416.637
2001-03-16,404.364
2001-03-19,402.052
2001-03-20,404.928
2001-03-21,396.108
2001-03-22,375.689
2001-03-23,389.459
2001-03-26,393.301
2001-03-27,393.181
2001-03-28,391.065
2001-03-29,389.309
2001-03-30,389.82
2001-04-02,386.111
2001-04-03,382.223
2001-04-04,395.299
2001-04-05,399.524
2001-04-06,399.073
2001-04-09,403.49
2001-04-10,402.621
2001-04-11,400.504
2001-04-12,402.426
2001-04-13,402.426
2001-04-16,398.305
2001-04-17,397.35
2001-04-18,398.907
2001-04-19,402.764
2001-04-20,403.467
2001-04-23,391.319
2001-04-24,389.498
2001-04-25,390.936
2001-04-26,394.335
2001-04-27,389.189
2001-04-30,392.34
2001-05-01,394.42
2001-05-02,393.746
2001-05-03,391.481
2001-05-04,395.203
2001-05-07,393.218
2001-05-08,389.346
2001-05-09,387.058
2001-05-10,389.08
2001-05-11,384.217
2001-05-14,381.412
2001-05-15,387.343
2001-05-16,387.91
2001-05-17,385.603
2001-05-18,380.702
2001-05-21,375.584
2001-05-22,366.44
2001-05-23,360.731
2001-05-24,358.469
2001-05-25,361.094
2001-05-28,364.869
2001-05-29,360.354
2001-05-30,361.538
2001-05-31,355.276
2001-06-01,353.926
2001-06-04,354.062
2001-06-05,354.215
2001-06-06,352.709
2001-06-07,350.81
2001-06-08,349.343
2001-06-11,341.719
2001-06-12,338.77
2001-06-13,343.494
2001-06-14,346.439
2001-06-15,341.012
2001-06-18,332.639
2001-06-19,329.051
2001-06-20,320.101
2001-06-21,320.643
2001-06-22,326.133
2001-06-25,332.83
2001-06-26,327.702
2001-06-27,325.11
2001-06-28,326.364
2001-06-29,326.953
2001-07-02,326.522
2001-07-03,330.932
2001-07-04,330.391
2001-07-05,326.069
2001-07-06,321.357
2001-07-09,320.254
2001-07-10,323.527
2001-07-11,319.26
2001-07-12,316.83
2001-07-13,317.124
2001-07-16,318.094
2001-07-17,315.849
2001-07-18,323.749
2001-07-19,329.162
2001-07-20,327.032
2001-07-23,324.116
2001-07-24,327.566
2001-07-25,328.437
2001-07-26,329.884
2001-07-27,331.667
2001-07-30,333.867
2001-07-31,334.981
2001-08-01,334.858
2001-08-02,334.223
2001-08-03,334.533
2001-08-06,333.772
2001-08-07,331.206
2001-08-08,328.076
2001-08-09,328.425
2001-08-10,329.987
2001-08-13,331.702
2001-08-14,335.17
2001-08-15,340.287
2001-08-16,336.683
2001-08-17,333.777
2001-08-20,330.835
2001-08-21,331.719
2001-08-22,330.463
2001-08-23,329.684
2001-08-24,330.478
2001-08-27,328.41
2001-08-28,324.123
2001-08-29,326.683
2001-08-30,323.627
2001-08-31,323.047
2001-09-03,319.159
2001-09-04,316.287
2001-09-05,316.308
2001-09-06,314.148
2001-09-07,313.722
2001-09-10,309.778
2001-09-11,298.992
2001-09-12,290.381
2001-09-13,293.263
2001-09-14,284.683
2001-09-17,284.261
2001-09-18,291.057
2001-09-19,298.526
2001-09-20,293.137
2001-09-21,293.072
2001-09-24,301.024
2001-09-25,310.467
2001-09-26,313.783
2001-09-27,315.672
2001-09-28,315.261
2001-10-01,316.423
2001-10-02,314.092
2001-10-03,314.2
2001-10-04,316.094
2001-10-05,318.014
2001-10-08,314.898
2001-10-09,318.357
2001-10-10,323.605
2001-10-11,320.558
2001-10-12,321.402
2001-10-15,319.076
2001-10-16,324.451
2001-10-17,329.17
2001-10-18,328.968
2001-10-19,323.024
2001-10-22,328.719
2001-10-23,333.901
2001-10-24,336.884
2001-10-25,333.613
2001-10-26,330.812
2001-10-29,334.15
2001-10-30,331.212
2001-10-31,332.615
2001-11-01,334.739
2001-11-02,334.854
2001-11-05,336.738
2001-11-06,338.288
2001-11-07,342.435
2001-11-08,340.99
2001-11-09,338.392
2001-11-12,339.748
2001-11-13,338.512
2001-11-14,339.392
2001-11-15,334.155
2001-11-16,334.012
2001-11-19,333.755
2001-11-20,332.515
2001-11-21,326.412
2001-11-22,329.291
2001-11-23,327.521
2001-11-26,327.015
2001-11-27,328.445
2001-11-28,324.96
2001-11-29,327.37
2001-11-30,331.841
2001-12-03,325.454
2001-12-04,327.472
2001-12-05,329.52
2001-12-06,336.229
2001-12-07,335.387
2001-12-10,331.376
2001-12-11,334.791
2001-12-12,336.935
2001-12-13,336.061
2001-12-14,335.624
2001-12-17,335.191
2001-12-18,333.583
2001-12-19,328.222
2001-12-20,326.927
2001-12-21,324.538
2001-12-24,321.3
2001-12-25,321.3
2001-12-26,321.575
2001-12-27,329.304
2001-12-28,329.429
2001-12-31,332.642
2002-01-01,332.642
2002-01-02,336.62
2002-01-03,341.521
2002-01-04,340.233
2002-01-07,335.428
2002-01-08,333.13
2002-01-09,328.438
2002-01-10,327.855
2002-01-11,327.164
2002-01-14,325.549
2002-01-15,329.523
2002-01-16,327.414
2002-01-17,330.508
2002-01-18,331.914
2002-01-21,330.234
2002-01-22,330.012
2002-01-23,326.317
2002-01-24,322.8
2002-01-25,317.458
2002-01-28,321.184
2002-01-29,316.705
2002-01-30,313.475
2002-01-31,313.379
2002-02-01,314.844
2002-02-04,312.812
2002-02-05,312.686
2002-02-06,314.464
2002-02-07,311.915
2002-02-08,311.985
2002-02-11,313.803
2002-02-12,313.356
2002-02-13,308.638
2002-02-14,310.16
2002-02-15,308.255
2002-02-18,306.847
2002-02-19,302.534
2002-02-20,301.335
2002-02-21,298.891
2002-02-22,300.317
2002-02-25,297.907
2002-02-26,301.719
2002-02-27,303.13
2002-02-28,306.556
2002-03-01,309.273
2002-03-04,315.404
2002-03-05,316.38
2002-03-06,318.571
2002-03-07,323.417
2002-03-08,325.618
2002-03-11,326.285
2002-03-12,324.01
2002-03-13,323.756
2002-03-14,327.019
2002-03-15,329.27
2002-03-18,330.608
2002-03-19,329.897
2002-03-20,327.122
2002-03-21,323.936
2002-03-22,326.565
2002-03-25,323.453
2002-03-26,322.364
2002-03-27,322.174
2002-03-28,321.804
2002-03-29,321.804
2002-04-01,324.441
2002-04-02,321.676
2002-04-03,319.81
2002-04-04,321.122
2002-04-05,319.861
2002-04-08,317.787
2002-04-09,321.738
2002-04-10,322.155
2002-04-11,322.691
2002-04-12,320.096
2002-04-15,321.343
2002-04-16,324.42
2002-04-17,327.118
2002-04-18,328.728
2002-04-19,328.812
2002-04-22,329.038
2002-04-23,327.816
2002-04-24,327.313
2002-04-25,329.735
2002-04-26,328.254
2002-04-29,328.81
2002-04-30,326.725
2002-05-01,328.574
