Date,PORTUGAL IMI IMI (Large+Mid+Small Cap)
1996-05-31,265.344
1996-06-28,279.474
1996-07-31,284.107
1996-08-30,290.05
1996-09-30,283.682
1996-10-31,287.563
1996-11-29,291.162
1996-12-31,301.56
1997-01-31,321.887
1997-02-28,322.193
1997-03-31,327.662
1997-04-30,327.199
1997-05-30,342.974
1997-06-30,366.177
1997-07-31,370.642
1997-08-29,348.666
1997-09-30,391.16
1997-10-31,384.62
1997-11-28,391.681
1997-12-31,410.676
1998-01-30,456.661
1998-02-27,500.625
1998-03-31,560.513
1998-04-30,617.709
1998-05-29,610.828
1998-06-30,562.924
1998-07-31,587.536
1998-08-31,517.027
1998-09-30,457.613
1998-10-30,537.503
1998-11-30,529.731
1998-12-31,540.554
1999-01-29,552.48
1999-02-26,514.499
1999-03-31,479.259
1999-04-30,449.326
1999-05-31,460.098
1999-06-30,441.282
1999-07-30,451.358
1999-08-31,445.757
1999-09-30,444.774
1999-10-29,455.946
1999-11-30,461.944
1999-12-31,510.478
2000-01-31,519.042
2000-02-29,602.95
2000-03-31,547.373
2000-04-28,493.816
2000-05-31,489.908
2000-06-30,508.545
2000-07-31,492.814
2000-08-31,470.283
2000-09-29,461.435
2000-10-31,413.518
2000-11-30,410.007
1995-06-30,246.914
1995-07-31,246.764
1995-08-31,228.505
1995-09-29,234.569
1995-10-31,240.375
1995-11-30,229.225
1995-12-29,236.444
1996-01-31,249.861
1996-02-29,255.312
1996-03-29,259.283
1996-04-30,256.495
1994-05-31,215.706
1994-06-30,209.523
1994-07-29,223.454
1994-08-31,237.3
1994-09-30,232.472
1994-10-31,239.531
1994-11-30,233.67
1994-12-30,232.258
1995-01-31,223.777
1995-02-28,232.076
1995-03-31,247.932
1995-04-28,248.17
1995-05-31,246.942
2000-12-29,437.944
2001-01-31,464.962
2001-02-28,431.222
2001-03-30,389.82
2001-04-30,392.34
2001-05-31,355.276
2001-06-29,326.953
2001-07-31,334.981
2001-08-31,323.047
2001-09-28,315.261
2001-10-31,332.615
2001-11-30,331.841
2001-12-31,332.642
2002-01-31,313.379
2002-02-28,306.556
2002-03-29,321.804
2002-04-30,326.725
2002-05-31,330.558
2005-05-31,499.326
2005-06-30,485.956
2005-07-29,492.644
2005-08-31,509.928
2005-09-30,515.008
2005-10-31,497.012
2005-11-30,507.126
2005-12-30,543.151
2006-01-31,566.763
2006-02-28,606.607
2006-03-31,662.489
2006-04-28,686.858
2006-05-31,664.41
2006-06-30,671.223
2006-07-31,679.453
2006-08-31,702.19
2006-09-29,718.966
2006-10-31,735.838
2006-11-30,774.038
2006-12-29,808.521
2007-01-31,827.463
2007-02-28,852.035
2007-03-30,854.516
2007-04-30,930.539
2007-05-31,1000.0
2007-06-29,1013.405
2007-07-31,1017.872
2007-08-31,958.953
2007-09-28,944.762
2007-10-31,1046.061
2007-11-30,1045.69
2007-12-31,1004.527
2008-01-31,890.922
2008-02-29,878.544
2008-03-31,883.341
2008-04-30,923.581
2008-05-30,900.525
2008-06-30,765.847
2008-07-31,741.898
2008-08-29,696.758
2008-09-30,627.886
2008-10-31,468.265
2008-11-28,453.737
2008-12-31,498.324
2009-01-30,469.498
2009-02-27,433.947
2009-03-31,464.14
2009-04-30,517.706
2009-05-29,595.691
2009-06-30,589.339
2009-07-31,608.86
2009-08-31,657.366
2009-09-30,716.418
2009-10-30,713.096
2009-11-30,721.832
2009-12-31,712.508
2010-01-29,643.762
2010-02-26,602.312
2010-03-31,640.871
2010-04-30,584.377
2010-05-31,531.339
2010-06-30,530.095
2010-07-30,587.314
2010-08-31,575.728
2010-09-30,630.958
2010-10-29,691.014
2010-11-30,586.603
2010-12-31,625.19
2011-01-31,661.154
2011-02-28,677.593
2011-03-31,677.862
2011-04-29,706.705
2011-05-31,697.404
2011-06-30,679.934
2011-07-29,637.359
2011-08-31,592.005
2011-09-30,517.193
2011-10-31,535.218
2011-11-30,488.76
2011-12-30,471.363
2012-01-31,455.885
2012-02-29,486.859
2012-03-30,482.782
2012-04-30,460.111
2012-05-31,382.251
2012-06-29,404.304
2012-07-31,392.446
2012-08-31,429.813
2012-09-28,457.673
2012-10-31,477.501
2012-11-30,468.723
2012-12-31,516.072
2013-01-31,583.24
2013-02-28,543.119
2013-03-29,526.775
2013-04-30,582.429
2013-05-31,560.453
2013-06-28,532.437
2013-07-31,560.223
2013-08-30,564.408
2013-09-30,594.212
2013-10-31,615.44
2013-11-29,645.165
2013-12-31,647.124
2014-01-31,641.831
2014-02-28,718.045
2014-03-31,743.266
2014-04-30,744.858
2014-05-30,724.767
2014-06-30,709.385
2014-07-31,626.785
2014-08-29,616.609
2014-09-30,569.661
2014-10-31,519.856
2014-11-28,499.104
2014-12-31,446.057
2015-01-30,441.825
2015-02-27,487.875
2015-03-31,482.759
2015-04-30,522.593
2015-05-29,503.178
2015-06-30,486.016
2015-07-31,489.646
2015-08-31,455.785
2015-09-30,441.193
2015-10-30,468.605
2015-11-30,436.045
2015-12-31,454.334
2016-01-29,434.16
2016-02-29,404.837
2016-03-31,460.183
2016-04-29,469.065
2016-05-31,459.603
2016-06-30,425.183
2016-07-29,453.012
2016-08-31,450.87
2016-09-30,446.327
2016-10-31,441.971
2016-11-30,413.021
2016-12-30,435.842
2017-01-31,427.084
2017-02-28,433.236
2017-03-31,467.219
2017-04-28,474.028
2017-05-31,526.773
2017-06-30,508.06
2017-07-31,532.203
2017-08-31,546.263
2017-09-29,564.429
2017-10-31,559.44
2017-11-30,566.315
2017-12-29,564.084
2018-01-31,602.73
2018-02-28,570.527
2018-03-30,577.286
2018-04-30,586.25
2018-05-31,580.056
2018-06-29,585.132
2018-07-31,607.161
2018-08-31,588.024
2018-09-28,575.659
2018-10-31,524.997
2018-11-30,511.593
2018-12-31,498.025
2019-01-31,530.554
2019-02-28,538.397
2019-03-29,541.069
2019-04-30,554.919
2019-05-31,535.014
2019-06-28,559.097
2019-07-31,543.24
2019-08-30,527.047
2019-09-30,542.226
2019-10-31,570.62
2019-11-29,566.352
2019-12-31,590.351
2020-01-31,602.593
2020-02-28,549.01
2020-03-31,476.939
2020-04-30,491.342
2020-05-29,535.421
2020-06-30,541.564
2020-07-31,554.4
2020-08-31,555.866
2020-09-30,522.086
2020-10-30,502.263
2020-11-30,579.271
2020-12-31,632.852
2021-01-29,619.05
2021-02-26,604.69
2021-03-31,615.082
2021-04-30,631.17
2021-05-31,672.708
2021-06-30,626.748
2021-07-30,621.364
2021-08-31,665.778
2021-09-30,654.277
2021-10-29,693.629
2021-11-30,647.838
2021-12-31,662.192
2022-01-31,639.514
2022-02-28,639.219
2022-03-31,681.566
2022-04-29,642.174
2022-05-31,687.506
2022-06-30,652.603
2022-07-29,671.293
2022-08-31,647.605
2022-09-30,567.8
2022-10-31,597.483
2022-11-30,644.87
2022-12-30,666.477
2023-01-31,675.91
2023-02-28,665.372
2023-03-31,700.54
2023-04-28,733.891
2023-05-31,664.378
2023-06-30,698.231
2023-07-31,707.338
2023-08-31,695.819
2023-09-29,656.046
2023-10-31,664.916
2023-11-30,723.093
2023-12-29,745.026
2024-01-31,692.727
2024-02-29,652.893
2024-03-29,645.208
2024-04-30,685.079
2024-05-31,744.02
2024-06-28,697.491
2024-07-31,726.221
2024-08-30,746.348
2024-09-30,763.985
2024-10-31,691.183
2024-11-29,654.073
2024-12-31,622.328
2025-01-31,628.642
2025-02-28,647.15
2003-11-28,398.602
2003-12-31,428.044
2004-01-30,438.261
2004-02-27,478.695
2004-03-31,469.504
2004-04-30,467.207
2004-05-31,456.111
2004-06-30,470.132
2004-07-30,448.32
2004-08-31,451.919
2004-09-30,480.968
2004-10-29,496.06
2004-11-30,524.521
2004-12-31,543.882
2005-01-31,550.724
2005-02-28,548.657
2005-03-31,528.945
2005-04-29,518.939
2002-06-28,327.895
2002-07-31,290.055
2002-08-30,288.908
2002-09-30,232.792
2002-10-31,257.508
2002-11-29,293.369
2002-12-31,291.171
2003-01-31,288.925
2003-02-28,266.948
2003-03-31,277.75
2003-04-30,295.942
2003-05-30,325.902
2003-06-30,327.302
2003-07-31,316.134
2003-08-29,324.965
