Date,PORTUGAL IMI IMI (Large+Mid+Small Cap)
2016-11-30,376.575
2016-12-30,397.373
2017-01-31,389.388
2017-02-28,394.997
2017-03-31,425.981
2017-04-28,432.169
2017-05-31,476.104
2017-06-30,458.91
2017-07-31,480.624
2017-08-31,493.321
2017-09-29,509.134
2017-10-31,504.634
2017-11-30,510.835
2017-12-29,508.808
2018-01-31,543.667
2018-02-28,514.62
2018-03-30,520.717
2018-04-30,526.621
2018-05-31,518.604
2018-06-29,522.811
2018-07-31,542.495
2018-08-31,525.395
2018-09-28,513.717
2018-10-31,468.507
2018-11-30,456.545
2018-12-31,444.422
2019-01-31,473.45
2019-02-28,480.449
2019-03-29,482.833
2019-04-30,494.836
2019-05-31,472.853
2019-06-28,493.792
2019-07-31,479.787
2019-08-30,465.485
2019-09-30,478.177
2019-10-31,503.217
2019-11-29,499.453
2019-12-31,520.602
2020-01-31,531.258
2020-02-28,484.018
2020-03-31,420.479
2020-04-30,433.177
2020-05-29,468.13
2020-06-30,473.487
2020-07-31,484.081
2020-08-31,485.361
2020-09-30,455.866
2020-10-30,438.557
2020-11-30,505.798
2020-12-31,552.248
2021-01-29,540.204
2021-02-26,527.673
2021-03-31,536.741
2021-04-30,548.208
2021-05-31,581.65
2021-06-30,541.911
2021-07-30,537.227
2021-08-31,575.627
2021-09-30,565.17
2021-10-29,599.163
2021-11-30,559.608
2021-12-31,571.933
2022-01-31,552.346
2022-02-28,552.091
2022-03-31,588.666
2022-04-29,552.596
2022-05-31,588.81
2022-06-30,558.75
2022-07-29,574.753
2022-08-31,554.471
2022-09-30,485.732
2022-10-31,511.125
2022-11-30,551.663
2022-12-30,569.783
2023-01-31,577.848
2023-02-28,568.839
2023-03-31,598.905
2023-04-28,624.849
2023-05-31,563.671
2023-06-30,592.393
2023-07-31,600.119
2023-08-31,589.808
2023-09-29,556.095
2023-10-31,563.613
2023-11-30,612.927
2023-12-29,631.402
2024-01-31,587.079
2024-02-29,553.32
2024-03-29,546.808
2024-04-30,580.353
2024-05-31,626.035
2024-06-28,586.129
2024-07-31,610.272
2024-08-30,626.649
2024-09-30,641.457
2024-10-31,580.331
2024-11-29,549.173
2024-12-31,522.404
2025-01-31,527.583
2025-02-28,543.115
2025-03-31,562.858
2025-04-30,607.654
2025-05-30,650.851
2025-06-30,692.532
2025-07-31,702.672
2025-08-29,720.442
2025-09-30,743.546
2025-10-31,776.743
2025-11-28,743.338
2025-12-31,753.14
2026-01-30,812.367
