Date,SPAIN LARGE GROWTH Large Cap
2001-01-01,468.438
2001-01-02,466.492
2001-01-03,470.891
2001-01-04,499.891
2001-01-05,505.504
2001-01-08,502.989
2001-01-09,492.745
2001-01-10,494.767
2001-01-11,505.603
2001-01-12,520.638
2001-01-15,517.013
2001-01-16,505.387
2001-01-17,522.668
2001-01-18,531.615
2001-01-19,519.456
2001-01-22,524.131
2001-01-23,529.581
2001-01-24,524.018
2001-01-25,517.781
2001-01-26,515.192
2001-01-29,506.184
2001-01-30,509.159
2001-01-31,515.639
2001-02-01,519.542
2001-02-02,500.827
2001-02-05,503.253
2001-02-06,501.039
2001-02-07,497.069
2001-02-08,494.066
2001-02-09,488.027
2001-02-12,498.125
2001-02-13,487.711
2001-02-14,462.075
2001-02-15,464.734
2001-02-16,469.962
2001-02-19,475.873
2001-02-20,456.612
2001-02-21,451.223
2001-02-22,439.474
2001-02-23,435.43
2001-02-26,448.054
2001-02-27,458.293
2001-02-28,457.966
2001-03-01,462.099
2001-03-02,473.807
2001-03-05,478.808
2001-03-06,492.153
2001-03-07,489.61
2001-03-08,481.635
2001-03-09,476.445
2001-03-12,459.692
2001-03-13,456.499
2001-03-14,447.08
2001-03-15,449.54
2001-03-16,434.834
2001-03-19,433.151
2001-03-20,432.368
2001-03-21,409.998
2001-03-22,384.238
2001-03-23,402.57
2001-03-26,421.429
2001-03-27,436.583
2001-03-28,423.979
2001-03-29,424.752
2001-03-30,430.348
2001-04-02,429.628
2001-04-03,413.447
2001-04-04,431.194
2001-04-05,440.095
2001-04-06,440.651
2001-04-09,448.6
2001-04-10,454.061
2001-04-11,453.99
2001-04-12,461.524
2001-04-13,461.524
2001-04-16,456.797
2001-04-17,448.066
2001-04-18,458.402
2001-04-19,468.19
2001-04-20,458.705
2001-04-23,438.605
2001-04-24,444.25
2001-04-25,440.306
2001-04-26,453.737
2001-04-27,456.207
2001-04-30,460.549
2001-05-01,462.991
2001-05-02,455.327
2001-05-03,448.131
2001-05-04,452.524
2001-05-07,452.757
2001-05-08,452.796
2001-05-09,451.826
2001-05-10,459.806
2001-05-11,448.852
2001-05-14,442.044
2001-05-15,449.836
2001-05-16,448.176
2001-05-17,449.826
2001-05-18,449.76
2001-05-21,446.858
2001-05-22,440.085
2001-05-23,436.63
2001-05-24,432.831
2001-05-25,424.398
2001-05-28,431.012
2001-05-29,425.035
2001-05-30,422.223
2001-05-31,421.638
2001-06-01,413.76
2001-06-04,423.397
2001-06-05,424.241
2001-06-06,420.008
2001-06-07,420.176
2001-06-08,422.409
2001-06-11,418.418
2001-06-12,413.461
2001-06-13,419.27
2001-06-14,419.929
2001-06-15,414.989
2001-06-18,395.363
2001-06-19,395.297
2001-06-20,391.183
2001-06-21,387.583
2001-06-22,388.738
2001-06-25,393.924
2001-06-26,383.804
2001-06-27,382.489
2001-06-28,382.905
2001-06-29,384.35
2001-07-02,397.526
2001-07-03,394.393
2001-07-04,385.648
2001-07-05,375.712
2001-07-06,363.714
2001-07-09,366.819
2001-07-10,367.913
2001-07-11,357.899
2001-07-12,348.157
2001-07-13,353.978
2001-07-16,355.596
2001-07-17,358.016
2001-07-18,357.126
2001-07-19,364.131
2001-07-20,363.213
2001-07-23,364.097
2001-07-24,366.174
2001-07-25,356.276
2001-07-26,359.319
2001-07-27,355.121
2001-07-30,367.064
2001-07-31,371.118
2001-08-01,375.397
2001-08-02,379.712
2001-08-03,379.133
2001-08-06,381.667
2001-08-07,376.76
2001-08-08,369.491
2001-08-09,365.27
2001-08-10,360.653
2001-08-13,369.493
2001-08-14,376.292
2001-08-15,382.036
2001-08-16,376.784
2001-08-17,370.753
2001-08-20,368.287
2001-08-21,367.946
2001-08-22,375.686
2001-08-23,378.021
2001-08-24,385.063
2001-08-27,383.316
2001-08-28,374.933
2001-08-29,379.225
2001-08-30,369.048
2001-08-31,372.89
2001-09-03,362.167
2001-09-04,364.637
2001-09-05,353.659
2001-09-06,341.624
2001-09-07,336.279
2001-09-10,332.826
2001-09-11,316.956
2001-09-12,321.162
2001-09-13,324.999
2001-09-14,310.198
2001-09-17,327.645
2001-09-18,327.685
2001-09-19,325.589
2001-09-20,316.804
2001-09-21,303.669
2001-09-24,325.05
2001-09-25,333.89
2001-09-26,334.882
2001-09-27,341.056
2001-09-28,340.653
2001-10-01,333.962
2001-10-02,339.006
2001-10-03,336.086
2001-10-04,345.689
2001-10-05,333.36
2001-10-08,336.471
2001-10-09,343.235
2001-10-10,355.209
2001-10-11,353.671
2001-10-12,355.239
2001-10-15,352.101
2001-10-16,359.849
2001-10-17,373.419
2001-10-18,365.751
2001-10-19,352.043
2001-10-22,361.593
2001-10-23,370.752
2001-10-24,381.094
2001-10-25,370.8
2001-10-26,372.694
2001-10-29,366.083
2001-10-30,352.047
2001-10-31,360.997
2001-11-01,362.52
2001-11-02,358.703
2001-11-05,370.954
2001-11-06,378.058
2001-11-07,386.674
2001-11-08,395.6
2001-11-09,387.818
2001-11-12,380.842
2001-11-13,395.004
2001-11-14,403.933
2001-11-15,409.051
2001-11-16,413.045
2001-11-19,417.517
2001-11-20,408.887
2001-11-21,398.807
2001-11-22,401.802
2001-11-23,402.763
2001-11-26,407.389
2001-11-27,401.419
2001-11-28,397.083
2001-11-29,391.55
2001-11-30,400.917
2001-12-03,395.462
2001-12-04,406.972
2001-12-05,426.362
2001-12-06,427.826
2001-12-07,421.51
2001-12-10,411.052
2001-12-11,415.735
2001-12-12,413.489
2001-12-13,401.931
2001-12-14,401.052
2001-12-17,415.676
2001-12-18,412.563
2001-12-19,400.273
2001-12-20,394.009
2001-12-21,391.551
2001-12-24,387.644
2001-12-25,387.644
2001-12-26,387.975
2001-12-27,399.234
2001-12-28,392.935
2001-12-31,396.767
2002-01-01,396.767
2002-01-02,404.282
2002-01-03,415.087
2002-01-04,408.326
2002-01-07,392.397
2002-01-08,392.671
2002-01-09,384.361
2002-01-10,378.137
2002-01-11,378.433
2002-01-14,368.278
2002-01-15,375.518
2002-01-16,364.703
2002-01-17,372.349
2002-01-18,376.755
2002-01-21,370.604
2002-01-22,378.373
2002-01-23,382.431
2002-01-24,388.102
2002-01-25,379.462
2002-01-28,381.542
2002-01-29,375.588
2002-01-30,366.784
2002-01-31,368.42
2002-02-01,375.634
2002-02-04,368.647
2002-02-05,358.976
2002-02-06,351.737
2002-02-07,361.913
2002-02-08,359.642
2002-02-11,362.273
2002-02-12,358.639
2002-02-13,361.62
2002-02-14,368.576
2002-02-15,362.943
2002-02-18,357.023
2002-02-19,351.43
2002-02-20,352.119
2002-02-21,352.453
2002-02-22,350.619
2002-02-25,354.432
2002-02-26,357.684
2002-02-27,369.842
2002-02-28,371.672
2002-03-01,375.705
2002-03-04,385.868
2002-03-05,382.642
2002-03-06,386.843
2002-03-07,391.554
2002-03-08,387.161
2002-03-11,381.077
2002-03-12,374.447
2002-03-13,375.058
2002-03-14,381.028
2002-03-15,384.31
2002-03-18,386.489
2002-03-19,391.311
2002-03-20,387.787
2002-03-21,383.595
2002-03-22,383.215
2002-03-25,372.522
2002-03-26,369.198
2002-03-27,369.353
2002-03-28,374.218
2002-03-29,374.218
2002-04-01,377.285
2002-04-02,375.409
2002-04-03,376.259
2002-04-04,373.331
2002-04-05,372.372
2002-04-08,359.872
2002-04-09,363.529
2002-04-10,367.847
2002-04-11,361.666
2002-04-12,362.995
2002-04-15,369.83
2002-04-16,385.464
2002-04-17,391.753
2002-04-18,389.045
2002-04-19,391.827
2002-04-22,387.593
2002-04-23,388.512
2002-04-24,386.524
2002-04-25,382.1
2002-04-26,382.36
2002-04-29,381.855
2002-04-30,381.803
2002-05-01,383.963
2002-05-02,374.932
2002-05-03,377.221
2002-05-06,374.83
2002-05-07,371.651
2002-05-08,382.344
2002-05-09,379.133
2002-05-10,374.296
2002-05-13,378.21
2002-05-14,379.369
2002-05-15,383.642
2002-05-16,381.619
2002-05-17,388.306
2002-05-20,382.1
2002-05-21,377.293
2002-05-22,374.392
2002-05-23,374.581
2002-05-24,377.484
2002-05-27,378.939
2002-05-28,378.647
2002-05-29,380.371
2002-05-30,377.38
2002-05-31,382.509
2002-06-03,379.472
2002-06-04,367.263
2002-06-05,361.613
2002-06-06,358.707
2002-06-07,350.894
2002-06-10,350.641
2002-06-11,355.146
2002-06-12,344.344
2002-06-13,336.775
2002-06-14,329.876
2002-06-17,338.273
2002-06-18,341.158
2002-06-19,333.899
2002-06-20,328.972
2002-06-21,322.624
2002-06-24,309.316
2002-06-25,313.877
2002-06-26,315.786
2002-06-27,314.201
2002-06-28,326.264
2002-07-01,326.444
2002-07-02,313.977
2002-07-03,305.489
2002-07-04,311.23
2002-07-05,336.976
2002-07-08,346.204
2002-07-09,336.976
2002-07-10,328.294
2002-07-11,318.651
2002-07-12,326.293
2002-07-15,313.751
2002-07-16,321.01
2002-07-17,339.55
2002-07-18,342.533
2002-07-19,325.163
2002-07-22,314.994
2002-07-23,306.163
2002-07-24,295.935
2002-07-25,325.23
2002-07-26,321.872
2002-07-29,336.085
2002-07-30,310.792
2002-07-31,301.062
2002-08-01,291.957
2002-08-02,296.956
2002-08-05,285.601
2002-08-06,291.905
2002-08-07,290.77
2002-08-08,312.606
2002-08-09,311.281
2002-08-12,299.969
2002-08-13,302.028
2002-08-14,294.671
2002-08-15,292.476
2002-08-16,309.022
2002-08-19,324.511
2002-08-20,319.293
2002-08-21,324.066
2002-08-22,329.156
2002-08-23,324.724
2002-08-26,319.904
2002-08-27,333.591
2002-08-28,319.668
2002-08-29,313.567
2002-08-30,315.822
2002-09-02,310.42
2002-09-03,302.63
2002-09-04,302.328
2002-09-05,297.074
2002-09-06,305.766
2002-09-09,295.558
2002-09-10,303.426
2002-09-11,315.31
2002-09-12,300.991
2002-09-13,296.247
2002-09-16,290.249
2002-09-17,290.83
2002-09-18,281.976
2002-09-19,279.027
2002-09-20,275.537
2002-09-23,264.451
2002-09-24,253.085
2002-09-25,254.824
2002-09-26,268.744
2002-09-27,263.749
2002-09-30,253.189
2002-10-01,248.532
2002-10-02,265.139
2002-10-03,260.801
2002-10-04,257.9
2002-10-07,258.147
2002-10-08,257.319
2002-10-09,256.252
2002-10-10,262.086
2002-10-11,274.869
2002-10-14,270.392
2002-10-15,289.374
2002-10-16,288.813
2002-10-17,295.773
2002-10-18,294.184
2002-10-21,297.575
2002-10-22,302.698
2002-10-23,292.57
2002-10-24,303.709
2002-10-25,306.774
2002-10-28,315.699
2002-10-29,306.869
2002-10-30,309.28
2002-10-31,316.648
2002-11-01,318.615
2002-11-04,334.536
2002-11-05,336.39
2002-11-06,330.295
2002-11-07,319.744
2002-11-08,316.52
2002-11-11,314.233
2002-11-12,317.49
2002-11-13,316.003
2002-11-14,324.437
2002-11-15,326.267
2002-11-18,333.291
2002-11-19,328.295
2002-11-20,323.038
2002-11-21,337.9
2002-11-22,341.408
2002-11-25,341.851
2002-11-26,333.81
2002-11-27,345.562
2002-11-28,348.756
2002-11-29,348.564
2002-12-02,351.883
2002-12-03,341.941
2002-12-04,336.429
2002-12-05,329.717
2002-12-06,332.139
2002-12-09,321.842
2002-12-10,325.336
2002-12-11,326.317
2002-12-12,321.696
2002-12-13,317.251
2002-12-16,326.537
2002-12-17,327.491
2002-12-18,319.659
2002-12-19,319.841
2002-12-20,324.406
2002-12-23,326.998
2002-12-24,328.351
2002-12-25,328.351
2002-12-26,329.179
2002-12-27,319.565
2002-12-30,317.233
2002-12-31,318.477
2003-01-01,318.477
2003-01-02,331.309
2003-01-03,329.262
2003-01-06,331.285
2003-01-07,341.131
2003-01-08,341.453
2003-01-09,348.142
2003-01-10,353.421
2003-01-13,361.773
2003-01-14,365.136
2003-01-15,362.915
2003-01-16,366.47
2003-01-17,356.24
2003-01-20,353.359
2003-01-21,351.866
2003-01-22,345.682
2003-01-23,350.716
2003-01-24,348.171
2003-01-27,332.325
2003-01-28,328.063
2003-01-29,327.555
2003-01-30,328.423
2003-01-31,320.304
2003-02-03,325.647
2003-02-04,318.381
2003-02-05,326.891
2003-02-06,317.529
2003-02-07,312.347
2003-02-10,308.667
2003-02-11,316.953
2003-02-12,311.293
2003-02-13,310.83
2003-02-14,321.848
2003-02-17,327.65
2003-02-18,331.284
2003-02-19,323.898
2003-02-20,321.917
2003-02-21,326.015
2003-02-24,317.744
2003-02-25,306.2
2003-02-26,307.245
2003-02-27,312.623
2003-02-28,322.057
2003-03-03,323.456
2003-03-04,317.056
2003-03-05,318.244
2003-03-06,312.52
2003-03-07,306.391
2003-03-10,297.951
2003-03-11,302.29
2003-03-12,290.243
2003-03-13,302.276
2003-03-14,315.126
2003-03-17,325.15
2003-03-18,326.009
2003-03-19,329.908
2003-03-20,326.351
2003-03-21,333.512
2003-03-24,320.595
2003-03-25,328.343
2003-03-26,328.406
2003-03-27,321.137
2003-03-28,321.754
2003-03-31,314.169
2003-04-01,319.294
2003-04-02,332.134
2003-04-03,334.737
2003-04-04,342.297
2003-04-07,349.117
2003-04-08,344.07
2003-04-09,350.525
2003-04-10,350.154
2003-04-11,350.964
2003-04-14,355.055
2003-04-15,361.08
2003-04-16,359.497
2003-04-17,367.42
2003-04-18,367.42
2003-04-21,365.836
2003-04-22,369.993
2003-04-23,369.298
2003-04-24,369.119
2003-04-25,367.562
2003-04-28,375.809
2003-04-29,372.263
2003-04-30,372.018
2003-05-01,375.435
2003-05-02,369.364
2003-05-05,373.566
2003-05-06,379.448
2003-05-07,366.254
2003-05-08,359.111
2003-05-09,366.416
2003-05-12,368.914
2003-05-13,366.132
2003-05-14,364.136
2003-05-15,365.623
2003-05-16,374.623
2003-05-19,363.823
2003-05-20,362.439
2003-05-21,354.656
2003-05-22,363.768
2003-05-23,369.539
2003-05-26,370.896
2003-05-27,373.345
2003-05-28,376.336
2003-05-29,380.583
2003-05-30,378.406
2003-06-02,385.043
2003-06-03,384.567
2003-06-04,386.473
2003-06-05,388.548
2003-06-06,391.566
2003-06-09,389.382
2003-06-10,387.272
2003-06-11,395.899
2003-06-12,400.234
2003-06-13,402.94
2003-06-16,411.264
2003-06-17,411.046
2003-06-18,411.267
2003-06-19,404.744
2003-06-20,411.194
2003-06-23,399.543
2003-06-24,396.452
2003-06-25,402.597
2003-06-26,398.33
2003-06-27,398.531
2003-06-30,394.164
2003-07-01,390.662
2003-07-02,394.096
2003-07-03,393.219
2003-07-04,391.393
2003-07-07,394.576
2003-07-08,393.846
2003-07-09,392.855
2003-07-10,388.452
2003-07-11,394.164
2003-07-14,399.93
2003-07-15,394.685
2003-07-16,388.827
2003-07-17,388.021
2003-07-18,386.761
2003-07-21,385.758
2003-07-22,389.189
2003-07-23,394.218
