Date,SPAIN LARGE GROWTH Large Cap
1994-05-31,224.45
1994-06-30,211.171
1994-07-29,225.964
1994-08-31,223.608
1994-09-30,216.628
1994-10-31,227.439
1994-11-30,220.162
1994-12-30,205.504
1995-01-31,206.465
1995-02-28,212.919
1995-03-31,211.244
1995-04-28,232.934
1995-05-31,236.262
1995-06-30,242.974
1995-07-31,259.213
1995-08-31,250.534
1995-09-29,251.979
1995-10-31,251.045
1995-11-30,261.121
1995-12-29,275.705
1996-01-31,270.057
1996-02-29,289.356
1996-03-29,294.313
1996-04-30,305.609
1996-05-31,299.268
1996-06-28,316.998
1996-07-31,300.133
1996-08-30,298.655
1996-09-30,295.345
1996-10-31,297.45
1996-11-29,320.146
1996-12-31,340.913
1997-01-31,330.803
1997-02-28,312.618
1997-03-31,324.003
1997-04-30,340.939
1997-05-30,363.161
1997-06-30,394.178
1997-07-31,377.662
1997-08-29,368.704
1997-09-30,403.438
1997-10-31,359.234
1997-11-28,371.805
1997-12-31,377.955
1998-01-30,409.012
1998-02-27,471.238
1998-03-31,520.241
1998-04-30,532.24
1998-05-29,524.459
1998-06-30,536.761
1998-07-31,587.458
1998-08-31,433.806
1998-09-30,398.074
1998-10-30,484.862
1998-11-30,524.924
1998-12-31,532.797
1999-01-29,521.567
1999-02-26,522.056
1999-03-31,509.691
1999-04-30,531.559
1999-05-31,523.986
1999-06-30,520.744
1999-07-30,493.827
1999-08-31,504.196
1999-09-30,504.218
1999-10-29,513.635
1999-11-30,594.137
1999-12-31,666.755
2000-01-31,668.939
2000-02-29,787.091
2000-03-31,680.155
2000-04-28,605.53
2000-05-31,548.097
2000-06-30,575.38
2000-07-31,564.565
2000-08-31,540.57
2000-09-29,550.881
2000-10-31,508.316
2000-11-30,422.829
2000-12-29,468.438
2001-01-31,515.639
2001-02-28,457.966
2001-03-30,430.348
2001-04-30,460.549
2001-05-31,421.638
2001-06-29,384.35
2001-07-31,371.118
2001-08-31,372.89
2001-09-28,340.653
2001-10-31,360.997
2001-11-30,400.917
2001-12-31,396.767
2002-01-31,368.42
2002-02-28,371.672
2002-03-29,374.218
2002-04-30,381.803
2002-05-31,382.509
2002-06-28,326.264
2002-07-31,301.062
2002-08-30,315.822
2002-09-30,253.189
2002-10-31,316.648
2002-11-29,348.564
2002-12-31,318.477
2003-01-31,320.304
2003-02-28,322.057
2003-03-31,314.169
2003-04-30,372.018
2003-05-30,378.406
2003-06-30,394.164
2003-07-31,403.191
2003-08-29,403.475
2003-09-30,396.792
2003-10-31,427.72
2003-11-28,444.263
2003-12-31,500.957
2004-01-30,516.292
2004-02-27,538.805
2004-03-31,508.943
2004-04-30,501.966
2004-05-31,501.873
2004-06-30,508.547
2004-07-30,504.552
2004-08-31,497.284
2004-09-30,520.075
2004-10-29,575.862
2004-11-30,619.338
2004-12-31,665.343
2005-01-31,642.331
2005-02-28,655.462
2005-03-31,621.154
2005-04-29,603.137
2005-05-31,604.562
2005-06-30,605.299
2005-07-29,637.821
2005-08-31,629.102
2005-09-30,634.589
2005-10-31,614.655
2005-11-30,591.895
2005-12-30,602.083
2006-01-31,638.169
2006-02-28,649.653
2006-03-31,669.239
2006-04-28,699.756
2006-05-31,694.224
2006-06-30,705.638
2006-07-31,727.145
2006-08-31,756.392
2006-09-29,787.188
2006-10-31,840.214
2006-11-30,866.88
2006-12-29,881.655
2007-01-31,901.502
2007-02-28,897.367
2007-03-30,935.817
2007-04-30,953.242
2007-05-31,1000.0
2007-06-29,967.361
2007-07-31,987.579
2007-08-31,977.25
2007-09-28,1037.768
2007-10-31,1166.195
2007-11-30,1194.306
2007-12-31,1140.754
2008-01-31,1032.121
2008-02-29,1036.505
2008-03-31,1050.134
2008-04-30,1048.138
2008-05-30,1048.029
2008-06-30,965.004
2008-07-31,965.287
2008-08-29,907.331
2008-09-30,815.264
2008-10-31,629.851
2008-11-28,686.733
2008-12-31,780.588
2009-01-30,660.51
2009-02-27,654.063
2009-03-31,694.053
2009-04-30,707.584
2009-05-29,799.333
2009-06-30,830.237
2009-07-31,906.103
2009-08-31,925.905
2009-09-30,996.971
2009-10-30,1003.452
2009-11-30,1054.763
2009-12-31,1031.734
2010-01-29,913.344
2010-02-26,881.864
2010-03-31,900.304
2010-04-30,856.133
2010-05-31,758.887
2010-06-30,774.415
2010-07-30,899.698
2010-08-31,888.863
2010-09-30,1033.682
2010-10-29,1086.065
2010-11-30,952.763
2010-12-31,1017.325
2011-01-31,1083.563
2011-02-28,1065.308
2011-03-31,1145.313
2011-04-29,1244.702
2011-05-31,1227.365
2011-06-30,1236.385
2011-07-29,1187.508
2011-08-31,1102.064
2011-09-30,1079.109
2011-10-31,1176.956
2011-11-30,1125.179
2011-12-30,1094.207
2012-01-31,1079.301
2012-02-29,1092.937
2012-03-30,1074.317
2012-04-30,920.905
2012-05-31,786.783
2012-06-29,973.382
2012-07-31,963.456
2012-08-31,1041.691
2012-09-28,1158.832
2012-10-31,1188.662
2012-11-30,1279.716
2012-12-31,1309.607
2013-01-31,1323.553
2013-02-28,1276.497
2013-03-29,1258.811
2013-04-30,1290.434
2013-05-31,1208.022
2013-06-28,1199.219
2013-07-31,1294.287
2013-08-30,1284.629
2013-09-30,1499.836
2013-10-31,1600.215
2013-11-29,1565.692
2013-12-31,1595.057
2014-01-31,1528.582
2014-02-28,1563.266
2014-03-31,1601.545
2014-04-30,1660.079
2014-05-30,1706.681
2014-06-30,1722.73
2014-07-31,1667.598
2014-08-29,1635.503
2014-09-30,1596.007
2014-10-31,1555.844
2014-11-28,1581.602
2014-12-31,1464.565
2015-01-30,1371.601
2015-02-27,1527.684
2015-03-31,1549.41
2015-04-30,1565.867
2015-05-29,1549.072
2015-06-30,1498.941
2015-07-31,1594.951
2015-08-31,1501.527
2015-09-30,1465.116
2015-10-30,1555.34
2015-11-30,1485.541
2015-12-31,1446.799
2016-01-29,1329.37
2016-02-29,1296.97
2016-03-31,1386.342
2016-04-29,1401.932
2016-05-31,1413.136
2016-06-30,1318.036
2016-07-29,1402.608
2016-08-31,1400.647
2016-09-30,1472.465
2016-10-31,1417.953
2016-11-30,1369.385
2016-12-30,1385.044
2017-01-31,1393.777
2017-02-28,1386.201
2017-03-31,1520.793
2017-04-28,1649.982
2017-05-31,1788.343
2017-06-30,1748.01
2017-07-31,1793.119
2017-08-31,1776.848
2017-09-29,1767.518
2017-10-31,1787.463
2017-11-30,1807.833
2017-12-29,1805.742
2018-01-31,1922.375
2018-02-28,1742.087
2018-03-30,1742.325
2018-04-30,1773.396
2018-05-31,1779.031
2018-06-29,1814.069
2018-07-31,1864.364
2018-08-31,1836.393
2018-09-28,1822.012
2018-10-31,1687.901
2018-11-30,1703.728
2018-12-31,1565.646
2019-01-31,1693.471
2019-02-28,1764.004
2019-03-29,1781.974
2019-04-30,1834.346
2019-05-31,1726.652
