Date,WORLD ex USA LARGE VALUE Large Cap
2001-01-01,485.188
2001-01-02,485.125
2001-01-03,484.765
2001-01-04,486.745
2001-01-05,489.282
2001-01-08,488.359
2001-01-09,481.126
2001-01-10,477.868
2001-01-11,479.584
2001-01-12,478.787
2001-01-15,478.177
2001-01-16,476.396
2001-01-17,478.954
2001-01-18,482.651
2001-01-19,478.683
2001-01-22,481.309
2001-01-23,483.206
2001-01-24,479.125
2001-01-25,480.596
2001-01-26,480.883
2001-01-29,482.354
2001-01-30,484.666
2001-01-31,487.072
2001-02-01,489.065
2001-02-02,485.456
2001-02-05,486.933
2001-02-06,485.252
2001-02-07,482.162
2001-02-08,476.357
2001-02-09,476.055
2001-02-12,479.247
2001-02-13,476.846
2001-02-14,476.309
2001-02-15,472.981
2001-02-16,471.234
2001-02-19,471.407
2001-02-20,466.684
2001-02-21,463.381
2001-02-22,462.215
2001-02-23,460.494
2001-02-26,462.645
2001-02-27,465.011
2001-02-28,463.82
2001-03-01,464.668
2001-03-02,462.633
2001-03-05,463.627
2001-03-06,467.017
2001-03-07,467.352
2001-03-08,468.74
2001-03-09,466.09
2001-03-12,456.536
2001-03-13,446.663
2001-03-14,437.413
2001-03-15,441.252
2001-03-16,431.029
2001-03-19,431.161
2001-03-20,435.341
2001-03-21,434.562
2001-03-22,416.022
2001-03-23,425.01
2001-03-26,438.278
2001-03-27,445.629
2001-03-28,441.597
2001-03-29,436.915
2001-03-30,438.133
2001-04-02,435.45
2001-04-03,432.569
2001-04-04,439.596
2001-04-05,444.36
2001-04-06,445.134
2001-04-09,446.937
2001-04-10,448.553
2001-04-11,448.226
2001-04-12,452.177
2001-04-13,451.39
2001-04-16,447.931
2001-04-17,447.285
2001-04-18,453.093
2001-04-19,458.87
2001-04-20,460.411
2001-04-23,458.263
2001-04-24,458.713
2001-04-25,460.931
2001-04-26,465.518
2001-04-27,466.3
2001-04-30,465.466
2001-05-01,470.927
2001-05-02,470.104
2001-05-03,465.508
2001-05-04,468.826
2001-05-07,470.225
2001-05-08,464.934
2001-05-09,462.599
2001-05-10,466.022
2001-05-11,462.935
2001-05-14,455.017
2001-05-15,461.158
2001-05-16,463.218
2001-05-17,467.277
2001-05-18,467.579
2001-05-21,470.577
2001-05-22,468.146
2001-05-23,466.508
2001-05-24,466.087
2001-05-25,463.924
2001-05-28,463.919
2001-05-29,462.582
2001-05-30,458.632
2001-05-31,456.86
2001-06-01,456.513
2001-06-04,457.964
2001-06-05,459.395
2001-06-06,456.462
2001-06-07,458.239
2001-06-08,456.612
2001-06-11,450.904
2001-06-12,447.248
2001-06-13,450.319
2001-06-14,449.92
2001-06-15,448.206
2001-06-18,444.142
2001-06-19,443.842
2001-06-20,441.755
2001-06-21,444.924
2001-06-22,447.336
2001-06-25,449.83
2001-06-26,445.634
2001-06-27,445.048
2001-06-28,443.746
2001-06-29,447.442
2001-07-02,451.248
2001-07-03,448.561
2001-07-04,446.593
2001-07-05,442.332
2001-07-06,436.074
2001-07-09,436.539
2001-07-10,437.911
2001-07-11,435.229
2001-07-12,437.378
2001-07-13,437.819
2001-07-16,437.347
2001-07-17,432.495
2001-07-18,432.623
2001-07-19,434.977
2001-07-20,434.682
2001-07-23,431.02
2001-07-24,429.975
2001-07-25,428.858
2001-07-26,429.567
2001-07-27,433.616
2001-07-30,435.051
2001-07-31,439.954
2001-08-01,443.421
2001-08-02,446.366
2001-08-03,443.805
2001-08-06,442.443
2001-08-07,442.763
2001-08-08,439.347
2001-08-09,436.066
2001-08-10,436.654
2001-08-13,437.25
2001-08-14,444.507
2001-08-15,448.439
2001-08-16,445.027
2001-08-17,441.645
2001-08-20,439.744
2001-08-21,443.327
2001-08-22,447.087
2001-08-23,443.838
2001-08-24,448.854
2001-08-27,448.968
2001-08-28,445.162
2001-08-29,443.973
2001-08-30,436.349
2001-08-31,435.711
2001-09-03,429.719
2001-09-04,432.847
2001-09-05,427.117
2001-09-06,421.505
2001-09-07,416.72
2001-09-10,410.116
2001-09-11,398.151
2001-09-12,391.269
2001-09-13,395.986
2001-09-14,388.758
2001-09-17,390.118
2001-09-18,388.672
2001-09-19,385.67
2001-09-20,372.473
2001-09-21,358.962
2001-09-24,371.39
2001-09-25,377.181
2001-09-26,378.84
2001-09-27,381.278
2001-09-28,389.994
2001-10-01,387.225
2001-10-02,391.416
2001-10-03,392.526
2001-10-04,402.013
2001-10-05,401.976
2001-10-08,401.273
2001-10-09,397.127
2001-10-10,400.964
2001-10-11,403.09
2001-10-12,404.88
2001-10-15,397.94
2001-10-16,401.393
2001-10-17,406.86
2001-10-18,398.703
2001-10-19,391.304
2001-10-22,392.662
2001-10-23,400.487
2001-10-24,402.576
2001-10-25,399.724
2001-10-26,404.058
2001-10-29,400.751
2001-10-30,394.452
2001-10-31,394.788
2001-11-01,397.991
2001-11-02,398.023
2001-11-05,402.166
2001-11-06,402.534
2001-11-07,403.53
2001-11-08,408.346
2001-11-09,405.729
2001-11-12,399.322
2001-11-13,402.662
2001-11-14,402.412
2001-11-15,401.924
2001-11-16,405.369
2001-11-19,409.102
2001-11-20,408.079
2001-11-21,406.494
2001-11-22,408.274
2001-11-23,406.159
2001-11-26,407.98
2001-11-27,405.184
2001-11-28,400.616
2001-11-29,401.141
2001-11-30,404.189
2001-12-03,398.95
2001-12-04,400.788
2001-12-05,409.708
2001-12-06,411.938
2001-12-07,407.266
2001-12-10,400.428
2001-12-11,399.783
2001-12-12,401.238
2001-12-13,395.433
2001-12-14,394.411
2001-12-17,400.176
2001-12-18,399.346
2001-12-19,396.926
2001-12-20,395.208
2001-12-21,396.995
2001-12-24,395.524
2001-12-25,395.423
2001-12-26,395.269
2001-12-27,402.782
2001-12-28,404.907
2001-12-31,406.46
2002-01-01,406.46
2002-01-02,406.318
2002-01-03,410.796
2002-01-04,412.687
2002-01-07,409.544
2002-01-08,405.325
2002-01-09,403.877
2002-01-10,401.596
2002-01-11,401.465
2002-01-14,396.926
2002-01-15,396.902
2002-01-16,392.934
2002-01-17,395.223
2002-01-18,395.594
2002-01-21,395.196
2002-01-22,392.637
2002-01-23,394.305
2002-01-24,396.509
2002-01-25,393.326
2002-01-28,396.885
2002-01-29,391.179
2002-01-30,387.122
2002-01-31,390.958
2002-02-01,390.58
2002-02-04,388.8
2002-02-05,382.912
2002-02-06,379.816
2002-02-07,382.623
2002-02-08,384.279
2002-02-11,389.369
2002-02-12,390.29
2002-02-13,392.199
2002-02-14,395.431
2002-02-15,393.612
2002-02-18,391.55
2002-02-19,384.387
2002-02-20,381.377
2002-02-21,386.47
2002-02-22,386.47
2002-02-25,389.161
2002-02-26,389.833
2002-02-27,393.1
2002-02-28,394.157
2002-03-01,399.122
2002-03-04,411.796
2002-03-05,409.946
2002-03-06,413.072
2002-03-07,420.425
2002-03-08,419.807
2002-03-11,420.431
2002-03-12,415.071
2002-03-13,414.205
2002-03-14,417.323
2002-03-15,421.559
2002-03-18,419.686
2002-03-19,423.981
2002-03-20,421.801
2002-03-21,419.854
2002-03-22,417.842
