Date,WORLD ex USA LARGE VALUE Large Cap
2001-01-01,500.567
2001-01-02,500.489
2001-01-03,500.119
2001-01-04,502.161
2001-01-05,504.779
2001-01-08,503.826
2001-01-09,496.364
2001-01-10,492.998
2001-01-11,494.763
2001-01-12,493.941
2001-01-15,493.312
2001-01-16,491.474
2001-01-17,494.114
2001-01-18,497.928
2001-01-19,493.834
2001-01-22,496.539
2001-01-23,498.497
2001-01-24,494.286
2001-01-25,495.804
2001-01-26,496.098
2001-01-29,497.615
2001-01-30,500.001
2001-01-31,502.48
2001-02-01,504.536
2001-02-02,500.812
2001-02-05,502.336
2001-02-06,500.602
2001-02-07,497.414
2001-02-08,491.425
2001-02-09,491.113
2001-02-12,494.406
2001-02-13,491.929
2001-02-14,491.375
2001-02-15,487.94
2001-02-16,486.134
2001-02-19,486.301
2001-02-20,481.426
2001-02-21,478.017
2001-02-22,476.814
2001-02-23,475.038
2001-02-26,477.254
2001-02-27,479.694
2001-02-28,478.465
2001-03-01,479.34
2001-03-02,477.241
2001-03-05,478.254
2001-03-06,481.751
2001-03-07,482.095
2001-03-08,483.526
2001-03-09,480.792
2001-03-12,470.937
2001-03-13,460.75
2001-03-14,451.203
2001-03-15,455.164
2001-03-16,444.619
2001-03-19,444.755
2001-03-20,449.067
2001-03-21,448.254
2001-03-22,429.13
2001-03-23,438.392
2001-03-26,452.074
2001-03-27,459.536
2001-03-28,455.365
2001-03-29,450.537
2001-03-30,451.79
2001-04-02,449.024
2001-04-03,446.039
2001-04-04,453.285
2001-04-05,458.195
2001-04-06,458.975
2001-04-09,460.83
2001-04-10,462.496
2001-04-11,462.142
2001-04-12,466.16
2001-04-13,465.348
2001-04-16,461.783
2001-04-17,461.099
2001-04-18,467.085
2001-04-19,473.009
2001-04-20,474.595
2001-04-23,472.37
2001-04-24,472.835
2001-04-25,475.104
2001-04-26,479.822
2001-04-27,480.591
2001-04-30,479.722
2001-05-01,485.35
2001-05-02,484.474
2001-05-03,479.73
2001-05-04,483.136
2001-05-07,484.571
2001-05-08,479.117
2001-05-09,476.694
2001-05-10,480.213
2001-05-11,476.995
2001-05-14,468.784
2001-05-15,475.11
2001-05-16,477.228
2001-05-17,481.392
2001-05-18,481.642
2001-05-21,484.66
2001-05-22,482.153
2001-05-23,480.428
2001-05-24,479.993
2001-05-25,477.763
2001-05-28,477.736
2001-05-29,476.307
2001-05-30,472.198
2001-05-31,470.36
2001-06-01,469.976
2001-06-04,471.463
2001-06-05,472.922
2001-06-06,469.888
2001-06-07,471.708
2001-06-08,469.982
2001-06-11,464.078
2001-06-12,460.312
2001-06-13,463.467
2001-06-14,463.025
2001-06-15,461.261
2001-06-18,456.93
2001-06-19,456.621
2001-06-20,454.475
2001-06-21,457.726
2001-06-22,460.208
2001-06-25,462.772
2001-06-26,458.449
2001-06-27,457.844
2001-06-28,456.502
2001-06-29,460.303
2001-07-02,464.198
2001-07-03,461.434
2001-07-04,459.409
2001-07-05,455.026
2001-07-06,448.588
2001-07-09,449.066
2001-07-10,450.478
2001-07-11,447.719
2001-07-12,449.923
2001-07-13,450.377
2001-07-16,449.892
2001-07-17,444.9
2001-07-18,445.032
2001-07-19,447.452
2001-07-20,447.148
2001-07-23,443.377
2001-07-24,442.302
2001-07-25,441.153
2001-07-26,441.882
2001-07-27,446.046
2001-07-30,447.522
2001-07-31,452.566
2001-08-01,456.13
2001-08-02,459.16
2001-08-03,456.49
2001-08-06,455.088
2001-08-07,455.418
2001-08-08,451.901
2001-08-09,448.526
2001-08-10,449.131
2001-08-13,449.744
2001-08-14,457.208
2001-08-15,461.232
2001-08-16,457.723
2001-08-17,454.223
2001-08-20,452.268
2001-08-21,455.953
2001-08-22,459.82
2001-08-23,456.477
2001-08-24,461.637
2001-08-27,461.715
2001-08-28,457.801
2001-08-29,456.577
2001-08-30,448.737
2001-08-31,448.08
2001-09-03,441.915
2001-09-04,445.131
2001-09-05,439.237
2001-09-06,433.464
2001-09-07,428.544
2001-09-10,421.752
2001-09-11,409.448
2001-09-12,402.37
2001-09-13,407.216
2001-09-14,399.784
2001-09-17,401.182
2001-09-18,399.691
2001-09-19,396.605
2001-09-20,383.033
2001-09-21,369.14
2001-09-24,381.92
2001-09-25,387.787
2001-09-26,389.488
2001-09-27,391.994
2001-09-28,400.953
2001-10-01,398.099
2001-10-02,402.407
2001-10-03,403.547
2001-10-04,413.3
2001-10-05,413.262
2001-10-08,412.539
2001-10-09,408.277
2001-10-10,412.222
2001-10-11,414.406
2001-10-12,416.245
2001-10-15,409.111
2001-10-16,412.664
2001-10-17,418.304
2001-10-18,409.918
2001-10-19,402.311
2001-10-22,403.703
2001-10-23,411.747
2001-10-24,413.895
2001-10-25,410.963
2001-10-26,415.418
2001-10-29,412.018
2001-10-30,405.543
2001-10-31,405.888
2001-11-01,409.17
2001-11-02,409.203
2001-11-05,413.456
2001-11-06,413.835
2001-11-07,414.858
2001-11-08,419.809
2001-11-09,417.118
2001-11-12,410.523
2001-11-13,413.956
2001-11-14,413.7
2001-11-15,413.198
2001-11-16,416.738
2001-11-19,420.556
2001-11-20,419.502
2001-11-21,417.875
2001-11-22,419.695
2001-11-23,417.521
2001-11-26,419.393
2001-11-27,416.519
2001-11-28,411.822
