Date,WORLD ex USA LARGE VALUE Large Cap
1994-05-31,293.622
1994-06-30,298.239
1994-07-29,301.136
1994-08-31,307.168
1994-09-30,298.067
1994-10-31,309.286
1994-11-30,294.586
1994-12-30,296.264
1995-01-31,283.54
1995-02-28,281.508
1995-03-31,302.328
1995-04-28,312.135
1995-05-31,308.707
1995-06-30,303.7
1995-07-31,321.36
1995-08-31,309.003
1995-09-29,315.331
1995-10-31,308.721
1995-11-30,317.322
1995-12-29,329.926
1996-01-31,331.173
1996-02-29,331.422
1996-03-29,335.953
1996-04-30,347.301
1996-05-31,342.665
1996-06-28,345.129
1996-07-31,336.936
1996-08-30,337.703
1996-09-30,347.903
1996-10-31,345.184
1996-11-29,361.786
1996-12-31,358.401
1997-01-31,347.525
1997-02-28,351.748
1997-03-31,353.646
1997-04-30,356.173
1997-05-30,382.656
1997-06-30,401.934
1997-07-31,409.738
1997-08-29,382.467
1997-09-30,401.631
1997-10-31,376.57
1997-11-28,369.648
1997-12-31,370.253
1998-01-30,387.83
1998-02-27,412.209
1998-03-31,428.999
1998-04-30,432.951
1998-05-29,430.814
1998-06-30,434.517
1998-07-31,433.791
1998-08-31,377.593
1998-09-30,369.756
1998-10-30,406.41
1998-11-30,423.778
1998-12-31,434.969
1999-01-29,433.739
1999-02-26,427.157
1999-03-31,450.138
1999-04-30,480.428
1999-05-31,454.629
1999-06-30,468.916
1999-07-30,483.036
1999-08-31,487.559
1999-09-30,490.005
1999-10-29,503.233
1999-11-30,504.399
1999-12-31,527.965
2000-01-31,483.996
2000-02-29,476.659
2000-03-31,515.061
2000-04-28,495.483
2000-05-31,494.51
2000-06-30,515.307
2000-07-31,495.359
2000-08-31,502.949
2000-09-29,489.609
2000-10-31,488.994
2000-11-30,477.77
2000-12-29,500.567
2001-01-31,502.48
2001-02-28,478.465
2001-03-30,451.79
2001-04-30,479.722
2001-05-31,470.36
2001-06-29,460.303
2001-07-31,452.566
2001-08-31,448.08
2001-09-28,400.953
2001-10-31,405.888
2001-11-30,415.494
2001-12-31,417.803
2002-01-31,401.846
2002-02-28,405.112
2002-03-29,429.058
2002-04-30,437.325
2002-05-31,449.577
2002-06-28,428.796
2002-07-31,386.613
2002-08-30,391.029
2002-09-30,342.586
2002-10-31,360.642
2002-11-29,377.462
2002-12-31,365.157
2003-01-31,351.173
2003-02-28,345.51
2003-03-31,335.77
2003-04-30,367.339
2003-05-30,393.179
2003-06-30,402.991
2003-07-31,413.187
2003-08-29,421.381
2003-09-30,432.48
2003-10-31,461.239
2003-11-28,472.137
2003-12-31,515.287
2004-01-30,515.719
2004-02-27,526.892
2004-03-31,530.415
2004-04-30,520.314
2004-05-31,525.283
2004-06-30,539.042
2004-07-30,527.753
2004-08-31,530.558
2004-09-30,546.479
2004-10-29,567.418
2004-11-30,602.115
2004-12-31,627.92
2005-01-31,614.21
2005-02-28,643.991
2005-03-31,628.864
2005-04-29,610.465
2005-05-31,609.179
2005-06-30,621.115
2005-07-29,641.411
2005-08-31,655.816
2005-09-30,685.237
2005-10-31,665.129
2005-11-30,681.408
2005-12-30,706.431
2006-01-31,745.298
2006-02-28,751.843
2006-03-31,769.973
2006-04-28,806.736
2006-05-31,782.0
2006-06-30,780.813
2006-07-31,793.304
2006-08-31,817.797
2006-09-29,820.777
2006-10-31,856.717
2006-11-30,879.927
2006-12-29,910.604
2007-01-31,911.067
2007-02-28,915.924
2007-03-30,934.044
2007-04-30,979.172
2007-05-31,1000.0
2007-06-29,1000.267
2007-07-31,977.401
2007-08-31,956.697
2007-09-28,1004.131
2007-10-31,1047.074
2007-11-30,998.336
2007-12-31,977.38
2008-01-31,885.991
2008-02-29,886.616
2008-03-31,877.157
2008-04-30,932.803
2008-05-30,931.488
2008-06-30,846.24
2008-07-31,823.876
2008-08-29,796.182
2008-09-30,691.324
2008-10-31,546.562
2008-11-28,517.301
2008-12-31,540.728
2009-01-30,479.667
2009-02-27,427.982
2009-03-31,458.514
2009-04-30,538.622
2009-05-29,605.519
2009-06-30,597.347
2009-07-31,659.146
2009-08-31,705.054
2009-09-30,730.307
2009-10-30,711.107
2009-11-30,728.64
2009-12-31,736.618
2010-01-29,699.269
2010-02-26,693.936
2010-03-31,738.137
2010-04-30,722.245
2010-05-31,638.918
2010-06-30,622.562
2010-07-30,687.943
2010-08-31,662.658
2010-09-30,720.463
2010-10-29,748.744
2010-11-30,703.407
2010-12-31,759.945
2011-01-31,792.79
2011-02-28,824.146
2011-03-31,800.832
2011-04-29,844.969
2011-05-31,813.674
2011-06-30,805.854
2011-07-29,783.908
2011-08-31,712.147
2011-09-30,652.207
2011-10-31,714.296
