Date,WORLD ex USA LARGE CAP Large Cap
2001-01-01,592.202
2001-01-02,588.92
2001-01-03,584.561
2001-01-04,591.415
2001-01-05,593.23
2001-01-08,590.135
2001-01-09,579.633
2001-01-10,575.782
2001-01-11,579.919
2001-01-12,582.658
2001-01-15,581.477
2001-01-16,579.151
2001-01-17,586.721
2001-01-18,593.921
2001-01-19,591.877
2001-01-22,593.168
2001-01-23,592.952
2001-01-24,588.37
2001-01-25,589.298
2001-01-26,588.072
2001-01-29,588.492
2001-01-30,591.036
2001-01-31,594.969
2001-02-01,595.702
2001-02-02,587.974
2001-02-05,587.659
2001-02-06,585.477
2001-02-07,580.584
2001-02-08,572.717
2001-02-09,568.973
2001-02-12,574.298
2001-02-13,570.218
2001-02-14,564.232
2001-02-15,564.017
2001-02-16,557.778
2001-02-19,556.435
2001-02-20,550.162
2001-02-21,545.397
2001-02-22,542.997
2001-02-23,538.485
2001-02-26,542.753
2001-02-27,545.273
2001-02-28,542.507
2001-03-01,541.14
2001-03-02,537.635
2001-03-05,539.14
2001-03-06,548.586
2001-03-07,548.259
2001-03-08,547.4
2001-03-09,542.569
2001-03-12,527.576
2001-03-13,515.819
2001-03-14,506.165
2001-03-15,511.256
2001-03-16,499.813
2001-03-19,498.941
2001-03-20,504.735
2001-03-21,503.354
2001-03-22,482.2
2001-03-23,496.557
2001-03-26,513.79
2001-03-27,521.492
2001-03-28,514.917
2001-03-29,505.761
2001-03-30,505.141
2001-04-02,501.413
2001-04-03,494.712
2001-04-04,503.186
2001-04-05,511.364
2001-04-06,512.157
2001-04-09,512.707
2001-04-10,515.9
2001-04-11,518.375
2001-04-12,524.049
2001-04-13,523.636
2001-04-16,518.625
2001-04-17,515.711
2001-04-18,528.28
2001-04-19,537.374
2001-04-20,536.608
2001-04-23,532.547
2001-04-24,531.253
2001-04-25,533.605
2001-04-26,539.09
2001-04-27,540.424
2001-04-30,542.297
2001-05-01,549.58
2001-05-02,550.574
2001-05-03,545.133
2001-05-04,547.946
2001-05-07,551.194
2001-05-08,544.711
2001-05-09,540.05
2001-05-10,544.291
2001-05-11,539.296
2001-05-14,529.707
2001-05-15,537.028
2001-05-16,537.217
2001-05-17,543.183
2001-05-18,542.343
2001-05-21,545.945
2001-05-22,545.124
2001-05-23,541.538
2001-05-24,540.298
2001-05-25,536.311
2001-05-28,536.178
2001-05-29,533.269
2001-05-30,525.753
2001-05-31,522.627
2001-06-01,521.623
2001-06-04,523.089
2001-06-05,526.085
2001-06-06,523.006
2001-06-07,524.928
2001-06-08,523.129
2001-06-11,515.168
2001-06-12,507.161
2001-06-13,510.432
2001-06-14,509.118
2001-06-15,505.603
2001-06-18,500.262
2001-06-19,499.495
2001-06-20,496.233
2001-06-21,499.448
2001-06-22,502.516
2001-06-25,503.266
2001-06-26,498.282
2001-06-27,496.695
2001-06-28,495.135
2001-06-29,501.118
2001-07-02,505.228
2001-07-03,502.065
2001-07-04,497.977
2001-07-05,490.458
2001-07-06,483.073
2001-07-09,483.765
2001-07-10,485.249
2001-07-11,481.705
2001-07-12,485.679
2001-07-13,486.032
2001-07-16,484.474
2001-07-17,478.8
2001-07-18,479.185
2001-07-19,483.622
2001-07-20,482.408
2001-07-23,477.694
2001-07-24,476.861
2001-07-25,475.88
2001-07-26,477.122
2001-07-27,481.1
2001-07-30,482.522
2001-07-31,488.971
2001-08-01,493.951
2001-08-02,498.724
2001-08-03,495.492
2001-08-06,493.127
2001-08-07,493.0
2001-08-08,488.184
2001-08-09,482.304
2001-08-10,482.49
2001-08-13,482.862
2001-08-14,490.708
2001-08-15,494.483
2001-08-16,488.731
2001-08-17,483.89
2001-08-20,480.517
2001-08-21,485.111
2001-08-22,487.954
2001-08-23,483.623
2001-08-24,489.285
2001-08-27,490.023
2001-08-28,484.416
2001-08-29,482.52
2001-08-30,473.864
2001-08-31,473.495
2001-09-03,466.317
2001-09-04,469.282
2001-09-05,460.958
2001-09-06,453.666
2001-09-07,449.174
2001-09-10,441.998
2001-09-11,428.126
2001-09-12,423.565
2001-09-13,429.039
2001-09-14,421.946
2001-09-17,423.749
2001-09-18,423.068
2001-09-19,422.293
2001-09-20,409.671
2001-09-21,395.746
2001-09-24,409.358
2001-09-25,416.814
2001-09-26,417.48
2001-09-27,420.39
2001-09-28,429.469
2001-10-01,426.315
2001-10-02,430.825
2001-10-03,431.206
2001-10-04,441.762
2001-10-05,442.548
2001-10-08,442.745
2001-10-09,438.664
2001-10-10,442.35
2001-10-11,446.71
2001-10-12,448.632
2001-10-15,441.363
2001-10-16,445.352
2001-10-17,452.582
2001-10-18,443.905
2001-10-19,437.257
2001-10-22,439.668
2001-10-23,447.842
2001-10-24,450.319
2001-10-25,446.532
2001-10-26,451.396
2001-10-29,447.397
2001-10-30,439.508
2001-10-31,439.86
2001-11-01,444.475
2001-11-02,444.75
2001-11-05,449.891
2001-11-06,451.718
2001-11-07,452.05
2001-11-08,457.065
2001-11-09,453.335
2001-11-12,446.127
2001-11-13,450.894
2001-11-14,452.088
2001-11-15,454.462
2001-11-16,459.047
2001-11-19,462.055
2001-11-20,458.488
2001-11-21,455.298
2001-11-22,458.679
2001-11-23,456.101
2001-11-26,459.97
2001-11-27,456.426
2001-11-28,451.169
2001-11-29,450.372
2001-11-30,455.003
2001-12-03,448.936
2001-12-04,453.253
2001-12-05,464.614
2001-12-06,467.506
2001-12-07,462.339
2001-12-10,453.464
2001-12-11,452.85
2001-12-12,454.504
2001-12-13,446.54
2001-12-14,444.05
2001-12-17,450.731
2001-12-18,450.024
2001-12-19,446.845
2001-12-20,445.318
2001-12-21,445.805
2001-12-24,443.602
2001-12-25,443.106
2001-12-26,442.56
2001-12-27,451.073
2001-12-28,453.629
2001-12-31,455.942
2002-01-01,455.942
2002-01-02,455.864
2002-01-03,461.252
2002-01-04,463.513
2002-01-07,460.17
2002-01-08,454.036
2002-01-09,452.495
2002-01-10,448.735
2002-01-11,448.737
2002-01-14,443.144
2002-01-15,443.105
2002-01-16,437.481
2002-01-17,439.816
2002-01-18,440.563
2002-01-21,438.53
2002-01-22,435.692
2002-01-23,436.865
2002-01-24,439.818
2002-01-25,435.134
2002-01-28,438.312
2002-01-29,432.185
2002-01-30,426.719
2002-01-31,431.112
2002-02-01,429.925
2002-02-04,427.395
2002-02-05,420.567
2002-02-06,416.75
2002-02-07,421.381
2002-02-08,422.598
2002-02-11,428.421
2002-02-12,429.456
2002-02-13,431.28
2002-02-14,434.64
2002-02-15,432.327
2002-02-18,429.703
2002-02-19,422.103
2002-02-20,418.907
2002-02-21,424.087
2002-02-22,423.126
2002-02-25,425.504
2002-02-26,426.089
2002-02-27,431.342
2002-02-28,432.472
2002-03-01,437.825
2002-03-04,452.124
2002-03-05,450.892
2002-03-06,454.918
2002-03-07,464.574
2002-03-08,465.046
2002-03-11,464.962
2002-03-12,457.211
2002-03-13,455.189
2002-03-14,459.505
2002-03-15,463.638
2002-03-18,462.056
2002-03-19,465.888
2002-03-20,462.376
2002-03-21,460.258
2002-03-22,458.041
2002-03-25,454.012
2002-03-26,454.191
2002-03-27,454.813
2002-03-28,459.423
2002-03-29,457.203
2002-04-01,458.857
2002-04-02,458.866
2002-04-03,459.837
2002-04-04,458.156
2002-04-05,456.786
2002-04-08,451.226
2002-04-09,450.565
2002-04-10,454.956
2002-04-11,449.664
2002-04-12,448.217
2002-04-15,452.374
2002-04-16,460.445
2002-04-17,464.443
2002-04-18,464.535
2002-04-19,463.953
2002-04-22,462.969
2002-04-23,461.84
2002-04-24,461.098
2002-04-25,461.326
2002-04-26,458.823
2002-04-29,458.223
2002-04-30,459.412
2002-05-01,461.578
2002-05-02,459.312
2002-05-03,461.1
2002-05-06,460.424
2002-05-07,454.176
2002-05-08,460.445
2002-05-09,460.059
2002-05-10,457.974
2002-05-13,459.473
2002-05-14,459.254
2002-05-15,465.672
2002-05-16,466.999
2002-05-17,472.002
2002-05-20,471.134
2002-05-21,470.284
2002-05-22,470.086
2002-05-23,468.584
2002-05-24,469.541
2002-05-27,467.893
2002-05-28,468.075
2002-05-29,467.683
2002-05-30,465.672
2002-05-31,466.145
2002-06-03,466.007
2002-06-04,459.682
2002-06-05,454.568
2002-06-06,455.281
2002-06-07,450.142
2002-06-10,449.427
2002-06-11,451.59
2002-06-12,445.01
2002-06-13,439.435
2002-06-14,430.517
2002-06-17,437.443
2002-06-18,438.486
2002-06-19,432.886
2002-06-20,430.758
2002-06-21,430.417
2002-06-24,426.113
2002-06-25,431.42
2002-06-26,429.032
2002-06-27,432.287
2002-06-28,446.919
2002-07-01,447.579
2002-07-02,436.784
2002-07-03,428.553
2002-07-04,433.686
2002-07-05,445.539
2002-07-08,448.693
2002-07-09,449.041
2002-07-10,435.493
2002-07-11,423.04
2002-07-12,423.841
2002-07-15,410.816
2002-07-16,410.433
2002-07-17,418.894
2002-07-18,424.929
2002-07-19,409.88
2002-07-22,392.71
2002-07-23,382.946
2002-07-24,379.443
2002-07-25,390.176
2002-07-26,386.483
2002-07-29,400.299
2002-07-30,403.876
2002-07-31,403.239
2002-08-01,391.187
2002-08-02,391.794
2002-08-05,383.676
2002-08-06,386.905
2002-08-07,388.982
2002-08-08,399.276
2002-08-09,406.818
2002-08-12,400.574
2002-08-13,403.29
2002-08-14,400.077
2002-08-15,407.662
2002-08-16,409.977
2002-08-19,413.944
2002-08-20,409.027
2002-08-21,413.545
2002-08-22,417.549
2002-08-23,413.351
2002-08-26,412.796
2002-08-27,419.597
2002-08-28,406.951
2002-08-29,401.65
2002-08-30,403.458
2002-09-02,398.564
2002-09-03,387.658
2002-09-04,386.086
2002-09-05,386.104
2002-09-06,391.747
2002-09-09,388.726
2002-09-10,393.49
2002-09-11,398.794
2002-09-12,389.68
2002-09-13,382.86
2002-09-16,380.074
