Date,WORLD ex USA LARGE CAP Large Cap
1994-05-31,349.477
1994-06-30,355.134
1994-07-29,357.33
1994-08-31,365.445
1994-09-30,355.331
1994-10-31,366.645
1994-11-30,348.191
1994-12-30,351.764
1995-01-31,337.825
1995-02-28,334.267
1995-03-31,357.868
1995-04-28,371.805
1995-05-31,367.162
1995-06-30,362.071
1995-07-31,384.263
1995-08-31,370.289
1995-09-29,378.74
1995-10-31,369.236
1995-11-30,380.265
1995-12-29,394.241
1996-01-31,394.324
1996-02-29,394.816
1996-03-29,403.232
1996-04-30,416.243
1996-05-31,410.793
1996-06-28,413.682
1996-07-31,401.239
1996-08-30,402.869
1996-09-30,414.367
1996-10-31,410.074
1996-11-29,426.316
1996-12-31,420.249
1997-01-31,404.945
1997-02-28,410.617
1997-03-31,412.136
1997-04-30,416.077
1997-05-30,448.525
1997-06-30,473.573
1997-07-31,483.792
1997-08-29,449.245
1997-09-30,474.321
1997-10-31,439.209
1997-11-28,434.898
1997-12-31,438.787
1998-01-30,458.275
1998-02-27,486.493
1998-03-31,500.875
1998-04-30,504.786
1998-05-29,504.396
1998-06-30,508.513
1998-07-31,512.399
1998-08-31,448.575
1998-09-30,437.885
1998-10-30,482.583
1998-11-30,507.994
1998-12-31,527.841
1999-01-29,529.604
1999-02-26,516.855
1999-03-31,540.191
1999-04-30,564.696
1999-05-31,536.79
1999-06-30,560.752
1999-07-30,579.87
1999-08-31,586.627
1999-09-30,597.962
1999-10-29,629.071
1999-11-30,664.975
1999-12-31,727.46
2000-01-31,680.577
2000-02-29,703.88
2000-03-31,725.055
2000-04-28,681.377
2000-05-31,654.291
2000-06-30,679.571
2000-07-31,649.429
2000-08-31,661.346
2000-09-29,625.726
2000-10-31,604.908
2000-11-30,578.837
2000-12-29,592.202
2001-01-31,594.969
2001-02-28,542.507
2001-03-30,505.141
2001-04-30,542.297
2001-05-31,522.627
2001-06-29,501.118
2001-07-31,488.971
2001-08-31,473.495
2001-09-28,429.469
2001-10-31,439.86
2001-11-30,455.003
2001-12-31,455.942
2002-01-31,431.112
2002-02-28,432.472
2002-03-29,457.203
2002-04-30,459.412
2002-05-31,466.145
2002-06-28,446.919
2002-07-31,403.239
2002-08-30,403.458
2002-09-30,359.237
2002-10-31,380.972
2002-11-29,398.249
2002-12-31,385.155
2003-01-31,369.389
2003-02-28,362.872
2003-03-31,355.657
2003-04-30,389.622
2003-05-30,413.42
2003-06-30,423.054
2003-07-31,431.159
2003-08-29,439.819
2003-09-30,452.592
2003-10-31,478.962
2003-11-28,490.674
2003-12-31,529.581
2004-01-30,534.964
2004-02-27,546.47
2004-03-31,547.911
2004-04-30,534.088
2004-05-31,536.268
2004-06-30,546.805
2004-07-30,531.384
2004-08-31,533.505
2004-09-30,548.456
2004-10-29,568.61
2004-11-30,603.737
2004-12-31,628.518
2005-01-31,613.127
2005-02-28,640.576
2005-03-31,626.847
2005-04-29,612.901
2005-05-31,614.53
2005-06-30,624.449
2005-07-29,644.703
2005-08-31,662.375
2005-09-30,693.448
2005-10-31,672.33
2005-11-30,688.338
2005-12-30,718.134
2006-01-31,761.346
2006-02-28,759.067
2006-03-31,781.463
2006-04-28,819.504
2006-05-31,791.147
2006-06-30,791.785
2006-07-31,801.703
2006-08-31,823.719
2006-09-29,821.576
2006-10-31,853.695
2006-11-30,876.694
2006-12-29,900.014
2007-01-31,904.424
2007-02-28,910.53
2007-03-30,931.627
2007-04-30,976.018
2007-05-31,1000.0
2007-06-29,1003.351
2007-07-31,989.759
2007-08-31,977.764
2007-09-28,1036.784
2007-10-31,1082.604
2007-11-30,1047.782
2007-12-31,1028.949
2008-01-31,934.726
2008-02-29,950.203
2008-03-31,935.544
2008-04-30,991.918
2008-05-30,1008.605
2008-06-30,931.521
2008-07-31,901.966
2008-08-29,864.803
2008-09-30,742.621
2008-10-31,592.538
2008-11-28,557.992
2008-12-31,586.672
2009-01-30,530.332
2009-02-27,477.196
2009-03-31,508.448
2009-04-30,573.608
2009-05-29,647.52
2009-06-30,639.899
2009-07-31,701.086
2009-08-31,733.548
2009-09-30,763.013
2009-10-30,752.551
