Date,WORLD ex USA LARGE CAP Large Cap
2001-01-01,607.703
2001-01-02,604.328
2001-01-03,599.855
2001-01-04,606.889
2001-01-05,608.751
2001-01-08,605.575
2001-01-09,594.798
2001-01-10,590.843
2001-01-11,595.085
2001-01-12,597.895
2001-01-15,596.684
2001-01-16,594.297
2001-01-17,602.064
2001-01-18,609.452
2001-01-19,607.355
2001-01-22,608.678
2001-01-23,608.456
2001-01-24,603.754
2001-01-25,604.707
2001-01-26,603.447
2001-01-29,603.878
2001-01-30,606.488
2001-01-31,610.518
2001-02-01,611.271
2001-02-02,603.34
2001-02-05,603.017
2001-02-06,600.778
2001-02-07,595.757
2001-02-08,587.684
2001-02-09,583.842
2001-02-12,589.307
2001-02-13,585.119
2001-02-14,578.976
2001-02-15,578.755
2001-02-16,572.35
2001-02-19,570.965
2001-02-20,564.521
2001-02-21,559.631
2001-02-22,557.167
2001-02-23,552.514
2001-02-26,556.893
2001-02-27,559.478
2001-02-28,556.64
2001-03-01,555.236
2001-03-02,551.64
2001-03-05,553.176
2001-03-06,562.868
2001-03-07,562.531
2001-03-08,561.648
2001-03-09,556.689
2001-03-12,541.307
2001-03-13,529.237
2001-03-14,519.329
2001-03-15,524.552
2001-03-16,512.811
2001-03-19,511.907
2001-03-20,517.852
2001-03-21,516.428
2001-03-22,494.703
2001-03-23,509.426
2001-03-26,527.093
2001-03-27,534.876
2001-03-28,528.123
2001-03-29,518.725
2001-03-30,518.082
2001-04-02,514.258
2001-04-03,507.377
2001-04-04,516.068
2001-04-05,524.454
2001-04-06,525.242
2001-04-09,525.803
2001-04-10,529.074
2001-04-11,531.575
2001-04-12,537.36
2001-04-13,536.937
2001-04-16,531.798
2001-04-17,528.781
2001-04-18,541.666
2001-04-19,550.971
2001-04-20,550.184
2001-04-23,545.982
2001-04-24,544.654
2001-04-25,547.054
2001-04-26,552.671
2001-04-27,554.012
2001-04-30,555.923
2001-05-01,563.384
2001-05-02,564.37
2001-05-03,558.784
2001-05-04,561.648
2001-05-07,564.966
2001-05-08,558.319
2001-05-09,553.529
2001-05-10,557.868
2001-05-11,552.721
2001-05-14,542.857
2001-05-15,550.359
2001-05-16,550.546
2001-05-17,556.644
2001-05-18,555.743
2001-05-21,559.362
2001-05-22,558.519
2001-05-23,554.816
2001-05-24,553.544
2001-05-25,549.453
2001-05-28,549.303
2001-05-29,546.29
2001-05-30,538.566
2001-05-31,535.354
2001-06-01,534.302
2001-06-04,535.8
2001-06-05,538.855
2001-06-06,535.683
2001-06-07,537.647
2001-06-08,535.767
2001-06-11,527.593
2001-06-12,519.391
2001-06-13,522.736
2001-06-14,521.367
2001-06-15,517.768
2001-06-18,512.213
2001-06-19,511.428
2001-06-20,508.085
2001-06-21,511.369
2001-06-22,514.511
2001-06-25,515.306
2001-06-26,510.199
2001-06-27,508.571
2001-06-28,506.968
2001-06-29,513.095
2001-07-02,517.291
2001-07-03,514.053
2001-07-04,509.867
2001-07-05,502.168
