Date,WORLD ex USA VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,116.699
1975-02-28,130.925
1975-03-31,128.492
1975-04-30,133.917
1975-05-30,133.396
1975-06-30,129.612
1975-07-31,124.635
1975-08-29,125.299
1975-09-30,119.834
1975-10-31,129.648
1975-11-28,133.443
1975-12-31,136.565
1976-01-30,146.0
1976-02-27,146.124
1976-03-31,144.337
1976-04-30,144.293
1976-05-31,141.107
1976-06-30,143.466
1976-07-30,141.504
1976-08-31,141.741
1976-09-30,139.818
1976-10-29,131.412
1976-11-30,130.418
1976-12-31,144.803
1977-01-31,144.032
1977-02-28,147.601
1977-03-31,150.239
1977-04-29,154.696
1977-05-31,153.869
1977-06-30,157.483
1977-07-29,157.052
1977-08-31,162.263
1977-09-30,164.865
1977-10-31,168.257
1977-11-30,167.987
1977-12-30,176.56
1978-01-31,177.355
1978-02-28,179.37
1978-03-31,192.573
1978-04-28,191.962
1978-05-31,197.826
1978-06-30,205.587
1978-07-31,222.032
1978-08-31,226.54
1978-09-29,232.456
1978-10-31,245.416
1978-11-30,226.802
1978-12-29,239.116
1979-01-31,242.485
1979-02-28,242.361
1979-03-30,247.4
1979-04-30,247.751
1979-05-31,243.12
1979-06-29,248.102
1979-07-31,249.439
1979-08-31,256.956
1979-09-28,266.528
1979-10-31,242.152
1979-11-30,245.02
1979-12-31,255.753
1980-01-31,269.057
1980-02-29,267.956
1980-03-31,239.868
1980-04-30,260.877
1980-05-30,273.172
1980-06-30,290.083
1980-07-31,290.128
1980-08-29,300.175
1980-09-30,305.68
1980-10-31,312.849
1980-11-28,306.818
1980-12-31,311.866
1981-01-30,309.077
1981-02-27,306.746
1981-03-31,323.983
1981-04-30,339.602
1981-05-29,327.135
1981-06-30,332.754
1981-07-31,319.239
1981-08-31,325.013
1981-09-30,295.053
1981-10-30,299.196
1981-11-30,334.602
1981-12-31,329.321
1982-01-29,324.158
1982-02-26,306.969
1982-03-31,290.25
1982-04-30,308.782
1982-05-31,304.072
1982-06-30,279.271
1982-07-30,274.667
1982-08-31,279.132
1982-09-30,274.705
1982-10-29,280.852
1982-11-30,304.705
1982-12-31,334.182
1983-01-31,335.44
1983-02-28,347.27
1983-03-31,362.822
1983-04-29,385.041
1983-05-31,383.891
1983-06-30,393.562
1983-07-29,392.7
1983-08-31,387.685
1983-09-30,404.033
1983-10-31,402.866
1983-11-30,412.247
1983-12-30,429.568
1984-01-31,448.299
1984-02-29,449.951
1984-03-30,477.173
1984-04-30,469.895
1984-05-31,428.852
1984-06-29,424.431
1984-07-31,400.761
1984-08-31,434.996
1984-09-28,428.345
1984-10-31,431.224
1984-11-30,429.87
1984-12-31,440.389
1985-01-31,453.345
1985-02-28,445.313
1985-03-29,473.517
1985-04-30,476.71
1985-05-31,496.16
1985-06-28,509.543
1985-07-31,535.789
1985-08-30,556.27
1985-09-30,592.917
1985-10-31,631.753
1985-11-29,662.357
1985-12-31,696.197
1986-01-31,711.603
1986-02-28,786.265
1986-03-31,888.541
1986-04-30,960.697
1986-05-30,914.202
1986-06-30,977.218
1986-07-31,1003.493
1986-08-29,1110.862
1986-09-30,1102.399
1986-10-31,1044.396
1986-11-28,1097.526
1986-12-31,1150.654
1987-01-30,1223.24
1987-02-27,1264.971
1987-03-31,1336.525
1987-04-30,1447.834
1987-05-29,1495.457
1987-06-30,1500.266
1987-07-31,1521.364
1987-08-31,1607.342
1987-09-30,1627.486
1987-10-30,1412.756
1987-11-30,1431.22
1987-12-31,1504.141
1988-01-29,1515.213
1988-02-29,1614.275
1988-03-31,1724.414
1988-04-29,1771.86
1988-05-31,1729.444
1988-06-30,1710.071
1988-07-29,1786.197
1988-08-31,1655.66
1988-09-30,1716.347
1988-10-31,1842.688
1988-11-30,1942.52
1988-12-30,1960.392
1989-01-31,2015.044
1989-02-28,2037.185
1989-03-31,2002.172
1989-04-28,2038.102
1989-05-31,1950.958
1989-06-30,1928.682
1989-07-31,2151.572
1989-08-31,2066.797
1989-09-29,2164.365
1989-10-31,2084.085
1989-11-30,2175.199
1989-12-29,2265.785
1990-01-31,2195.603
1990-02-28,2064.653
1990-03-30,1885.345
1990-04-30,1869.898
1990-05-31,2062.337
1990-06-29,2057.626
1990-07-31,2092.678
1990-08-31,1889.156
1990-09-28,1654.613
1990-10-31,1873.408
1990-11-30,1768.773
1990-12-31,1790.562
1991-01-31,1841.421
1991-02-28,2052.523
1991-03-29,1926.681
1991-04-30,1946.484
1991-05-31,1967.362
1991-06-28,1830.682
1991-07-31,1928.029
1991-08-30,1891.085
