Date,WORLD ex USA VALUE Standard (Large+Mid Cap)
2001-01-01,4910.778
2001-01-02,4903.112
2001-01-03,4876.292
2001-01-04,4917.08
2001-01-05,4941.436
2001-01-08,4925.117
2001-01-09,4850.356
2001-01-10,4809.628
2001-01-11,4822.011
2001-01-12,4810.139
2001-01-15,4794.829
2001-01-16,4785.291
2001-01-17,4818.251
2001-01-18,4852.39
2001-01-19,4816.321
2001-01-22,4835.163
2001-01-23,4849.959
2001-01-24,4820.548
2001-01-25,4840.184
2001-01-26,4842.648
2001-01-29,4858.95
2001-01-30,4894.348
2001-01-31,4915.201
2001-02-01,4936.964
2001-02-02,4892.161
2001-02-05,4899.854
2001-02-06,4884.592
2001-02-07,4854.495
2001-02-08,4798.34
2001-02-09,4791.233
2001-02-12,4830.343
2001-02-13,4813.174
2001-02-14,4802.118
2001-02-15,4780.352
2001-02-16,4757.028
2001-02-19,4751.86
2001-02-20,4703.665
2001-02-21,4664.603
2001-02-22,4659.516
2001-02-23,4638.133
2001-02-26,4669.467
2001-02-27,4694.606
2001-02-28,4679.32
2001-03-01,4683.802
2001-03-02,4656.921
2001-03-05,4669.084
2001-03-06,4734.525
2001-03-07,4734.511
2001-03-08,4752.64
2001-03-09,4721.003
2001-03-12,4621.223
2001-03-13,4518.654
2001-03-14,4424.569
2001-03-15,4461.174
2001-03-16,4351.13
2001-03-19,4341.595
2001-03-20,4387.813
2001-03-21,4361.381
2001-03-22,4166.382
2001-03-23,4248.163
2001-03-26,4386.425
2001-03-27,4469.694
2001-03-28,4425.212
2001-03-29,4378.836
2001-03-30,4385.629
2001-04-02,4358.025
2001-04-03,4317.275
2001-04-04,4398.513
2001-04-05,4446.92
2001-04-06,4458.885
2001-04-09,4476.987
2001-04-10,4507.354
2001-04-11,4515.948
2001-04-12,4561.922
2001-04-13,4558.82
2001-04-16,4524.181
2001-04-17,4505.429
2001-04-18,4570.857
2001-04-19,4645.011
2001-04-20,4652.213
2001-04-23,4630.087
2001-04-24,4631.602
2001-04-25,4646.369
2001-04-26,4684.693
2001-04-27,4695.85
2001-04-30,4695.111
2001-05-01,4746.556
2001-05-02,4737.876
2001-05-03,4692.573
2001-05-04,4722.356
2001-05-07,4738.42
2001-05-08,4681.008
2001-05-09,4662.194
2001-05-10,4702.744
2001-05-11,4671.013
2001-05-14,4599.948
2001-05-15,4660.362
2001-05-16,4673.071
2001-05-17,4709.6
2001-05-18,4708.145
2001-05-21,4740.314
2001-05-22,4719.263
2001-05-23,4688.545
2001-05-24,4683.272
2001-05-25,4661.332
2001-05-28,4658.868
2001-05-29,4635.685
2001-05-30,4592.101
2001-05-31,4574.109
2001-06-01,4564.893
2001-06-04,4577.145
2001-06-05,4603.394
2001-06-06,4574.491
2001-06-07,4586.496
2001-06-08,4574.36
2001-06-11,4517.784
2001-06-12,4479.84
2001-06-13,4517.526
2001-06-14,4501.723
2001-06-15,4479.232
2001-06-18,4439.72
2001-06-19,4436.343
2001-06-20,4400.739
2001-06-21,4419.064
2001-06-22,4442.953
2001-06-25,4463.903
2001-06-26,4425.145
2001-06-27,4410.044
2001-06-28,4389.618
2001-06-29,4428.162
2001-07-02,4465.185
2001-07-03,4442.713
2001-07-04,4423.601
2001-07-05,4378.005
2001-07-06,4314.15
2001-07-09,4319.616
2001-07-10,4337.724
2001-07-11,4307.126
2001-07-12,4333.401
2001-07-13,4345.949
2001-07-16,4341.622
2001-07-17,4287.934
2001-07-18,4297.374
2001-07-19,4322.501
2001-07-20,4316.437
2001-07-23,4281.833
2001-07-24,4272.316
2001-07-25,4260.068
2001-07-26,4270.723
2001-07-27,4308.463
2001-07-30,4324.987
2001-07-31,4375.924
2001-08-01,4406.235
2001-08-02,4440.394
2001-08-03,4420.844
2001-08-06,4403.349
2001-08-07,4405.35
2001-08-08,4368.215
2001-08-09,4335.847
2001-08-10,4338.762
2001-08-13,4351.884
2001-08-14,4423.209
2001-08-15,4470.815
2001-08-16,4437.965
2001-08-17,4403.543
2001-08-20,4378.367
2001-08-21,4420.261
2001-08-22,4455.494
2001-08-23,4424.852
2001-08-24,4463.642
2001-08-27,4468.756
2001-08-28,4428.137
2001-08-29,4416.33
2001-08-30,4341.934
2001-08-31,4346.622
2001-09-03,4288.964
2001-09-04,4305.265
2001-09-05,4249.947
2001-09-06,4192.025
2001-09-07,4145.949
2001-09-10,4071.846
2001-09-11,3955.623
2001-09-12,3886.643
2001-09-13,3939.988
2001-09-14,3869.2
2001-09-17,3883.187
2001-09-18,3875.762
2001-09-19,3846.964
2001-09-20,3721.347
2001-09-21,3591.9
2001-09-24,3709.623
2001-09-25,3757.814
2001-09-26,3782.215
2001-09-27,3805.177
2001-09-28,3888.252
2001-10-01,3860.765
2001-10-02,3904.739
2001-10-03,3905.848
2001-10-04,3997.029
2001-10-05,3990.489
2001-10-08,3983.796
2001-10-09,3954.62
2001-10-10,3984.228
2001-10-11,4008.494
2001-10-12,4023.803
2001-10-15,3962.593
2001-10-16,3993.279
2001-10-17,4048.197
2001-10-18,3971.508
2001-10-19,3897.707
2001-10-22,3911.671
2001-10-23,3982.049
2001-10-24,3999.65
2001-10-25,3974.006
2001-10-26,4020.595
2001-10-29,3985.407
2001-10-30,3925.402
2001-10-31,3930.036
2001-11-01,3961.257
2001-11-02,3954.535
2001-11-05,3987.971
2001-11-06,3992.638
2001-11-07,4005.768
2001-11-08,4049.292
2001-11-09,4022.207
2001-11-12,3964.804
2001-11-13,3995.506
2001-11-14,3985.634
2001-11-15,3984.334
2001-11-16,4018.799
2001-11-19,4051.921
2001-11-20,4040.978
2001-11-21,4020.894
2001-11-22,4048.802
2001-11-23,4031.29
2001-11-26,4047.443
2001-11-27,4027.043
2001-11-28,3987.316
2001-11-29,3990.414
2001-11-30,4029.685
2001-12-03,3972.114
2001-12-04,4000.189
2001-12-05,4109.957
2001-12-06,4150.693
2001-12-07,4111.415
2001-12-10,4029.956
2001-12-11,4016.933
2001-12-12,4030.789
2001-12-13,3962.281
2001-12-14,3949.227
2001-12-17,4012.255
2001-12-18,4006.245
2001-12-19,3968.397
2001-12-20,3947.666
2001-12-21,3955.155
2001-12-24,3940.941
2001-12-25,3940.347
2001-12-26,3938.964
2001-12-27,4013.465
2001-12-28,4031.82
2001-12-31,4053.066
2002-01-01,4053.066
2002-01-02,4056.061
2002-01-03,4110.891
2002-01-04,4138.252
2002-01-07,4113.312
2002-01-08,4063.491
2002-01-09,4044.942
2002-01-10,4015.133
2002-01-11,4016.835
2002-01-14,3963.358
2002-01-15,3961.641
2002-01-16,3903.483
2002-01-17,3931.391
2002-01-18,3934.959
2002-01-21,3923.562
2002-01-22,3897.39
2002-01-23,3907.025
2002-01-24,3933.453
2002-01-25,3898.001
2002-01-28,3922.625
2002-01-29,3867.492
2002-01-30,3817.868
2002-01-31,3853.3
2002-02-01,3845.507
2002-02-04,3815.416
2002-02-05,3751.652
2002-02-06,3711.326
2002-02-07,3750.259
2002-02-08,3773.438
2002-02-11,3823.332
2002-02-12,3821.511
2002-02-13,3834.552
2002-02-14,3869.293
2002-02-15,3853.498
2002-02-18,3834.747
2002-02-19,3758.387
2002-02-20,3724.118
2002-02-21,3770.426
2002-02-22,3758.994
2002-02-25,3783.491
2002-02-26,3795.41
2002-02-27,3845.337
2002-02-28,3850.268
2002-03-01,3900.737
2002-03-04,4044.469
2002-03-05,4032.721
2002-03-06,4071.826
2002-03-07,4155.013
2002-03-08,4159.968
2002-03-11,4159.389
2002-03-12,4092.992
2002-03-13,4081.991
2002-03-14,4119.45
2002-03-15,4159.868
2002-03-18,4151.152
2002-03-19,4182.084
2002-03-20,4152.008
2002-03-21,4134.883
2002-03-22,4114.682
2002-03-25,4076.741
2002-03-26,4082.165
2002-03-27,4086.06
2002-03-28,4128.407
2002-03-29,4110.104
2002-04-01,4127.969
2002-04-02,4126.514
2002-04-03,4140.735
2002-04-04,4126.437
2002-04-05,4114.645
2002-04-08,4054.079
2002-04-09,4045.217
2002-04-10,4087.193
2002-04-11,4042.004
2002-04-12,4029.156
2002-04-15,4069.264
2002-04-16,4144.143
2002-04-17,4178.022
2002-04-18,4182.167
2002-04-19,4184.031
2002-04-22,4173.23
2002-04-23,4159.273
2002-04-24,4155.655
2002-04-25,4151.904
2002-04-26,4126.617
2002-04-29,4126.968
2002-04-30,4139.336
2002-05-01,4154.459
2002-05-02,4148.009
2002-05-03,4164.466
2002-05-06,4155.335
2002-05-07,4097.83
2002-05-08,4161.26
2002-05-09,4159.755
2002-05-10,4142.855
2002-05-13,4157.675
2002-05-14,4166.058
2002-05-15,4222.31
2002-05-16,4234.576
2002-05-17,4280.168
2002-05-20,4268.82
2002-05-21,4261.552
2002-05-22,4258.948
2002-05-23,4254.285
2002-05-24,4275.772
2002-05-27,4264.065
2002-05-28,4260.769
2002-05-29,4259.929
2002-05-30,4234.31
2002-05-31,4235.037
2002-06-03,4238.381
2002-06-04,4189.984
2002-06-05,4141.875
2002-06-06,4147.473
2002-06-07,4099.543
2002-06-10,4093.176
2002-06-11,4117.416
2002-06-12,4066.413
2002-06-13,4009.381
