Date,WORLD ex USA VALUE Standard (Large+Mid Cap)
2001-01-01,4138.84
2001-01-02,4132.275
2001-01-03,4109.672
2001-01-04,4144.039
2001-01-05,4164.564
2001-01-08,4150.809
2001-01-09,4087.798
2001-01-10,4053.432
2001-01-11,4063.786
2001-01-12,4053.781
2001-01-15,4040.874
2001-01-16,4032.835
2001-01-17,4060.612
2001-01-18,4089.383
2001-01-19,4058.986
2001-01-22,4074.836
2001-01-23,4087.303
2001-01-24,4062.518
2001-01-25,4079.065
2001-01-26,4081.119
2001-01-29,4094.856
2001-01-30,4124.681
2001-01-31,4142.235
2001-02-01,4160.575
2001-02-02,4122.818
2001-02-05,4129.289
2001-02-06,4116.427
2001-02-07,4091.056
2001-02-08,4043.732
2001-02-09,4037.739
2001-02-12,4070.671
2001-02-13,4056.203
2001-02-14,4046.886
2001-02-15,4028.53
2001-02-16,4008.837
2001-02-19,4004.476
2001-02-20,3963.838
2001-02-21,3930.903
2001-02-22,3926.602
2001-02-23,3908.57
2001-02-26,3934.962
2001-02-27,3956.14
2001-02-28,3943.245
2001-03-01,3947.016
2001-03-02,3924.364
2001-03-05,3934.517
2001-03-06,3989.663
2001-03-07,3989.64
2001-03-08,4004.899
2001-03-09,3978.22
2001-03-12,3894.138
2001-03-13,3807.706
2001-03-14,3728.372
2001-03-15,3759.214
2001-03-16,3666.485
2001-03-19,3658.432
2001-03-20,3697.359
2001-03-21,3675.078
2001-03-22,3510.713
2001-03-23,3579.519
2001-03-26,3695.972
2001-03-27,3765.264
2001-03-28,3727.654
2001-03-29,3688.563
2001-03-30,3694.146
2001-04-02,3670.867
2001-04-03,3636.539
2001-04-04,3704.932
2001-04-05,3745.691
2001-04-06,3755.485
2001-04-09,3770.67
2001-04-10,3796.158
2001-04-11,3803.083
2001-04-12,3841.293
2001-04-13,3838.682
2001-04-16,3809.514
2001-04-17,3793.723
2001-04-18,3848.813
2001-04-19,3910.942
2001-04-20,3916.949
2001-04-23,3898.301
2001-04-24,3899.56
2001-04-25,3911.727
2001-04-26,3943.863
2001-04-27,3952.79
2001-04-30,3952.169
2001-05-01,3995.46
2001-05-02,3987.675
2001-05-03,3949.526
2001-05-04,3974.438
2001-05-07,3987.899
2001-05-08,3939.57
2001-05-09,3923.609
2001-05-10,3957.673
2001-05-11,3930.761
2001-05-14,3870.524
2001-05-15,3921.333
2001-05-16,3931.988
2001-05-17,3962.574
2001-05-18,3960.787
2001-05-21,3987.075
2001-05-22,3969.307
2001-05-23,3943.014
2001-05-24,3938.578
2001-05-25,3920.093
2001-05-28,3917.93
2001-05-29,3897.928
2001-05-30,3860.873
2001-05-31,3845.689
2001-06-01,3837.869
2001-06-04,3848.148
2001-06-05,3870.151
2001-06-06,3845.616
2001-06-07,3855.692
2001-06-08,3845.145
2001-06-11,3797.352
2001-06-12,3765.434
2001-06-13,3797.069
2001-06-14,3783.727
2001-06-15,3764.82
2001-06-18,3730.924
2001-06-19,3728.058
2001-06-20,3698.098
2001-06-21,3713.451
2001-06-22,3733.526
2001-06-25,3751.086
2001-06-26,3718.459
2001-06-27,3705.728
2001-06-28,3688.525
2001-06-29,3720.907
2001-07-02,3751.811
2001-07-03,3732.926
2001-07-04,3716.84
2001-07-05,3678.529
2001-07-06,3624.878
2001-07-09,3629.467
2001-07-10,3644.641
2001-07-11,3618.931
2001-07-12,3640.956
2001-07-13,3651.483
2001-07-16,3647.847
2001-07-17,3602.738
2001-07-18,3610.67
2001-07-19,3631.782
2001-07-20,3626.687
2001-07-23,3597.572
2001-07-24,3589.576
2001-07-25,3579.284
2001-07-26,3588.226
2001-07-27,3619.929
2001-07-30,3633.804
2001-07-31,3676.601
2001-08-01,3702.047
2001-08-02,3730.747
2001-08-03,3714.026
2001-08-06,3699.328
2001-08-07,3700.997
2001-08-08,3669.778
2001-08-09,3642.585
2001-08-10,3645.034
2001-08-13,3656.058
2001-08-14,3715.95
2001-08-15,3755.486
2001-08-16,3727.892
2001-08-17,3698.802
2001-08-20,3677.656
2001-08-21,3712.845
2001-08-22,3742.436
2001-08-23,3716.691
2001-08-24,3749.268
2001-08-27,3753.241
2001-08-28,3719.123
2001-08-29,3709.182
2001-08-30,3646.693
2001-08-31,3650.62
2001-09-03,3602.148
2001-09-04,3615.831
2001-09-05,3569.358
2001-09-06,3520.712
2001-09-07,3481.992
2001-09-10,3419.748
2001-09-11,3322.137
2001-09-12,3264.203
2001-09-13,3308.966
2001-09-14,3249.515
2001-09-17,3261.238
2001-09-18,3255.003
2001-09-19,3230.816
2001-09-20,3125.319
2001-09-21,3016.605
2001-09-24,3115.453
2001-09-25,3155.272
2001-09-26,3175.712
2001-09-27,3194.992
2001-09-28,3264.721
2001-10-01,3241.642
2001-10-02,3278.564
2001-10-03,3279.484
2001-10-04,3356.042
2001-10-05,3350.546
2001-10-08,3344.923
2001-10-09,3320.426
2001-10-10,3345.245
2001-10-11,3365.616
2001-10-12,3378.471
2001-10-15,3327.077
2001-10-16,3352.867
2001-10-17,3399.446
2001-10-18,3335.046
2001-10-19,3273.073
2001-10-22,3284.764
2001-10-23,3343.859
2001-10-24,3358.64
2001-10-25,3337.103
2001-10-26,3376.213
2001-10-29,3346.653
2001-10-30,3296.26
2001-10-31,3300.131
2001-11-01,3326.348
2001-11-02,3320.703
2001-11-05,3348.778
2001-11-06,3352.697
2001-11-07,3363.722
2001-11-08,3400.271
2001-11-09,3377.527
2001-11-12,3329.326
2001-11-13,3355.107
2001-11-14,3346.818
2001-11-15,3345.725
2001-11-16,3374.657
2001-11-19,3402.289
2001-11-20,3393.097
2001-11-21,3376.236
2001-11-22,3399.67
2001-11-23,3384.966
2001-11-26,3398.514
