Date,DENMARK SMALL VALUE Small Cap
1994-05-31,107.305
1994-06-30,111.763
1994-07-29,115.867
1994-08-31,111.409
1994-09-30,111.413
1994-10-31,114.436
1994-11-30,109.162
1994-12-30,111.75
1995-01-31,116.74
1995-02-28,120.864
1995-03-31,122.005
1995-04-28,123.211
1995-05-31,127.761
1995-06-30,127.49
1995-07-31,135.469
1995-08-31,128.247
1995-09-29,128.257
1995-10-31,125.704
1995-11-30,122.665
1995-12-29,123.3
1996-01-31,122.413
1996-02-29,123.541
1996-03-29,121.435
1996-04-30,122.408
1996-05-31,126.246
1996-06-28,128.519
1996-07-31,131.589
1996-08-30,139.771
1996-09-30,142.516
1996-10-31,149.574
1996-11-29,150.304
1996-12-31,153.255
1997-01-31,157.807
1997-02-28,159.972
1997-03-31,161.845
1997-04-30,158.02
1997-05-30,165.826
1997-06-30,166.637
1997-07-31,167.699
1997-08-29,162.852
1997-09-30,169.639
1997-10-31,171.141
1997-11-28,166.626
1997-12-31,167.203
1998-01-30,172.137
1998-02-27,171.916
1998-03-31,176.533
1998-04-30,179.136
1998-05-29,182.455
1998-06-30,175.756
1998-07-31,175.534
1998-08-31,153.554
1998-09-30,147.731
1998-10-30,146.327
1998-11-30,139.225
1998-12-31,142.108
1999-01-29,148.037
1999-02-26,138.353
1999-03-31,131.663
1999-04-30,135.833
1999-05-31,138.015
1999-06-30,139.985
1999-07-30,146.624
1999-08-31,145.919
1999-09-30,145.702
1999-10-29,143.027
1999-11-30,134.765
1999-12-31,136.118
2000-01-31,136.545
2000-02-29,141.159
2000-03-31,146.96
2000-04-28,138.908
2000-05-31,144.641
2000-06-30,148.387
2000-07-31,152.669
2000-08-31,153.359
2000-09-29,153.491
2000-10-31,149.626
2000-11-30,144.736
2000-12-29,153.258
2001-01-31,161.338
2001-02-28,157.121
2001-03-30,143.191
2001-04-30,151.812
2001-05-31,149.964
2001-06-29,140.558
2001-07-31,141.901
2001-08-31,136.133
2001-09-28,126.945
2001-10-31,126.855
2001-11-30,123.372
2001-12-31,127.103
2002-01-31,134.067
2002-02-28,136.22
2002-03-29,142.337
2002-04-30,153.381
2002-05-31,161.281
2002-06-28,161.058
2002-07-31,152.788
2002-08-30,155.927
2002-09-30,148.023
2002-10-31,145.115
2002-11-29,148.165
2002-12-31,159.484
2003-01-31,160.944
2003-02-28,158.614
2003-03-31,162.791
2003-04-30,183.956
2003-05-30,201.61
2003-06-30,210.059
2003-07-31,205.891
2003-08-29,216.371
2003-09-30,226.684
2003-10-31,242.306
2003-11-28,247.678
2003-12-31,271.468
2004-01-30,293.088
2004-02-27,300.807
2004-03-31,297.406
2004-04-30,290.857
2004-05-31,297.97
2004-06-30,317.509
2004-07-30,312.427
2004-08-31,317.181
2004-09-30,339.361
2004-10-29,357.534
2004-11-30,410.077
2004-12-31,426.368
2005-01-31,424.697
2005-02-28,455.595
2005-03-31,457.652
2005-04-29,453.898
2005-05-31,473.525
2005-06-30,485.766
2005-07-29,508.126
2005-08-31,510.082
2005-09-30,523.616
2005-10-31,493.413
2005-11-30,510.915
2005-12-30,544.611
2006-01-31,574.031
2006-02-28,593.884
2006-03-31,661.58
2006-04-28,716.36
2006-05-31,684.372
2006-06-30,663.631
2006-07-31,665.291
2006-08-31,690.199
2006-09-29,697.342
2006-10-31,745.848
2006-11-30,838.878
2006-12-29,869.315
2007-01-31,888.001
2007-02-28,888.726
2007-03-30,928.917
2007-04-30,1001.469
2007-05-31,1000.0
2007-06-29,973.136
2007-07-31,1006.411
2007-08-31,967.633
2007-09-28,989.513
2007-10-31,1043.343
2007-11-30,902.594
2007-12-31,860.866
2008-01-31,717.738
2008-02-29,774.041
2008-03-31,797.713
2008-04-30,811.435
2008-05-30,804.844
2008-06-30,710.093
2008-07-31,663.516
2008-08-29,632.877
2008-09-30,473.046
2008-10-31,311.93
2008-11-28,259.479
2008-12-31,271.536
2009-01-30,268.329
2009-02-27,233.564
2009-03-31,231.973
2009-04-30,285.074
2009-05-29,344.86
2009-06-30,336.613
2009-07-31,394.156
2009-08-31,423.936
2009-09-30,462.629
2009-10-30,460.701
2009-11-30,452.385
2009-12-31,476.067
2010-01-29,484.635
2010-02-26,468.956
2010-03-31,507.456
2010-04-30,511.755
2010-05-31,419.688
2010-06-30,416.822
2010-07-30,466.14
2010-08-31,446.475
2010-09-30,527.399
2010-10-29,545.5
2010-11-30,499.366
2010-12-31,574.592
