Date,DENMARK SMALL VALUE Small Cap
2001-01-01,158.732
2001-01-02,161.607
2001-01-03,161.636
2001-01-04,162.999
2001-01-05,164.761
2001-01-08,164.113
2001-01-09,161.129
2001-01-10,161.372
2001-01-11,163.601
2001-01-12,163.772
2001-01-15,164.014
2001-01-16,165.086
2001-01-17,163.946
2001-01-18,167.679
2001-01-19,166.91
2001-01-22,167.382
2001-01-23,169.241
2001-01-24,166.401
2001-01-25,164.909
2001-01-26,165.934
2001-01-29,165.342
2001-01-30,166.82
2001-01-31,167.1
2001-02-01,168.374
2001-02-02,167.805
2001-02-05,168.768
2001-02-06,168.439
2001-02-07,168.077
2001-02-08,167.052
2001-02-09,167.607
2001-02-12,167.635
2001-02-13,165.722
2001-02-14,164.263
2001-02-15,162.11
2001-02-16,164.689
2001-02-19,166.051
2001-02-20,164.346
2001-02-21,163.7
2001-02-22,161.425
2001-02-23,161.002
2001-02-26,161.425
2001-02-27,162.829
2001-02-28,162.733
2001-03-01,163.381
2001-03-02,164.369
2001-03-05,163.279
2001-03-06,164.075
2001-03-07,164.516
2001-03-08,166.447
2001-03-09,166.294
2001-03-12,164.716
2001-03-13,160.345
2001-03-14,155.943
2001-03-15,155.654
2001-03-16,154.146
2001-03-19,153.197
2001-03-20,154.536
2001-03-21,151.812
2001-03-22,146.437
2001-03-23,147.699
2001-03-26,148.841
2001-03-27,148.448
2001-03-28,147.698
2001-03-29,146.9
2001-03-30,148.246
2001-04-02,148.095
2001-04-03,147.911
2001-04-04,148.811
2001-04-05,148.053
2001-04-06,149.266
2001-04-09,148.98
2001-04-10,146.816
2001-04-11,147.964
2001-04-12,148.444
2001-04-13,148.444
2001-04-16,148.639
2001-04-17,149.062
2001-04-18,149.102
2001-04-19,152.432
2001-04-20,155.273
2001-04-23,153.192
2001-04-24,153.522
2001-04-25,154.157
2001-04-26,155.965
2001-04-27,156.121
2001-04-30,156.972
2001-05-01,158.407
2001-05-02,158.447
2001-05-03,159.505
2001-05-04,158.687
2001-05-07,160.062
2001-05-08,159.389
2001-05-09,159.103
2001-05-10,159.2
2001-05-11,157.93
2001-05-14,157.184
2001-05-15,158.872
2001-05-16,159.033
2001-05-17,158.427
2001-05-18,157.81
2001-05-21,159.079
2001-05-22,159.043
2001-05-23,157.475
2001-05-24,156.893
2001-05-25,157.279
2001-05-28,158.253
2001-05-29,155.999
2001-05-30,155.99
2001-05-31,154.57
2001-06-01,153.393
2001-06-04,153.605
2001-06-05,153.664
2001-06-06,155.099
2001-06-07,154.798
2001-06-08,154.09
2001-06-11,151.536
2001-06-12,152.196
2001-06-13,153.122
2001-06-14,152.131
2001-06-15,150.139
2001-06-18,149.459
2001-06-19,147.78
2001-06-20,145.768
2001-06-21,146.067
2001-06-22,145.964
2001-06-25,145.398
2001-06-26,145.03
2001-06-27,144.655
2001-06-28,142.994
2001-06-29,144.859
2001-07-02,144.469
2001-07-03,144.752
2001-07-04,144.937
2001-07-05,143.572
2001-07-06,142.978
2001-07-09,144.055
2001-07-10,145.757
2001-07-11,145.573
2001-07-12,144.463
2001-07-13,143.99
2001-07-16,145.026
2001-07-17,143.963
2001-07-18,147.491
2001-07-19,147.445
2001-07-20,147.477
2001-07-23,146.338
2001-07-24,147.489
2001-07-25,147.121
2001-07-26,146.447
2001-07-27,146.028
2001-07-30,146.104
2001-07-31,146.234
2001-08-01,147.974
