Date,DENMARK SMALL VALUE Small Cap
1994-05-31,113.829
1994-06-30,118.557
1994-07-29,122.912
1994-08-31,118.167
1994-09-30,118.172
1994-10-31,121.367
1994-11-30,115.773
1994-12-30,118.502
1995-01-31,123.793
1995-02-28,128.167
1995-03-31,129.304
1995-04-28,130.303
1995-05-31,134.796
1995-06-30,134.481
1995-07-31,142.898
1995-08-31,135.259
1995-09-29,135.255
1995-10-31,132.563
1995-11-30,129.359
1995-12-29,130.027
1996-01-31,129.092
1996-02-29,130.282
1996-03-29,127.99
1996-04-30,128.837
1996-05-31,132.511
1996-06-28,134.897
1996-07-31,138.119
1996-08-30,146.694
1996-09-30,149.557
1996-10-31,156.963
1996-11-29,157.73
1996-12-31,160.806
1997-01-31,165.582
1997-02-28,167.854
1997-03-31,169.74
1997-04-30,165.512
1997-05-30,173.331
1997-06-30,174.159
1997-07-31,175.269
1997-08-29,170.192
1997-09-30,177.266
1997-10-31,178.836
1997-11-28,174.118
1997-12-31,174.7
1998-01-30,179.856
1998-02-27,179.624
1998-03-31,184.388
1998-04-30,186.902
1998-05-29,189.912
1998-06-30,182.926
1998-07-31,182.694
1998-08-31,159.818
1998-09-30,153.758
1998-10-30,152.297
1998-11-30,144.905
1998-12-31,147.905
1999-01-29,154.076
1999-02-26,143.997
1999-03-31,136.998
1999-04-30,141.057
1999-05-31,143.324
1999-06-30,145.369
1999-07-30,152.264
1999-08-31,151.532
1999-09-30,151.227
1999-10-29,148.451
1999-11-30,139.875
1999-12-31,141.27
2000-01-31,141.713
2000-02-29,146.502
2000-03-31,152.476
2000-04-28,143.978
2000-05-31,149.896
2000-06-30,153.777
2000-07-31,158.215
2000-08-31,158.93
2000-09-29,158.993
2000-10-31,154.99
2000-11-30,149.925
2000-12-29,158.732
2001-01-31,167.1
2001-02-28,162.733
2001-03-30,148.246
2001-04-30,156.972
2001-05-31,154.57
2001-06-29,144.859
2001-07-31,146.234
2001-08-31,140.289
2001-09-28,130.732
