Date,DENMARK SMALL VALUE Small Cap
2001-01-01,153.258
2001-01-02,156.034
2001-01-03,156.062
2001-01-04,157.378
2001-01-05,159.079
2001-01-08,158.454
2001-01-09,155.573
2001-01-10,155.807
2001-01-11,157.959
2001-01-12,158.124
2001-01-15,158.358
2001-01-16,159.393
2001-01-17,158.293
2001-01-18,161.896
2001-01-19,161.154
2001-01-22,161.609
2001-01-23,163.405
2001-01-24,160.663
2001-01-25,159.222
2001-01-26,160.212
2001-01-29,159.64
2001-01-30,161.068
2001-01-31,161.338
2001-02-01,162.568
2001-02-02,162.018
2001-02-05,162.948
2001-02-06,162.63
2001-02-07,162.281
2001-02-08,161.292
2001-02-09,161.828
2001-02-12,161.854
2001-02-13,160.007
2001-02-14,158.598
2001-02-15,156.519
2001-02-16,159.009
2001-02-19,160.325
2001-02-20,158.678
2001-02-21,158.055
2001-02-22,155.858
2001-02-23,155.45
2001-02-26,155.858
2001-02-27,157.214
2001-02-28,157.121
2001-03-01,157.747
2001-03-02,158.701
2001-03-05,157.649
2001-03-06,158.417
2001-03-07,158.843
2001-03-08,160.707
2001-03-09,160.625
2001-03-12,159.1
2001-03-13,154.878
2001-03-14,150.627
2001-03-15,150.347
2001-03-16,148.89
2001-03-19,147.974
2001-03-20,149.268
2001-03-21,146.636
2001-03-22,141.444
2001-03-23,142.663
2001-03-26,143.767
2001-03-27,143.386
2001-03-28,142.663
2001-03-29,141.891
2001-03-30,143.191
2001-04-02,143.046
2001-04-03,142.868
2001-04-04,143.737
2001-04-05,143.005
2001-04-06,144.177
2001-04-09,143.9
2001-04-10,141.81
2001-04-11,142.919
2001-04-12,143.383
2001-04-13,143.383
2001-04-16,143.571
2001-04-17,143.98
2001-04-18,144.018
2001-04-19,147.342
2001-04-20,150.089
2001-04-23,148.077
2001-04-24,148.396
2001-04-25,149.026
2001-04-26,150.774
2001-04-27,150.959
2001-04-30,151.812
2001-05-01,153.201
2001-05-02,153.339
2001-05-03,154.418
2001-05-04,153.626
2001-05-07,154.957
2001-05-08,154.306
2001-05-09,154.029
2001-05-10,154.123
2001-05-11,152.893
2001-05-14,152.336
2001-05-15,153.978
2001-05-16,154.135
2001-05-17,153.548
2001-05-18,152.95
2001-05-21,154.179
2001-05-22,154.188
2001-05-23,152.745
2001-05-24,152.181
2001-05-25,152.555
2001-05-28,153.5
2001-05-29,151.314
2001-05-30,151.341
2001-05-31,149.964
2001-06-01,148.822
2001-06-04,149.028
2001-06-05,149.085
2001-06-06,150.477
2001-06-07,150.185
2001-06-08,149.498
2001-06-11,147.02
2001-06-12,147.661
2001-06-13,148.559
2001-06-14,147.597
2001-06-15,145.68
2001-06-18,145.021
2001-06-19,143.392
2001-06-20,141.439
2001-06-21,141.73
2001-06-22,141.629
2001-06-25,141.08
2001-06-26,140.723
2001-06-27,140.36
2001-06-28,138.748
2001-06-29,140.558
2001-07-02,140.179
2001-07-03,140.454
2001-07-04,140.634
2001-07-05,139.309
2001-07-06,138.733
2001-07-09,139.778
2001-07-10,141.429
2001-07-11,141.259
2001-07-12,140.182
2001-07-13,139.724
2001-07-16,140.728
2001-07-17,139.697
2001-07-18,143.121
2001-07-19,143.076
2001-07-20,143.107
2001-07-23,142.002
2001-07-24,143.118
2001-07-25,142.762
2001-07-26,142.107
2001-07-27,141.701
2001-07-30,141.775
2001-07-31,141.901
2001-08-01,143.589
2001-08-02,144.184
2001-08-03,144.474
2001-08-06,142.658
2001-08-07,141.976
2001-08-08,142.126
2001-08-09,142.026
2001-08-10,142.948
2001-08-13,143.484
2001-08-14,144.146
2001-08-15,145.239
2001-08-16,144.265
2001-08-17,144.983
2001-08-20,143.955
2001-08-21,143.999
2001-08-22,144.771
2001-08-23,142.878
2001-08-24,141.85
2001-08-27,142.39
2001-08-28,141.244
2001-08-29,141.044
2001-08-30,138.142
2001-08-31,136.133
2001-09-03,134.401
2001-09-04,131.958
2001-09-05,132.25
2001-09-06,133.003
2001-09-07,134.625
2001-09-10,133.802
2001-09-11,132.978
2001-09-12,131.895
2001-09-13,132.321
2001-09-14,132.74
2001-09-17,130.875
2001-09-18,129.604
2001-09-19,131.381
2001-09-20,126.596
2001-09-21,121.17
2001-09-24,123.187
2001-09-25,124.256
2001-09-26,125.743
2001-09-27,125.557
2001-09-28,126.945
2001-10-01,126.879
2001-10-02,128.63
2001-10-03,127.714
2001-10-04,129.214
2001-10-05,130.0
2001-10-08,129.607
2001-10-09,130.212
2001-10-10,129.926
2001-10-11,131.634
2001-10-12,132.11
2001-10-15,131.783
2001-10-16,131.535
2001-10-17,131.423
2001-10-18,129.824
2001-10-19,127.776
2001-10-22,127.586
2001-10-23,127.14
2001-10-24,127.815
2001-10-25,128.036
2001-10-26,127.914
2001-10-29,128.642
2001-10-30,127.636
2001-10-31,126.855
2001-11-01,127.592
2001-11-02,125.86
2001-11-05,123.933
2001-11-06,123.819
2001-11-07,124.377
2001-11-08,123.181
2001-11-09,123.664
2001-11-12,121.654
2001-11-13,120.911
2001-11-14,120.436
2001-11-15,121.478
2001-11-16,122.105
2001-11-19,121.653
2001-11-20,122.039
2001-11-21,120.075
2001-11-22,120.43
2001-11-23,121.355
2001-11-26,121.465
2001-11-27,121.76
2001-11-28,122.781
2001-11-29,121.622
2001-11-30,123.372
2001-12-03,122.153
2001-12-04,121.58
2001-12-05,121.753
2001-12-06,122.967
2001-12-07,123.502
2001-12-10,122.734
2001-12-11,122.466
2001-12-12,123.566
2001-12-13,123.673
2001-12-14,124.706
2001-12-17,124.675
2001-12-18,123.55
2001-12-19,123.386
2001-12-20,125.477
2001-12-21,125.501
2001-12-24,124.282
2001-12-25,124.282
2001-12-26,124.386
2001-12-27,126.884
2001-12-28,125.871
2001-12-31,127.103
2002-01-01,127.103
2002-01-02,129.508
2002-01-03,129.3
2002-01-04,128.772
2002-01-07,129.305
2002-01-08,128.755
2002-01-09,129.2
2002-01-10,129.609
2002-01-11,130.805
2002-01-14,131.133
2002-01-15,130.256
2002-01-16,128.796
2002-01-17,128.969
2002-01-18,130.111
2002-01-21,131.187
2002-01-22,133.274
2002-01-23,133.305
2002-01-24,132.928
2002-01-25,129.796
2002-01-28,133.367
2002-01-29,133.743
2002-01-30,133.967
2002-01-31,134.067
2002-02-01,135.117
2002-02-04,135.453
2002-02-05,134.358
2002-02-06,135.322
2002-02-07,135.596
2002-02-08,137.013
2002-02-11,136.797
2002-02-12,136.764
2002-02-13,135.833
2002-02-14,136.183
2002-02-15,137.179
2002-02-18,136.174
2002-02-19,135.324
2002-02-20,134.625
2002-02-21,134.839
2002-02-22,135.979
2002-02-25,136.206
2002-02-26,135.439
2002-02-27,135.771
2002-02-28,136.22
2002-03-01,136.819
2002-03-04,137.785
