Date,NEW ZEALAND MID CAP Mid Cap
1994-05-31,162.987
1994-06-30,147.726
1994-07-29,148.78
1994-08-31,152.03
1994-09-30,142.452
1994-10-31,143.337
1994-11-30,150.761
1994-12-30,158.9
1995-01-31,158.429
1995-02-28,159.946
1995-03-31,167.766
1995-04-28,181.905
1995-05-31,191.353
1995-06-30,183.845
1995-07-31,188.13
1995-08-31,186.035
1995-09-29,187.969
1995-10-31,199.881
1995-11-30,200.176
1995-12-29,206.502
1996-01-31,208.506
1996-02-29,205.791
1996-03-29,229.635
1996-04-30,241.609
1996-05-31,229.955
1996-06-28,243.528
1996-07-31,246.619
1996-08-30,252.124
1996-09-30,252.404
1996-10-31,267.122
1996-11-29,272.818
1996-12-31,271.391
1997-01-31,266.161
1997-02-28,268.393
1997-03-31,267.11
1997-04-30,268.989
1997-05-30,271.245
1997-06-30,270.724
1997-07-31,278.278
1997-08-29,269.971
1997-09-30,281.74
1997-10-31,257.438
1997-11-28,249.503
1997-12-31,239.442
1998-01-30,236.808
1998-02-27,234.564
1998-03-31,228.734
1998-04-30,228.607
1998-05-29,210.227
1998-06-30,185.312
1998-07-31,196.438
1998-08-31,151.875
1998-09-30,136.394
1998-10-30,169.801
1998-11-30,182.57
1998-12-31,187.388
1999-01-29,200.455
1999-02-26,186.345
1999-03-31,192.189
1999-04-30,242.299
1999-05-31,210.921
1999-06-30,223.739
1999-07-30,230.547
1999-08-31,210.735
1999-09-30,204.43
1999-10-29,205.126
1999-11-30,200.878
1999-12-31,214.92
2000-01-31,183.207
2000-02-29,167.831
2000-03-31,163.322
2000-04-28,172.425
2000-05-31,170.894
2000-06-30,193.785
2000-07-31,191.834
2000-08-31,189.668
2000-09-29,171.831
2000-10-31,170.292
2000-11-30,182.736
2000-12-29,191.149
2001-01-31,191.061
2001-02-28,190.467
2001-03-30,183.48
2001-04-30,196.625
2001-05-31,187.326
2001-06-29,186.251
2001-07-31,199.439
2001-08-31,212.582
2001-09-28,184.424
2001-10-31,199.754
2001-11-30,221.96
2001-12-31,215.461
2002-01-31,224.873
2002-02-28,235.499
2002-03-29,252.587
2002-04-30,252.549
2002-05-31,281.768
2002-06-28,277.662
2002-07-31,256.158
2002-08-30,268.069
2002-09-30,265.755
2002-10-31,284.163
2002-11-29,283.228
2002-12-31,315.782
2003-01-31,336.885
2003-02-28,352.173
2003-03-31,339.925
2003-04-30,341.436
2003-05-30,362.375
2003-06-30,409.236
2003-07-31,387.931
2003-08-29,395.342
2003-09-30,411.528
2003-10-31,438.759
2003-11-28,463.487
2003-12-31,492.866
2004-01-30,503.434
2004-02-27,494.525
2004-03-31,518.727
2004-04-30,487.038
2004-05-31,488.202
2004-06-30,505.72
2004-07-30,524.204
2004-08-31,530.524
2004-09-30,544.138
2004-10-29,542.762
2004-11-30,611.636
2004-12-31,629.283
2005-01-31,616.97
2005-02-28,671.217
2005-03-31,611.593
2005-04-29,616.135
2005-05-31,591.197
2005-06-30,658.536
2005-07-29,664.958
2005-08-31,661.663
2005-09-30,688.802
2005-10-31,643.717
2005-11-30,631.885
2005-12-30,634.558
2006-01-31,638.396
2006-02-28,641.791
2006-03-31,655.174
2006-04-28,690.558
2006-05-31,689.079
2006-06-30,653.118
2006-07-31,642.204
2006-08-31,656.917
2006-09-29,677.093
2006-10-31,734.422
2006-11-30,793.798
2006-12-29,859.508
2007-01-31,866.578
2007-02-28,840.835
2007-03-30,892.125
2007-04-30,948.483
2007-05-31,1000.0
2007-06-29,1068.051
2007-07-31,1069.755
2007-08-31,920.931
2007-09-28,1071.921
2007-10-31,1046.253
2007-11-30,1012.132
2007-12-31,1002.872
2008-01-31,932.062
2008-02-29,919.604
2008-03-31,858.593
2008-04-30,885.983
2008-05-30,894.45
2008-06-30,742.654
2008-07-31,753.691
2008-08-29,710.977
2008-09-30,617.808
2008-10-31,479.039
2008-11-28,446.361
2008-12-31,469.71
2009-01-30,430.184
2009-02-27,387.343
2009-03-31,455.338
2009-04-30,500.413
2009-05-29,540.236
2009-06-30,563.074
2009-07-31,614.432
2009-08-31,656.991
2009-09-30,706.813
2009-10-30,716.214
2009-11-30,679.55
2009-12-31,706.463
2010-01-29,664.135
2010-02-26,653.254
2010-03-31,679.124
2010-04-30,703.914
2010-05-31,611.77
2010-06-30,606.43
2010-07-30,650.454
2010-08-31,628.858
2010-09-30,686.96
2010-10-29,734.85
2010-11-30,724.25
2010-12-31,765.212
2011-01-31,773.02
2011-02-28,765.682
2011-03-31,796.972
2011-04-29,862.884
2011-05-31,908.18
2011-06-30,886.983
2011-07-29,938.153
2011-08-31,901.122
2011-09-30,826.101
2011-10-31,840.237
2011-11-30,781.845
2011-12-30,807.624
2012-01-31,863.182
2012-02-29,893.182
2012-03-30,939.624
2012-04-30,945.289
2012-05-31,857.904
2012-06-29,864.774
2012-07-31,926.907
2012-08-31,930.332
2012-09-28,997.615
2012-10-31,1010.084
2012-11-30,1024.222
2012-12-31,1043.905
2013-01-31,1148.281
2013-02-28,1130.214
2013-03-29,1153.033
2013-04-30,1226.841
2013-05-31,1068.555
2013-06-28,1033.333
2013-07-31,1063.691
2013-08-30,1045.883
2013-09-30,1211.14
2013-10-31,1232.39
2013-11-29,1166.433
2013-12-31,1161.571
2014-01-31,1180.075
2014-02-28,1268.863
2014-03-31,1351.651
2014-04-30,1407.937
2014-05-30,1319.661
2014-06-30,1335.52
2014-07-31,1313.242
2014-08-29,1298.835
2014-09-30,1216.354
2014-10-31,1210.066
2014-11-28,1209.767
2014-12-31,1246.876
2015-01-30,1213.551
2015-02-27,1266.235
2015-03-31,1224.577
2015-04-30,1240.1
2015-05-29,1155.11
2015-06-30,1064.412
2015-07-31,1081.99
2015-08-31,1020.07
2015-09-30,989.257
2015-10-30,1138.632
2015-11-30,1104.311
2015-12-31,1168.838
2016-01-29,1072.775
2016-02-29,1132.669
2016-03-31,1304.408
2016-04-29,1336.938
2016-05-31,1334.018
2016-06-30,1380.658
2016-07-29,1525.59
2016-08-31,1558.253
2016-09-30,1552.457
