Date,NEW ZEALAND MID CAP Mid Cap
1994-05-31,137.918
1994-06-30,125.005
1994-07-29,125.897
1994-08-31,128.647
1994-09-30,120.542
1994-10-31,121.708
1994-11-30,128.104
1994-12-30,135.697
1995-01-31,135.295
1995-02-28,136.59
1995-03-31,143.473
1995-04-28,155.565
1995-05-31,166.116
1995-06-30,160.041
1995-07-31,163.937
1995-08-31,162.543
1995-09-29,164.232
1995-10-31,175.061
1995-11-30,175.602
1995-12-29,181.873
1996-01-31,183.638
1996-02-29,181.247
1996-03-29,202.476
1996-04-30,213.435
1996-05-31,203.787
1996-06-28,216.469
1996-07-31,219.217
1996-08-30,224.11
1996-09-30,224.82
1996-10-31,238.155
1996-11-29,243.233
1996-12-31,242.464
1997-01-31,237.791
1997-02-28,239.786
1997-03-31,239.373
1997-04-30,241.401
1997-05-30,243.426
1997-06-30,243.251
1997-07-31,250.242
1997-08-29,242.907
1997-09-30,253.67
1997-10-31,231.948
1997-11-28,224.798
1997-12-31,216.191
1998-01-30,213.813
1998-02-27,211.787
1998-03-31,207.099
1998-04-30,207.165
1998-05-29,190.509
1998-06-30,168.768
1998-07-31,178.901
1998-08-31,138.317
1998-09-30,124.218
1998-10-30,154.985
1998-11-30,167.025
1998-12-31,171.701
1999-01-29,183.674
1999-02-26,170.745
1999-03-31,176.371
1999-04-30,222.357
1999-05-31,193.679
1999-06-30,205.594
1999-07-30,211.849
1999-08-31,193.644
1999-09-30,188.033
1999-10-29,188.673
1999-11-30,184.881
1999-12-31,198.081
2000-01-31,168.852
2000-02-29,154.681
2000-03-31,150.78
2000-04-28,159.184
2000-05-31,157.857
2000-06-30,179.15
2000-07-31,177.346
2000-08-31,175.344
2000-09-29,158.854
2000-10-31,157.521
2000-11-30,169.24
2000-12-29,177.262
2001-01-31,177.087
2001-02-28,176.536
2001-03-30,170.06
2001-04-30,182.697
2001-05-31,174.695
2001-06-29,173.692
2001-07-31,185.99
2001-08-31,198.248
2001-09-28,171.988
2001-10-31,186.473
2001-11-30,207.846
2001-12-31,201.759
2002-01-31,210.573
2002-02-28,220.902
2002-03-29,237.148
2002-04-30,237.364
2002-05-31,265.196
2002-06-28,261.856
2002-07-31,241.576
2002-08-30,252.97
2002-09-30,251.638
2002-10-31,269.196
2002-11-29,268.582
2002-12-31,300.204
2003-01-31,320.266
2003-02-28,335.698
2003-03-31,325.351
2003-04-30,326.797
2003-05-30,347.17
2003-06-30,392.064
2003-07-31,371.653
2003-08-29,379.16
2003-09-30,395.885
2003-10-31,422.794
2003-11-28,446.622
2003-12-31,476.187
2004-01-30,486.398
2004-02-27,478.355
2004-03-31,503.686
2004-04-30,472.916
2004-05-31,474.533
2004-06-30,491.561
2004-07-30,509.527
2004-08-31,516.841
2004-09-30,531.984
2004-10-29,531.779
2004-11-30,599.259
2004-12-31,617.237
2005-01-31,605.16
2005-02-28,659.043
2005-03-31,602.917
2005-04-29,607.395
2005-05-31,583.492
2005-06-30,649.954
2005-07-29,656.292
2005-08-31,653.509
2005-09-30,681.512
2005-10-31,637.54
2005-11-30,625.821
2005-12-30,628.468
2006-01-31,632.269
2006-02-28,635.632
2006-03-31,650.932
2006-04-28,686.087
2006-05-31,684.618
2006-06-30,649.283
2006-07-31,638.433
2006-08-31,653.059
2006-09-29,674.794
2006-10-31,732.462
2006-11-30,792.019
2006-12-29,857.582
2007-01-31,864.636
2007-02-28,838.95
2007-03-30,892.125
2007-04-30,948.483
2007-05-31,1000.0
2007-06-29,1068.051
2007-07-31,1069.755
2007-08-31,920.931
2007-09-28,1074.081
2007-10-31,1048.911
2007-11-30,1014.702
2007-12-31,1005.419
2008-01-31,934.43
2008-02-29,923.033
2008-03-31,863.574
2008-04-30,891.123
2008-05-30,900.779
2008-06-30,747.909
2008-07-31,759.025
2008-08-29,716.008
2008-09-30,624.452
2008-10-31,484.345
2008-11-28,451.306
2008-12-31,475.552
2009-01-30,435.534
2009-02-27,392.16
