Date,NEW ZEALAND MID CAP Mid Cap
2001-01-01,177.262
2001-01-02,176.981
2001-01-03,176.189
2001-01-04,177.492
2001-01-05,181.106
2001-01-08,179.228
2001-01-09,178.897
2001-01-10,175.061
2001-01-11,177.317
2001-01-12,177.423
2001-01-15,176.74
2001-01-16,177.701
2001-01-17,178.957
2001-01-18,179.291
2001-01-19,181.833
2001-01-22,182.887
2001-01-23,180.3
2001-01-24,174.928
2001-01-25,174.421
2001-01-26,174.242
2001-01-29,173.704
2001-01-30,175.002
2001-01-31,177.087
2001-02-01,181.599
2001-02-02,178.881
2001-02-05,177.082
2001-02-06,177.102
2001-02-07,178.924
2001-02-08,177.655
2001-02-09,177.908
2001-02-12,178.523
2001-02-13,177.468
2001-02-14,171.566
2001-02-15,172.116
2001-02-16,174.41
2001-02-19,174.021
2001-02-20,176.452
2001-02-21,177.38
2001-02-22,176.94
2001-02-23,178.759
2001-02-26,177.142
2001-02-27,180.786
2001-02-28,176.536
2001-03-01,179.201
2001-03-02,182.969
2001-03-05,183.83
2001-03-06,185.165
2001-03-07,185.589
2001-03-08,184.335
2001-03-09,182.235
2001-03-12,182.456
2001-03-13,179.366
2001-03-14,181.622
2001-03-15,181.307
2001-03-16,182.425
2001-03-19,184.158
2001-03-20,187.669
2001-03-21,188.001
2001-03-22,182.032
2001-03-23,187.486
2001-03-26,183.322
2001-03-27,179.887
2001-03-28,176.872
2001-03-29,173.001
2001-03-30,170.06
2001-04-02,170.763
2001-04-03,173.431
2001-04-04,174.933
2001-04-05,175.823
2001-04-06,176.205
2001-04-09,177.152
2001-04-10,177.411
2001-04-11,177.31
2001-04-12,178.401
2001-04-13,178.401
2001-04-16,178.751
2001-04-17,175.162
2001-04-18,174.952
2001-04-19,184.344
2001-04-20,185.731
2001-04-23,179.553
2001-04-24,176.937
2001-04-25,178.022
2001-04-26,180.01
2001-04-27,180.766
2001-04-30,182.697
2001-05-01,183.529
2001-05-02,186.037
2001-05-03,186.459
2001-05-04,183.755
2001-05-07,182.43
2001-05-08,182.208
2001-05-09,181.957
2001-05-10,185.311
2001-05-11,183.023
2001-05-14,181.677
2001-05-15,181.039
2001-05-16,182.845
2001-05-17,187.22
2001-05-18,186.983
2001-05-21,187.373
2001-05-22,185.933
2001-05-23,184.474
2001-05-24,185.514
2001-05-25,184.875
2001-05-28,184.498
2001-05-29,181.555
2001-05-30,178.418
2001-05-31,174.695
2001-06-01,175.56
2001-06-04,175.111
2001-06-05,180.816
2001-06-06,184.461
2001-06-07,184.548
2001-06-08,182.434
2001-06-11,180.162
2001-06-12,182.739
2001-06-13,187.505
2001-06-14,185.786
2001-06-15,183.925
2001-06-18,181.506
2001-06-19,180.617
2001-06-20,178.659
2001-06-21,175.875
2001-06-22,176.108
2001-06-25,175.442
2001-06-26,178.234
2001-06-27,178.36
2001-06-28,178.14
2001-06-29,173.692
2001-07-02,175.935
2001-07-03,175.345
2001-07-04,175.819
2001-07-05,175.281
2001-07-06,174.306
2001-07-09,175.627
2001-07-10,177.558
2001-07-11,176.701
2001-07-12,172.747
2001-07-13,174.519
2001-07-16,176.259
2001-07-17,176.105
2001-07-18,179.316
2001-07-19,182.359
2001-07-20,181.521
2001-07-23,182.94
2001-07-24,185.568
2001-07-25,186.653
2001-07-26,187.281
2001-07-27,186.398
2001-07-30,186.575
2001-07-31,185.99
2001-08-01,186.179
2001-08-02,185.131
2001-08-03,184.232
2001-08-06,183.634
2001-08-07,182.395
2001-08-08,184.569
2001-08-09,186.251
2001-08-10,187.964
2001-08-13,189.493
2001-08-14,189.922
2001-08-15,192.386
2001-08-16,192.497
2001-08-17,194.832
2001-08-20,193.202
2001-08-21,195.366
2001-08-22,198.082
2001-08-23,197.181
2001-08-24,198.686
2001-08-27,199.907
2001-08-28,199.481
2001-08-29,202.318
2001-08-30,201.508
2001-08-31,198.248
2001-09-03,198.36
2001-09-04,196.51
2001-09-05,196.647
2001-09-06,196.526
2001-09-07,195.363
2001-09-10,188.639
2001-09-11,191.336
2001-09-12,180.837
2001-09-13,179.217
2001-09-14,176.704
2001-09-17,163.394
2001-09-18,166.61
2001-09-19,166.287
2001-09-20,166.9
2001-09-21,163.905
2001-09-24,162.867
2001-09-25,167.52
2001-09-26,170.413
2001-09-27,170.278
2001-09-28,171.988
2001-10-01,168.138
2001-10-02,172.12
2001-10-03,174.747
2001-10-04,175.337
2001-10-05,176.768
2001-10-08,177.108
2001-10-09,175.413
2001-10-10,174.124
2001-10-11,176.174
2001-10-12,182.827
2001-10-15,188.684
2001-10-16,189.863
2001-10-17,191.501
2001-10-18,186.809
2001-10-19,183.908
2001-10-22,184.085
2001-10-23,186.585
2001-10-24,188.321
2001-10-25,186.573
2001-10-26,184.106
2001-10-29,184.488
2001-10-30,186.491
2001-10-31,186.473
2001-11-01,188.774
2001-11-02,191.556
2001-11-05,193.924
2001-11-06,196.698
2001-11-07,192.899
2001-11-08,189.784
2001-11-09,190.124
2001-11-12,190.889
2001-11-13,195.458
2001-11-14,195.492
2001-11-15,195.066
2001-11-16,197.404
2001-11-19,195.466
2001-11-20,200.25
2001-11-21,195.637
2001-11-22,193.614
2001-11-23,193.57
2001-11-26,196.064
2001-11-27,200.355
2001-11-28,204.142
2001-11-29,207.014
2001-11-30,207.846
2001-12-03,200.663
2001-12-04,195.937
2001-12-05,200.784
2001-12-06,208.033
2001-12-07,207.105
2001-12-10,205.582
2001-12-11,207.702
2001-12-12,211.501
2001-12-13,210.89
2001-12-14,204.858
2001-12-17,203.525
2001-12-18,199.614
2001-12-19,199.634
2001-12-20,195.226
2001-12-21,197.653
2001-12-24,198.969
2001-12-25,198.969
2001-12-26,199.113
2001-12-27,199.25
2001-12-28,201.161
2001-12-31,201.759
2002-01-01,201.759
2002-01-02,203.794
2002-01-03,209.0
2002-01-04,212.244
2002-01-07,213.81
2002-01-08,213.754
2002-01-09,211.658
2002-01-10,212.146
2002-01-11,211.451
2002-01-14,209.321
2002-01-15,210.976
2002-01-16,209.056
2002-01-17,208.619
2002-01-18,208.701
2002-01-21,210.78
2002-01-22,215.868
2002-01-23,216.682
2002-01-24,216.316
2002-01-25,218.032
2002-01-28,215.639
2002-01-29,215.631
2002-01-30,209.313
2002-01-31,210.573
2002-02-01,212.249
2002-02-04,212.839
2002-02-05,212.048
2002-02-06,212.226
2002-02-07,211.449
2002-02-08,211.205
2002-02-11,211.554
2002-02-12,209.583
2002-02-13,209.167
2002-02-14,209.672
2002-02-15,209.291
2002-02-18,209.011
2002-02-19,210.056
2002-02-20,212.973
2002-02-21,210.711
2002-02-22,215.765
2002-02-25,214.983
2002-02-26,217.536
2002-02-27,218.178
2002-02-28,220.902
2002-03-01,221.98
2002-03-04,222.181
2002-03-05,223.083
2002-03-06,222.998
2002-03-07,227.121
2002-03-08,224.641
2002-03-11,226.625
2002-03-12,229.916
