Date,FINLAND SMID CAP SMID (Small+Mid Cap)
1994-05-31,135.294
1994-06-30,125.152
1994-07-29,137.261
1994-08-31,144.026
1994-09-30,143.795
1994-10-31,150.187
1994-11-30,134.919
1994-12-30,135.392
1995-01-31,132.907
1995-02-28,133.688
1995-03-31,127.371
1995-04-28,144.114
1995-05-31,139.628
1995-06-30,140.127
1995-07-31,148.979
1995-08-31,142.755
1995-09-29,148.715
1995-10-31,136.268
1995-11-30,137.536
1995-12-29,133.078
1996-01-31,132.1
1996-02-29,143.039
1996-03-29,141.277
1996-04-30,144.738
1996-05-31,156.469
1996-06-28,161.588
1996-07-31,166.032
1996-08-30,177.859
1996-09-30,174.75
1996-10-31,174.911
1996-11-29,180.168
1996-12-31,187.798
1997-01-31,191.004
1997-02-28,201.06
1997-03-31,202.658
1997-04-30,194.436
1997-05-30,203.09
1997-06-30,205.884
1997-07-31,209.441
1997-08-29,196.441
1997-09-30,216.622
1997-10-31,211.852
1997-11-28,207.24
1997-12-31,202.018
1998-01-30,214.382
1998-02-27,233.831
1998-03-31,240.648
1998-04-30,265.425
1998-05-29,271.68
1998-06-30,266.421
1998-07-31,264.211
1998-08-31,222.918
1998-09-30,200.688
1998-10-30,210.235
1998-11-30,218.803
1998-12-31,226.795
1999-01-29,215.231
1999-02-26,205.703
1999-03-31,211.638
1999-04-30,219.512
1999-05-31,215.301
1999-06-30,216.207
1999-07-30,221.65
1999-08-31,219.175
1999-09-30,209.787
1999-10-29,211.067
1999-11-30,217.106
1999-12-31,257.058
2000-01-31,258.756
2000-02-29,270.717
2000-03-31,265.523
2000-04-28,241.166
2000-05-31,223.989
2000-06-30,241.238
2000-07-31,230.311
2000-08-31,222.359
2000-09-29,209.785
2000-10-31,187.169
2000-11-30,181.999
2000-12-29,204.044
2001-01-31,191.955
2001-02-28,181.031
2001-03-30,169.074
2001-04-30,191.428
2001-05-31,186.959
2001-06-29,173.967
2001-07-31,175.252
2001-08-31,176.842
2001-09-28,162.338
2001-10-31,175.377
2001-11-30,180.315
2001-12-31,180.649
2002-01-31,182.444
2002-02-28,191.337
2002-03-29,202.252
2002-04-30,207.604
2002-05-31,216.213
2002-06-28,216.811
2002-07-31,190.942
2002-08-30,190.442
2002-09-30,169.586
2002-10-31,182.997
2002-11-29,200.667
2002-12-31,203.378
2003-01-31,196.793
2003-02-28,191.04
2003-03-31,189.951
2003-04-30,211.523
2003-05-30,218.509
2003-06-30,221.553
2003-07-31,234.038
2003-08-29,244.998
2003-09-30,253.355
2003-10-31,280.602
2003-11-28,299.121
2003-12-31,309.031
2004-01-30,312.665
2004-02-27,332.438
2004-03-31,330.98
2004-04-30,329.222
2004-05-31,327.107
2004-06-30,343.164
2004-07-30,341.881
2004-08-31,343.476
2004-09-30,356.37
2004-10-29,374.101
2004-11-30,421.304
2004-12-31,432.485
2005-01-31,425.237
2005-02-28,469.698
2005-03-31,466.334
2005-04-29,449.324
2005-05-31,467.43
2005-06-30,487.743
2005-07-29,514.458
2005-08-31,524.562
2005-09-30,546.057
2005-10-31,505.894
2005-11-30,506.072
2005-12-30,533.142
2006-01-31,589.542
2006-02-28,611.191
2006-03-31,655.37
2006-04-28,678.671
2006-05-31,637.651
2006-06-30,631.602
2006-07-31,621.253
2006-08-31,649.118
2006-09-29,653.301
2006-10-31,705.833
2006-11-30,762.841
2006-12-29,815.579
2007-01-31,831.384
2007-02-28,848.949
2007-03-30,900.662
2007-04-30,977.859
2007-05-31,1000.0
2007-06-29,995.52
2007-07-31,984.55
2007-08-31,942.864
2007-09-28,1001.812
2007-10-31,1020.322
2007-11-30,927.913
2007-12-31,892.235
2008-01-31,806.489
2008-02-29,868.278
2008-03-31,936.679
2008-04-30,915.69
2008-05-30,940.378
2008-06-30,820.476
2008-07-31,736.262
2008-08-29,723.485
2008-09-30,572.283
2008-10-31,443.016
2008-11-28,415.088
2008-12-31,426.265
2009-01-30,385.865
2009-02-27,345.834
2009-03-31,351.935
2009-04-30,461.053
2009-05-29,515.706
2009-06-30,496.526
2009-07-31,558.326
2009-08-31,620.75
2009-09-30,655.663
2009-10-30,643.368
2009-11-30,680.154
2009-12-31,692.892
2010-01-29,682.262
2010-02-26,666.777
2010-03-31,743.563
2010-04-30,758.503
2010-05-31,650.497
2010-06-30,657.289
2010-07-30,752.136
2010-08-31,721.749
2010-09-30,859.823
2010-10-29,873.253
2010-11-30,824.173
2010-12-31,930.614
2011-01-31,966.677
2011-02-28,958.545
2011-03-31,1015.2
2011-04-29,1084.555
2011-05-31,1008.134
2011-06-30,969.198
2011-07-29,855.054
2011-08-31,742.659
2011-09-30,613.856
2011-10-31,711.982
2011-11-30,691.102
2011-12-30,646.874
2012-01-31,733.35
2012-02-29,800.709
2012-03-30,801.86
2012-04-30,799.986
2012-05-31,641.481
2012-06-29,678.298
2012-07-31,675.647
2012-08-31,687.625
2012-09-28,725.166
2012-10-31,742.03
2012-11-30,766.272
2012-12-31,796.394
2013-01-31,853.773
2013-02-28,841.706
2013-03-29,816.317
2013-04-30,852.973
2013-05-31,840.062
2013-06-28,780.496
2013-07-31,836.571
2013-08-30,867.031
2013-09-30,929.45
2013-10-31,951.078
2013-11-29,985.06
2013-12-31,1002.775
2014-01-31,959.851
2014-02-28,1074.232
2014-03-31,1046.725
2014-04-30,1092.678
2014-05-30,1102.452
2014-06-30,1083.628
2014-07-31,1032.217
2014-08-29,1005.8
2014-09-30,941.208
2014-10-31,931.887
2014-11-28,954.42
2014-12-31,930.485
2015-01-30,968.782
2015-02-27,1021.644
2015-03-31,1023.287
2015-04-30,1068.442
2015-05-29,1050.732
2015-06-30,1041.775
2015-07-31,1085.233
2015-08-31,1005.828
2015-09-30,932.519
2015-10-30,1041.146
2015-11-30,1066.515
2015-12-31,1055.409
2016-01-29,994.785
2016-02-29,993.01
2016-03-31,1085.702
2016-04-29,1116.224
2016-05-31,1123.117
2016-06-30,1110.681
2016-07-29,1203.81
2016-08-31,1197.027
2016-09-30,1258.11
2016-10-31,1233.34
2016-11-30,1224.266
2016-12-30,1281.263
2017-01-31,1295.03
2017-02-28,1292.228
2017-03-31,1351.31
2017-04-28,1473.119
2017-05-31,1517.99
2017-06-30,1533.134
2017-07-31,1532.233
2017-08-31,1554.006
2017-09-29,1596.069
2017-10-31,1620.843
2017-11-30,1620.247
2017-12-29,1650.835
