Date,FINLAND SMID CAP SMID (Small+Mid Cap)
2001-01-01,204.044
2001-01-02,206.378
2001-01-03,198.035
2001-01-04,202.416
2001-01-05,205.19
2001-01-08,203.916
2001-01-09,195.559
2001-01-10,192.406
2001-01-11,194.465
2001-01-12,198.134
2001-01-15,197.735
2001-01-16,194.85
2001-01-17,196.824
2001-01-18,199.621
2001-01-19,199.509
2001-01-22,198.414
2001-01-23,198.442
2001-01-24,194.328
2001-01-25,191.272
2001-01-26,187.284
2001-01-29,185.923
2001-01-30,188.179
2001-01-31,191.955
2001-02-01,192.721
2001-02-02,190.804
2001-02-05,193.126
2001-02-06,193.248
2001-02-07,187.659
2001-02-08,186.475
2001-02-09,184.278
2001-02-12,184.517
2001-02-13,182.833
2001-02-14,180.418
2001-02-15,180.821
2001-02-16,181.996
2001-02-19,183.858
2001-02-20,181.908
2001-02-21,180.523
2001-02-22,177.272
2001-02-23,175.993
2001-02-26,177.337
2001-02-27,181.56
2001-02-28,181.031
2001-03-01,181.592
2001-03-02,182.892
2001-03-05,183.838
2001-03-06,187.299
2001-03-07,186.773
2001-03-08,188.575
2001-03-09,188.087
2001-03-12,186.016
2001-03-13,181.007
2001-03-14,178.462
2001-03-15,179.389
2001-03-16,174.962
2001-03-19,175.006
2001-03-20,175.48
2001-03-21,172.746
2001-03-22,166.63
2001-03-23,168.747
2001-03-26,171.971
2001-03-27,172.896
2001-03-28,172.064
2001-03-29,168.018
2001-03-30,169.074
2001-04-02,168.081
2001-04-03,168.13
2001-04-04,168.453
2001-04-05,168.258
2001-04-06,169.783
2001-04-09,171.008
2001-04-10,170.787
2001-04-11,174.05
2001-04-12,175.782
2001-04-13,175.782
2001-04-16,173.982
2001-04-17,172.498
2001-04-18,174.245
2001-04-19,178.545
2001-04-20,181.178
2001-04-23,181.456
2001-04-24,181.948
2001-04-25,182.959
2001-04-26,186.769
2001-04-27,185.935
2001-04-30,191.428
2001-05-01,192.443
2001-05-02,191.619
2001-05-03,189.708
2001-05-04,189.632
2001-05-07,189.984
2001-05-08,188.708
2001-05-09,188.586
2001-05-10,191.929
2001-05-11,191.258
2001-05-14,190.065
2001-05-15,192.874
2001-05-16,193.459
2001-05-17,196.297
2001-05-18,196.231
2001-05-21,194.876
2001-05-22,194.07
2001-05-23,192.242
2001-05-24,191.517
2001-05-25,192.364
2001-05-28,193.178
2001-05-29,190.627
2001-05-30,188.718
2001-05-31,186.959
2001-06-01,186.568
2001-06-04,186.505
2001-06-05,188.927
2001-06-06,189.348
2001-06-07,189.814
2001-06-08,190.042
2001-06-11,185.904
2001-06-12,183.06
2001-06-13,181.902
2001-06-14,181.945
2001-06-15,178.679
2001-06-18,178.778
2001-06-19,179.986
2001-06-20,176.129
2001-06-21,177.517
2001-06-22,177.707
2001-06-25,179.336
2001-06-26,176.705
2001-06-27,175.003
2001-06-28,173.703
2001-06-29,173.967
2001-07-02,176.1
2001-07-03,177.026
2001-07-04,176.697
2001-07-05,174.893
2001-07-06,173.175
2001-07-09,174.09
2001-07-10,176.272
2001-07-11,174.58
2001-07-12,173.04
2001-07-13,174.137
2001-07-16,175.088
2001-07-17,171.884
2001-07-18,176.047
2001-07-19,176.671
2001-07-20,177.051
2001-07-23,174.614
2001-07-24,175.322
2001-07-25,173.681
2001-07-26,173.17
2001-07-27,173.56
2001-07-30,174.112
2001-07-31,175.252
2001-08-01,176.96
2001-08-02,179.521
2001-08-03,179.857
2001-08-06,178.681
2001-08-07,177.658
2001-08-08,176.122
2001-08-09,175.73
2001-08-10,176.495
2001-08-13,179.791
2001-08-14,178.596
2001-08-15,180.765
2001-08-16,180.039
2001-08-17,179.56
2001-08-20,177.346
2001-08-21,178.586
2001-08-22,180.967
2001-08-23,180.231
2001-08-24,181.3
2001-08-27,181.08
2001-08-28,177.968
2001-08-29,176.518
2001-08-30,174.736
2001-08-31,176.842
2001-09-03,174.813
2001-09-04,171.824
2001-09-05,171.684
2001-09-06,171.72
2001-09-07,173.049
2001-09-10,169.706
2001-09-11,167.508
