Date,FINLAND SMID CAP SMID (Small+Mid Cap)
2001-01-01,223.104
2001-01-02,225.656
2001-01-03,216.533
2001-01-04,221.323
2001-01-05,224.356
2001-01-08,222.963
2001-01-09,213.825
2001-01-10,210.378
2001-01-11,212.629
2001-01-12,216.642
2001-01-15,216.205
2001-01-16,213.05
2001-01-17,215.209
2001-01-18,218.268
2001-01-19,218.145
2001-01-22,216.947
2001-01-23,216.978
2001-01-24,212.48
2001-01-25,209.139
2001-01-26,204.778
2001-01-29,203.29
2001-01-30,205.756
2001-01-31,209.886
2001-02-01,210.723
2001-02-02,208.626
2001-02-05,211.165
2001-02-06,211.299
2001-02-07,205.188
2001-02-08,203.893
2001-02-09,201.491
2001-02-12,201.753
2001-02-13,199.911
2001-02-14,197.271
2001-02-15,197.711
2001-02-16,198.996
2001-02-19,201.032
2001-02-20,198.899
2001-02-21,197.385
2001-02-22,193.831
2001-02-23,192.432
2001-02-26,193.867
2001-02-27,198.483
2001-02-28,197.905
2001-03-01,198.518
2001-03-02,199.939
2001-03-05,200.973
2001-03-06,204.757
2001-03-07,204.182
2001-03-08,206.122
2001-03-09,205.577
2001-03-12,203.313
2001-03-13,197.839
2001-03-14,195.021
2001-03-15,196.025
2001-03-16,191.175
2001-03-19,191.195
2001-03-20,191.713
2001-03-21,188.569
2001-03-22,181.78
2001-03-23,184.042
2001-03-26,187.559
2001-03-27,188.54
2001-03-28,187.633
2001-03-29,183.112
2001-03-30,184.02
2001-04-02,182.94
2001-04-03,182.978
2001-04-04,183.204
2001-04-05,182.763
2001-04-06,183.887
2001-04-09,185.211
2001-04-10,184.865
2001-04-11,187.79
2001-04-12,189.658
2001-04-13,189.658
2001-04-16,187.716
2001-04-17,186.115
2001-04-18,188.0
2001-04-19,192.639
2001-04-20,195.427
2001-04-23,195.717
2001-04-24,196.24
2001-04-25,197.331
2001-04-26,201.44
2001-04-27,200.53
2001-04-30,206.454
2001-05-01,207.548
2001-05-02,206.66
2001-05-03,204.598
2001-05-04,204.517
2001-05-07,204.896
2001-05-08,203.521
2001-05-09,203.388
2001-05-10,206.995
2001-05-11,206.271
2001-05-14,204.984
2001-05-15,208.013
2001-05-16,208.64
2001-05-17,211.701
2001-05-18,211.629
2001-05-21,210.168
2001-05-22,209.299
2001-05-23,207.328
2001-05-24,206.545
2001-05-25,207.458
2001-05-28,208.336
2001-05-29,205.586
2001-05-30,203.527
2001-05-31,201.63
2001-06-01,201.208
2001-06-04,201.14
2001-06-05,203.753
2001-06-06,204.206
2001-06-07,204.709
2001-06-08,204.954
2001-06-11,200.492
2001-06-12,197.425
2001-06-13,196.176
2001-06-14,196.222
2001-06-15,192.7
2001-06-18,192.807
2001-06-19,194.109
2001-06-20,189.95
2001-06-21,191.447
2001-06-22,191.652
2001-06-25,193.409
2001-06-26,190.571
2001-06-27,188.735
2001-06-28,187.334
2001-06-29,187.618
2001-07-02,189.919
2001-07-03,190.917
2001-07-04,190.563
2001-07-05,188.616
2001-07-06,186.764
2001-07-09,187.751
2001-07-10,190.104
2001-07-11,188.28
2001-07-12,186.619
2001-07-13,187.801
2001-07-16,188.827
2001-07-17,185.372
2001-07-18,189.862
2001-07-19,190.534
2001-07-20,190.944
2001-07-23,188.316
2001-07-24,189.079
2001-07-25,187.31
2001-07-26,186.759
2001-07-27,187.179
2001-07-30,187.774
2001-07-31,189.004
2001-08-01,190.846
2001-08-02,193.608
2001-08-03,193.97
2001-08-06,192.702
2001-08-07,191.599
2001-08-08,189.943
2001-08-09,189.52
2001-08-10,190.345
2001-08-13,193.899
2001-08-14,192.61
2001-08-15,194.95
2001-08-16,194.167
2001-08-17,193.65
2001-08-20,191.262
2001-08-21,192.599
2001-08-22,195.168
2001-08-23,194.374
2001-08-24,195.527
2001-08-27,195.29
2001-08-28,191.933
2001-08-29,190.369
2001-08-30,188.447
2001-08-31,190.719
2001-09-03,188.53
2001-09-04,185.307
2001-09-05,185.156
2001-09-06,185.195
2001-09-07,186.628
2001-09-10,183.022
2001-09-11,180.653
2001-09-12,179.58
2001-09-13,181.332
2001-09-14,180.788
2001-09-17,178.024
2001-09-18,179.586
2001-09-19,181.33
2001-09-20,176.422
2001-09-21,169.992
2001-09-24,171.601
2001-09-25,174.332
