Date,FINLAND SMID CAP SMID (Small+Mid Cap)
1994-05-31,152.725
1994-06-30,141.275
1994-07-29,154.945
1994-08-31,162.575
1994-09-30,162.314
1994-10-31,169.529
1994-11-30,152.294
1994-12-30,152.829
1995-01-31,150.024
1995-02-28,150.905
1995-03-31,143.616
1995-04-28,162.051
1995-05-31,156.991
1995-06-30,157.552
1995-07-31,167.505
1995-08-31,160.499
1995-09-29,167.2
1995-10-31,153.206
1995-11-30,154.631
1995-12-29,149.619
1996-01-31,148.52
1996-02-29,160.817
1996-03-29,158.654
1996-04-30,161.82
1996-05-31,174.935
1996-06-28,180.659
1996-07-31,185.627
1996-08-30,198.823
1996-09-30,195.347
1996-10-31,195.527
1996-11-29,201.403
1996-12-31,209.933
1997-01-31,213.517
1997-02-28,224.758
1997-03-31,226.302
1997-04-30,216.377
1997-05-30,226.007
1997-06-30,229.116
1997-07-31,233.075
1997-08-29,218.584
1997-09-30,241.04
1997-10-31,235.733
1997-11-28,230.601
1997-12-31,224.791
1998-01-30,238.548
1998-02-27,260.138
1998-03-31,267.206
1998-04-30,293.777
1998-05-29,300.694
1998-06-30,294.873
1998-07-31,292.427
1998-08-31,246.686
1998-09-30,222.087
1998-10-30,232.651
1998-11-30,242.133
1998-12-31,250.977
1999-01-29,238.18
1999-02-26,227.637
1999-03-31,233.737
1999-04-30,241.751
1999-05-31,237.113
1999-06-30,238.111
1999-07-30,244.105
1999-08-31,241.379
1999-09-30,231.04
1999-10-29,232.45
1999-11-30,239.101
1999-12-31,283.1
2000-01-31,284.97
2000-02-29,298.117
2000-03-31,291.895
2000-04-28,263.721
2000-05-31,244.937
2000-06-30,263.8
2000-07-31,251.851
2000-08-31,243.129
2000-09-29,229.381
2000-10-31,204.652
2000-11-30,198.999
2000-12-29,223.104
2001-01-31,209.886
2001-02-28,197.905
2001-03-30,184.02
2001-04-30,206.454
2001-05-31,201.63
2001-06-29,187.618
2001-07-31,189.004
2001-08-31,190.719
2001-09-28,175.077
2001-10-31,189.138
