Date,DENMARK LARGE VALUE Large Cap
2001-01-01,296.388
2001-01-02,304.802
2001-01-03,317.185
2001-01-04,327.381
2001-01-05,338.084
2001-01-08,330.276
2001-01-09,325.074
2001-01-10,325.037
2001-01-11,326.408
2001-01-12,335.755
2001-01-15,334.241
2001-01-16,328.543
2001-01-17,326.984
2001-01-18,331.891
2001-01-19,328.297
2001-01-22,331.196
2001-01-23,327.689
2001-01-24,331.194
2001-01-25,329.908
2001-01-26,324.643
2001-01-29,322.052
2001-01-30,326.918
2001-01-31,328.722
2001-02-01,330.755
2001-02-02,322.694
2001-02-05,319.517
2001-02-06,314.245
2001-02-07,310.762
2001-02-08,302.764
2001-02-09,297.702
2001-02-12,301.231
2001-02-13,295.915
2001-02-14,295.621
2001-02-15,302.415
2001-02-16,309.919
2001-02-19,309.766
2001-02-20,308.008
2001-02-21,298.77
2001-02-22,275.493
2001-02-23,265.029
2001-02-26,261.763
2001-02-27,270.132
2001-02-28,269.769
2001-03-01,267.467
2001-03-02,270.483
2001-03-05,272.334
2001-03-06,278.683
2001-03-07,275.394
2001-03-08,278.495
2001-03-09,278.835
2001-03-12,272.626
2001-03-13,266.494
2001-03-14,260.172
2001-03-15,258.796
2001-03-16,254.895
2001-03-19,250.957
2001-03-20,256.944
2001-03-21,257.596
2001-03-22,250.535
2001-03-23,256.171
2001-03-26,260.497
2001-03-27,262.065
2001-03-28,264.075
2001-03-29,257.708
2001-03-30,264.159
2001-04-02,266.47
2001-04-03,268.273
2001-04-04,267.179
2001-04-05,270.032
2001-04-06,268.682
2001-04-09,270.38
2001-04-10,269.518
2001-04-11,273.571
2001-04-12,274.459
2001-04-13,274.459
2001-04-16,274.819
2001-04-17,274.604
2001-04-18,275.783
2001-04-19,280.915
2001-04-20,279.432
2001-04-23,275.864
2001-04-24,276.7
2001-04-25,276.639
2001-04-26,279.491
2001-04-27,278.289
2001-04-30,278.748
2001-05-01,279.022
2001-05-02,277.709
2001-05-03,283.445
2001-05-04,283.791
2001-05-07,285.975
2001-05-08,281.43
2001-05-09,281.753
2001-05-10,280.498
2001-05-11,278.259
2001-05-14,276.018
2001-05-15,275.206
2001-05-16,275.963
2001-05-17,284.204
2001-05-18,283.796
2001-05-21,282.868
2001-05-22,278.002
2001-05-23,274.735
2001-05-24,273.721
2001-05-25,284.218
2001-05-28,287.697
2001-05-29,283.215
2001-05-30,285.334
2001-05-31,287.647
2001-06-01,281.803
2001-06-04,282.194
2001-06-05,282.302
2001-06-06,283.111
2001-06-07,278.883
2001-06-08,274.682
2001-06-11,273.655
2001-06-12,277.418
2001-06-13,283.018
2001-06-14,282.621
2001-06-15,286.853
2001-06-18,287.885
2001-06-19,290.925
2001-06-20,286.669
2001-06-21,285.358
2001-06-22,286.769
2001-06-25,292.199
2001-06-26,284.318
2001-06-27,286.785
2001-06-28,293.68
2001-06-29,292.43
2001-07-02,286.343
2001-07-03,282.416
2001-07-04,279.405
2001-07-05,279.428
2001-07-06,276.144
2001-07-09,280.958
2001-07-10,284.298
2001-07-11,284.685
2001-07-12,278.719
2001-07-13,276.493
2001-07-16,279.247
2001-07-17,273.563
2001-07-18,279.915
2001-07-19,283.372
2001-07-20,279.783
2001-07-23,278.588
2001-07-24,276.91
2001-07-25,277.938
2001-07-26,277.238
2001-07-27,280.124
2001-07-30,283.746
2001-07-31,285.366
2001-08-01,291.024
2001-08-02,291.624
2001-08-03,291.25
2001-08-06,287.69
2001-08-07,284.114
2001-08-08,277.655
2001-08-09,278.426
2001-08-10,281.037
2001-08-13,284.217
2001-08-14,284.236
2001-08-15,289.643
2001-08-16,286.866
2001-08-17,287.391
2001-08-20,283.936
2001-08-21,288.221
2001-08-22,290.083
2001-08-23,290.772
2001-08-24,292.844
2001-08-27,288.014
2001-08-28,287.552
2001-08-29,286.477
2001-08-30,284.438
2001-08-31,282.472
2001-09-03,276.889
2001-09-04,274.146
2001-09-05,271.125
2001-09-06,268.664
2001-09-07,270.231
2001-09-10,267.467
2001-09-11,263.645
2001-09-12,264.39
2001-09-13,269.186
2001-09-14,271.112
2001-09-17,263.755
2001-09-18,254.216
2001-09-19,261.978
2001-09-20,255.72
2001-09-21,242.312
2001-09-24,249.892
2001-09-25,247.226
2001-09-26,252.858
2001-09-27,258.277
2001-09-28,265.628
2001-10-01,256.524
2001-10-02,260.13
2001-10-03,255.693
2001-10-04,260.106
2001-10-05,257.036
2001-10-08,258.814
2001-10-09,259.945
2001-10-10,262.554
2001-10-11,272.235
2001-10-12,265.018
2001-10-15,265.925
2001-10-16,265.501
2001-10-17,269.078
2001-10-18,265.054
2001-10-19,257.199
2001-10-22,261.69
2001-10-23,262.078
2001-10-24,260.319
2001-10-25,255.493
2001-10-26,263.542
2001-10-29,260.503
2001-10-30,253.394
2001-10-31,254.695
2001-11-01,254.479
2001-11-02,252.84
2001-11-05,250.741
2001-11-06,251.805
2001-11-07,262.96
2001-11-08,261.58
2001-11-09,254.736
2001-11-12,253.637
2001-11-13,250.806
2001-11-14,255.244
2001-11-15,253.452
2001-11-16,260.649
2001-11-19,261.613
2001-11-20,263.223
2001-11-21,258.243
2001-11-22,260.406
2001-11-23,262.703
2001-11-26,265.866
2001-11-27,263.481
2001-11-28,257.847
2001-11-29,258.482
2001-11-30,266.671
2001-12-03,264.19
2001-12-04,268.466
2001-12-05,262.434
2001-12-06,260.275
2001-12-07,256.148
2001-12-10,254.556
2001-12-11,256.538
2001-12-12,256.31
2001-12-13,256.992
2001-12-14,250.312
2001-12-17,252.171
2001-12-18,259.557
2001-12-19,264.684
