Date,DENMARK LARGE VALUE Large Cap
1994-05-31,108.782
1994-06-30,113.776
1994-07-29,117.415
1994-08-31,115.667
1994-09-30,118.617
1994-10-31,122.321
1994-11-30,116.376
1994-12-30,117.6
1995-01-31,114.893
1995-02-28,123.662
1995-03-31,123.71
1995-04-28,133.458
1995-05-31,141.717
1995-06-30,139.049
1995-07-31,158.062
1995-08-31,142.6
1995-09-29,141.205
1995-10-31,146.704
1995-11-30,150.065
1995-12-29,151.374
1996-01-31,152.913
1996-02-29,158.111
1996-03-29,143.982
1996-04-30,141.81
1996-05-31,141.581
1996-06-28,146.272
1996-07-31,141.156
1996-08-30,148.896
1996-09-30,146.411
1996-10-31,151.132
1996-11-29,153.114
1996-12-31,166.78
1997-01-31,177.643
1997-02-28,167.774
1997-03-31,170.772
1997-04-30,163.067
1997-05-30,172.43
1997-06-30,179.483
1997-07-31,195.299
1997-08-29,178.381
1997-09-30,189.865
1997-10-31,205.046
1997-11-28,211.179
1997-12-31,226.118
1998-01-30,232.989
1998-02-27,228.84
1998-03-31,279.49
1998-04-30,264.484
1998-05-29,286.877
1998-06-30,288.132
1998-07-31,309.959
1998-08-31,301.574
1998-09-30,281.898
1998-10-30,316.669
1998-11-30,313.486
1998-12-31,353.962
1999-01-29,342.251
1999-02-26,303.297
1999-03-31,264.073
1999-04-30,287.212
1999-05-31,278.645
1999-06-30,272.497
1999-07-30,312.322
1999-08-31,303.655
1999-09-30,314.613
1999-10-29,318.387
1999-11-30,331.834
1999-12-31,358.09
2000-01-31,335.004
2000-02-29,371.132
2000-03-31,407.236
2000-04-28,354.947
2000-05-31,368.669
2000-06-30,363.776
2000-07-31,338.502
2000-08-31,340.207
2000-09-29,322.359
2000-10-31,309.474
2000-11-30,300.512
2000-12-29,319.766
2001-01-31,354.65
2001-02-28,291.047
2001-03-30,283.579
2001-04-30,298.141
2001-05-31,307.659
2001-06-29,312.774
2001-07-31,305.219
2001-08-31,302.124
2001-09-28,284.107
2001-10-31,272.414
2001-11-30,285.223
2001-12-31,289.359
2002-01-31,274.813
2002-02-28,272.86
2002-03-29,289.055
2002-04-30,334.444
2002-05-31,339.898
2002-06-28,343.921
2002-07-31,335.008
2002-08-30,327.851
2002-09-30,280.929
2002-10-31,294.67
2002-11-29,307.452
2002-12-31,303.499
2003-01-31,298.148
2003-02-28,289.036
2003-03-31,315.487
2003-04-30,363.971
2003-05-30,395.568
2003-06-30,377.511
2003-07-31,359.894
2003-08-29,378.977
2003-09-30,393.876
2003-10-31,427.249
2003-11-28,431.149
2003-12-31,477.443
2004-01-30,480.183
2004-02-27,476.71
2004-03-31,475.794
2004-04-30,472.805
2004-05-31,478.437
2004-06-30,498.513
2004-07-30,484.64
2004-08-31,507.914
2004-09-30,553.074
2004-10-29,586.216
2004-11-30,628.577
2004-12-31,644.939
2005-01-31,614.596
2005-02-28,648.161
2005-03-31,632.769
2005-04-29,637.36
2005-05-31,626.123
2005-06-30,654.651
2005-07-29,680.035
2005-08-31,657.301
2005-09-30,667.706
2005-10-31,681.657
2005-11-30,700.188
2005-12-30,763.66
2006-01-31,763.476
2006-02-28,775.929
2006-03-31,831.64
2006-04-28,891.557
2006-05-31,858.151
2006-06-30,854.076
2006-07-31,859.796
2006-08-31,862.695
2006-09-29,881.63
2006-10-31,941.634
2006-11-30,981.653
2006-12-29,996.503
2007-01-31,1030.633
2007-02-28,1036.392
2007-03-30,1063.734
2007-04-30,1080.055
2007-05-31,1000.0
2007-06-29,941.106
2007-07-31,976.157
2007-08-31,942.695
2007-09-28,929.184
2007-10-31,1009.907
2007-11-30,923.637
2007-12-31,898.69
2008-01-31,807.787
2008-02-29,883.616
2008-03-31,878.528
2008-04-30,820.488
2008-05-30,813.197
2008-06-30,686.753
2008-07-31,678.561
2008-08-29,671.018
2008-09-30,557.258
2008-10-31,347.468
2008-11-28,284.132
2008-12-31,256.192
2009-01-30,267.429
2009-02-27,203.663
2009-03-31,259.619
2009-04-30,328.939
2009-05-29,470.9
2009-06-30,477.05
2009-07-31,545.266
2009-08-31,646.589
2009-09-30,637.312
2009-10-30,588.795
2009-11-30,566.689
2009-12-31,579.056
2010-01-29,598.004
2010-02-26,607.402
2010-03-31,655.409
2010-04-30,648.333
2010-05-31,601.646
2010-06-30,606.162
2010-07-30,699.86
2010-08-31,746.105
2010-09-30,824.424
2010-10-29,862.409
2010-11-30,747.403
2010-12-31,835.792
2011-01-31,893.754
2011-02-28,913.049
2011-03-31,866.839
2011-04-29,945.537
2011-05-31,894.277
2011-06-30,801.008
2011-07-29,714.904
2011-08-31,652.342
2011-09-30,550.584
2011-10-31,637.021
2011-11-30,633.89
2011-12-30,612.652
2012-01-31,684.07
2012-02-29,750.896
2012-03-30,714.911
2012-04-30,738.11
2012-05-31,585.352
2012-06-29,618.661
2012-07-31,654.836
2012-08-31,617.083
2012-09-28,675.058
2012-10-31,657.686
2012-11-30,672.831
2012-12-31,707.695
2013-01-31,752.126
2013-02-28,758.08
2013-03-29,739.11
2013-04-30,688.137
2013-05-31,691.613
2013-06-28,686.997
2013-07-31,752.752
2013-08-30,816.439
2013-09-30,881.734
2013-10-31,928.46
2013-11-29,976.048
2013-12-31,1047.299
2014-01-31,1078.159
2014-02-28,1182.718
2014-03-31,1161.499
2014-04-30,1166.721
2014-05-30,1275.856
2014-06-30,1214.931
2014-07-31,1147.334
2014-08-29,1234.685
2014-09-30,1174.622
2014-10-31,1152.766
2014-11-28,1037.283
2014-12-31,992.33
2015-01-30,1001.893
2015-02-27,1140.261
2015-03-31,1137.327
2015-04-30,1079.29
2015-05-29,1048.87
2015-06-30,1009.744
2015-07-31,996.07
2015-08-31,975.03
2015-09-30,913.612
2015-10-30,873.813
2015-11-30,884.999
2015-12-31,804.323
2016-01-29,776.792
2016-02-29,798.081
