Date,AUSTRIA SMID CAP SMID (Small+Mid Cap)
1994-05-31,176.568
1994-06-30,187.997
1994-07-29,187.771
1994-08-31,195.379
1994-09-30,188.747
1994-10-31,190.732
1994-11-30,182.095
1994-12-30,185.718
1995-01-31,178.427
1995-02-28,184.116
1995-03-31,183.488
1995-04-28,179.712
1995-05-31,187.55
1995-06-30,191.37
1995-07-31,197.454
1995-08-31,184.117
1995-09-29,185.791
1995-10-31,180.976
1995-11-30,177.146
1995-12-29,180.634
1996-01-31,185.532
1996-02-29,185.758
1996-03-29,184.648
1996-04-30,183.19
1996-05-31,186.72
1996-06-28,183.195
1996-07-31,181.835
1996-08-30,181.704
1996-09-30,175.819
1996-10-31,178.742
1996-11-29,179.51
1996-12-31,183.474
1997-01-31,177.701
1997-02-28,176.814
1997-03-31,179.99
1997-04-30,172.413
1997-05-30,185.035
1997-06-30,186.199
1997-07-31,192.883
1997-08-29,181.776
1997-09-30,193.745
1997-10-31,183.934
1997-11-28,176.704
1997-12-31,184.522
1998-01-30,189.526
1998-02-27,205.886
1998-03-31,213.628
1998-04-30,227.235
1998-05-29,237.086
1998-06-30,225.336
1998-07-31,231.028
1998-08-31,207.169
1998-09-30,198.383
1998-10-30,209.459
1998-11-30,200.73
1998-12-31,203.353
1999-01-29,193.891
1999-02-26,194.622
1999-03-31,189.43
1999-04-30,197.333
1999-05-31,183.406
1999-06-30,190.371
1999-07-30,190.562
1999-08-31,190.155
1999-09-30,182.535
1999-10-29,182.699
1999-11-30,172.187
1999-12-31,179.005
2000-01-31,169.591
2000-02-29,162.74
2000-03-31,162.092
2000-04-28,156.359
2000-05-31,160.749
2000-06-30,166.292
2000-07-31,157.467
2000-08-31,152.452
2000-09-29,151.196
2000-10-31,140.213
2000-11-30,140.176
2000-12-29,147.585
2001-01-31,149.136
2001-02-28,157.705
2001-03-30,149.252
2001-04-30,152.971
2001-05-31,145.001
2001-06-29,146.462
2001-07-31,155.282
2001-08-31,157.807
2001-09-28,146.498
2001-10-31,142.834
