Date,AUSTRIA SMID CAP SMID (Small+Mid Cap)
1994-05-31,167.9
1994-06-30,179.026
1994-07-29,178.868
1994-08-31,186.114
1994-09-30,179.823
1994-10-31,181.72
1994-11-30,173.494
1994-12-30,176.985
1995-01-31,170.036
1995-02-28,175.457
1995-03-31,174.859
1995-04-28,171.261
1995-05-31,178.93
1995-06-30,182.838
1995-07-31,188.732
1995-08-31,175.985
1995-09-29,177.585
1995-10-31,172.988
1995-11-30,169.334
1995-12-29,172.703
1996-01-31,177.386
1996-02-29,177.602
1996-03-29,176.541
1996-04-30,175.147
1996-05-31,178.725
1996-06-28,175.616
1996-07-31,174.317
1996-08-30,174.19
1996-09-30,168.564
1996-10-31,171.366
1996-11-29,172.102
1996-12-31,175.951
1997-01-31,170.415
1997-02-28,169.565
1997-03-31,172.611
1997-04-30,165.347
1997-05-30,177.682
1997-06-30,179.204
1997-07-31,185.665
1997-08-29,174.975
1997-09-30,186.513
1997-10-31,177.069
1997-11-28,170.109
1997-12-31,177.675
1998-01-30,182.494
1998-02-27,198.247
1998-03-31,205.702
1998-04-30,218.806
1998-05-29,228.547
1998-06-30,217.518
1998-07-31,223.117
1998-08-31,200.076
1998-09-30,191.592
1998-10-30,202.288
1998-11-30,193.858
1998-12-31,196.392
1999-01-29,187.297
1999-02-26,188.003
1999-03-31,182.987
1999-04-30,190.684
1999-05-31,177.574
1999-06-30,184.449
1999-07-30,184.634
1999-08-31,184.246
1999-09-30,176.876
1999-10-29,177.034
1999-11-30,166.848
1999-12-31,173.455
2000-01-31,164.369
2000-02-29,157.729
2000-03-31,157.155
2000-04-28,151.623
2000-05-31,156.367
2000-06-30,161.776
2000-07-31,153.215
2000-08-31,148.338
2000-09-29,147.121
2000-10-31,136.434
2000-11-30,136.398
2000-12-29,143.607
2001-01-31,145.147
2001-02-28,153.487
2001-03-30,145.305
2001-04-30,148.935
2001-05-31,141.693
2001-06-29,143.16
2001-07-31,151.804
2001-08-31,154.272
2001-09-28,143.217
2001-10-31,139.635
2001-11-30,145.611
2001-12-31,147.356
2002-01-31,146.187
2002-02-28,149.433
2002-03-29,158.02
2002-04-30,168.28
2002-05-31,172.776
2002-06-28,178.709
2002-07-31,160.664
2002-08-30,161.395
2002-09-30,156.701
2002-10-31,161.638
2002-11-29,161.663
2002-12-31,175.887
2003-01-31,182.641
2003-02-28,185.794
2003-03-31,187.556
2003-04-30,201.782
2003-05-30,217.945
2003-06-30,222.122
2003-07-31,220.042
2003-08-29,219.236
2003-09-30,229.834
