Date,AUSTRIA SMID CAP SMID (Small+Mid Cap)
2001-01-01,147.585
2001-01-02,148.558
2001-01-03,146.438
2001-01-04,146.388
2001-01-05,149.165
2001-01-08,149.131
2001-01-09,147.785
2001-01-10,148.696
2001-01-11,150.682
2001-01-12,151.982
2001-01-15,151.999
2001-01-16,151.019
2001-01-17,149.518
2001-01-18,149.251
2001-01-19,148.512
2001-01-22,148.37
2001-01-23,148.199
2001-01-24,144.673
2001-01-25,144.334
2001-01-26,145.745
2001-01-29,145.191
2001-01-30,147.139
2001-01-31,149.136
2001-02-01,155.102
2001-02-02,152.551
2001-02-05,154.491
2001-02-06,153.181
2001-02-07,155.53
2001-02-08,154.49
2001-02-09,154.214
2001-02-12,156.301
2001-02-13,155.313
2001-02-14,153.663
2001-02-15,152.404
2001-02-16,155.747
2001-02-19,157.797
2001-02-20,157.839
2001-02-21,157.892
2001-02-22,156.999
2001-02-23,155.767
2001-02-26,156.009
2001-02-27,159.261
2001-02-28,157.705
2001-03-01,159.606
2001-03-02,160.202
2001-03-05,159.003
2001-03-06,159.925
2001-03-07,161.903
2001-03-08,162.33
2001-03-09,161.179
2001-03-12,160.761
2001-03-13,158.506
2001-03-14,155.81
2001-03-15,153.937
2001-03-16,149.617
2001-03-19,149.146
2001-03-20,150.154
2001-03-21,148.546
2001-03-22,143.722
2001-03-23,146.906
2001-03-26,148.674
2001-03-27,150.304
2001-03-28,148.938
2001-03-29,147.933
2001-03-30,149.252
2001-04-02,147.776
2001-04-03,147.842
2001-04-04,151.376
2001-04-05,152.713
2001-04-06,151.853
2001-04-09,153.378
2001-04-10,152.409
2001-04-11,150.519
2001-04-12,151.829
2001-04-13,151.829
2001-04-16,150.274
2001-04-17,150.099
2001-04-18,149.895
2001-04-19,151.757
2001-04-20,154.383
2001-04-23,153.034
2001-04-24,153.447
2001-04-25,153.178
2001-04-26,154.467
2001-04-27,153.684
2001-04-30,152.971
2001-05-01,153.788
2001-05-02,154.493
2001-05-03,153.468
2001-05-04,152.329
2001-05-07,151.474
2001-05-08,150.834
2001-05-09,150.677
2001-05-10,151.757
2001-05-11,150.664
2001-05-14,149.843
2001-05-15,149.482
2001-05-16,150.911
2001-05-17,152.044
2001-05-18,151.296
2001-05-21,149.732
2001-05-22,148.273
2001-05-23,146.299
2001-05-24,145.763
2001-05-25,145.43
2001-05-28,146.358
2001-05-29,144.372
2001-05-30,145.613
2001-05-31,145.001
2001-06-01,146.599
2001-06-04,146.798
2001-06-05,148.964
2001-06-06,148.209
2001-06-07,148.584
2001-06-08,148.684
2001-06-11,146.446
2001-06-12,148.172
2001-06-13,149.947
2001-06-14,151.284
2001-06-15,150.861
2001-06-18,151.293
2001-06-19,151.952
2001-06-20,150.869
2001-06-21,150.101
2001-06-22,151.288
2001-06-25,152.802
2001-06-26,152.927
2001-06-27,150.99
2001-06-28,148.308
2001-06-29,146.462
2001-07-02,146.148
2001-07-03,145.761
2001-07-04,146.517
2001-07-05,145.508
2001-07-06,146.249
2001-07-09,147.838
2001-07-10,150.444
2001-07-11,150.731
2001-07-12,149.309
2001-07-13,150.306
2001-07-16,150.924
2001-07-17,149.308
2001-07-18,152.983
2001-07-19,154.23
2001-07-20,155.202
2001-07-23,155.256
2001-07-24,156.147
2001-07-25,156.119
2001-07-26,155.823
2001-07-27,156.365
2001-07-30,156.378
2001-07-31,155.282
