Date,AUSTRIA SMID CAP SMID (Small+Mid Cap)
2001-01-01,143.607
2001-01-02,144.554
2001-01-03,142.491
2001-01-04,142.442
2001-01-05,145.145
2001-01-08,145.112
2001-01-09,143.802
2001-01-10,144.689
2001-01-11,146.621
2001-01-12,147.886
2001-01-15,147.903
2001-01-16,146.949
2001-01-17,145.489
2001-01-18,145.228
2001-01-19,144.509
2001-01-22,144.402
2001-01-23,144.236
2001-01-24,140.804
2001-01-25,140.474
2001-01-26,141.847
2001-01-29,141.308
2001-01-30,143.204
2001-01-31,145.147
2001-02-01,150.954
2001-02-02,148.471
2001-02-05,150.36
2001-02-06,149.084
2001-02-07,151.371
2001-02-08,150.359
2001-02-09,150.09
2001-02-12,152.121
2001-02-13,151.159
2001-02-14,149.553
2001-02-15,148.328
2001-02-16,151.581
2001-02-19,153.577
2001-02-20,153.618
2001-02-21,153.669
2001-02-22,152.801
2001-02-23,151.601
2001-02-26,151.836
2001-02-27,155.002
2001-02-28,153.487
2001-03-01,155.337
2001-03-02,155.918
2001-03-05,154.751
2001-03-06,155.648
2001-03-07,157.573
2001-03-08,157.989
2001-03-09,156.869
2001-03-12,156.462
2001-03-13,154.267
2001-03-14,151.643
2001-03-15,149.82
2001-03-16,145.616
2001-03-19,145.157
2001-03-20,146.138
2001-03-21,144.573
2001-03-22,139.879
2001-03-23,142.977
2001-03-26,144.742
2001-03-27,146.329
2001-03-28,144.999
2001-03-29,144.02
2001-03-30,145.305
2001-04-02,143.867
2001-04-03,143.932
2001-04-04,147.372
2001-04-05,148.674
2001-04-06,147.837
2001-04-09,149.322
2001-04-10,148.378
2001-04-11,146.538
2001-04-12,147.813
2001-04-13,147.813
2001-04-16,146.3
2001-04-17,146.129
2001-04-18,145.93
2001-04-19,147.744
2001-04-20,150.3
2001-04-23,148.987
2001-04-24,149.389
2001-04-25,149.127
2001-04-26,150.382
2001-04-27,149.619
2001-04-30,148.935
2001-05-01,149.73
2001-05-02,150.439
2001-05-03,149.44
2001-05-04,148.331
2001-05-07,147.502
2001-05-08,146.879
2001-05-09,146.726
2001-05-10,147.778
2001-05-11,146.786
2001-05-14,145.998
2001-05-15,145.711
2001-05-16,147.156
2001-05-17,148.293
2001-05-18,147.563
2001-05-21,146.041
2001-05-22,144.634
2001-05-23,142.709
2001-05-24,142.186
2001-05-25,141.924
2001-05-28,142.853
2001-05-29,141.063
2001-05-30,142.286
2001-05-31,141.693
2001-06-01,143.254
2001-06-04,143.449
2001-06-05,145.565
2001-06-06,144.827
2001-06-07,145.194
2001-06-08,145.291
2001-06-11,143.104
2001-06-12,144.791
2001-06-13,146.526
2001-06-14,147.832
2001-06-15,147.419
2001-06-18,147.841
2001-06-19,148.484
2001-06-20,147.426
2001-06-21,146.675
2001-06-22,147.836
2001-06-25,149.357
2001-06-26,149.478
2001-06-27,147.586
2001-06-28,144.964
2001-06-29,143.16
2001-07-02,142.855
2001-07-03,142.484
2001-07-04,143.223
2001-07-05,142.237
2001-07-06,142.961
2001-07-09,144.526
2001-07-10,147.073
2001-07-11,147.352
2001-07-12,145.959
2001-07-13,146.933
2001-07-16,147.538
2001-07-17,145.959
2001-07-18,149.551
2001-07-19,150.769
2001-07-20,151.72
2001-07-23,151.779
2001-07-24,152.65
2001-07-25,152.622
2001-07-26,152.333
2001-07-27,152.863
2001-07-30,152.876
2001-07-31,151.804
2001-08-01,152.769
2001-08-02,151.928
2001-08-03,151.41
2001-08-06,151.066
2001-08-07,150.792
2001-08-08,150.459
2001-08-09,151.461
2001-08-10,153.592
2001-08-13,155.345
2001-08-14,154.093
2001-08-15,156.455
2001-08-16,156.449
2001-08-17,156.233
2001-08-20,154.213
2001-08-21,155.305
2001-08-22,157.364
2001-08-23,156.301
2001-08-24,156.159
2001-08-27,154.697
2001-08-28,155.101
2001-08-29,155.393
2001-08-30,154.18
2001-08-31,154.272
2001-09-03,153.286
2001-09-04,151.311
2001-09-05,150.269
2001-09-06,150.388
2001-09-07,151.684
2001-09-10,148.926
2001-09-11,148.95
2001-09-12,148.347
2001-09-13,148.887
2001-09-14,148.578
2001-09-17,147.391
2001-09-18,146.992
2001-09-19,149.192
2001-09-20,146.864
2001-09-21,142.374
2001-09-24,142.242
2001-09-25,142.512
2001-09-26,144.029
2001-09-27,144.99
2001-09-28,143.217
2001-10-01,145.795
2001-10-02,146.123
2001-10-03,146.584
2001-10-04,146.329
2001-10-05,144.243
2001-10-08,144.441
2001-10-09,143.752
2001-10-10,141.342
2001-10-11,141.448
2001-10-12,143.776
2001-10-15,142.719
2001-10-16,145.009
2001-10-17,145.239
2001-10-18,144.658
2001-10-19,140.516
2001-10-22,138.419
2001-10-23,138.748
2001-10-24,138.27
2001-10-25,137.842
2001-10-26,137.24
2001-10-29,138.128
2001-10-30,138.741
2001-10-31,139.635
2001-11-01,140.527
2001-11-02,139.3
2001-11-05,138.515
2001-11-06,139.78
2001-11-07,140.381
2001-11-08,139.986
2001-11-09,139.551
2001-11-12,139.523
2001-11-13,137.241
2001-11-14,138.927
2001-11-15,139.649
2001-11-16,140.506
2001-11-19,138.371
2001-11-20,140.077
2001-11-21,139.365
2001-11-22,140.284
2001-11-23,139.896
2001-11-26,139.932
2001-11-27,140.965
2001-11-28,141.742
2001-11-29,142.529
2001-11-30,145.611
2001-12-03,143.973
2001-12-04,145.287
2001-12-05,145.801
2001-12-06,146.591
2001-12-07,146.936
2001-12-10,146.739
2001-12-11,146.331
2001-12-12,147.472
2001-12-13,148.107
2001-12-14,148.688
2001-12-17,148.577
2001-12-18,147.888
2001-12-19,146.476
2001-12-20,145.302
2001-12-21,145.42
2001-12-24,143.988
2001-12-25,143.988
2001-12-26,144.111
2001-12-27,147.27
2001-12-28,145.984
2001-12-31,147.356
2002-01-01,147.356
2002-01-02,149.083
2002-01-03,149.475
2002-01-04,148.778
2002-01-07,147.816
2002-01-08,146.59
2002-01-09,146.019
2002-01-10,147.257
2002-01-11,146.804
2002-01-14,147.355
