Date,SINGAPORE VALUE Standard (Large+Mid Cap)
2001-01-01,4713.41
2001-01-02,4632.645
2001-01-03,4544.998
2001-01-04,4648.405
2001-01-05,4807.155
2001-01-08,4750.809
2001-01-09,4756.872
2001-01-10,4742.972
2001-01-11,4589.469
2001-01-12,4558.217
2001-01-15,4559.548
2001-01-16,4538.292
2001-01-17,4529.392
2001-01-18,4394.424
2001-01-19,4381.028
2001-01-22,4411.587
2001-01-23,4391.15
2001-01-24,4391.15
2001-01-25,4395.187
2001-01-26,4348.603
2001-01-29,4440.376
2001-01-30,4539.1
2001-01-31,4597.007
2001-02-01,4600.796
2001-02-02,4578.054
2001-02-05,4518.616
2001-02-06,4501.726
2001-02-07,4484.056
2001-02-08,4565.224
2001-02-09,4553.847
2001-02-12,4607.471
2001-02-13,4583.899
2001-02-14,4549.799
2001-02-15,4573.486
2001-02-16,4563.839
2001-02-19,4519.183
2001-02-20,4566.939
2001-02-21,4530.36
2001-02-22,4516.751
2001-02-23,4517.499
2001-02-26,4589.474
2001-02-27,4530.628
2001-02-28,4558.823
2001-03-01,4470.515
2001-03-02,4481.326
2001-03-05,4443.462
2001-03-06,4447.259
2001-03-07,4454.861
2001-03-08,4456.03
2001-03-09,4487.574
2001-03-12,4339.589
2001-03-13,4194.786
2001-03-14,4176.777
2001-03-15,4154.68
2001-03-16,4062.445
2001-03-19,3947.195
2001-03-20,3979.559
2001-03-21,3916.639
2001-03-22,3793.615
2001-03-23,3901.86
2001-03-26,3921.209
2001-03-27,3905.391
2001-03-28,3842.362
2001-03-29,3789.479
2001-03-30,3909.662
2001-04-02,3839.849
2001-04-03,3815.712
2001-04-04,3767.127
2001-04-05,3920.344
2001-04-06,3867.047
2001-04-09,3654.839
2001-04-10,3671.427
2001-04-11,3699.452
2001-04-12,3683.318
2001-04-13,3683.318
2001-04-16,3664.59
2001-04-17,3614.698
2001-04-18,3674.944
2001-04-19,3760.338
2001-04-20,3781.426
2001-04-23,3871.164
2001-04-24,3849.538
2001-04-25,3779.357
2001-04-26,3818.838
2001-04-27,3848.743
2001-04-30,3954.216
2001-05-01,3970.564
2001-05-02,3950.402
2001-05-03,3944.021
2001-05-04,3900.763
2001-05-07,3895.421
2001-05-08,3857.097
2001-05-09,3779.17
2001-05-10,3810.331
2001-05-11,3886.17
2001-05-14,3823.857
2001-05-15,3830.143
2001-05-16,3786.901
2001-05-17,3825.081
2001-05-18,3789.562
2001-05-21,3787.463
2001-05-22,3814.405
2001-05-23,3844.9
2001-05-24,3886.452
2001-05-25,3856.618
2001-05-28,3849.181
2001-05-29,3917.162
2001-05-30,3857.907
2001-05-31,3851.024
2001-06-01,3835.992
2001-06-04,3856.5
2001-06-05,3871.178
2001-06-06,3882.069
2001-06-07,3913.982
2001-06-08,3951.092
2001-06-11,3893.5
2001-06-12,3877.51
2001-06-13,3950.115
2001-06-14,3973.1
2001-06-15,4011.895
2001-06-18,4003.906
2001-06-19,3968.752
2001-06-20,3961.463
2001-06-21,3971.495
2001-06-22,4057.914
2001-06-25,4052.909
2001-06-26,4020.806
2001-06-27,3972.844
2001-06-28,3953.747
2001-06-29,3989.014
2001-07-02,3899.696
2001-07-03,3890.137
2001-07-04,3854.95
2001-07-05,3829.257
2001-07-06,3764.634
2001-07-09,3727.667
2001-07-10,3789.889
2001-07-11,3762.231
2001-07-12,3794.061
2001-07-13,3717.639
2001-07-16,3732.587
2001-07-17,3674.377
2001-07-18,3671.035
2001-07-19,3661.12
2001-07-20,3695.192
2001-07-23,3659.438
2001-07-24,3682.324
2001-07-25,3697.388
2001-07-26,3744.95
2001-07-27,3757.889
2001-07-30,3808.904
2001-07-31,3851.741
2001-08-01,3839.804
2001-08-02,3800.351
2001-08-03,3762.43
2001-08-06,3769.033
2001-08-07,3790.594
2001-08-08,3751.814
2001-08-09,3752.025
2001-08-10,3813.01
2001-08-13,3751.142
2001-08-14,3796.433
2001-08-15,3820.756
2001-08-16,3822.872
2001-08-17,3790.82
2001-08-20,3788.024
2001-08-21,3803.728
2001-08-22,3800.754
2001-08-23,3799.717
2001-08-24,3795.189
2001-08-27,3860.52
2001-08-28,3836.259
2001-08-29,3841.216
2001-08-30,3751.715
2001-08-31,3790.614
2001-09-03,3797.197
2001-09-04,3799.268
2001-09-05,3827.227
2001-09-06,3800.819
2001-09-07,3761.56
2001-09-10,3699.169
2001-09-11,3717.591
2001-09-12,3524.616
2001-09-13,3478.563
2001-09-14,3357.453
2001-09-17,3165.278
2001-09-18,3127.904
2001-09-19,3158.159
2001-09-20,3077.986
2001-09-21,2860.468
2001-09-24,2991.801
2001-09-25,2941.509
2001-09-26,2919.459
2001-09-27,3004.109
2001-09-28,3050.679
2001-10-01,3067.118
2001-10-02,3054.969
2001-10-03,3040.428
2001-10-04,3164.933
2001-10-05,3194.745
2001-10-08,3101.432
2001-10-09,3176.356
2001-10-10,3114.648
2001-10-11,3184.213
2001-10-12,3206.086
2001-10-15,3238.0
2001-10-16,3228.663
2001-10-17,3268.474
2001-10-18,3200.194
2001-10-19,3146.676
2001-10-22,3158.2
2001-10-23,3203.083
2001-10-24,3265.748
2001-10-25,3240.495
2001-10-26,3251.842
2001-10-29,3182.082
2001-10-30,3164.994
2001-10-31,3128.661
2001-11-01,3093.072
2001-11-02,3075.434
2001-11-05,3056.464
2001-11-06,3018.507
2001-11-07,3006.653
2001-11-08,3014.739
2001-11-09,3124.575
2001-11-12,3183.166
2001-11-13,3145.629
2001-11-14,3145.629
2001-11-15,3296.572
2001-11-16,3264.22
2001-11-19,3380.545
2001-11-20,3369.154
2001-11-21,3414.135
2001-11-22,3378.024
2001-11-23,3379.571
2001-11-26,3403.385
2001-11-27,3442.436
2001-11-28,3395.91
2001-11-29,3338.759
2001-11-30,3370.229
2001-12-03,3430.5
2001-12-04,3609.439
2001-12-05,3706.623
2001-12-06,3811.248
2001-12-07,3873.784
2001-12-10,3838.968
2001-12-11,3797.564
2001-12-12,3811.419
2001-12-13,3751.318
2001-12-14,3675.728
2001-12-17,3672.529
2001-12-18,3697.957
2001-12-19,3766.988
2001-12-20,3733.49
2001-12-21,3722.171
2001-12-24,3714.31
2001-12-25,3714.31
2001-12-26,3689.491
2001-12-27,3745.073
2001-12-28,3785.853
2001-12-31,3794.485
2002-01-01,3794.485
2002-01-02,3809.583
