Date,SINGAPORE VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,161.813
1975-02-28,201.763
1975-03-31,219.034
1975-04-30,212.457
1975-05-30,198.552
1975-06-30,181.204
1975-07-31,170.124
1975-08-29,162.529
1975-09-30,158.137
1975-10-31,179.343
1975-11-28,174.097
1975-12-31,184.048
1976-01-30,236.934
1976-02-27,230.431
1976-03-31,214.6
1976-04-30,220.822
1976-05-31,212.85
1976-06-30,218.123
1976-07-30,215.198
1976-08-31,223.957
1976-09-30,230.005
1976-10-29,214.717
1976-11-30,207.706
1976-12-31,223.808
1977-01-31,223.916
1977-02-28,222.595
1977-03-31,218.919
1977-04-29,214.737
1977-05-31,213.875
1977-06-30,228.798
1977-07-29,240.683
1977-08-31,242.482
1977-09-30,237.043
1977-10-31,238.656
1977-11-30,248.444
1977-12-30,253.081
1978-01-31,251.364
1978-02-28,252.985
1978-03-31,279.444
1978-04-28,298.89
1978-05-31,311.132
1978-06-30,349.981
1978-07-31,368.544
1978-08-31,434.103
1978-09-29,388.02
1978-10-31,449.065
1978-11-30,364.093
1978-12-29,377.51
1979-01-31,420.508
1979-02-28,385.838
1979-03-30,407.947
1979-04-30,421.275
1979-05-31,443.315
1979-06-29,424.603
1979-07-31,433.644
1979-08-31,456.751
1979-09-28,481.505
1979-10-31,438.426
1979-11-30,448.924
1979-12-31,480.936
1980-01-31,552.188
1980-02-29,575.273
1980-03-31,501.862
1980-04-30,542.685
1980-05-30,601.079
1980-06-30,627.69
1980-07-31,659.929
1980-08-29,691.006
1980-09-30,649.595
1980-10-31,691.429
1980-11-28,724.686
1980-12-31,722.052
1981-01-30,828.324
1981-02-27,875.813
1981-03-31,903.022
1981-04-30,1005.675
1981-05-29,953.8
1981-06-30,1048.702
1981-07-31,896.441
1981-08-31,709.493
1981-09-30,741.326
1981-10-30,757.339
1981-11-30,884.529
1981-12-31,903.14
1982-01-29,873.099
1982-02-26,799.921
1982-03-31,782.037
1982-04-30,836.753
1982-05-31,834.83
1982-06-30,747.15
1982-07-30,690.91
1982-08-31,649.225
1982-09-30,667.318
1982-10-29,717.642
1982-11-30,732.398
1982-12-31,773.74
1983-01-31,855.963
1983-02-28,919.926
1983-03-31,939.63
1983-04-29,1015.408
1983-05-31,1010.931
1983-06-30,1015.277
1983-07-29,956.868
1983-08-31,978.078
1983-09-30,967.977
1983-10-31,936.957
1983-11-30,926.633
1983-12-30,1011.637
1984-01-31,1038.89
1984-02-29,988.986
1984-03-30,969.569
1984-04-30,973.211
1984-05-31,901.964
1984-06-29,829.299
1984-07-31,859.255
1984-08-31,840.596
1984-09-28,803.041
1984-10-31,741.751
1984-11-30,706.968
1984-12-31,701.836
1985-01-31,722.964
1985-02-28,712.565
1985-03-29,704.665
1985-04-30,677.333
1985-05-31,699.283
1985-06-28,658.468
1985-07-31,651.488
1985-08-30,598.717
1985-09-30,663.33
1985-10-31,645.553
1985-11-29,582.887
1985-12-31,523.316
1986-01-31,514.76
1986-02-28,538.251
1986-03-31,492.164
1986-04-30,467.481
1986-05-30,532.013
1986-06-30,650.982
1986-07-31,639.312
1986-08-29,742.285
1986-09-30,714.978
1986-10-31,906.229
1986-11-28,827.271
1986-12-31,864.486
1987-01-30,968.972
1987-02-27,1128.023
1987-03-31,1105.261
1987-04-30,1221.488
1987-05-29,1363.462
1987-06-30,1396.649
1987-07-31,1535.276
1987-08-31,1509.372
1987-09-30,1494.801
1987-10-30,855.465
1987-11-30,869.123
1987-12-31,935.847
1988-01-29,1001.47
1988-02-29,959.663
1988-03-31,1016.854
1988-04-29,1093.216
1988-05-31,1132.166
1988-06-30,1268.43
1988-07-29,1282.12
1988-08-31,1159.501
1988-09-30,1162.478
1988-10-31,1194.228
1988-11-30,1188.04
1988-12-30,1237.28
1989-01-31,1362.589
1989-02-28,1373.571
1989-03-31,1449.88
1989-04-28,1560.715
1989-05-31,1584.105
1989-06-30,1586.343
1989-07-31,1677.317
1989-08-31,1639.801
1989-09-29,1667.187
1989-10-31,1594.689
1989-11-30,1697.732
1989-12-29,1839.971
1990-01-31,1914.681
1990-02-28,1978.811
1990-03-30,1955.957
1990-04-30,1825.369
1990-05-31,2030.325
1990-06-29,2022.185
1990-07-31,2114.604
1990-08-31,1769.034
1990-09-28,1531.417
1990-10-31,1630.782
1990-11-30,1597.218
1990-12-31,1649.205
1991-01-31,1714.821
1991-02-28,2011.845
1991-03-29,2029.094
1991-04-30,2019.736
1991-05-31,2041.931
1991-06-28,1973.734
1991-07-31,2001.72
1991-08-30,1955.046
1991-09-30,1921.162
1991-10-31,1965.821
1991-11-29,2001.777
1991-12-31,2113.474
1992-01-31,2156.249
1992-02-28,2091.476
1992-03-31,2030.519
1992-04-30,2059.767
1992-05-29,2141.81
1992-06-30,2117.442
1992-07-31,2161.275
1992-08-31,2072.441
1992-09-30,2076.442
1992-10-30,2080.345
1992-11-30,2214.516
1992-12-31,2213.435
1993-01-29,2262.337
1993-02-26,2324.031
1993-03-31,2316.981
1993-04-30,2521.531
1993-05-31,2595.454
1993-06-30,2495.126
1993-07-30,2494.471
1993-08-31,2787.702
