Date,ISRAEL SMALL GROWTH Small Cap
2002-05-31,342.171
2002-06-28,316.122
2002-07-31,343.127
2002-08-30,340.606
2002-09-30,302.441
2002-10-31,304.689
2002-11-29,358.349
2002-12-31,339.708
2003-01-31,324.632
2003-02-28,335.029
2003-03-31,358.822
2003-04-30,422.601
2003-05-30,483.583
2003-06-30,500.165
2003-07-31,495.66
2003-08-29,500.61
2003-09-30,515.579
2003-10-31,584.762
2003-11-28,641.113
2003-12-31,646.887
2004-01-30,684.555
2004-02-27,678.318
2004-03-31,683.247
2004-04-30,646.852
2004-05-31,648.222
2004-06-30,669.116
2004-07-30,631.892
2004-08-31,598.113
2004-09-30,650.555
2004-10-29,640.931
2004-11-30,709.762
2004-12-31,758.665
2005-01-31,734.621
2005-02-28,751.243
2005-03-31,721.499
2005-04-29,706.268
2005-05-31,758.325
2005-06-30,716.622
2005-07-29,746.472
2005-08-31,748.479
2005-09-30,757.006
2005-10-31,760.168
2005-11-30,768.828
2005-12-30,797.57
2006-01-31,839.914
2006-02-28,806.763
2006-03-31,804.193
2006-04-28,859.416
2006-05-31,834.386
2006-06-30,790.411
2006-07-31,749.753
2006-08-31,775.531
2006-09-29,798.37
2006-10-31,874.979
2006-11-30,892.235
2006-12-29,876.287
2007-01-31,890.169
2007-02-28,928.737
2007-03-30,931.83
2007-04-30,1001.937
2007-05-31,1000.0
2007-06-29,996.189
2007-07-31,1008.665
2007-08-31,1004.417
2007-09-28,1089.439
2007-10-31,1127.231
2007-11-30,1040.707
2007-12-31,1018.797
2008-01-31,937.409
2008-02-29,924.102
2008-03-31,871.19
2008-04-30,880.344
2008-05-30,963.289
2008-06-30,842.506
2008-07-31,789.483
2008-08-29,769.569
2008-09-30,677.531
2008-10-31,471.147
2008-11-28,417.93
2008-12-31,402.672
2009-01-30,453.185
2009-02-27,419.076
2009-03-31,449.611
2009-04-30,517.193
2009-05-29,568.919
2009-06-30,617.045
2009-07-31,710.704
2009-08-31,712.535
2009-09-30,735.54
2009-10-30,802.832
2009-11-30,808.401
2009-12-31,857.39
2010-01-29,906.851
2010-02-26,905.269
2010-03-31,979.035
2010-04-30,955.487
2010-05-31,814.173
2010-06-30,780.534
2010-07-30,828.206
