Date,ISRAEL SMALL GROWTH Small Cap
2002-05-31,346.586
2002-06-28,320.164
2002-07-31,347.514
2002-08-30,344.961
2002-09-30,306.14
2002-10-31,308.3
2002-11-29,362.596
2002-12-31,343.606
2003-01-31,328.298
2003-02-28,338.814
2003-03-31,362.847
2003-04-30,427.099
2003-05-30,488.512
2003-06-30,505.114
2003-07-31,500.564
2003-08-29,505.563
2003-09-30,520.501
2003-10-31,590.345
2003-11-28,647.234
2003-12-31,652.888
2004-01-30,690.905
2004-02-27,684.61
2004-03-31,689.285
2004-04-30,649.39
2004-05-31,650.764
2004-06-30,671.337
2004-07-30,633.989
2004-08-31,599.9
2004-09-30,652.151
2004-10-29,642.503
2004-11-30,711.503
2004-12-31,760.479
2005-01-31,736.377
2005-02-28,753.04
2005-03-31,723.224
2005-04-29,707.796
2005-05-31,759.966
2005-06-30,718.094
2005-07-29,747.976
2005-08-31,749.907
2005-09-30,758.403
2005-10-31,761.571
2005-11-30,770.169
2005-12-30,798.779
2006-01-31,841.187
2006-02-28,807.986
2006-03-31,805.342
2006-04-28,860.624
2006-05-31,835.5
2006-06-30,791.424
2006-07-31,750.715
2006-08-31,776.525
2006-09-29,799.026
2006-10-31,875.698
2006-11-30,892.969
2006-12-29,877.007
2007-01-31,890.901
2007-02-28,929.5
2007-03-30,932.039
2007-04-30,1001.937
2007-05-31,1000.0
2007-06-29,995.654
2007-07-31,1008.123
2007-08-31,1003.814
2007-09-28,1088.786
2007-10-31,1126.555
2007-11-30,1039.928
2007-12-31,1017.944
2008-01-31,936.624
2008-02-29,923.12
2008-03-31,869.358
2008-04-30,878.354
2008-05-30,960.363
2008-06-30,839.873
2008-07-31,787.016
2008-08-29,767.164
2008-09-30,675.324
2008-10-31,469.612
2008-11-28,416.508
2008-12-31,400.682
2009-01-30,450.83
2009-02-27,416.898
2009-03-31,447.257
2009-04-30,514.25
2009-05-29,565.682
2009-06-30,613.289
2009-07-31,706.359
2009-08-31,707.336
2009-09-30,730.12
2009-10-30,796.888
2009-11-30,802.326
2009-12-31,850.756
2010-01-29,899.743
2010-02-26,898.152
2010-03-31,970.451
2010-04-30,946.982
2010-05-31,806.564
2010-06-30,772.736
2010-07-30,819.932
2010-08-31,825.086
2010-09-30,947.144
2010-10-29,1018.029
2010-11-30,969.168
2010-12-31,1083.166
2011-01-31,1020.364
2011-02-28,1029.39
2011-03-31,1072.261
2011-04-29,1105.56
2011-05-31,1038.23
2011-06-30,993.2
2011-07-29,1004.189
2011-08-31,839.705
2011-09-30,778.744
2011-10-31,843.66
2011-11-30,803.53
2011-12-30,775.553
2012-01-31,831.56
2012-02-29,816.777
2012-03-30,865.562
2012-04-30,945.076
2012-05-31,876.404
2012-06-29,870.209
2012-07-31,977.097
2012-08-31,1022.614
2012-09-28,1139.978
2012-10-31,1219.412
2012-11-30,1338.538
2012-12-31,1366.519
2013-01-31,1346.067
2013-02-28,1392.189
2013-03-29,1456.612
2013-04-30,1532.614
2013-05-31,1533.45
2013-06-28,1517.606
2013-07-31,1691.391
2013-08-30,1650.805
2013-09-30,1755.744
2013-10-31,1754.472
2013-11-29,1806.306
2013-12-31,1919.735
2014-01-31,1861.122
2014-02-28,1964.882
2014-03-31,1977.189
